ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,intgres,dont filles
Aix-En-Provence,Lyce Vauvenargues (0130003H),41,2,26,2,26,2,1,0
Ajaccio,Lyce Laetitia Bonaparte (6200002H),17,4,8,2,8,2,0,0
Angers,Lyce Chevrollier (0490003M),28,0,26,0,25,0,2,0
Argonay,Lyce Louis Lachenal (0740006E),25,2,17,1,17,1,4,0
Armentires,Lyce Gustave Eiffel (0590011S),35,2,21,2,17,2,2,0
Aubervilliers,Lyce Le Corbusier (0930117X),30,2,3,0,3,0,0,0
Avignon,Lyce Philippe de Girard (0840005Z),15,2,7,2,7,2,3,0
Belfort,Lyce Raoul Follereau (0900004R),24,2,19,1,19,1,3,0
Besanon,Lyce Jules Haag (0250011B),19,1,6,1,6,1,1,0
Bordeaux,Lyce Gustave Eiffel (0330028B),71,5,60,4,56,4,6,0
Brest,Lyce La Croix Rouge (0290335G),28,3,16,3,16,3,1,0
Brest,Lyce Vauban (0290012F),24,3,10,0,9,0,2,0
Cachan,Lyce Gustave Eiffel (0940111K),30,4,27,1,26,1,4,1
Caen,Lyce Jules Dumont d'Urville (0142131R),26,4,13,0,12,0,5,0
Chlons-en-Champagne,Lyce Etienne Oehmichen (0510007F),9,3,2,2,2,2,0,0
Chalon-Sur-Sane,Lyce Nicephore Niepce (0710012C),12,1,7,0,5,0,1,0
Champagne-Sur-Seine,Lyce La Fayette (0770920G),19,0,9,0,9,0,4,0
Champigny-Sur-Marne,Lyce Langevin-Wallon (0940113M),25,2,13,1,13,1,6,1
Clichy,Lyce Newton-Enrea (0920136Y),20,2,6,0,6,0,4,0
Cluny,Lyce La Prat's (0710023P),23,1,18,1,18,1,1,0
Dijon,Lyce Gustave Eiffel (0211033J),28,1,13,1,13,1,0,0
Dunkerque,Lyce De L'Europe (0590072H),17,0,5,0,5,0,0,0
Grenoble,Lyce Vaucanson (0380033E),65,2,38,2,36,2,9,2
Le Havre,Lyce Robert Schuman (0760058A),14,1,5,1,5,1,0,0
Le Mans,Lyce Gabriel Touchard (0720033V),22,0,14,0,14,0,3,0
Les Abymes,Lyce Charles Coeffin (9710004C),23,1,4,0,4,0,2,0
Lille,Lyce Csar Baggio (0590121L),39,1,20,1,18,1,2,0
Limoges,Lyce Turgot (0870056N),25,6,20,4,19,3,5,1
Lyon,Lyce La Martinire Monplaisir (0692866R),72,6,58,4,56,4,17,1
Marseille,Lyce Jean Perrin (0130053M),74,8,49,5,47,5,2,0
Massy,Lyce Parc de Vilgenis (0910727W),29,2,16,1,13,1,3,0
Meaux,Lyce Pierre de Coubertin (0770931U),14,3,1,0,1,0,0,0
Metz,Lyce Louis De Cormontaigne (0573227Y),34,3,21,1,20,1,5,1
Monastir,I.P.E.I (99949911),1,0,0,0,0,0,0,0
Montluon,Lyce Paul Constans (0030026M),13,4,10,3,8,3,2,0
Montpellier,Lyce Jean Mermoz (0340042L),26,5,25,4,24,4,3,0
Nabeul,IPEIN (99950811),1,0,0,0,0,0,0,0
Nancy,Lyce Henri Loritz (0540042C),39,5,26,3,22,3,1,0
Nantes,Lyce Eugne Livet (0440029T),68,10,46,3,45,3,4,1
Nevers,Lyce Jules Renard (0580031U),15,1,10,1,10,1,5,0
Nice,Lyce Les Eucalyptus (0060075Z),77,10,34,3,32,2,4,0
Nimes,Lyce Dhuoda (0300026R),31,6,18,2,18,2,4,0
Nogent sur Oise,Lyce Marie Curie (0600020W),32,6,26,4,26,4,2,0
Nouma,Lyce Jules Garnier (9830003L),20,7,13,5,12,5,0,0
Orlans,Lyce Benjamin Franklin (0450051L),30,3,15,0,14,0,2,0
Paris,Lyce Raspail (0750691U),74,8,38,1,34,1,2,0
Paris,Lyce Voltaire (0750675B),39,4,18,3,16,3,5,0
Paris 8e,Lyce Chaptal (0750663N),32,3,30,3,30,3,2,0
Paris 11e,Lyce Dorian (0750676C),28,2,14,0,14,0,1,0
Paris 16e,Lyce Jean-Baptiste Say (0750700D),29,3,28,3,28,3,0,0
Poitiers,Lyce Louis Armand (0860037Y),16,0,12,0,10,0,1,0
Reims,Lyce F. Roosevelt (0510034K),21,3,6,0,6,0,1,0
Rennes,Lyce Joliot-Curie (0350029S),48,7,39,7,35,6,6,3
Rouen,Lyce Blaise Pascal (0760095R),27,1,15,1,14,1,4,0
Sainte-Clotilde,Lyce Lislet-Geoffroy (9740054R),14,0,2,0,1,0,0,0
Saint-Etienne,Lyce Etienne Mimard (0420046X),43,6,29,6,26,6,6,1
Saint-Sylvain-D'Anjou,Lyce Saint Julien La Baronnerie (0490888Z),21,1,8,0,7,0,2,0
Strasbourg,Lyce Louis Couffignal (0670085D),45,4,22,2,22,2,3,1
Tarbes,Lyce Jean Dupuy (0650027B),30,2,15,2,14,2,1,0
Thiers,Lyce Jean Zay (0630069H),18,4,9,0,8,0,1,0
Toulon,Lyce Rouvire (0830056K),28,3,25,3,24,3,1,1
Toulouse,Lyce Dodat de Sverac (0310044E),41,5,36,4,35,3,6,0
Tours,Lyce J. de Vaucanson (0371418R),12,1,11,1,11,1,2,0
Tunis,IPEI El Manar (99951211),3,1,0,0,0,0,0,0
Valenciennes,Lyce Du Hainaut (0590223X),16,1,0,0,0,0,0,0
Vannes,Lyce Alain Ren Lesage (0560051B),33,6,25,5,22,4,5,2
Versailles,Lyce Jules Ferry (0782565P),85,7,66,3,64,3,4,0
Voiron,Lyce Ferdinand Buisson (0380092U),17,3,14,3,14,3,2,0
