ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,intgres,dont filles
Aix-En-Provence,Lyce Vauvenargues (0130003H),33,2,8,0,5,0,2,0
Ajaccio,Lyce Laetitia Bonaparte (6200002H),11,4,3,3,2,2,0,0
Angers,Lyce Chevrollier (0490003M),35,0,13,0,13,0,3,0
Argonay,Lyce Louis Lachenal (0740006E),10,0,4,0,4,0,2,0
Armentires,Lyce Gustave Eiffel (0590011S),16,1,2,0,1,0,0,0
Aubervilliers,Lyce Le Corbusier (0930117X),18,1,0,0,0,0,0,0
Avignon,Lyce Philippe de Girard (0840005Z),9,2,0,0,0,0,0,0
Belfort,Lyce Raoul Follereau (0900004R),10,1,5,0,4,0,2,0
Besanon,Lyce Jules Haag (0250011B),11,1,0,0,0,0,0,0
Bordeaux,Lyce Gustave Eiffel (0330028B),40,3,12,1,9,1,3,0
Brest,Lyce La Croix Rouge (0290335G),15,2,1,1,1,1,0,0
Brest,Lyce Vauban (0290012F),9,0,0,0,0,0,0,0
Cachan,Lyce Gustave Eiffel (0940111K),32,2,12,0,6,0,3,0
Caen,Lyce Jules Dumont d'Urville (0142131R),6,1,2,0,2,0,2,0
Chlons-en-Champagne,Lyce Etienne Oehmichen (0510007F),4,3,0,0,0,0,0,0
Chalon-Sur-Sane,Lyce Nicephore Niepce (0710012C),8,0,0,0,0,0,0,0
Champagne-Sur-Seine,Lyce La Fayette (0770920G),11,0,0,0,0,0,0,0
Champigny-Sur-Marne,Lyce Langevin-Wallon (0940113M),18,1,2,0,2,0,1,0
Clichy,Lyce Newton-Enrea (0920136Y),6,0,0,0,0,0,0,0
Cluny,Lyce La Prat's (0710023P),17,1,1,0,1,0,1,0
Dijon,Lyce Gustave Eiffel (0211033J),17,2,1,0,1,0,1,0
Dunkerque,Lyce De L'Europe (0590072H),7,0,0,0,0,0,0,0
Grenoble,Lyce Vaucanson (0380033E),41,1,5,0,4,0,2,0
Le Havre,Lyce Robert Schuman (0760058A),6,1,0,0,0,0,0,0
Le Mans,Lyce Gabriel Touchard (0720033V),11,0,4,0,3,0,2,0
Les Abymes,Lyce Charles Coeffin (9710004C),6,0,0,0,0,0,0,0
Lille,Lyce Csar Baggio (0590121L),20,1,2,0,2,0,1,0
Limoges,Lyce Turgot (0870056N),19,5,3,1,1,1,1,1
Lyon,Lyce La Martinire Monplaisir (0692866R),45,4,14,2,10,0,4,0
Marseille,Lyce Jean Perrin (0130053M),62,9,8,0,8,0,1,0
Massy,Lyce Parc de Vilgenis (0910727W),17,2,1,0,1,0,1,0
Meaux,Lyce Pierre de Coubertin (0770931U),5,1,1,0,1,0,0,0
Metz,Lyce Louis De Cormontaigne (0573227Y),19,2,4,0,4,0,1,0
Monastir,I.P.E.I (99949911),2,0,0,0,0,0,0,0
Montluon,Lyce Paul Constans (0030026M),7,2,2,1,2,1,1,0
Montpellier,Lyce Jean Mermoz (0340042L),25,4,10,2,10,2,5,0
Nancy,Lyce Henri Loritz (0540042C),15,1,4,0,3,0,2,0
Nantes,Lyce Eugne Livet (0440029T),61,8,13,2,13,2,8,2
Nevers,Lyce Jules Renard (0580031U),7,1,4,1,3,1,2,1
Nice,Lyce Les Eucalyptus (0060075Z),37,4,3,0,1,0,0,0
Nimes,Lyce Dhuoda (0300026R),15,2,2,0,2,0,0,0
Nogent sur Oise,Lyce Marie Curie (0600020W),28,4,10,0,10,0,2,0
Nouma,Lyce Jules Garnier (9830003L),12,4,4,1,4,1,2,1
Orlans,Lyce Benjamin Franklin (0450051L),13,1,2,0,1,0,0,0
Paris,Lyce Raspail (0750691U),53,5,5,0,3,0,0,0
Paris,Lyce Voltaire (0750675B),19,3,3,1,2,1,1,0
Paris 8e,Lyce Chaptal (0750663N),30,3,14,2,11,2,3,0
Paris 11e,Lyce Dorian (0750676C),22,2,1,0,1,0,0,0
Paris 16e,Lyce Jean-Baptiste Say (0750700D),36,5,21,3,21,3,10,2
Poitiers,Lyce Louis Armand (0860037Y),6,0,1,0,1,0,0,0
Reims,Lyce F. Roosevelt (0510034K),7,2,0,0,0,0,0,0
Rennes,Lyce Joliot-Curie (0350029S),36,4,7,1,7,1,5,1
Rouen,Lyce Blaise Pascal (0760095R),13,0,3,0,2,0,1,0
Sainte-Clotilde,Lyce Lislet-Geoffroy (9740054R),7,0,0,0,0,0,0,0
Saint-Etienne,Lyce Etienne Mimard (0420046X),32,6,6,0,4,0,0,0
Saint-Sylvain-D'Anjou,Lyce Saint Julien La Baronnerie (0490888Z),11,1,0,0,0,0,0,0
Strasbourg,Lyce Louis Couffignal (0670085D),26,2,3,0,3,0,3,0
Tarbes,Lyce Jean Dupuy (0650027B),12,1,0,0,0,0,0,0
Thiers,Lyce Jean Zay (0630069H),7,0,0,0,0,0,0,0
Toulon,Lyce Rouvire (0830056K),13,2,4,2,3,1,2,1
Toulouse,Lyce Dodat de Sverac (0310044E),23,3,2,0,2,0,0,0
Tours,Lyce J. de Vaucanson (0371418R),5,1,1,0,1,0,0,0
Tunis,IPEI El Manar (99951211),2,0,0,0,0,0,0,0
Valenciennes,Lyce Du Hainaut (0590223X),12,0,0,0,0,0,0,0
Vannes,Lyce Alain Ren Lesage (0560051B),21,4,1,0,0,0,0,0
Versailles,Lyce Jules Ferry (0782565P),64,4,12,0,10,0,3,0
Voiron,Lyce Ferdinand Buisson (0380092U),6,2,5,1,5,1,2,1
