ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,intgres,dont filles
Aix-En-Provence,Lyce Vauvenargues (0130003H),42,2,27,1,24,1,18,1
Ajaccio,Lyce Laetitia Bonaparte (6200002H),18,5,10,3,10,3,2,0
Angers,Lyce Chevrollier (0490003M),39,0,36,0,35,0,22,0
Argonay,Lyce Louis Lachenal (0740006E),23,1,19,1,18,1,8,1
Armentires,Lyce Gustave Eiffel (0590011S),42,2,25,1,18,1,6,0
Aubervilliers,Lyce Le Corbusier (0930117X),32,2,2,0,1,0,0,0
Avignon,Lyce Philippe de Girard (0840005Z),16,2,6,2,6,2,3,2
Belfort,Lyce Raoul Follereau (0900004R),25,2,17,1,16,1,10,1
Besanon,Lyce Jules Haag (0250011B),14,1,6,1,4,1,0,0
Bordeaux,Lyce Gustave Eiffel (0330028B),80,7,64,5,57,5,33,4
Brest,Lyce La Croix Rouge (0290335G),29,4,17,3,17,3,11,3
Brest,Lyce Vauban (0290012F),23,3,9,0,8,0,5,0
Cachan,Lyce Gustave Eiffel (0940111K),36,4,30,0,29,0,18,0
Caen,Lyce Jules Dumont d'Urville (0142131R),17,3,8,0,7,0,2,0
Chlons-en-Champagne,Lyce Etienne Oehmichen (0510007F),9,3,2,2,2,2,2,2
Chalon-Sur-Sane,Lyce Nicephore Niepce (0710012C),11,1,6,0,5,0,3,0
Champagne-Sur-Seine,Lyce La Fayette (0770920G),20,0,7,0,7,0,2,0
Champigny-Sur-Marne,Lyce Langevin-Wallon (0940113M),26,2,9,1,7,1,1,0
Clichy,Lyce Newton-Enrea (0920136Y),19,2,3,0,2,0,0,0
Cluny,Lyce La Prat's (0710023P),24,2,18,1,16,1,9,0
Dijon,Lyce Gustave Eiffel (0211033J),29,2,14,1,14,1,6,1
Dunkerque,Lyce De L'Europe (0590072H),13,0,6,0,6,0,3,0
Grenoble,Lyce Vaucanson (0380033E),56,2,32,1,29,1,10,0
Le Havre,Lyce Robert Schuman (0760058A),14,1,4,1,3,1,2,1
Le Mans,Lyce Gabriel Touchard (0720033V),21,0,12,0,11,0,4,0
Les Abymes,Lyce Charles Coeffin (9710004C),22,1,4,0,2,0,2,0
Lille,Lyce Csar Baggio (0590121L),45,3,18,2,15,2,7,0
Limoges,Lyce Turgot (0870056N),27,6,21,3,19,3,9,0
Lyon,Lyce La Martinire Monplaisir (0692866R),75,7,54,4,48,2,23,1
Marseille,Lyce Jean Perrin (0130053M),80,10,59,8,51,8,35,5
Massy,Lyce Parc de Vilgenis (0910727W),27,2,13,0,7,0,1,0
Meaux,Lyce Pierre de Coubertin (0770931U),10,2,3,0,1,0,1,0
Metz,Lyce Louis De Cormontaigne (0573227Y),36,3,23,1,22,1,11,0
Monastir,I.P.E.I (99949911),3,0,0,0,0,0,0,0
Montluon,Lyce Paul Constans (0030026M),12,2,8,2,7,2,2,1
Montpellier,Lyce Jean Mermoz (0340042L),32,5,28,4,27,4,13,2
Nancy,Lyce Henri Loritz (0540042C),45,5,27,2,24,2,14,1
Nantes,Lyce Eugne Livet (0440029T),77,11,52,4,50,4,27,1
Nevers,Lyce Jules Renard (0580031U),14,0,7,0,7,0,2,0
Nice,Lyce Les Eucalyptus (0060075Z),78,10,39,4,34,2,21,1
Nimes,Lyce Dhuoda (0300026R),25,5,13,2,12,1,6,1
Nogent sur Oise,Lyce Marie Curie (0600020W),34,6,29,4,29,4,17,3
Nouma,Lyce Jules Garnier (9830003L),13,1,9,1,7,1,2,0
Orlans,Lyce Benjamin Franklin (0450051L),34,2,16,0,14,0,8,0
Paris,Lyce Raspail (0750691U),75,8,31,2,29,2,20,2
Paris,Lyce Voltaire (0750675B),39,4,14,3,12,3,5,3
Paris 8e,Lyce Chaptal (0750663N),38,3,31,3,31,3,17,1
Paris 11e,Lyce Dorian (0750676C),30,2,17,0,15,0,10,0
Paris 16e,Lyce Jean-Baptiste Say (0750700D),36,5,35,5,35,5,15,2
Poitiers,Lyce Louis Armand (0860037Y),17,0,13,0,10,0,3,0
Reims,Lyce F. Roosevelt (0510034K),25,3,8,1,6,0,1,0
Rennes,Lyce Joliot-Curie (0350029S),47,7,36,6,34,5,21,0
Rouen,Lyce Blaise Pascal (0760095R),34,1,15,1,12,1,4,0
Sainte-Clotilde,Lyce Lislet-Geoffroy (9740054R),13,1,2,0,0,0,0,0
Saint-Etienne,Lyce Etienne Mimard (0420046X),41,6,22,5,20,4,5,1
Saint-Sylvain-D'Anjou,Lyce Saint Julien La Baronnerie (0490888Z),21,1,3,0,3,0,0,0
Strasbourg,Lyce Louis Couffignal (0670085D),44,4,20,2,20,2,11,0
Tarbes,Lyce Jean Dupuy (0650027B),36,2,18,2,17,2,11,1
Thiers,Lyce Jean Zay (0630069H),21,4,10,1,7,1,0,0
Toulon,Lyce Rouvire (0830056K),28,3,21,2,20,2,13,1
Toulouse,Lyce Dodat de Sverac (0310044E),44,5,32,2,31,2,16,2
Tours,Lyce J. de Vaucanson (0371418R),12,1,9,1,8,1,1,0
Tunis,IPEI El Manar (99951211),4,1,0,0,0,0,0,0
Valenciennes,Lyce Du Hainaut (0590223X),17,1,0,0,0,0,0,0
Vannes,Lyce Alain Ren Lesage (0560051B),33,6,20,3,16,1,10,1
Versailles,Lyce Jules Ferry (0782565P),86,7,59,2,53,2,31,2
Voiron,Lyce Ferdinand Buisson (0380092U),16,2,12,2,12,2,3,1
