ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,intgres,dont filles
Albi,Lyce Louis Rascol (0810004P),30,3,30,3,28,2,19,2
Als,Lyce Jean-Baptiste Dumas - C.T. (0300002P),25,2,22,2,12,1,10,1
Amiens,Lyce Edouard Branly (0801327H),17,5,13,4,10,3,5,1
Aubervilliers,Lyce Le Corbusier (0930117X),25,2,20,1,10,1,5,0
Brive-La-Gaillarde,Lyce Georges Cabanis (0190010H),30,2,23,2,18,1,10,1
Cachan,Lyce Gustave Eiffel (0940111K),20,0,18,0,12,0,7,0
Chambry,Lyce Monge (0730016W),33,0,33,0,27,0,16,0
Clermont-Ferrand,Lyce La Fayette (0630021F),19,0,18,0,16,0,12,0
Colmar,Lyce Blaise Pascal (0680010S),20,0,20,0,19,0,12,0
Dijon,Lyce Gustave Eiffel (0211033J),22,1,22,1,20,1,16,1
Fort-De-France,Lyce Pointe des Ngres (9720004X),8,1,5,1,3,0,1,0
La Rochelle,Lyce Lonce Vieljeux (0170029P),27,1,25,1,22,1,13,1
Lorient,Lyce Saint Joseph Lorient (0560181T),26,1,19,1,13,1,7,1
Lyon,Lyce Edouard Branly (0690128P),20,1,19,1,17,1,11,0
Marseille,Lyce Antonin Artaud (0132733A),22,3,21,3,14,2,9,1
Metz,Lyce Louis Vincent (0570058D),21,0,21,0,19,0,12,0
Mohammedia,LNTA (99927711),16,2,10,0,1,0,1,0
Mohammedia,Omar El Khayyam (99928911),1,1,0,0,0,0,0,0
Montbliard,Lyce Viette (0250032Z),25,2,23,1,11,1,5,1
Oujda,Lyce Omar Ben Abdelaziz (99927611),10,2,7,2,2,1,0,0
Paris,Lyce Raspail (0750691U),27,2,27,2,21,2,7,2
Pau,Lyce Saint-Cricq (0640057P),25,0,25,0,16,0,6,0
Rueil-Malmaison,Lyce Richelieu (0920799U),32,3,32,3,32,3,6,2
Safi,Lyce Technique Al Khawarizmi (99929411),19,4,11,2,4,0,2,0
Saint-Brieuc,Lyce Chaptal (0220058U),17,0,16,0,11,0,8,0
Saint-Nazaire,Lyce Aristide Briand (0440069L),18,1,17,0,17,0,12,0
Saint-Ouen-L'Aumone,Lyce Jean Perrin (0951104J),37,3,32,3,27,3,16,2
Sotteville-Ls-Rouen,Lyce Marcel Sembat (0760110G),29,2,29,2,26,2,15,1
Toulon,Lyce Rouvire (0830056K),20,1,20,1,19,1,12,1
Tourcoing,Lyce Colbert (0590214M),26,2,24,2,16,0,8,0
Troyes,Lyce Les Lombards (0100025Y),26,0,22,0,15,0,10,0
Valenciennes,Lyce Du Hainaut (0590223X),16,2,16,2,10,0,6,0
