ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,intgres,dont filles
Albi,Lyce Louis Rascol (0810004P),31,3,28,2,14,0,7,0
Als,Lyce Jean-Baptiste Dumas - C.T. (0300002P),23,1,15,0,6,0,3,0
Amiens,Lyce Edouard Branly (0801327H),17,5,14,5,1,1,1,1
Aubervilliers,Lyce Le Corbusier (0930117X),25,2,13,0,6,0,3,0
Brive-La-Gaillarde,Lyce Georges Cabanis (0190010H),30,2,13,1,3,0,3,0
Cachan,Lyce Gustave Eiffel (0940111K),20,0,10,0,1,0,0,0
Chambry,Lyce Monge (0730016W),30,0,26,0,9,0,5,0
Clermont-Ferrand,Lyce La Fayette (0630021F),18,0,11,0,7,0,4,0
Colmar,Lyce Blaise Pascal (0680010S),18,0,15,0,11,0,5,0
Dijon,Lyce Gustave Eiffel (0211033J),16,1,13,0,6,0,2,0
Fort-De-France,Lyce Pointe des Ngres (9720004X),7,1,0,0,0,0,0,0
La Rochelle,Lyce Lonce Vieljeux (0170029P),27,1,21,1,12,1,6,0
Lorient,Lyce Saint Joseph Lorient (0560181T),12,1,5,0,4,0,2,0
Lyon,Lyce Edouard Branly (0690128P),19,1,17,1,5,0,3,0
Marseille,Lyce Antonin Artaud (0132733A),21,3,10,0,6,0,2,0
Metz,Lyce Louis Vincent (0570058D),15,0,11,0,7,0,5,0
Mohammedia,LNTA (99927711),4,1,1,0,0,0,0,0
Mohammedia,Omar El Khayyam (99928911),1,1,0,0,0,0,0,0
Montbliard,Lyce Viette (0250032Z),11,0,1,0,1,0,1,0
Oujda,Lyce Omar Ben Abdelaziz (99927611),1,0,0,0,0,0,0,0
Paris,Lyce Raspail (0750691U),27,2,24,2,17,2,9,0
Pau,Lyce Saint-Cricq (0640057P),10,0,8,0,7,0,4,0
Rueil-Malmaison,Lyce Richelieu (0920799U),32,3,31,3,27,2,22,0
Safi,Lyce Technique Al Khawarizmi (99929411),11,0,2,0,1,0,1,0
Saint-Brieuc,Lyce Chaptal (0220058U),12,0,8,0,6,0,4,0
Saint-Nazaire,Lyce Aristide Briand (0440069L),17,1,14,0,8,0,5,0
Saint-Ouen-L'Aumone,Lyce Jean Perrin (0951104J),35,2,24,2,16,1,9,1
Saint-Sylvain-D'Anjou,Lyce Saint Julien La Baronnerie (0490888Z),2,0,0,0,0,0,0,0
Sotteville-Ls-Rouen,Lyce Marcel Sembat (0760110G),22,2,13,1,8,0,4,0
Toulon,Lyce Rouvire (0830056K),20,1,16,0,8,0,4,0
Tourcoing,Lyce Colbert (0590214M),25,2,15,2,5,0,2,0
Troyes,Lyce Les Lombards (0100025Y),26,0,19,0,5,0,4,0
Valenciennes,Lyce Du Hainaut (0590223X),16,2,11,1,4,0,2,0
Versailles,Lyce Jules Ferry (0782565P),2,0,1,0,1,0,1,0
