ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,intgres,dont filles
Albi,Lyce Louis Rascol (0810004P),1,0,0,0,0,0,0,0
Aubervilliers,Lyce Le Corbusier (0930117X),2,0,0,0,0,0,0,0
Clermont-Ferrand,Lyce La Fayette (0630021F),2,0,0,0,0,0,0,0
Colmar,Lyce Blaise Pascal (0680010S),1,0,1,0,1,0,1,0
Lorient,Lyce Saint Joseph Lorient (0560181T),1,0,0,0,0,0,0,0
Paris,Lyce Raspail (0750691U),4,0,3,0,3,0,1,0
Rueil-Malmaison,Lyce Richelieu (0920799U),3,0,1,0,1,0,0,0
Saint-Ouen-L'Aumone,Lyce Jean Perrin (0951104J),1,0,0,0,0,0,0,0
Toulon,Lyce Rouvire (0830056K),1,0,0,0,0,0,0,0
Troyes,Lyce Les Lombards (0100025Y),2,0,0,0,0,0,0,0
Valenciennes,Lyce Du Hainaut (0590223X),1,0,0,0,0,0,0,0
