ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Agadir,Lycée Reda Slaoui (99926811),10,0,1,0,1,0,0,0
Aix-En-Provence,Lycée Militaire (0131596P),3,0,0,0,0,0,0,0
Aix-En-Provence,Lycée Paul Cezanne (0130002G),23,4,3,0,2,0,1,0
AMIENS,Lycée Louis Thuillier (0800009A),35,8,16,3,13,3,3,0
Angers,Lycée Henri Bergson (0491966W),14,3,9,2,8,2,2,1
Angoulême,Lycée Guez De Balzac (0160002R),12,2,5,1,4,1,1,0
Annecy,Lycée Berthollet (0740003B),30,4,15,1,13,1,6,0
Antony,Lycée Sainte Marie (0920904H),33,6,23,3,18,3,8,1
Arras,Lycée Robespierre (0620006V),3,1,1,0,1,0,0,0
Autun,Lycée Militaire National (0711064W),4,0,0,0,0,0,0,0
Besançon,Lycée Victor Hugo (0250007X),36,6,23,4,17,4,8,2
Blois,Lycée Dessaignes (0410002E),9,1,1,0,1,0,0,0
Bordeaux,Lycée Camille Jullian (0330023W),21,6,17,4,12,4,10,3
Bordeaux,Lycée Michel Montaigne (0330021U),121,29,85,19,66,16,29,6
Boulogne-Sur-Mer,Lycée Mariette (0622949U),15,3,3,0,2,0,1,0
Bourg-En-Bresse,Lycée Lalande (0010013J),21,3,4,0,1,0,1,0
Bourges,Lycée Alain-Fournier (0180005H),10,2,4,0,3,0,1,0
Bressuire,Lycée Saint Joseph (0790080H),2,0,0,0,0,0,0,0
Brest,Lycée de Kerichen (0290007A),48,14,28,8,20,7,10,4
Brest,Lycée Naval (0290063L),6,1,0,0,0,0,0,0
Brest,Lycée Sainte Anne (0290338K),2,1,0,0,0,0,0,0
Caen,Lycée Malherbe (0140013N),67,6,28,2,19,1,8,1
Casablanca,ECO SUP GALILEE (99927511),11,3,1,1,1,1,1,1
Casablanca,ECOLE YASSAMINE CALIFORNIE (L0004),1,0,0,0,0,0,0,0
Casablanca,Etablissement Al Bilia (99696011),1,0,0,0,0,0,0,0
Casablanca,Groupe scolaire La Résidence (3500055H),8,4,0,0,0,0,0,0
Casablanca,Lycée Mohamed V (99926411),64,25,10,1,8,1,3,1
Chambéry,Lycée Vaugelas (0730013T),13,1,5,0,4,0,0,0
Chartres,Lycée Marceau (0280007F),16,3,7,2,5,2,2,0
Cherbourg-Octeville,Lycée Victor Grignard (0501828R),20,3,12,2,9,2,5,1
Clermont-Ferrand,Lycée Blaise Pascal (0630018C),66,14,46,10,36,7,13,3
Clermont-Ferrand,Lycée Godefroy De Bouillon (0631068U),6,1,2,0,1,0,1,0
Clermont-Ferrand,Lycée La Fayette (0630021F),15,4,4,1,1,0,0,0
Compiègne,Lycée Pierre d'Ailly (0600014P),6,1,1,0,1,0,1,0
Corenc,ITEC Boisfleury Europe (0381675P),4,1,1,1,0,0,0,0
Dijon,Lycée Carnot (0210015C),67,17,30,5,25,4,14,2
Douai,Lycée Albert Chatelet (0590063Y),18,10,3,0,1,0,0,0
Dunkerque,Lycée Jean Bart (0590071G),9,1,5,0,4,0,1,0
EL JADIDA,classes préparatoires ibn younes (L0007),1,0,0,0,0,0,0,0
Enghien-Les-Bains,Lycée Gustave Monod (0950644J),14,3,4,1,4,1,2,1
Epinal,Lycée Claude Gellee (0880020U),8,1,2,0,2,0,0,0
Evry,Lycée Parc des Loges (0911251R),16,2,6,1,5,0,3,0
Fès,Etablissement Al Cachy (99695011),3,0,1,0,1,0,0,0
Fès,Institution Marie Curie (99926812),2,0,0,0,0,0,0,0
Fès,Lycée Moulay Idriss (99926711),25,7,10,3,5,2,3,2
Fès,Prépas Al Khayyam (99694011),1,0,0,0,0,0,0,0
Fontainebleau,Lycée François 1er (0770927P),30,7,13,5,10,4,5,2
Forbach,Lycée Jean Moulin (0570029X),12,1,3,0,1,0,0,0
Fort-De-France,Lycée Bellevue (9720003W),7,1,3,0,3,0,0,0
Grenoble,Lycée Champollion (0380027Y),63,18,42,11,33,9,16,8
Jarville-La-Malgrange,Lycée La Malgrange (0541986R),5,2,1,0,1,0,0,0
La Flèche,Prytanée National Militaire (0720896H),13,0,4,0,4,0,0,0
La Rochelle,Lycée Jean Dautet (0170028N),14,3,6,1,5,1,0,0
La Roche-Sur-Yon,Lycée Saint Joseph (0850083D),4,1,2,0,0,0,0,0
Le Havre,Lycée François 1er (0760052U),21,6,10,1,6,0,3,0
Le Mans,Lycée Montesquieu (0720029R),10,0,3,0,3,0,2,0
Le Raincy,Lycée Albert Schweitzer (0930830X),29,9,18,6,14,5,4,0
Lens,Lycée Condorcet (0620108F),1,0,0,0,0,0,0,0
Lille,Lycée Faidherbe (0590119J),103,17,72,10,59,9,20,3
Limoges,Lycée Gay-Lussac (0870015U),13,2,9,2,7,2,1,0
Lorient,Lycée Dupuy De Lôme (0560025Y),10,1,5,0,5,0,3,0
Lyon,Lycée aux Lazaristes (0690522T),38,12,35,10,33,9,10,1
Lyon,Lycée du Parc (0690026D),125,30,106,25,92,22,34,8
Lyon,Lycée Jean Perrin (0690082P),12,4,7,1,5,0,1,0
Lyon,Lycée La Martinière Monplaisir (0692866R),50,11,24,5,18,4,5,2
Mantes-La-Jolie,Lycée Saint Exupéry (0782539L),4,0,4,0,3,0,1,0
Marrakech,CPGE privée Koutoubia-Prépas (99697011),1,0,0,0,0,0,0,0
Marrakech,Lycée Ibnou Taimiya (99926511),2,1,0,0,0,0,0,0
Marseille,Lycée Notre Dame de Sion (0131341M),6,0,0,0,0,0,0,0
Marseille,Lycée Thiers (0130040Y),101,11,62,7,48,4,18,1
Maubeuge,Lycée Notre-Dame De Grâce (0592916Z),2,1,1,0,1,0,1,0
Meknès,CARNOT PREPAS (L0006),2,0,0,0,0,0,0,0
Meknès,Lycée Omar Ibn El Khattab CPGE (99928611),2,0,1,0,0,0,0,0
Melun,Lycée Jacques Amyot (0770933W),18,3,10,3,5,2,0,0
Metz,Lycée Fabert (0570054Z),46,11,29,5,23,4,11,3
Mohammedia,LNTA (99927711),7,1,0,0,0,0,0,0
Mohammedia,Omar El Khayyam (99928911),1,0,0,0,0,0,0,0
Montpellier,Lycée Joffre (0340038G),68,15,38,9,29,7,6,2
Montpellier,Lycée Notre Dame de La Merci (0340881Y),7,1,3,0,0,0,0,0
Mulhouse,Lycée Albert Schweitzer (0680031P),35,6,16,1,14,1,5,0
Nabeul,IPEIN (99950811),1,1,0,0,0,0,0,0
Nancy,Lycée Henri Poincaré (0540038Y),69,20,39,8,30,6,12,3
Nantes,Lycée Clémenceau (0440021J),68,19,54,14,43,13,12,4
Nantes,Lycée Saint Stanislas (0440163N),23,3,7,1,5,1,0,0
Neuilly-Sur-Seine,Lycée Louis Pasteur (0920142E),78,20,60,12,53,11,16,3
Nice,Lycée Massena (0060030A),69,15,45,7,35,5,7,0
Nimes,Lycée Alphonse Daudet (0300021K),33,9,11,1,7,0,5,0
Orléans,Lycée Pothier (0450049J),78,12,48,6,35,4,14,1
Orléans,Lycée Saint Charles (0450110A),7,0,1,0,0,0,0,0
Orsay,Lycée Blaise Pascal (0910626L),34,8,28,8,25,6,15,4
Oujda,Lycée Omar Ben Abdelaziz (99927611),5,1,1,0,0,0,0,0
Oujda,Médiane Sup (99926815),1,0,0,0,0,0,0,0
Oujda,Pythagore Prépas (99700011),1,0,0,0,0,0,0,0
Paris,Lycée Jacques Decour (0750668U),23,6,10,3,9,3,0,0
Paris,Lycée Paul Valery (0750679F),25,5,8,0,5,0,1,0
Paris,Lycée Stanislas (0753840S),73,8,58,7,56,7,19,1
Paris 4e,Lycée Charlemagne (0750652B),84,22,65,14,55,13,23,4
Paris 5e,Lycée Henri IV (0750654D),81,23,74,21,62,19,21,4
Paris 5e,Lycée Louis Le Grand (0750655E),172,39,139,33,128,32,29,10
Paris 6e,Lycée Fénelon (0750660K),66,17,45,10,34,7,14,4
Paris 6e,Lycée Saint-Louis (0750658H),160,57,129,44,111,37,34,11
Paris 8e,Lycée Chaptal (0750663N),55,11,31,7,22,5,7,1
Paris 8e,Lycée Fénelon Sainte-Marie (0753873C),46,8,30,6,22,2,6,0
Paris 9e,Lycée Condorcet (0750667T),63,15,46,9,39,8,11,2
Paris 13e,ENCPB (0750685M),14,3,6,0,5,0,0,0
Paris 15e,Lycée Buffon (0750693W),31,7,21,6,16,3,7,2
Paris 16e,Lycée Claude Bernard (0750698B),15,4,4,0,1,0,0,0
Paris 16e,Lycée Janson de Sailly (0750699C),152,32,113,24,93,18,37,5
Pau,Lycée Louis Barthou (0640055M),24,6,15,3,5,1,0,0
Perpignan,Lycée François Arago (0660010C),26,7,7,1,1,0,1,0
Pointe-à-Pitre,L.G.T.Baimbridge (9710003B),11,5,1,0,1,0,0,0
Poitiers,Lycée Camille Guérin (0860035W),49,10,28,9,22,6,7,2
Pontoise,Lycée Camille Pissarro (0950649P),13,3,2,1,1,1,1,1
Rabat,High Tech (99927812),2,2,0,0,0,0,0,0
Rabat,Lycée Ibn Al Ghazhi (99951011),4,0,2,0,1,0,1,0
Rabat,Lycée Moulay Youssef (99926611),28,8,8,1,6,1,3,0
Rabat,Lycée privé Al Khawarizmi CPGE (99928311),16,3,1,0,0,0,0,0
Reims,Lycée Clémenceau (0510031G),51,8,25,3,14,3,0,0
Rennes,Lycée Chateaubriand (0350710G),82,26,50,18,34,11,16,5
Roubaix,Lycée privé Saint Rémi (0592921E),5,0,1,0,1,0,1,0
Rouen,Lycée Pierre Corneille (0760090K),68,19,43,12,39,11,9,3
Saint-Brieuc,Lycée Francois Rabelais (0220056S),14,0,4,0,4,0,2,0
Saint-Cyr-L'Ecole,Lycée Militaire (0780015T),2,0,2,0,2,0,0,0
Saint-Denis,Lycée Paul Eluard (0930125F),4,0,1,0,1,0,1,0
Sainte-Clotilde,Lycée Leconte de Lisle (9740001H),24,4,17,2,14,1,7,0
Saint-Etienne,Lycée Claude Fauriel (0420041S),44,16,25,7,19,6,6,4
Saint-Germain-en-Laye,Lycée Jeanne D'Albret (0782132U),17,6,10,3,7,2,0,0
Saint-Ismier,Ecole des Pupilles de L'Air (0381513N),1,1,0,0,0,0,0,0
Saint-Maur-Des-Fosses,Lycée Marcelin Berthelot (0940120V),59,16,38,8,31,6,10,2
Savigny-Sur-Orge,Lycée Jean Baptiste Corot (0910627M),41,12,18,3,15,1,4,1
Sceaux,Lycée Lakanal (0920145H),34,6,23,5,18,4,7,2
Strasbourg,Lycée Kleber (0670080Y),114,29,83,19,71,13,26,5
Tanger,Centre Pédagogique Régional (99926911),3,0,2,0,2,0,2,0
Toulon,Lycée Dumont D'Urville (0830053G),9,0,2,0,1,0,0,0
Toulouse,Lycée Bellevue (0310038Y),11,4,5,2,5,2,2,1
Toulouse,Lycée Pierre de Fermat (0310036W),110,14,88,10,74,10,33,4
Tours,Lycée Descartes (0370035M),57,10,32,7,26,5,14,3
Troyes,Lycée Chrestien De Troyes (0100022V),6,1,2,1,0,0,0,0
Tunis,I.P.E.I.T (99922211),2,0,2,0,2,0,2,0
Valbonne,C.I.V. Valbonne (0061642C),17,4,6,2,3,1,1,0
Valence,Lycée Camille Vernet (0260035X),5,1,1,0,1,0,1,0
Valenciennes,Lycée Henri Wallon (0590221V),69,17,42,11,37,8,15,4
Vannes,Lycée Alain René Lesage (0560051B),12,1,2,0,0,0,0,0
Vanves,Lycée Michelet (0920149M),26,7,13,1,11,1,4,1
Versailles,Lycée Hoche (0782562L),75,27,69,24,67,24,27,17
Versailles,Lycée Sainte Geneviève (0783053V),122,22,121,22,119,22,41,9
