ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Agadir,Etablissement Socrate (99698011),6,1,3,1,3,1,3,1
Agadir,Groupe scolaire Al Qalam (99693001),11,3,8,2,6,1,4,1
Agadir,Lycée Reda Slaoui (99926811),20,8,12,3,6,3,4,2
Aix-En-Provence,Lycée Militaire (0131596P),19,2,15,1,15,1,0,0
Aix-En-Provence,Lycée Paul Cezanne (0130002G),24,7,24,7,22,6,6,2
AMIENS,Lycée Louis Thuillier (0800009A),28,4,22,3,14,0,4,0
Angers,Lycée Henri Bergson (0491966W),15,5,14,5,10,5,1,0
Angoulême,Lycée Guez De Balzac (0160002R),27,5,18,3,13,3,3,0
Annecy,Lycée Berthollet (0740003B),30,8,27,7,15,5,4,0
Antony,Lycée Sainte Marie (0920904H),33,6,31,6,26,5,5,1
Arras,Lycée Robespierre (0620006V),12,2,10,1,8,1,3,1
Autun,Lycée Militaire National (0711064W),6,2,4,1,4,1,1,0
Besançon,Lycée Victor Hugo (0250007X),27,9,25,8,23,8,8,1
Blois,Lycée Dessaignes (0410002E),18,5,16,5,12,3,7,2
Bordeaux,Lycée Camille Jullian (0330023W),12,6,11,6,10,5,2,2
Bordeaux,Lycée Michel Montaigne (0330021U),54,22,47,18,42,14,6,4
Boulogne-Sur-Mer,Lycée Mariette (0622949U),33,15,21,9,17,6,7,5
Bourg-En-Bresse,Lycée Lalande (0010013J),34,8,32,8,31,8,14,3
Bourges,Lycée Alain-Fournier (0180005H),21,8,15,5,15,5,6,4
Bressuire,Lycée Saint Joseph (0790080H),13,3,10,3,6,1,3,0
Brest,Lycée de Kerichen (0290007A),46,20,45,20,39,16,9,4
Brest,Lycée Naval (0290063L),11,2,8,2,8,2,2,0
Brest,Lycée Sainte Anne (0290338K),17,5,13,2,11,2,4,0
Caen,Lycée Malherbe (0140013N),63,14,58,13,51,10,16,3
Casablanca,ECO SUP GALILEE (99927511),46,15,19,6,9,3,6,3
Casablanca,ECOLE YASSAMINE CALIFORNIE (L0004),5,2,4,2,2,1,2,1
Casablanca,Etablissement Al Bilia (99696011),6,1,3,0,3,0,2,0
Casablanca,Groupe scolaire La Résidence (3500055H),21,7,18,5,10,4,7,2
Casablanca,Lycée Mohamed V (99926411),15,4,13,4,13,4,8,2
Chambéry,Lycée Vaugelas (0730013T),35,9,33,9,31,9,13,4
Chartres,Lycée Marceau (0280007F),17,6,13,5,12,5,5,3
Cherbourg-Octeville,Lycée Victor Grignard (0501828R),18,4,17,4,17,4,4,2
Clermont-Ferrand,Lycée Blaise Pascal (0630018C),31,10,26,10,25,10,6,3
Clermont-Ferrand,Lycée Godefroy De Bouillon (0631068U),20,3,19,3,15,2,8,1
Clermont-Ferrand,Lycée La Fayette (0630021F),21,9,15,5,12,4,5,2
Compiègne,Lycée Pierre d'Ailly (0600014P),19,4,18,4,15,4,7,1
Corenc,ITEC Boisfleury Europe (0381675P),12,4,12,4,9,3,3,0
Dijon,Lycée Carnot (0210015C),42,15,39,15,32,13,5,2
Douai,Lycée Albert Chatelet (0590063Y),21,10,16,9,12,6,4,1
Dunkerque,Lycée Jean Bart (0590071G),17,3,15,3,11,2,4,2
EL JADIDA,classes préparatoires ibn younes (L0007),4,2,2,2,1,1,1,1
Enghien-Les-Bains,Lycée Gustave Monod (0950644J),25,5,23,5,21,5,5,2
Epinal,Lycée Claude Gellee (0880020U),18,5,16,4,12,3,5,1
Evry,Lycée Parc des Loges (0911251R),25,3,24,3,24,3,10,0
Fès,Etablissement Al Cachy (99695011),22,9,12,4,11,3,9,2
Fès,Institution Marie Curie (99926812),7,2,5,2,3,1,3,1
Fès,Lycée Moulay Idriss (99926711),1,0,1,0,1,0,0,0
Fontainebleau,Lycée François 1er (0770927P),35,11,32,11,29,10,7,4
Forbach,Lycée Jean Moulin (0570029X),36,6,27,5,22,4,10,2
Fort-De-France,Lycée Bellevue (9720003W),21,7,20,7,16,6,13,6
Grenoble,Lycée Champollion (0380027Y),37,19,35,19,29,16,5,0
Jarville-La-Malgrange,Lycée La Malgrange (0541986R),15,4,11,2,8,2,2,0
Khouribga,CPGE Ibn Abdoune (99699011),2,0,1,0,1,0,0,0
La Flèche,Prytanée National Militaire (0720896H),6,0,4,0,4,0,0,0
La Rochelle,Lycée Jean Dautet (0170028N),15,3,9,2,8,2,4,0
La Roche-Sur-Yon,Lycée Saint Joseph (0850083D),13,3,12,3,9,3,2,2
Laayoune,Lyssane Eddine Ibn Al Khattib (99936811),1,0,0,0,0,0,0,0
Le Havre,Lycée François 1er (0760052U),30,11,21,7,16,5,6,3
Le Mans,Lycée Montesquieu (0720029R),16,4,12,3,8,3,5,2
Le Raincy,Lycée Albert Schweitzer (0930830X),27,9,23,8,23,8,6,0
Lens,Lycée Condorcet (0620108F),8,1,8,1,7,1,3,1
Libreville,Lycée LEON MBA (99928511),23,11,23,11,20,11,14,8
Lille,Lycée Faidherbe (0590119J),50,14,43,13,39,11,6,3
Limoges,Lycée Gay-Lussac (0870015U),27,9,24,8,16,5,4,0
Lorient,Lycée Dupuy De Lôme (0560025Y),11,2,9,1,9,1,2,1
Lyon,Lycée aux Lazaristes (0690522T),8,6,6,5,6,5,1,1
Lyon,Lycée du Parc (0690026D),26,13,20,11,19,10,2,1
Lyon,Lycée Jean Perrin (0690082P),17,8,16,8,11,5,3,2
Lyon,Lycée La Martinière Monplaisir (0692866R),29,10,29,10,26,8,7,1
Mantes-La-Jolie,Lycée Saint Exupéry (0782539L),18,6,14,6,12,6,8,5
Marrakech,CPGE privée Koutoubia-Prépas (99697011),1,1,0,0,0,0,0,0
Marrakech,Lycée El Amrani II (3500006D),1,1,0,0,0,0,0,0
Marrakech,Lycée Ibnou Taimiya (99926511),1,1,1,1,1,1,1,1
Marrakech,Menara-Prépas (99928811),8,0,3,0,3,0,3,0
Marseille,Lycée Notre Dame de Sion (0131341M),23,4,16,2,11,2,9,1
Marseille,Lycée Thiers (0130040Y),58,10,49,9,46,9,5,2
Maubeuge,Lycée Notre-Dame De Grâce (0592916Z),12,4,11,3,9,3,6,2
