ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Aix-En-Provence,Lycée Militaire (0131596P),33,3,29,3,24,3,5,1
Aix-En-Provence,Lycée Vauvenargues (0130003H),37,10,33,9,31,9,11,2
Ajaccio,Lycée Laetitia Bonaparte (6200002H),8,0,7,0,6,0,0,0
Albi,Lycée Laperouse (0810006S),12,2,10,1,9,1,2,0
AMIENS,Lycée Louis Thuillier (0800009A),26,4,21,3,14,1,5,0
Angers,Lycée Henri Bergson (0491966W),32,7,26,5,23,4,7,1
Angers,Lycée Saint-Martin (0490824E),17,3,15,2,11,2,6,2
Annecy,Lycée Berthollet (0740003B),21,6,21,6,18,6,4,1
Arras,Lycée Robespierre (0620006V),26,6,22,6,17,5,4,0
Auxerre,Lycée Jacques Amyot (0890003V),17,2,13,1,8,0,5,0
Avignon,Lycée Frédéric Mistral (0840003X),37,6,32,5,25,4,16,2
Balma,Lycée Saliège (0312408Z),36,7,31,6,22,3,8,2
Belfort,Lycée Condorcet (0900002N),14,3,6,1,6,1,1,0
Besançon,Lycée Victor Hugo (0250007X),32,7,26,6,23,6,10,2
Bordeaux,Lycée Gustave Eiffel (0330028B),69,9,61,8,54,8,21,3
Bordeaux,Lycée Michel Montaigne (0330021U),65,17,48,14,41,12,4,0
Brest,Lycée La Croix Rouge (0290335G),1,0,0,0,0,0,0,0
Brest,Lycée Naval (0290063L),14,2,12,1,8,0,2,0
Brest,Lycée Sainte Anne (0290338K),17,1,13,1,11,1,3,0
Brest,Lycée Vauban (0290012F),46,12,40,12,39,12,9,4
Caen,Lycée Victor Hugo (0142059M),34,7,30,7,28,6,4,0
Cannes,Lycée Stanislas (0060673Z),32,8,26,7,21,6,7,2
Casablanca,Etablissement Al Bilia (99696011),10,1,2,0,2,0,2,0
Casablanca,Groupe scolaire La Résidence (3500055H),7,1,3,0,1,0,1,0
Casablanca,Lycée Mohamed V (99926411),12,1,3,0,1,0,0,0
Chambéry,Lycée Vaugelas (0730013T),40,11,31,9,27,8,14,3
Champagne-Sur-Seine,Lycée La Fayette (0770920G),20,2,15,2,12,0,3,0
Clermont-Ferrand,Lycée Blaise Pascal (0630018C),32,5,31,5,28,5,5,0
Clermont-Ferrand,Lycée La Fayette (0630021F),39,8,32,5,30,5,11,2
Dijon,Lycée Carnot (0210015C),26,5,23,5,18,5,4,0
Dijon,Lycée Gustave Eiffel (0211033J),25,2,21,2,21,2,10,1
Douai,Lycée Albert Chatelet (0590063Y),39,8,33,7,26,6,5,0
