ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Aix-En-Provence,Lycée Militaire (0131596P),1,0,0,0,0,0,0,0
Aix-En-Provence,Lycée Paul Cezanne (0130002G),1,0,0,0,0,0,0,0
AMIENS,Lycée Louis Thuillier (0800009A),2,0,0,0,0,0,0,0
Angoulême,Lycée Guez De Balzac (0160002R),2,0,0,0,0,0,0,0
Annecy,Lycée Berthollet (0740003B),10,2,1,1,1,1,1,1
Antony,Lycée Sainte Marie (0920904H),2,0,0,0,0,0,0,0
Autun,Lycée Militaire National (0711064W),2,0,0,0,0,0,0,0
BESANCON,Lycée Victor Hugo (0250007X),16,1,3,0,1,0,0,0
Blois,Lycée Dessaignes (0410002E),1,0,0,0,0,0,0,0
Bordeaux,Lycée Camille Jullian (0330023W),1,0,0,0,0,0,0,0
Bordeaux,Lycée Michel Montaigne (0330021U),38,7,7,0,3,0,3,0
Boulogne-Sur-Mer,Lycée Mariette (0622949U),1,0,0,0,0,0,0,0
Brest,Lycée de Kerichen (0290007A),10,1,2,0,1,0,1,0
Brest,Lycée Sainte Anne (0290338K),1,0,0,0,0,0,0,0
Caen,Lycée Malherbe (0140013N),11,0,5,0,4,0,1,0
Chartres,Lycée Marceau (0280007F),1,0,0,0,0,0,0,0
Cherbourg-Octeville,Lycée Victor Grignard (0501828R),8,3,1,0,0,0,0,0
Clermont-Ferrand,Lycée Blaise Pascal (0630018C),14,0,1,0,1,0,0,0
Dijon,Lycée Carnot (0210015C),19,2,1,0,0,0,0,0
Douai,Lycée Albert Chatelet (0590063Y),3,0,1,0,0,0,0,0
Enghien-Les-Bains,Lycée Gustave Monod (0950644J),2,0,0,0,0,0,0,0
Evry,Lycée Parc des Loges (0911251R),3,0,2,0,0,0,0,0
Fès,Lycée Moulay Idriss (99926711),0,0,1,0,1,0,1,0
Fontainebleau,Lycée François 1er (0770927P),6,2,0,0,0,0,0,0
Fort-De-France,Lycée Bellevue (9720003W),1,0,0,0,0,0,0,0
Grenoble,Lycée Champollion (0380027Y),28,4,6,0,4,0,4,0
La Flèche,Prytanée National Militaire (0720896H),24,2,0,0,0,0,0,0
Le Mans,Lycée Montesquieu (0720029R),2,0,0,0,0,0,0,0
Le Raincy,Lycée Albert Schweitzer (0930830X),6,0,0,0,0,0,0,0
Lille,Lycée Faidherbe (0590119J),39,5,4,0,3,0,1,0
Limoges,Lycée Gay-Lussac (0870015U),2,1,0,0,0,0,0,0
Lorient,Lycée Dupuy De Lôme (0560025Y),1,0,0,0,0,0,0,0
Lyon,Institution des Chartreux (0690564N),1,0,0,0,0,0,0,0
Lyon,Lycée aux Lazaristes (0690522T),23,3,5,0,4,0,4,0
Lyon,Lycée du Parc (0690026D),73,10,33,1,23,1,15,0
Lyon,Lycée Jean Perrin (0690082P),1,0,0,0,0,0,0,0
Lyon,Lycée La Martinière Monplaisir (0692866R),11,2,4,0,3,0,2,0
Marrakech,Lycée Ibnou Taimiya (99926511),0,0,1,0,1,0,1,0
Marseille,Lycée Notre Dame de Sion (0131341M),1,0,0,0,0,0,0,0
Marseille,Lycée Thiers (0130040Y),40,8,7,1,4,0,1,0
Melun,Lycée Jacques Amyot (0770933W),2,0,0,0,0,0,0,0
Metz,Lycée Fabert (0570054Z),7,0,1,0,1,0,1,0
Montpellier,Lycée Joffre (0340038G),37,3,3,0,2,0,1,0
Montpellier,Lycée Notre Dame de La Merci (0340881Y),1,0,0,0,0,0,0,0
Mulhouse,Lycée Albert Schweitzer (0680031P),8,0,2,0,1,0,0,0
Nancy,Lycée Henri Poincaré (0540038Y),20,1,2,0,1,0,0,0
Nantes,Lycée Clémenceau (0440021J),34,4,7,1,6,1,4,0
Nantes,Lycée Saint Stanislas (0440163N),6,0,0,0,0,0,0,0
Neuilly-Sur-Seine,Lycée Louis Pasteur (0920142E),53,10,7,0,7,0,5,0
Nice,Lycée Massena (0060030A),32,3,3,1,3,1,3,1
Nimes,Lycée Alphonse Daudet (0300021K),1,0,0,0,0,0,0,0
Orléans,Lycée Pothier (0450049J),19,2,4,1,3,1,1,0
Orsay,Lycée Blaise Pascal (0910626L),16,0,6,0,5,0,5,0
Paris,Lycée Jacques Decour (0750668U),4,0,0,0,0,0,0,0
Paris,Lycée Paul Valery (0750679F),4,1,0,0,0,0,0,0
Paris,Lycée Stanislas (0753840S),50,10,15,0,13,0,10,0
Paris 4e,Lycée Charlemagne (0750652B),52,9,4,1,4,1,3,0
Paris 5e,Lycée Henri IV (0750654D),71,24,21,3,19,3,15,3
Paris 5e,Lycée Louis Le Grand (0750655E),148,37,65,13,55,12,37,9
Paris 6e,Lycée Fénelon (0750660K),22,3,3,0,1,0,1,0
Paris 6e,Lycée Saint-Louis (0750658H),106,23,24,3,16,3,12,1
Paris 8e,Lycée Chaptal (0750663N),21,3,3,0,2,0,2,0
Paris 8e,Lycée Fénelon Sainte-Marie (0753873C),14,1,2,0,1,0,0,0
Paris 9e,Lycée Condorcet (0750667T),40,8,7,0,5,0,5,0
Paris 13e,ENCPB (0750685M),1,0,0,0,0,0,0,0
Paris 15e,Lycée Buffon (0750693W),9,1,0,0,0,0,0,0
Paris 16e,Lycée Claude Bernard (0750698B),1,0,0,0,0,0,0,0
Paris 16e,Lycée Janson de Sailly (0750699C),50,10,5,0,4,0,2,0
Pau,Lycée Louis Barthou (0640055M),1,0,1,0,0,0,0,0
Perpignan,Lycée François Arago (0660010C),1,0,1,0,1,0,1,0
Poitiers,Lycée Camille Guérin (0860035W),10,1,2,0,1,0,1,0
Rabat,Lycée Moulay Youssef (99926611),0,0,5,0,5,0,4,0
Reims,Lycée Clémenceau (0510031G),9,0,0,0,0,0,0,0
Rennes,Lycée Chateaubriand (0350710G),27,3,8,0,6,0,6,0
Rouen,Lycée Pierre Corneille (0760090K),36,6,2,0,1,0,1,0
Saint-Cyr-L'Ecole,Lycée Militaire (0780015T),2,0,0,0,0,0,0,0
Saint-Etienne,Lycée Claude Fauriel (0420041S),8,2,1,0,0,0,0,0
Saint-Germain-en-Laye,Lycée Jeanne D'Albret (0782132U),1,1,0,0,0,0,0,0
Saint-Ismier,Ecole des Pupilles de L'Air (0381513N),6,0,0,0,0,0,0,0
Saint-Maur-Des-Fosses,Lycée Marcelin Berthelot (0940120V),27,6,3,0,3,0,3,0
Savigny-Sur-Orge,Lycée Jean Baptiste Corot (0910627M),6,1,0,0,0,0,0,0
Sceaux,Lycée Lakanal (0920145H),8,3,0,0,0,0,0,0
Strasbourg,Lycée Kleber (0670080Y),44,7,6,0,6,0,5,0
Taza,Lycée Technique de Taza (3500052E),1,0,0,0,0,0,0,0
Toulouse,Lycée Bellevue (0310038Y),7,1,0,0,0,0,0,0
Toulouse,Lycée Pierre de Fermat (0310036W),54,8,13,0,9,0,6,0
Tours,Lycée Descartes (0370035M),13,2,5,1,2,1,1,1
Tunis,IPEST (99926211),1,0,3,0,3,0,3,0
Valbonne,C.I.V. Valbonne (0061642C),5,0,0,0,0,0,0,0
Valenciennes,Lycée Henri Wallon (0590221V),13,1,1,0,0,0,0,0
Vanves,Lycée Michelet (0920149M),9,1,1,0,1,0,0,0
Versailles,Lycée Hoche (0782562L),51,7,13,2,11,2,9,2
Versailles,Lycée Sainte Geneviève (0783053V),87,18,40,4,39,4,32,3
