ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Aix-En-Provence,Lycée Militaire (0131596P),30,9,27,8,24,8,19,5
Aix-En-Provence,Lycée Paul Cezanne (0130002G),86,39,84,38,74,36,42,24
Albi,Lycée Laperouse (0810006S),22,11,20,11,16,10,8,4
AMIENS,Lycée Louis Thuillier (0800009A),47,11,37,11,30,8,18,6
Angers,Lycée Henri Bergson (0491966W),25,8,19,5,18,5,7,2
Annecy,Lycée Berthollet (0740003B),60,14,47,12,35,9,17,5
Antony,Lycée Sainte Marie (0920904H),29,7,26,7,22,6,7,2
Arras,Lycée Robespierre (0620006V),18,5,8,3,5,2,2,0
Avignon,Lycée Saint Joseph (0840072X),25,6,16,5,14,5,4,1
Balma,Lycée Saliège (0312408Z),87,21,69,15,57,13,18,4
Bayonne,Lycée René Cassin (0640010N),33,8,29,7,25,6,14,3
Belfort,Lycée Condorcet (0900002N),20,8,14,5,12,4,6,2
BESANCON,Lycée Victor Hugo (0250007X),49,22,46,20,43,19,22,11
Bordeaux,Lycée Camille Jullian (0330023W),42,13,40,13,22,5,11,2
Bordeaux,Lycée Michel Montaigne (0330021U),67,28,62,25,57,24,28,17
Bourg-En-Bresse,Lycée Lalande (0010013J),33,9,22,5,20,4,11,2
Bourges,Lycée Alain-Fournier (0180005H),20,5,12,1,10,1,5,0
Brest,Lycée de Kerichen (0290007A),46,20,34,15,27,12,10,5
Brest,Lycée Sainte Anne (0290338K),28,8,23,7,20,6,12,3
Caen,Lycée Privé Sainte-Marie (0141164P),14,3,5,2,1,1,1,1
Caen,Lycée Victor Hugo (0142059M),59,10,42,7,39,7,26,5
Chartres,Lycée Marceau (0280007F),27,7,21,6,17,6,10,4
Clermont-Ferrand,Lycée Blaise Pascal (0630018C),54,18,51,17,50,16,23,8
Compiègne,Lycée Pierre d'Ailly (0600014P),25,9,17,7,12,6,8,4
Corenc,ITEC Boisfleury Europe (0381675P),8,4,2,1,1,0,0,0
Dijon,Lycée Carnot (0210015C),53,25,47,23,41,20,20,8
Douai,Lycée Albert Chatelet (0590063Y),34,17,27,13,21,10,11,3
Dunkerque,Lycée Jean Bart (0590071G),23,10,13,4,9,2,8,2
Enghien-Les-Bains,Lycée Gustave Monod (0950644J),13,4,7,3,7,3,5,2
Evreux,Lycée Aristide Briand (0270016W),35,13,21,6,19,5,10,1
Fontainebleau,Lycée François 1er (0770927P),38,12,25,10,21,9,10,5
Fort-De-France,Lycée Bellevue (9720003W),21,11,10,5,5,2,2,1
Grenoble,Lycée Champollion (0380027Y),78,34,72,32,64,29,26,15
Kairouan,Institut supérieur des mathématiques appliquées et de l'informatique (U0001),1,1,0,0,0,0,0,0
La Flèche,Prytanée National Militaire (0720896H),13,2,8,1,6,1,4,0
La Rochelle,Lycée Jean Dautet (0170028N),20,4,10,1,7,1,6,1
La Roche-Sur-Yon,Lycée Pierre Mendès-France (0850025R),9,5,7,4,7,4,4,1
La Roche-Sur-Yon,Lycée Saint Joseph (0850083D),13,4,5,2,3,2,2,1
Le Havre,Lycée François 1er (0760052U),18,4,10,1,7,1,3,0
Le Mans,Lycée Montesquieu (0720029R),32,11,30,10,27,10,12,6
Le Raincy,Lycée Albert Schweitzer (0930830X),21,7,13,6,10,4,2,1
Lille,Lycée Catholique Saint Pierre (0593117T),1,0,0,0,0,0,0,0
Lille,Lycée Faidherbe (0590119J),89,28,78,24,71,21,19,8
Limoges,Lycée Gay-Lussac (0870015U),42,15,38,13,33,13,17,9
Lorient,Lycée Dupuy De Lôme (0560025Y),22,6,14,4,12,4,7,2
Lyon,Institution des Chartreux (0690564N),7,1,0,0,0,0,0,0
Lyon,Lycée aux Lazaristes (0690522T),19,5,19,5,16,5,3,2
Lyon,Lycée du Parc (0690026D),117,41,110,40,87,37,15,9
Lyon,Lycée Jean Perrin (0690082P),27,13,24,12,19,9,13,5
Lyon,Lycée La Martinière Monplaisir (0692866R),48,22,48,22,46,22,23,16
Marseille,Lycée Thiers (0130040Y),65,26,54,22,48,19,12,8
Melun,Lycée Jacques Amyot (0770933W),27,9,15,4,11,4,6,3
Metz,Lycée Fabert (0570054Z),62,21,50,20,39,17,17,7
MONTIGNY-LE-BRETONNEUX,Lycée Descartes (0781512V),10,4,8,4,7,3,4,3
Montpellier,Lycée Joffre (0340038G),65,25,61,22,52,17,24,8
Mulhouse,Lycée Albert Schweitzer (0680031P),27,11,12,5,10,5,5,3
Nabeul,IPEIN (99950811),1,0,0,0,0,0,0,0
Nancy,Lycée Henri Poincaré (0540038Y),102,27,89,24,80,24,40,12
Nantes,Lycée Clémenceau (0440021J),84,29,81,29,72,25,31,14
Nantes,Lycée Saint Stanislas (0440163N),35,8,25,7,23,7,15,5
Neuilly-Sur-Seine,Lycée Louis Pasteur (0920142E),61,22,60,22,51,21,12,7
Nice,Lycée Massena (0060030A),67,20,66,20,63,20,22,9
Nimes,Lycée Alphonse Daudet (0300021K),36,12,19,6,14,6,8,4
Orléans,Lycée Pothier (0450049J),65,25,47,19,40,16,22,11
Orléans,Lycée Saint Charles (0450110A),4,2,1,0,1,0,1,0
Orsay,Lycée Blaise Pascal (0910626L),29,8,29,8,29,8,15,5
Paris,Lycée Honoré De Balzac (0750705J),35,9,25,6,15,6,6,3
Paris,Lycée Jacques Decour (0750668U),35,13,33,12,28,12,8,6
Paris,Lycée Stanislas (0753840S),42,13,32,11,26,11,3,1
Paris 3e,Lycée Turgot (0750647W),32,9,23,5,16,5,4,1
Paris 4e,IPESUP (0753144K),12,4,12,4,12,4,0,0
Paris 4e,Lycée Charlemagne (0750652B),59,25,51,23,39,16,11,5
Paris 5e,Lycée Henri IV (0750654D),21,7,12,5,11,5,3,1
