ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Aix-En-Provence,Lycée Militaire (0131596P),12,4,5,2,2,1,1,1
Aix-En-Provence,Lycée Paul Cezanne (0130002G),46,17,26,10,18,7,5,0
Albi,Lycée Laperouse (0810006S),21,11,2,2,1,1,0,0
AMIENS,Lycée Louis Thuillier (0800009A),23,3,12,3,8,3,3,0
Angers,Lycée Henri Bergson (0491966W),14,3,3,1,3,1,1,1
Annecy,Lycée Berthollet (0740003B),55,13,15,2,11,1,2,0
Antony,Lycée Sainte Marie (0920904H),17,5,8,4,8,4,2,0
Arras,Lycée Robespierre (0620006V),8,3,0,0,0,0,0,0
Avignon,Lycée Saint Joseph (0840072X),10,3,2,0,1,0,0,0
Balma,Lycée Saliège (0312408Z),85,20,45,6,35,5,12,2
Bayonne,Lycée René Cassin (0640010N),20,4,10,1,5,0,1,0
Belfort,Lycée Condorcet (0900002N),7,2,2,1,1,0,0,0
BESANCON,Lycée Victor Hugo (0250007X),25,7,18,5,18,5,13,4
Bordeaux,Lycée Camille Jullian (0330023W),15,1,10,0,6,0,3,0
Bordeaux,Lycée Michel Montaigne (0330021U),63,25,36,12,28,9,3,1
Bourg-En-Bresse,Lycée Lalande (0010013J),32,8,6,1,6,1,3,0
Bourges,Lycée Alain-Fournier (0180005H),6,1,0,0,0,0,0,0
Brest,Lycée de Kerichen (0290007A),30,12,5,4,4,3,1,1
Brest,Lycée Sainte Anne (0290338K),21,5,5,0,4,0,1,0
Caen,Lycée Privé Sainte-Marie (0141164P),9,2,1,0,0,0,0,0
Caen,Lycée Victor Hugo (0142059M),43,8,16,4,6,4,1,1
Chartres,Lycée Marceau (0280007F),22,7,9,3,8,2,2,0
Clermont-Ferrand,Lycée Blaise Pascal (0630018C),41,12,26,7,20,5,7,2
Compiègne,Lycée Pierre d'Ailly (0600014P),5,0,0,0,0,0,0,0
Corenc,ITEC Boisfleury Europe (0381675P),6,3,1,0,0,0,0,0
Dijon,Lycée Carnot (0210015C),31,12,14,5,9,2,3,1
Douai,Lycée Albert Chatelet (0590063Y),18,8,7,4,5,2,1,1
Dunkerque,Lycée Jean Bart (0590071G),3,0,0,0,0,0,0,0
Enghien-Les-Bains,Lycée Gustave Monod (0950644J),8,2,0,0,0,0,0,0
Evreux,Lycée Aristide Briand (0270016W),11,5,5,2,4,1,0,0
Fontainebleau,Lycée François 1er (0770927P),21,9,8,4,6,3,4,1
Fort-De-France,Lycée Bellevue (9720003W),14,6,1,1,0,0,0,0
Grenoble,Lycée Champollion (0380027Y),78,33,45,15,38,13,16,5
Kairouan,Institut supérieur des mathématiques appliquées et de l'informatique (U0001),1,1,0,0,0,0,0,0
La Flèche,Prytanée National Militaire (0720896H),4,1,1,0,1,0,0,0
La Rochelle,Lycée Jean Dautet (0170028N),2,0,0,0,0,0,0,0
La Roche-Sur-Yon,Lycée Saint Joseph (0850083D),1,0,1,0,1,0,0,0
Le Havre,Lycée François 1er (0760052U),6,2,0,0,0,0,0,0
Le Mans,Lycée Montesquieu (0720029R),30,10,22,8,17,7,8,3
Le Raincy,Lycée Albert Schweitzer (0930830X),19,6,7,1,5,0,3,0
Lille,Lycée Catholique Saint Pierre (0593117T),1,0,0,0,0,0,0,0
Lille,Lycée Faidherbe (0590119J),81,26,47,11,38,10,13,3
Limoges,Lycée Gay-Lussac (0870015U),36,13,14,4,12,4,4,0
Lorient,Lycée Dupuy De Lôme (0560025Y),8,3,1,0,1,0,0,0
Lyon,Lycée aux Lazaristes (0690522T),26,4,22,2,22,2,6,1
Lyon,Lycée du Parc (0690026D),119,41,105,31,85,24,24,8
Lyon,Lycée Jean Perrin (0690082P),11,3,3,1,1,0,1,0
Lyon,Lycée La Martinière Monplaisir (0692866R),38,16,30,9,26,9,7,3
Marseille,Lycée Thiers (0130040Y),59,20,44,13,38,10,6,1
Melun,Lycée Jacques Amyot (0770933W),12,4,4,1,3,1,1,0
Metz,Lycée Fabert (0570054Z),39,10,18,1,17,1,3,0
MONTIGNY-LE-BRETONNEUX,Lycée Descartes (0781512V),6,2,3,2,2,1,0,0
Montpellier,Lycée Joffre (0340038G),39,16,22,5,14,1,4,0
Mulhouse,Lycée Albert Schweitzer (0680031P),25,10,1,0,1,0,1,0
Nabeul,IPEIN (99950811),1,0,0,0,0,0,0,0
Nancy,Lycée Henri Poincaré (0540038Y),82,19,50,11,31,8,6,3
Nantes,Lycée Clémenceau (0440021J),67,18,53,11,45,10,19,4
Nantes,Lycée Saint Stanislas (0440163N),18,2,11,2,9,2,3,1
Neuilly-Sur-Seine,Lycée Louis Pasteur (0920142E),57,19,49,13,40,10,7,1
Nice,Lycée Massena (0060030A),60,17,48,11,35,8,6,2
Nimes,Lycée Alphonse Daudet (0300021K),16,4,3,0,2,0,0,0
Orléans,Lycée Pothier (0450049J),32,10,13,3,9,1,2,0
Orléans,Lycée Saint Charles (0450110A),2,1,0,0,0,0,0,0
Orsay,Lycée Blaise Pascal (0910626L),26,6,22,6,16,3,6,1
Paris,Lycée Honoré De Balzac (0750705J),26,7,7,3,5,2,3,1
Paris,Lycée Jacques Decour (0750668U),34,11,18,7,11,4,5,1
Paris,Lycée Stanislas (0753840S),46,15,38,12,36,10,6,2
Paris 3e,Lycée Turgot (0750647W),14,3,6,1,5,1,2,0
Paris 4e,IPESUP (0753144K),15,4,15,4,13,4,4,1
Paris 4e,Lycée Charlemagne (0750652B),65,25,41,14,33,10,7,2
Paris 5e,Lycée Henri IV (0750654D),42,15,42,15,36,13,6,2
Paris 5e,Lycée Lavoisier (0750656F),28,10,13,3,5,2,0,0
Paris 5e,Lycée Louis Le Grand (0750655E),121,45,98,36,80,26,12,3
Paris 6e,Lycée Fénelon (0750660K),35,14,26,8,21,8,3,1
Paris 6e,Lycée Saint-Louis (0750658H),148,72,128,62,109,56,26,15
Paris 8e,Lycée Chaptal (0750663N),47,16,35,11,27,10,9,3
