ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Aix-En-Provence,Lycée Militaire (0131596P),13,0,3,0,3,0,1,0
Aix-En-Provence,Lycée Vauvenargues (0130003H),24,6,7,2,5,2,2,1
Ajaccio,Lycée Laetitia Bonaparte (6200002H),9,1,7,1,3,0,1,0
Albi,Lycée Laperouse (0810006S),13,2,7,2,4,2,0,0
AMIENS,Lycée Louis Thuillier (0800009A),16,2,2,0,1,0,0,0
Angers,Lycée Henri Bergson (0491966W),17,2,6,1,3,1,1,0
Angers,Lycée Saint-Martin (0490824E),18,2,4,0,3,0,1,0
Annecy,Lycée Berthollet (0740003B),24,5,16,3,12,3,4,0
Arras,Lycée Robespierre (0620006V),10,0,4,0,2,0,1,0
Auxerre,Lycée Jacques Amyot (0890003V),12,1,2,0,1,0,1,0
Avignon,Lycée Frédéric Mistral (0840003X),36,11,6,2,2,1,0,0
Balma,Lycée Saliège (0312408Z),25,4,16,3,11,2,1,0
Belfort,Lycée Condorcet (0900002N),6,1,1,0,1,0,0,0
BESANCON,Lycée Victor Hugo (0250007X),34,10,12,4,10,4,3,0
Bordeaux,Lycée Gustave Eiffel (0330028B),75,6,42,2,37,2,6,1
Bordeaux,Lycée Michel Montaigne (0330021U),75,21,52,12,38,12,14,4
Brest,Lycée Naval (0290063L),21,3,6,1,2,0,0,0
Brest,Lycée Sainte Anne (0290338K),19,3,2,0,2,0,1,0
Brest,Lycée Vauban (0290012F),39,9,14,5,12,4,8,2
Caen,Lycée Victor Hugo (0142059M),30,7,8,0,5,0,4,0
Cannes,Lycée Stanislas (0060673Z),21,7,13,3,3,0,1,0
Casablanca,Groupe scolaire La Résidence (3500055H),5,1,0,0,0,0,0,0
Casablanca,Lycée Mohamed V (99926411),5,2,1,0,0,0,0,0
Chambéry,Lycée Vaugelas (0730013T),16,6,0,0,0,0,0,0
Champagne-Sur-Seine,Lycée La Fayette (0770920G),15,2,6,1,6,1,1,0
Clermont-Ferrand,Lycée Blaise Pascal (0630018C),35,6,25,4,16,2,0,0
Clermont-Ferrand,Lycée La Fayette (0630021F),28,10,10,4,9,4,6,3
Dijon,Lycée Carnot (0210015C),26,3,19,2,17,2,7,0
Dijon,Lycée Gustave Eiffel (0211033J),13,1,3,0,1,0,1,0
Douai,Lycée Albert Chatelet (0590063Y),31,7,19,5,12,3,2,0
Dunkerque,Lycée Jean Bart (0590071G),13,2,0,0,0,0,0,0
Evreux,Lycée Aristide Briand (0270016W),13,3,4,0,2,0,0,0
Fès,Lycée Moulay Idriss (99926711),8,3,1,0,0,0,0,0
Fort-De-France,Lycée Bellevue (9720003W),17,5,6,2,5,2,0,0
Grenoble,Lycée Champollion (0380027Y),75,17,51,11,41,9,14,4
La Flèche,Prytanée National Militaire (0720896H),34,6,13,4,11,3,1,0
La Rochelle,Lycée Jean Dautet (0170028N),10,2,1,0,1,0,0,0
Le Mans,Lycée Montesquieu (0720029R),32,4,15,2,11,2,3,1
Le Raincy,Lycée Albert Schweitzer (0930830X),25,8,11,2,10,2,4,1
Lens,Lycée Condorcet (0620108F),3,1,1,0,1,0,0,0
Lille,Lycée César Baggio (0590121L),26,0,9,0,7,0,2,0
Lille,Lycée Faidherbe (0590119J),41,9,40,9,37,9,12,2
Lille,Lycée privé Frédéric Ozanam (0593007Y),1,0,0,0,0,0,0,0
Limoges,Lycée Gay-Lussac (0870015U),25,7,5,1,5,1,0,0
Lorient,Lycée Dupuy De Lôme (0560025Y),23,6,13,5,10,4,4,2
Lyon,Lycée aux Lazaristes (0690522T),39,8,35,7,29,6,8,2
Lyon,Lycée du Parc (0690026D),37,9,36,8,35,8,17,5
Lyon,Lycée Jean Perrin (0690082P),27,7,14,5,11,4,5,3
Lyon,Lycée La Martinière Monplaisir (0692866R),69,11,47,6,38,5,11,2
Marrakech,Lycée Ibnou Taimiya (99926511),3,1,0,0,0,0,0,0
Marseille,Lycée Jean Perrin (0130053M),35,11,16,4,9,1,1,0
Marseille,Lycée Thiers (0130040Y),39,11,35,10,31,9,5,3
Meaux,Lycée Henri Moissan (0770930T),15,2,5,0,4,0,0,0
Metz,Lycée Fabert (0570054Z),40,5,25,5,16,5,7,2
Metz,Lycée Louis De Cormontaigne (0573227Y),12,2,3,1,2,1,2,1
Montpellier,Lycée Joffre (0340038G),78,29,50,18,40,15,10,2
Mulhouse,Lycée Albert Schweitzer (0680031P),18,3,2,1,1,0,0,0
Nancy,Lycée Henri Loritz (0540042C),83,9,38,3,33,3,9,1
Nantes,Lycée Clémenceau (0440021J),116,30,105,29,84,24,24,8
Nantes,Lycée Saint Stanislas (0440163N),23,3,3,0,0,0,0,0
