ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Abymes/guadeloupe,L G T de Baimbridge (9710003B),27,9,21,8,18,8,6,3
Agadir,Groupe scolaire Al Qalam (99693001),6,3,0,0,0,0,0,0
Agadir,Lycée Reda Slaoui (99926811),13,4,4,1,3,0,1,0
Aix-En-Provence,Lycée Vauvenargues (0130003H),40,10,35,8,33,7,14,3
Aix-En-Provence Cedex 1,Lycée Militaire (0131596P),38,11,32,10,28,9,19,8
Ajaccio,Lycée Laetitia Bonaparte (6200002H),7,1,7,1,6,1,1,1
Albi,Lycée Laperouse (0810006S),24,6,20,6,17,6,9,5
Amiens,Lycée Louis Thuillier (0800009A),30,7,15,3,11,1,6,0
Angers,Lycée Henri Bergson (0491966W),42,8,30,6,26,4,10,2
Angers,Lycée Saint-Martin (0490824E),22,3,13,1,12,1,5,0
Annecy,Lycée Berthollet (0740003B),32,7,31,6,26,5,10,2
Antony,Lycée Sainte Marie (0920904H),17,0,14,0,13,0,4,0
Argenteuil,Lycée Jean Jaurès (0950641F),15,4,8,1,3,0,0,0
Arras,Lycée Robespierre (0620006V),17,1,10,0,5,0,3,0
Auxerre,Lycée Jacques Amyot (0890003V),20,8,7,3,5,3,2,2
Avignon,Lycée Frédéric Mistral (0840003X),42,13,20,5,16,5,3,0
Balma,Lycée Saliège (0312408Z),34,5,27,5,25,4,11,4
Belfort,Lycée Condorcet (0900002N),11,4,6,2,3,1,0,0
Besançon,Lycée Victor Hugo (0250007X),40,13,35,11,31,10,12,4
Bordeaux,Lycée Gustave Eiffel (0330028B),85,12,69,8,63,5,23,2
Bordeaux Cedex,Lycée Michel Montaigne (0330021U),71,22,69,21,56,19,14,5
Brest,Lycée Naval (0290063L),32,4,28,3,23,2,10,2
Brest,Lycée Sainte Anne (0290338K),21,4,11,2,9,2,0,0
Brest,Lycée Vauban (0290012F),49,13,38,11,30,6,18,4
Caen,Lycée Victor Hugo (0142059M),45,8,28,7,22,6,4,1
Cannes,Lycée Stanislas (0060673Z),28,11,22,9,15,5,3,1
Casablanca,ECOLE YASSAMINE CALIFORNIE (L0004),2,0,0,0,0,0,0,0
Casablanca,ELBILIA SUP (99696011),14,2,4,1,4,1,1,1
Casablanca,Groupe scolaire La Résidence (3500055H),28,6,8,2,4,2,1,1
Casablanca,Lycée Mohamed V (99926411),16,2,6,1,0,0,0,0
