ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Abymes/guadeloupe,L G T de Baimbridge (9710003B),16,6,4,2,2,0,1,0
Agadir,Lycée Reda Slaoui (99926811),1,0,0,0,0,0,0,0
Aix-En-Provence,Lycée Vauvenargues (0130003H),18,2,8,0,4,0,3,0
Aix-En-Provence Cedex 1,Lycée Militaire (0131596P),28,9,14,5,11,3,3,0
Ajaccio,Lycée Laetitia Bonaparte (6200002H),7,0,4,0,4,0,2,0
Albi,Lycée Laperouse (0810006S),6,3,5,3,4,2,0,0
Amiens,Lycée Louis Thuillier (0800009A),14,2,1,0,1,0,0,0
Angers,Lycée Henri Bergson (0491966W),16,2,7,1,7,1,0,0
Angers,Lycée Saint-Martin (0490824E),8,1,2,0,2,0,1,0
Annecy,Lycée Berthollet (0740003B),32,6,20,3,16,2,10,0
Antony,Lycée Sainte Marie (0920904H),15,0,11,0,9,0,0,0
Argenteuil,Lycée Jean Jaurès (0950641F),5,2,1,0,1,0,0,0
Arras,Lycée Robespierre (0620006V),12,3,3,1,1,0,0,0
Auxerre,Lycée Jacques Amyot (0890003V),9,3,0,0,0,0,0,0
Avignon,Lycée Frédéric Mistral (0840003X),9,2,2,0,1,0,0,0
Balma,Lycée Saliège (0312408Z),25,5,10,0,6,0,2,0
Belfort,Lycée Condorcet (0900002N),3,0,1,0,1,0,1,0
Besançon,Lycée Victor Hugo (0250007X),17,4,1,0,1,0,1,0
Bordeaux,Lycée Gustave Eiffel (0330028B),70,8,37,3,25,3,10,1
Bordeaux Cedex,Lycée Michel Montaigne (0330021U),59,17,46,11,34,6,13,2
Brest,Lycée Naval (0290063L),32,4,22,3,11,1,7,0
Brest,Lycée Sainte Anne (0290338K),4,0,1,0,1,0,0,0
Brest,Lycée Vauban (0290012F),16,5,5,2,1,1,1,1
Caen,Lycée Victor Hugo (0142059M),18,3,3,0,1,0,1,0
Cannes,Lycée Stanislas (0060673Z),21,5,7,2,6,2,2,2
Casablanca,Groupe scolaire La Résidence (3500055H),3,0,0,0,0,0,0,0
Casablanca,Lycée Mohamed V (99926411),2,1,0,0,0,0,0,0
Chambéry,Lycée Vaugelas (0730013T),5,1,0,0,0,0,0,0
Clermont-Ferrand,Lycée Blaise Pascal (0630018C),39,7,20,3,15,3,6,1
Clermont-Ferrand,Lycée La Fayette (0630021F),17,2,7,0,3,0,1,0
Dijon,Lycée Carnot (0210015C),24,4,10,3,3,1,0,0
Dijon,Lycée Gustave Eiffel (0211033J),15,2,7,1,4,0,2,0
Douai,Lycée Albert Chatelet (0590063Y),41,5,31,3,27,3,4,0
Dunkerque,Lycée Jean Bart (0590071G),6,0,3,0,2,0,2,0
Evreux,Lycée Aristide Briand (0270016W),8,2,4,1,3,0,0,0
Evry,Lycée Parc des Loges (0911251R),9,1,4,1,4,1,2,1
Fès,Lycée Moulay Idriss (99926711),1,0,0,0,0,0,0,0
Fontainebleau,Lycée François 1er (0770927P),19,2,8,1,7,1,1,0
Grenoble Cedex 1,Lycée Champollion (0380027Y),52,6,37,4,32,4,12,0
La Flèche,Prytanée National Militaire (0720896H),29,3,14,1,8,1,2,0
La Rochelle,Lycée Jean Dautet (0170028N),5,1,0,0,0,0,0,0
Le Mans,Lycée Montesquieu (0720029R),15,3,2,1,0,0,0,0
Le Raincy,Lycée Albert Schweitzer (0930830X),19,3,7,0,2,0,1,0
Lens,Lycée Condorcet (0620108F),6,1,2,0,1,0,1,0
Lille,Lycée César Baggio (0590121L),30,7,9,0,4,0,1,0
Lille,Lycée Faidherbe (0590119J),45,10,37,8,32,8,15,6
Limoges Cedex,Lycée Gay-Lussac (0870015U),16,2,5,0,3,0,0,0
Lorient,Lycée Dupuy De Lôme (0560025Y),10,3,3,0,2,0,1,0
Lyon,Lycée aux Lazaristes (0690522T),36,15,33,15,32,14,9,4
Lyon,Lycée Jean Perrin (0690082P),21,4,9,1,4,0,2,0
Lyon,Lycée La Martinière Monplaisir (0692866R),45,4,25,0,18,0,10,0
