ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Abymes/guadeloupe,L G T de Baimbridge (9710003B),4,0,0,0,0,0,0,0
Aix-En-Provence Cedex 1,Lycée Militaire (0131596P),2,0,1,0,0,0,0,0
Ajaccio,Lycée Laetitia Bonaparte (6200002H),2,0,1,0,0,0,0,0
Albi,Lycée Laperouse (0810006S),2,1,0,0,0,0,0,0
Amiens,Lycée Louis Thuillier (0800009A),1,0,0,0,0,0,0,0
Angers,Lycée Henri Bergson (0491966W),1,0,0,0,0,0,0,0
Annecy,Lycée Berthollet (0740003B),12,1,2,0,1,0,1,0
Antony,Lycée Sainte Marie (0920904H),6,0,0,0,0,0,0,0
Argenteuil,Lycée Jean Jaurès (0950641F),3,2,0,0,0,0,0,0
Arras,Lycée Robespierre (0620006V),1,0,0,0,0,0,0,0
Auxerre,Lycée Jacques Amyot (0890003V),4,0,0,0,0,0,0,0
Avignon,Lycée Frédéric Mistral (0840003X),4,1,0,0,0,0,0,0
Balma,Lycée Saliège (0312408Z),5,1,2,0,2,0,0,0
Belfort,Lycée Condorcet (0900002N),1,0,1,0,1,0,0,0
Besançon,Lycée Victor Hugo (0250007X),1,0,0,0,0,0,0,0
Bordeaux,Lycée Gustave Eiffel (0330028B),12,1,5,0,4,0,1,0
Bordeaux Cedex,Lycée Michel Montaigne (0330021U),25,6,13,1,12,1,3,0
Brest,Lycée Naval (0290063L),1,0,0,0,0,0,0,0
Brest,Lycée Vauban (0290012F),1,1,0,0,0,0,0,0
Caen,Lycée Victor Hugo (0142059M),2,0,0,0,0,0,0,0
Cannes,Lycée Stanislas (0060673Z),6,1,0,0,0,0,0,0
Casablanca,Lycée Mohamed V (99926411),1,0,0,0,0,0,0,0
Clermont-Ferrand,Lycée Blaise Pascal (0630018C),3,0,2,0,2,0,2,0
Clermont-Ferrand,Lycée La Fayette (0630021F),3,1,2,0,2,0,0,0
Dijon,Lycée Carnot (0210015C),5,1,0,0,0,0,0,0
Dijon,Lycée Gustave Eiffel (0211033J),1,0,0,0,0,0,0,0
Douai,Lycée Albert Chatelet (0590063Y),6,0,0,0,0,0,0,0
Dunkerque,Lycée Jean Bart (0590071G),2,0,0,0,0,0,0,0
Evreux,Lycée Aristide Briand (0270016W),2,1,0,0,0,0,0,0
Fontainebleau,Lycée François 1er (0770927P),5,1,1,0,1,0,0,0
Grenoble Cedex 1,Lycée Champollion (0380027Y),29,3,6,0,6,0,0,0
La Flèche,Prytanée National Militaire (0720896H),8,0,0,0,0,0,0,0
La Rochelle,Lycée Jean Dautet (0170028N),1,0,0,0,0,0,0,0
Le Raincy,Lycée Albert Schweitzer (0930830X),5,0,0,0,0,0,0,0
