ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Amiens Cedex 03,Lycée Louis Thuillier (0800009A),42,20,35,20,20,12,5,2
AMILLY,Lycée Le Chesnoy - Les Barres (0450094H),13,6,8,4,3,1,0,0
Angers,Lycée Angers le Fresne (0490946M),11,5,11,5,6,4,2,1
Arras,Lycée Robespierre (0620006V),22,14,14,11,10,9,7,6
Auzeville Tolosane,Lycée Toulouse Auzeville (0311262D),5,2,4,2,3,1,0,0
Besançon,Lycée Victor Hugo (0250007X),23,14,22,13,11,6,2,1
Bordeaux Cedex,Lycée Michel Montaigne (0330021U),36,24,30,20,19,11,7,4
BOULOGNE-BILLANCOURT,Lycée Jacques Prévert (0920134W),25,16,21,14,17,11,5,2
Caen Cedex 4,Lycée Malherbe (0140013N),62,40,50,31,25,15,4,2
Clermont-Ferrand Cedex,Lycée Blaise Pascal (0630018C),13,4,11,3,3,0,1,0
Dijon,Lycée Carnot (0210015C),11,5,11,5,10,5,5,2
Douai,Lycée Albert Chatelet (0590063Y),15,8,10,6,5,4,4,3
DUCOS,Lycée Polyvalent Centre Sud (9720825P),2,1,2,1,1,0,1,0
Evreux,Faculté des Sciences et des Techniques (E0012),3,3,2,2,1,1,0,0
Fontainebleau,Lycée François 1er (0770927P),14,10,12,8,9,7,4,3
Grenoble Cedex 1,Lycée Champollion (0380027Y),41,30,37,27,27,19,8,3
La Mulatière,Lycée Assomption Bellevue (0690539L),23,16,19,14,5,2,3,0
Le Raincy,Lycée Albert Schweitzer (0930830X),22,16,13,11,11,9,3,3
Le Tampon,Lycée Roland Garros (9740002J),16,7,11,3,7,2,7,2
Lempdes,Legta Louis Pasteur - Lempdes (0630984C),23,16,23,16,8,6,3,1
Lille Cedex,Lycée Faidherbe (0590119J),66,38,49,27,17,6,4,1
Lyon,Lycée La Martinière Monplaisir (0692866R),16,10,14,8,9,3,2,0
Lyon Cedex 06,Lycée du Parc (0690026D),20,12,15,9,10,5,1,0
Marseille Cedex 1,Lycée Thiers (0130040Y),67,55,57,47,35,28,19,14
Metz Cedex 1,Lycée Georges de La Tour (0572757M),16,11,9,7,6,5,1,0
Montpellier Cedex 2,Lycée Joffre (0340038G),8,6,8,6,4,3,1,1
Nancy Cedex,Lycée Henri Poincaré (0540038Y),34,23,24,17,20,15,8,6
Nantes Cedex 1,Externat des Enfants Nantais (0440160K),25,17,16,10,7,4,2,1
Nantes Cedex 1,Lycée Clémenceau (0440021J),11,7,7,5,3,3,2,2
Nice Cedex 1,Lycée Massena (0060030A),14,8,12,7,4,2,0,0
Nimes Cedex,Lycée Emmanuel d'Alzon (0300080Z),25,16,23,14,13,7,3,1
Orléans Cedex 1,Lycée Pothier (0450049J),6,2,5,2,3,1,1,0
Paris Cedex 05,Lycée Henri IV (0750654D),29,19,26,17,11,5,2,2
Paris Cedex 06,Lycée Saint-Louis (0750658H),11,8,11,8,9,6,1,1
Paris 13e,Lycée Geoffroy Saint-Hilaire (0752456M),4,2,1,1,1,1,0,0
Paris 13e,Lycée Pierre-Gilles de Gennes - ENCPB (0750685M),23,18,21,16,19,15,9,8
Paris 16e,Lycée Janson de Sailly (0750699C),42,30,38,27,17,14,1,1
Paris 16e,Lycée Jean-Baptiste Say (0750700D),29,21,27,21,25,19,6,4
Paris 6e,Lycée Fénelon (0750660K),31,24,27,20,23,17,2,2
Paris 8e,Lycée Chaptal (0750663N),44,27,29,19,19,14,5,4
Pau Cedex,Lycée Louis Barthou (0640055M),10,5,9,5,7,5,3,2
Pointe-à-Pitre Cedex (guadeloupe),L G T de Baimbridge (9710003B),16,14,4,2,3,1,3,1
Poitiers Cedex,Lycée Camille Guérin (0860035W),41,25,23,13,14,6,5,0
Reims Cedex 2,Lycée Clémenceau (0510031G),22,11,13,5,7,1,6,1
Rennes Cedex 7,Lycée Chateaubriand (0350710G),54,31,50,30,34,21,13,7
Rouen Cedex,Lycée Pierre Corneille (0760090K),34,28,33,27,13,12,2,2
Saint-Etienne Cedex 1,Lycée Claude Fauriel (0420041S),32,16,32,16,13,6,3,1
Saint-Maur-Des-Fosses Cedex,Lycée Marcelin Berthelot (0940120V),76,50,56,36,23,16,5,3
Sceaux Cedex,Lycée Lakanal (0920145H),58,46,52,41,31,25,3,2
Strasbourg,Lycée Jean Rostand (0670084C),11,5,11,5,7,4,3,1
Toulouse Cedex,Lycée Ozenne (0310047H),8,5,7,4,5,3,4,2
Toulouse Cedex 7,Lycée Pierre de Fermat (0310036W),12,6,9,4,5,2,4,1
Tours Cedex 1,Lycée Descartes (0370035M),3,0,3,0,2,0,2,0
Versailles,Lycée Sainte Geneviève (0783053V),41,27,40,27,9,7,1,1
Versailles Cedex,Lycée Hoche (0782562L),40,25,37,24,30,19,7,3
