ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Agadir,Groupe scolaire Al Qalam (99693001),5,1,2,1,2,1,2,1
Agadir,Lycée Reda Slaoui (99926811),33,7,18,5,8,2,4,0
Aix-En-Provence Cedex 1,Lycée Militaire (0131596P),12,3,8,3,8,3,1,0
Aix-En-Provence Cedex 5,Lycée Paul Cézanne (0130002G),7,1,7,2,4,1,2,0
Amiens Cedex 03,Lycée Louis Thuillier (0800009A),47,15,27,10,13,5,5,3
Angers Cedex 01,Lycée Henri Bergson (0491966W),27,5,18,3,14,2,4,1
Annecy Cedes,Lycée Berthollet (0740003B),47,20,33,15,27,14,11,8
Antony,Lycée Sainte Marie (0920904H),22,4,17,3,11,3,4,2
Arras,Lycée Robespierre (0620006V),7,2,4,0,2,0,2,0
Autun Cedex,Lycée Militaire National (0711064W),2,0,0,0,0,0,0,0
Beni-Mellal,Lycée Technique Mohamed V (99929811),15,4,6,0,5,0,2,0
Besançon,Lycée Victor Hugo (0250007X),44,12,37,7,30,6,12,3
Beyrouth,Ecole Supérieure d'ingénieurs (99926311),4,0,0,0,0,0,0,0
Bizerte,IPEIB (16200011),2,0,0,0,0,0,0,0
Blois Cedex,Lycée Dessaignes (0410002E),6,0,6,0,3,0,2,0
Bordeaux Cedex,Lycée Camille Jullian (0330023W),29,7,24,5,18,4,9,4
Bordeaux Cedex,Lycée Michel Montaigne (0330021U),100,16,89,13,75,11,26,6
Boulogne-Sur-Mer Cedex,Lycée Mariette (0622949U),11,1,6,1,5,0,2,0
Bourg-En-Bresse,Lycée Lalande (0010013J),15,3,11,0,7,0,2,0
Bourges,Lycée Alain-Fournier (0180005H),9,4,3,1,3,1,1,0
Brest,Lycée Naval (0290063L),22,5,12,2,12,2,5,2
Brest,Lycée Sainte Anne (0290338K),13,2,5,0,4,0,3,0
Brest Cedex 2,Lycée de Kerichen (0290007A),57,9,42,8,24,6,7,0
Caen Cedex 4,Lycée Malherbe (0140013N),76,13,38,8,27,7,9,2
Cannes Cedex,Lycée Stanislas (0060673Z),4,0,2,0,2,0,1,0
Casablanca,AL BILIA (99696011),3,0,1,0,0,0,0,0
Casablanca,Centre privé GALILEE (99927511),22,9,12,5,8,3,4,2
Casablanca,ECOLE YASSAMINE CALIFORNIE (L0004),23,10,10,4,7,4,2,1
Casablanca,ESTEM (E0004),2,0,1,0,0,0,0,0
Casablanca,Groupe ESG MAROC (E0005),1,0,0,0,0,0,0,0
