ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Agadir,Groupe scolaire Al Qalam (99693001),1,0,0,0,0,0,0,0
Agadir,Lycée Reda Slaoui (99926811),4,3,0,0,0,0,0,0
Aix-En-Provence Cedex 1,Lycée Militaire (0131596P),2,0,0,0,0,0,0,0
Amiens Cedex 03,Lycée Louis Thuillier (0800009A),8,1,0,0,0,0,0,0
Angers Cedex 01,Lycée Henri Bergson (0491966W),9,0,0,0,0,0,0,0
Annecy Cedes,Lycée Berthollet (0740003B),7,3,0,0,0,0,0,0
Antony,Lycée Sainte Marie (0920904H),3,0,0,0,0,0,0,0
Arras,Lycée Robespierre (0620006V),3,0,0,0,0,0,0,0
Autun Cedex,Lycée Militaire National (0711064W),1,0,0,0,0,0,0,0
Beni-Mellal,Lycée Technique Mohamed V (99929811),1,0,0,0,0,0,0,0
Besançon,Lycée Victor Hugo (0250007X),14,1,2,0,2,0,2,0
Bizerte,IPEIB (16200011),1,0,0,0,0,0,0,0
Blois Cedex,Lycée Dessaignes (0410002E),1,0,0,0,0,0,0,0
Bordeaux Cedex,Lycée Camille Jullian (0330023W),3,1,0,0,0,0,0,0
Bordeaux Cedex,Lycée Michel Montaigne (0330021U),60,6,12,2,9,1,6,1
Bourg-En-Bresse,Lycée Lalande (0010013J),1,0,0,0,0,0,0,0
Bourges,Lycée Alain-Fournier (0180005H),1,1,0,0,0,0,0,0
Brest,Lycée Sainte Anne (0290338K),2,0,0,0,0,0,0,0
Brest Cedex 2,Lycée de Kerichen (0290007A),5,1,0,0,0,0,0,0
Caen Cedex 4,Lycée Malherbe (0140013N),32,7,2,1,1,0,1,0
Cannes Cedex,Lycée Stanislas (0060673Z),1,0,0,0,0,0,0,0
Casablanca,Centre privé GALILEE (99927511),4,1,0,0,0,0,0,0
Casablanca,ECOLE YASSAMINE CALIFORNIE (L0004),6,2,1,0,0,0,0,0
Casablanca,ESTEM (E0004),1,0,0,0,0,0,0,0
Casablanca,Groupe scolaire La Résidence (3500055H),7,3,0,0,0,0,0,0
Casablanca,Lycée Al Khansa (3500050C),4,0,0,0,0,0,0,0
Casablanca,Lycée Mohamed V (99926411),3,2,0,0,0,0,0,0
Castres,Lycée Borde Basse (0810959C),2,1,0,0,0,0,0,0
Chambéry,Lycée Vaugelas (0730013T),1,0,0,0,0,0,0,0
Chartres,Lycée Marceau (0280007F),2,0,0,0,0,0,0,0
Cherbourg-Octeville,Lycée Victor Grignard (0501828R),5,0,0,0,0,0,0,0
Clermont-Ferrand,Lycée Godefroy De Bouillon (0631068U),1,0,0,0,0,0,0,0
Clermont-Ferrand,Lycée La Fayette (0630021F),1,1,0,0,0,0,0,0
Clermont-Ferrand Cedex,Lycée Blaise Pascal (0630018C),35,9,8,1,7,1,6,1
Compiègne Cedex,Lycée Pierre d'Ailly (0600014P),4,0,0,0,0,0,0,0
Dijon,Lycée Carnot (0210015C),26,3,2,0,1,0,1,0
Douai,Lycée Albert Chatelet (0590063Y),5,0,1,0,0,0,0,0
Dunkerque Cedex,Lycée Jean Bart (0590071G),1,1,0,0,0,0,0,0
El Jadida,classes préparatoires Ibn Younes (L0007),1,0,0,0,0,0,0,0
Enghien-Les-Bains,Lycée Gustave Monod (0950644J),1,1,0,0,0,0,0,0
Epinal,Lycée Claude Gellee (0880020U),3,0,0,0,0,0,0,0
Evry,Lycée Parc des Loges (0911251R),2,0,0,0,0,0,0,0
Fès,Etablissement Al Cachy (99695011),1,0,0,0,0,0,0,0
Fès,Ibn Ghazi (L0056),1,0,0,0,0,0,0,0
Fès,Institution Marie Curie (99926812),1,0,1,0,0,0,0,0
Fès,Lycée Moulay Idriss (99926711),29,4,1,0,0,0,0,0
Fès,Prépas Al Khayyam (99694011),1,0,0,0,0,0,0,0
Fontainebleau,Lycée François 1er (0770927P),1,1,0,0,0,0,0,0
Forbach,Lycée Jean Moulin (0570029X),1,0,0,0,0,0,0,0
Grenoble Cedex 1,Lycée Champollion (0380027Y),36,2,4,0,4,0,2,0
Kenitra,Lycée Abdelmalek Essaâdi (99948211),2,1,0,0,0,0,0,0
La Flèche Cedex,Prytanée National Militaire (0720896H),19,0,1,0,1,0,1,0
La Rochelle,Lycée Jean Dautet (0170028N),3,0,0,0,0,0,0,0
Le Mans Cedex 01,Lycée Montesquieu (0720029R),2,0,0,0,0,0,0,0
Le Raincy,Lycée Albert Schweitzer (0930830X),12,2,1,0,0,0,0,0
Lille Cedex,Lycée Faidherbe (0590119J),48,8,9,0,7,0,5,0
Limoges Cedex,Lycée Gay-Lussac (0870015U),18,5,1,0,1,0,1,0
Lorient Cedex,Lycée Dupuy De Lôme (0560025Y),3,0,0,0,0,0,0,0
Lyon,Lycée aux Lazaristes (0690522T),25,2,12,2,9,1,9,1
Lyon,Lycée Jean Perrin (0690082P),2,0,0,0,0,0,0,0
Lyon,Lycée La Martinière Monplaisir (0692866R),37,8,0,0,0,0,0,0
Lyon Cedex 06,Lycée du Parc (0690026D),91,13,31,4,26,4,20,3
Mantes-La-Jolie,Lycée Saint Exupéry (0782539L),1,0,0,0,0,0,0,0
Marrakech,CPGE privée Koutoubia-Prépas (99697011),3,0,0,0,0,0,0,0
Marrakech,Ibn Ghazi (L0057),1,0,0,0,0,0,0,0
Marrakech - Menara,Lycée IBN TIMIYA (99926511),5,0,0,0,0,0,0,0
Marseille,Lycée Notre Dame de Sion (0131341M),2,1,0,0,0,0,0,0
Marseille Cedex 1,Lycée Thiers (0130040Y),55,9,11,1,7,1,6,1
