ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Aix-En-Provence Cedex 1,Lycée Militaire (0131596P),4,2,3,2,3,2,0,0
Aix-En-Provence Cedex 5,Lycée Paul Cézanne (0130002G),55,21,52,20,48,17,15,6
Albi,Lycée Laperouse (0810006S),16,12,14,12,10,9,2,2
Amiens Cedex 03,Lycée Louis Thuillier (0800009A),41,11,34,9,27,7,11,2
Angers Cedex 01,Lycée Henri Bergson (0491966W),25,8,19,7,16,6,5,3
Annecy Cedes,Lycée Berthollet (0740003B),33,12,30,12,23,9,5,2
Annonay,Lycée Saint Denis (0071126L),3,0,3,0,2,0,0,0
Antony,Lycée Sainte Marie (0920904H),21,4,15,3,15,3,5,0
Arras,Lycée Robespierre (0620006V),17,8,15,8,10,5,5,3
Avignon,Lycée Saint Joseph (0840072X),27,12,26,11,20,8,4,2
Balma,Lycée Saliège (0312408Z),61,18,49,17,40,13,14,5
Bayonne,Lycée René Cassin (0640010N),26,11,24,11,23,11,11,5
Beaucamps-Ligny,Lycée Sainte Marie (0592932S),10,1,7,2,6,2,4,1
Belfort,Lycée Condorcet (0900002N),18,9,15,7,11,5,3,0
Besançon,Lycée Victor Hugo (0250007X),32,7,27,6,20,4,6,0
Bordeaux Cedex,Lycée Camille Jullian (0330023W),21,8,17,6,16,6,1,1
Bordeaux Cedex,Lycée Michel Montaigne (0330021U),5,1,2,0,2,0,0,0
Bourg-En-Bresse,Lycée Lalande (0010013J),22,4,19,3,17,3,7,0
Bourges,Lycée Alain-Fournier (0180005H),15,4,11,2,7,1,2,0
Brest,Lycée Sainte Anne (0290338K),18,6,18,6,16,5,10,3
Brest Cedex 2,Lycée de Kerichen (0290007A),42,15,33,12,30,12,11,6
Caen,Lycée Privé Sainte-Marie (0141164P),15,1,11,1,9,0,7,0
Caen,Lycée Victor Hugo (0142059M),40,16,32,13,28,10,7,4
Chartres,Lycée Marceau (0280007F),21,2,16,1,12,0,8,0
Clermont-Ferrand Cedex,Lycée Blaise Pascal (0630018C),33,17,30,15,30,15,4,2
Compiègne Cedex,Lycée Pierre d'Ailly (0600014P),20,8,18,8,13,7,3,3
Dijon,Lycée Carnot (0210015C),46,24,42,24,35,20,13,7
Douai,Lycée Albert Chatelet (0590063Y),27,10,20,9,18,8,5,3
Dunkerque Cedex,Lycée Jean Bart (0590071G),20,9,19,9,15,6,6,2
Enghien-Les-Bains,Lycée Gustave Monod (0950644J),14,7,13,6,13,6,9,3
Evreux,Lycée Aristide Briand (0270016W),15,3,14,2,11,2,5,0
Fontainebleau,Lycée François 1er (0770927P),26,6,26,6,22,6,11,3
Fort-De-France Cedex,Lycée de Bellevue (9720003W),25,16,16,10,16,10,10,8
Gabes,IPEIG (99951112),1,1,0,0,0,0,0,0
Grenoble Cedex 1,Lycée Champollion (0380027Y),44,19,34,18,34,18,7,4
La Flèche Cedex,Prytanée National Militaire (0720896H),7,2,5,1,4,1,0,0
La Mulatière,Lycée Assomption Bellevue (0690539L),16,13,12,10,6,5,2,1
La Rochelle,Lycée Jean Dautet (0170028N),10,3,8,3,7,3,1,0
La Roche-Sur-Yon,Lycée Pierre Mendès-France (0850025R),4,1,4,1,4,1,3,1
La Tronche Cedex,ITEC Boisfleury (0381675P),5,3,5,3,5,3,2,1
Le Havre Cedex,Lycée François 1er (0760052U),12,5,12,5,12,5,6,3
Le Mans Cedex 01,Lycée Montesquieu (0720029R),17,8,14,6,12,5,5,0
Le Puy-En-Velay,Lycée Charles Et Adrien Dupuy (0430020N),11,3,11,3,10,3,3,1
Le Raincy,Lycée Albert Schweitzer (0930830X),21,12,18,12,18,12,8,5
Lille Cedex,Lycée Faidherbe (0590119J),50,19,42,18,40,16,6,3
Limoges Cedex,Lycée Gay-Lussac (0870015U),36,16,35,16,24,10,9,5
Lorient Cedex,Lycée Dupuy De Lôme (0560025Y),22,4,21,4,18,4,6,1
Lyon,Lycée aux Lazaristes (0690522T),5,3,5,3,5,3,1,0
Lyon,Lycée Jean Perrin (0690082P),17,9,15,8,15,8,7,4
Lyon,Lycée La Martinière Monplaisir (0692866R),37,17,28,16,24,14,4,3
Lyon Cedex 06,Lycée du Parc (0690026D),42,26,32,22,32,22,4,4
Marseille Cedex 1,Lycée Thiers (0130040Y),32,13,27,12,25,11,5,2
Melun Cedex,Lycée Jacques Amyot (0770933W),27,7,14,3,13,3,4,1
Metz Cedex 1,Lycée Fabert (0570054Z),39,11,35,13,26,8,3,2
MONTIGNY-LE-BRETONNEUX,Lycée Descartes (0781512V),18,10,17,10,16,10,5,3
Montpellier Cedex 2,Lycée Joffre (0340038G),27,11,20,9,19,9,3,3
Mulhouse,Lycée Albert Schweitzer (0680031P),13,6,12,6,12,6,3,2
Nancy Cedex,Lycée Henri Poincaré (0540038Y),36,14,27,11,27,11,8,1
Nantes,Lycée Saint Stanislas (0440163N),21,4,19,3,17,3,6,1
Nantes Cedex 1,Lycée Clémenceau (0440021J),32,16,28,13,27,13,9,4
Neuilly-Sur-Seine Cedex,Lycée Louis Pasteur (0920142E),46,16,39,16,36,16,5,4
Nice Cedex 1,Lycée Massena (0060030A),32,14,30,14,26,14,3,0
Nimes Cedex,Lycée Alphonse Daudet (0300021K),31,9,22,6,17,5,8,2
Orléans,Lycée Saint Charles (0450110A),2,0,1,0,1,0,1,0
Orléans Cedex 1,Lycée Pothier (0450049J),35,10,33,9,21,6,8,3
Orsay,Lycée Blaise Pascal (0910626L),22,10,20,10,18,9,8,5
Paris 4e,Lycée Charlemagne (0750652B),35,13,22,8,21,8,6,3
Paris 8e,Lycée Fénelon Sainte-Marie (0753873C),36,12,33,12,30,12,7,2
Paris Cedex 03,Lycée Turgot (0750647W),29,8,16,5,11,2,8,1
Paris Cedex 05,Lycée Henri IV (0750654D),7,1,3,0,3,0,0,0
Paris Cedex 05,Lycée Louis Le Grand (0750655E),18,11,13,8,13,8,2,1
