ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Agadir,Lycée Reda Slaoui (99926811),1,0,0,0,0,0,0,0
Aix-En-Provence,Lycée Vauvenargues (0130003H),1,0,0,0,0,0,0,0
Aix-En-Provence Cedex 1,Lycée Militaire (0131596P),2,1,0,0,0,0,0,0
Ajaccio,Lycée Laetitia Bonaparte (6200002H),2,0,0,0,0,0,0,0
Amiens Cedex 03,Lycée Louis Thuillier (0800009A),2,0,0,0,0,0,0,0
Angers,Lycée Saint-Martin (0490824E),1,0,0,0,0,0,0,0
Annecy Cedes,Lycée Berthollet (0740003B),8,1,1,0,1,0,0,0
Antony,Lycée Sainte Marie (0920904H),3,1,0,0,0,0,0,0
Argenteuil,Lycée Jean Jaurès (0950641F),3,1,0,0,0,0,0,0
Auxerre,Lycée Jacques Amyot (0890003V),2,0,0,0,0,0,0,0
Avignon Cedex,Lycée Frédéric Mistral (0840003X),10,1,0,0,0,0,0,0
Balma,Lycée Saliège (0312408Z),1,0,0,0,0,0,0,0
Belfort,Lycée Condorcet (0900002N),4,0,0,0,0,0,0,0
Besançon,Lycée Victor Hugo (0250007X),1,1,0,0,0,0,0,0
Bordeaux,Lycée Gustave Eiffel (0330028B),8,0,3,0,3,0,0,0
Bordeaux Cedex,Lycée Michel Montaigne (0330021U),27,5,15,1,13,1,3,0
Brest,Lycée Naval (0290063L),1,0,0,0,0,0,0,0
Brest Cedex 2,Lycée Vauban (0290012F),2,0,0,0,0,0,0,0
Caen,Lycée Victor Hugo (0142059M),2,0,1,0,1,0,1,0
Casablanca,ECOLE YASSAMINE CALIFORNIE (L0004),1,1,0,0,0,0,0,0
Casablanca,Groupe scolaire La Résidence (3500055H),1,0,0,0,0,0,0,0
Clermont-Ferrand,Lycée La Fayette (0630021F),1,0,1,0,1,0,0,0
Clermont-Ferrand Cedex,Lycée Blaise Pascal (0630018C),7,2,3,0,3,0,3,0
Dijon,Lycée Carnot (0210015C),10,0,3,0,3,0,1,0
Dijon,Lycée Gustave Eiffel (0211033J),4,0,0,0,0,0,0,0
Douai,Lycée Albert Chatelet (0590063Y),3,0,1,0,1,0,1,0
Evry,Lycée Parc des Loges (0911251R),1,0,0,0,0,0,0,0
Grenoble Cedex 1,Lycée Champollion (0380027Y),24,8,4,0,4,0,1,0
La Flèche Cedex,Prytanée National Militaire (0720896H),2,1,0,0,0,0,0,0
La Rochelle,Lycée Jean Dautet (0170028N),1,0,0,0,0,0,0,0
Le Mans Cedex 01,Lycée Montesquieu (0720029R),2,0,0,0,0,0,0,0
Le Raincy,Lycée Albert Schweitzer (0930830X),8,0,0,0,0,0,0,0
Lille,Lycée César Baggio (0590121L),5,0,0,0,0,0,0,0
Lille Cedex,Lycée Faidherbe (0590119J),29,5,11,2,10,2,2,0
Limoges Cedex,Lycée Gay-Lussac (0870015U),4,0,1,0,1,0,0,0
Lyon,Lycée aux Lazaristes (0690522T),20,6,16,5,16,5,3,1
Lyon,Lycée Jean Perrin (0690082P),3,0,0,0,0,0,0,0
Lyon,Lycée La Martinière Monplaisir (0692866R),2,0,1,0,1,0,1,0
Lyon Cedex 06,Lycée du Parc (0690026D),31,9,14,1,14,1,0,0
Marrakech,CPGE privée Koutoubia-Prépas (99697011),1,0,0,0,0,0,0,0
Marseille Cedex 1,Lycée Thiers (0130040Y),18,6,7,3,6,3,2,0
Marseille Cedex 10,Lycée Jean Perrin (0130053M),13,3,1,0,1,0,1,0
Meaux,Lycée Henri Moissan (0770930T),1,0,0,0,0,0,0,0
Metz,Lycée Louis De Cormontaigne (0573227Y),2,1,1,0,1,0,0,0
Metz Cedex 1,Lycée Fabert (0570054Z),6,1,1,0,0,0,0,0
Montpellier Cedex 2,Lycée Joffre (0340038G),38,9,5,1,5,1,1,0
Montreuil,Lycée Jean Jaurès (0930121B),4,3,0,0,0,0,0,0
Mulhouse,Lycée Albert Schweitzer (0680031P),1,0,0,0,0,0,0,0
Nancy,Lycée Henri Loritz (0540042C),10,1,1,0,1,0,0,0
Nantes,Lycée Saint Stanislas (0440163N),1,1,0,0,0,0,0,0
Nantes Cedex 1,Lycée Clémenceau (0440021J),32,5,18,2,18,2,6,0
Neuilly-Sur-Seine Cedex,Lycée Louis Pasteur (0920142E),18,4,1,0,0,0,0,0
Nice,Lycée Les Eucalyptus (0060075Z),8,4,0,0,0,0,0,0
Nice Cedex 1,Lycée Massena (0060030A),14,1,0,0,0,0,0,0
Nouméa,Lycée Jules Garnier (9830003L),8,0,6,0,4,0,1,0
Orléans Cedex 1,Lycée Pothier (0450049J),5,2,1,0,1,0,0,0
Orsay,Lycée Blaise Pascal (0910626L),24,2,9,0,9,0,0,0
Paris,Lycée Raspail (0750691U),6,0,0,0,0,0,0,0
Paris 8e,Lycée Fénelon Sainte-Marie (0753873C),16,0,3,0,3,0,0,0
Paris Cedex 05,Lycée Louis Le Grand (0750655E),50,9,43,8,42,8,17,3
Paris Cedex 06,Lycée Saint-Louis (0750658H),127,28,38,3,34,3,6,0
Paris Cedex 06,Lycée Stanislas (0753840S),67,8,40,3,36,3,9,0
Paris Cedex 09,Lycée Jacques Decour (0750668U),26,5,2,0,1,0,0,0
Paris Cedex 12,Lycée Paul Valery (0750679F),3,0,0,0,0,0,0,0
Paris 13e,Lycée Pierre-Gilles de Gennes - ENCPB (0750685M),2,0,0,0,0,0,0,0
Paris 15e,Lycée Buffon (0750693W),7,1,0,0,0,0,0,0
Paris 16e,Lycée Claude Bernard (0750698B),22,1,4,0,2,0,0,0
Paris 16e,Lycée Janson de Sailly (0750699C),42,7,10,2,10,2,2,0
Paris 16e,Lycée Jean-Baptiste Say (0750700D),9,2,1,0,1,0,0,0
Paris 8e,Lycée Chaptal (0750663N),22,4,7,1,6,1,1,0
Paris 9e,Lycée Condorcet (0750667T),41,10,17,2,17,2,2,0
Perpignan,Lycée François Arago (0660010C),7,1,2,0,1,0,0,0
Pointe-à-Pitre Cedex (guadeloupe),L G T de Baimbridge (9710003B),5,2,0,0,0,0,0,0
Poitiers Cedex,Lycée Camille Guérin (0860035W),2,0,0,0,0,0,0,0
Rabat,Lycée Ibn Al Ghazi (99951011),3,0,0,0,0,0,0,0
Rabat,Lycée Moulay Youssef (99926611),2,1,0,0,0,0,0,0
Reims Cedex,Lycée Franklin Roosevelt (0510034K),8,0,3,0,2,0,1,0
Rennes,Lycée Joliot-Curie (0350029S),2,0,0,0,0,0,0,0
Rennes Cedex 7,Lycée Chateaubriand (0350710G),14,2,5,2,5,2,0,0
Rouen Cedex,Lycée Pierre Corneille (0760090K),9,3,2,1,2,1,0,0
Sainte-Clotilde Cedex (la Réunion),Lycée Leconte de Lisle (9740001H),1,0,0,0,0,0,0,0
Saint-Etienne,Lycée Etienne Mimard (0420046X),2,1,0,0,0,0,0,0
Saint-Maur-Des-Fosses,Lycée D'Arsonval (0940121W),5,1,0,0,0,0,0,0
Saint-Maur-Des-Fosses Cedex,Lycée Marcelin Berthelot (0940120V),63,11,16,0,13,0,1,0
Sceaux Cedex,Lycée Lakanal (0920145H),31,3,10,1,9,1,1,0
Sophia Antipolis Cedex,Lycée international de Valbonne (0061642C),6,1,0,0,0,0,0,0
Strasbourg,Lycée Kleber (0670080Y),34,8,5,0,3,0,1,0
Strasbourg,Lycée Louis Couffignal (0670085D),1,0,0,0,0,0,0,0
Strasbourg,Lycée Ort (0671636P),7,2,0,0,0,0,0,0
Toulon Cedex,Lycée Dumont D'Urville (0830053G),3,0,1,0,1,0,0,0
Toulouse,Lycée Bellevue (0310038Y),7,2,0,0,0,0,0,0
Toulouse,Lycée Déodat de Séverac (0310044E),5,1,1,0,1,0,0,0
Toulouse Cedex 7,Lycée Pierre de Fermat (0310036W),38,9,26,7,18,5,8,2
Tours Cedex 1,Lycée Descartes (0370035M),14,1,0,0,0,0,0,0
Troyes,Lycée Chrestien De Troyes (0100022V),1,0,0,0,0,0,0,0
Tunis,IPEST (99926211),13,7,1,0,1,0,0,0
Valenciennes Cedex,Lycée Henri Wallon (0590221V),6,1,1,0,0,0,0,0
Vanves Cedex,Lycée Michelet (0920149M),8,1,2,0,2,0,1,0
Versailles,Lycée Jules Ferry (0782565P),1,0,0,0,0,0,0,0
Versailles,Lycée Sainte Geneviève (0783053V),39,8,34,7,33,7,11,4
Versailles Cedex,Lycée Hoche (0782562L),44,12,28,4,28,4,4,0
