ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Agadir,Groupe scolaire Al Qalam (99693001),9,4,5,2,2,0,0,0
Agadir,Lycée Reda Slaoui (99926811),58,23,45,15,30,10,8,2
Aix-En-Provence Cedex 1,Lycée Militaire (0131596P),25,2,12,1,9,1,4,0
Aix-En-Provence Cedex 5,Lycée Paul Cézanne (0130002G),32,9,27,9,16,6,6,2
Alger,Lycée Cheikh Bouamama (ex-Descartes) (L0029),1,0,0,0,0,0,0,0
Amiens Cedex 03,Lycée Louis Thuillier (0800009A),56,15,39,12,31,10,14,7
Angers Cedex 01,Lycée Henri Bergson (0491966W),30,3,19,1,15,1,8,0
Annecy Cedex,Lycée Berthollet (0740003B),59,12,49,10,42,8,16,3
Antony,Lycée Sainte Marie (0920904H),31,6,25,4,20,4,7,1
Arras,Lycée Robespierre (0620006V),22,4,12,3,7,2,2,0
Autun Cedex,Lycée Militaire National (0711064W),19,2,6,1,4,1,2,0
Beni-Mellal,DAY PREPAS (L0038),11,1,4,1,2,0,1,0
Beni-Mellal,Lycée Technique Mohamed V (99929811),13,2,9,0,7,0,3,0
Besançon,Lycée Victor Hugo (0250007X),61,20,51,16,44,13,12,5
Beyrouth,Ecole Supérieure d'ingénieurs (99926311),1,0,0,0,0,0,0,0
Blois Cedex,Lycée Dessaignes (0410002E),20,6,11,4,10,4,7,3
Bordeaux Cedex,Lycée Camille Jullian (0330023W),43,9,42,9,31,5,12,2
Bordeaux Cedex,Lycée Michel Montaigne (0330021U),101,25,95,23,75,19,20,4
Boulogne-Sur-Mer Cedex,Lycée Mariette (0622949U),20,5,11,2,6,1,2,1
Bourg-En-Bresse,Lycée Lalande (0010013J),20,2,13,1,13,1,1,0
Bourges,Lycée Alain-Fournier (0180005H),19,6,8,3,5,2,4,2
Brest,Lycée Naval (0290063L),24,4,11,3,11,3,4,0
Brest,Lycée Sainte Anne (0290338K),17,7,10,4,6,3,2,1
Brest Cedex 2,Lycée de Kerichen (0290007A),73,12,70,12,52,8,15,4
Caen Cedex 4,Lycée Malherbe (0140013N),106,21,60,15,42,11,13,3
Cannes Cedex,Lycée Stanislas (0060673Z),12,1,6,0,5,0,0,0
Casablanca,Centre privé GALILEE (99927511),47,13,16,7,7,1,5,0
Casablanca,ECOLE YASSAMINE CALIFORNIE (L0004),50,17,22,11,15,7,8,3
Casablanca,ESTEM (E0004),13,4,1,0,1,0,1,0
Casablanca,Groupe ESG MAROC (E0005),20,9,6,3,3,1,0,0
Casablanca,Groupe scolaire La Résidence (3500055H),51,19,24,6,16,3,1,0
Casablanca,Lycée Al Khansaa (3500050C),63,27,41,17,22,9,6,2
Casablanca,Lycée Mohamed V (99926411),56,25,41,18,21,6,6,1
Casablanca,PREPAS ELBILIA (99696011),17,8,8,3,2,1,0,0
Castres,Lycée Borde Basse (0810959C),23,3,22,3,19,2,9,0
Chambéry,Lycée Vaugelas (0730013T),15,3,8,2,8,2,2,1
Chartres,Lycée Marceau (0280007F),26,2,19,2,14,1,6,0
Cherbourg-Octeville,Lycée Victor Grignard (0501828R),37,8,27,5,24,4,16,3
Clermont-Ferrand,Lycée Godefroy De Bouillon (0631068U),14,3,4,1,2,0,1,0
Clermont-Ferrand,Lycée La Fayette (0630021F),19,2,9,1,9,1,3,0
Clermont-Ferrand Cedex,Lycée Blaise Pascal (0630018C),76,11,74,11,59,10,9,0
Compiègne Cedex,Lycée Pierre d'Ailly (0600014P),34,11,8,3,4,2,2,2
Dijon,Lycée Carnot (0210015C),82,13,69,12,61,12,27,6
Douai,Lycée Albert Chatelet (0590063Y),29,5,17,4,12,3,6,3
Dunkerque Cedex,Lycée Jean Bart (0590071G),20,4,14,4,9,1,2,1
El Jadida,classes préparatoires Ibn Younes (L0007),8,2,0,0,0,0,0,0
Enghien-Les-Bains,Lycée Gustave Monod (0950644J),32,8,18,5,13,2,6,1
Epinal,Lycée Claude Gellee (0880020U),36,7,28,6,21,4,12,1
Errachidia,FERMAT (L0040),2,0,0,0,0,0,0,0
Errachidia,Lycée Ibn Tahir (99929511),7,1,4,0,2,0,0,0
Evry,Lycée Parc des Loges (0911251R),21,3,12,2,9,2,4,2
Fès,Centre des classes préparatoires Moulay Dris (99926711),106,41,94,36,69,24,23,7
Fès,Etablissement Al Cachy (99695011),69,32,43,21,24,8,14,4
Fès,Ibn Ghazi (L0056),37,12,11,2,6,1,3,1
