ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Agadir,Lycée Reda Slaoui (99926811),12,0,4,0,3,0,2,0
Albi,Lycée Louis Rascol (0810004P),29,3,27,3,18,2,10,2
Alès,Lycée Jean-Baptiste Dumas - C.T. (0300002P),25,5,14,4,3,1,1,0
Amiens Cedex 03,Lycée Louis Thuillier (0800009A),12,0,8,0,7,0,4,0
Aubervilliers,Lycée Le Corbusier (0930117X),8,3,7,2,4,2,4,2
Brive-La-Gaillarde,Lycée Georges Cabanis (0190010H),14,1,14,1,7,0,1,0
Cachan,Lycée Gustave Eiffel (0940111K),21,1,17,0,7,0,3,0
Cannes Cedex,Lycée Jules Ferry (0060014H),24,0,21,0,9,0,4,0
Chambéry,Lycée Monge (0730016W),22,1,8,1,4,0,3,0
Clermont-Ferrand,Lycée La Fayette (0630021F),11,0,6,0,4,0,2,0
Colmar,Lycée Blaise Pascal (0680010S),17,2,12,2,10,2,4,2
Corbeil-Essonnes,Lycée Robert Doisneau (0910620E),17,2,11,1,4,0,0,0
Dijon,Lycée Gustave Eiffel (0211033J),35,0,29,0,16,0,9,0
Fort-De-France,Lycée Joseph Gaillard (9720004X),16,3,0,0,0,0,0,0
La Rochelle,Lycée Léonce Vieljeux (0170029P),33,5,25,3,14,1,6,1
La Roche-Sur-Yon,Lycée Saint François d'Assise (0851642Y),5,0,3,0,2,0,0,0
Le Mans Cedex 1,Lycée Touchard Washington (0720033V),10,2,7,1,7,1,3,1
Lorient,Lycée Saint Joseph Lorient (0560181T),20,1,13,1,6,0,2,0
Lyon,Lycée aux Lazaristes (0690522T),18,3,12,2,9,1,5,1
Lyon,Lycée Edouard Branly (0690128P),23,1,23,1,11,0,7,0
Marseille,Lycée Antonin Artaud (0132733A),15,0,12,0,6,0,6,0
Meaux,Lycée Pierre de Coubertin (0770931U),11,0,8,0,4,0,4,0
Metz,Lycée Louis Vincent (0570058D),21,1,11,1,8,0,3,0
Mohammedia,Lycée Technique - Mohammadia (99927711),24,6,6,0,6,0,5,0
Montbéliard,Lycée Viette (0250032Z),13,1,9,1,3,0,1,0
Montceau-Les-Mines,Lycée Henri Parriat (0710054Y),27,4,26,4,18,2,11,2
Oujda,Lycée Omar Ibn Abdelaziz (99927611),6,1,5,1,1,0,1,0
Paris,Lycée Raspail (0750691U),39,1,29,1,17,1,13,0
Paris 6e,Lycée Saint-Nicolas (0754025T),20,1,16,1,9,0,3,0
Pau,Lycée Saint-Cricq (0640057P),25,2,17,2,11,1,7,0
Rueil-Malmaison,Lycée Richelieu (0920799U),25,1,24,1,17,1,8,0
Safi,Lycée Moulay Abdellah (99929411),2,1,1,0,1,0,1,0
Saint-Benoit,Lycée Amiral Pierre Bouvet (9740471U),18,3,14,3,12,3,7,3
Saint-Brieuc,Lycée Chaptal (0220058U),17,0,13,0,2,0,1,0
Saint-Etienne,Lycée Etienne Mimard (0420046X),16,0,13,0,7,0,7,0
Saint-Nazaire,Lycée Aristide Briand (0440069L),17,1,10,1,7,1,2,0
Saint-Orens-De-Gameville,Lycée Pierre-Paul Riquet (0312289V),20,0,12,0,6,0,3,0
Saint-Ouen-L'Aumone,Lycée Jean Perrin (0951104J),32,0,17,0,6,0,5,0
Settat,Centre des classes préparatoires Settat (E0003),12,2,7,2,3,1,2,0
Sotteville-Lès-Rouen,Lycée Marcel Sembat (0760110G),8,0,5,0,2,0,1,0
Toulon,Lycée Rouvière (0830056K),20,1,17,1,6,0,3,0
Tourcoing,Lycée Colbert (0590214M),6,0,4,0,0,0,0,0
Troyes,Lycée Les Lombards (0100025Y),22,0,18,0,7,0,3,0
Valenciennes,Lycée Du Hainaut (0590223X),10,1,9,1,3,0,2,0
Versailles,Lycée Jules Ferry (0782565P),10,1,8,0,7,0,3,0
