ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Aix-En-Provence Cedex 5,Lycée Paul Cézanne (0130002G),7,0,1,0,0,0,0,0
Amiens Cedex 03,Lycée Louis Thuillier (0800009A),9,1,1,0,1,0,1,0
Angers Cedex 01,Lycée Henri Bergson (0491966W),2,0,0,0,0,0,0,0
Annecy Cedex,Lycée Berthollet (0740003B),12,4,1,1,1,1,1,1
Antony,Lycée Sainte Marie (0920904H),4,0,0,0,0,0,0,0
Arras,Lycée Robespierre (0620006V),1,0,0,0,0,0,0,0
Balma,Lycée Saliège (0312408Z),18,4,1,0,0,0,0,0
Bayonne,Lycée René Cassin (0640010N),5,0,0,0,0,0,0,0
Beaucamps-Ligny,Lycée Sainte Marie (0592932S),3,1,0,0,0,0,0,0
Besançon,Lycée Victor Hugo (0250007X),6,0,1,0,1,0,0,0
Bordeaux Cedex,Lycée Michel Montaigne (0330021U),35,5,9,1,9,1,4,1
Brest,Lycée Sainte Anne (0290338K),1,0,0,0,0,0,0,0
Brest Cedex 2,Lycée de Kerichen (0290007A),5,0,0,0,0,0,0,0
Caen,Lycée Privé Sainte-Marie (0141164P),2,0,0,0,0,0,0,0
Caen,Lycée Victor Hugo (0142059M),9,4,4,1,3,1,3,1
Chartres,Lycée Marceau (0280007F),1,0,0,0,0,0,0,0
Clermont-Ferrand Cedex,Lycée Blaise Pascal (0630018C),18,3,2,0,2,0,1,0
Dijon,Lycée Carnot (0210015C),10,1,2,0,2,0,2,0
Douai,Lycée Albert Chatelet (0590063Y),3,0,0,0,0,0,0,0
Enghien-Les-Bains,Lycée Gustave Monod (0952196W),1,0,0,0,0,0,0,0
Epinay-Sur-Seine,Lycée Jacques Feyder (0930120A),1,0,0,0,0,0,0,0
Evreux,Lycée Aristide Briand (0270016W),1,0,0,0,0,0,0,0
Fontainebleau,Lycée François 1er (0770927P),2,1,1,0,1,0,0,0
Fort-De-France Cedex (martinique),Lycée de Bellevue (9720003W),1,1,0,0,0,0,0,0
Grenoble Cedex 1,Lycée Champollion (0380027Y),32,7,9,3,6,2,3,2
La Flèche Cedex,Prytanée National Militaire (0720896H),2,1,0,0,0,0,0,0
La Mulatière,Lycée Assomption Bellevue (0690539L),1,0,0,0,0,0,0,0
Le Mans Cedex 01,Lycée Montesquieu (0720029R),9,1,0,0,0,0,0,0
Le Raincy,Lycée Albert Schweitzer (0930830X),3,1,0,0,0,0,0,0
