ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Agadir,Groupe scolaire Al Qalam (99693001),2,0,0,0,0,0,0,0
Agadir,Lycée Reda Slaoui (99926811),20,6,4,1,3,0,0,0
Aix-En-Provence,Lycée Vauvenargues (0130003H),24,4,10,2,7,1,4,1
Aix-En-Provence Cedex 1,Lycée Militaire (0131596P),14,2,9,1,8,0,3,0
Ajaccio,Lycée Laetitia Bonaparte (6200002H),5,3,4,3,2,1,1,0
Albi,Lycée Laperouse (0810006S),19,4,7,1,5,1,0,0
Amiens Cedex 03,Lycée Louis Thuillier (0800009A),17,2,5,0,2,0,1,0
Angers,Lycée Saint-Martin (0490824E),20,3,7,2,6,2,2,1
Angers Cedex 01,Lycée Henri Bergson (0491966W),22,1,16,1,6,0,3,0
Annecy Cedex,Lycée Berthollet (0740003B),34,7,31,7,27,7,4,3
Annonay,Lycée Saint Denis (0071126L),5,0,3,0,0,0,0,0
Antony,Lycée Sainte Marie (0920904H),36,2,17,0,12,0,3,0
Argenteuil,Lycée Jean Jaurès (0950641F),19,3,4,1,3,1,1,0
Arras,Lycée Robespierre (0620006V),21,4,8,2,5,0,0,0
Auxerre,Lycée Jacques Amyot (0890003V),9,1,0,0,0,0,0,0
Avignon Cedex,Lycée Frédéric Mistral (0840003X),33,3,2,0,1,0,0,0
Balma,Lycée Saliège (0312408Z),29,6,20,4,15,3,0,0
Belfort,Lycée Raoul Follereau (0900004R),5,0,4,0,3,0,1,0
Besançon,Lycée Victor Hugo (0250007X),33,5,26,3,18,2,9,2
Bordeaux,Lycée Gustave Eiffel (0330028B),87,17,76,15,69,12,21,5
Bordeaux Cedex,Lycée Michel Montaigne (0330021U),72,15,71,14,64,11,19,3
Brest,Lycée Naval (0290063L),19,3,18,2,12,2,4,1
Brest,Lycée Sainte Anne (0290338K),14,1,4,0,3,0,0,0
Brest Cedex 2,Lycée Vauban (0290012F),31,7,25,7,17,3,6,1
Caen,Lycée Victor Hugo (0142059M),37,9,21,6,17,5,5,1
Cannes Cedex,Lycée Stanislas (0060673Z),35,7,26,4,17,4,3,1
Casablanca,ELBILIA SUP (99696011),11,4,3,0,2,0,0,0
Casablanca,Groupe scolaire La Résidence (3500055H),16,7,1,0,1,0,0,0
Casablanca,Lycée Mohamed V (99926411),13,8,0,0,0,0,0,0
Chambéry,Lycée Vaugelas (0730013T),23,5,8,0,4,0,1,0
Clermont-Ferrand,Lycée La Fayette (0630021F),39,6,26,3,22,3,7,2
Clermont-Ferrand Cedex,Lycée Blaise Pascal (0630018C),41,4,27,3,21,3,6,1
Dijon,Lycée Carnot (0210015C),38,7,36,7,32,6,14,2
Dijon,Lycée Gustave Eiffel (0211033J),36,9,19,3,13,0,0,0
Douai,Lycée Albert Chatelet (0590063Y),42,9,28,6,28,6,4,3
Dunkerque Cedex,Lycée Jean Bart (0590071G),12,2,8,1,6,1,1,0
El Jadida,Lycée Errazi (99927011),1,0,0,0,0,0,0,0
Evreux,Lycée Aristide Briand (0270016W),21,4,9,1,6,0,0,0
Evry,Lycée Parc des Loges (0911251R),22,5,6,0,5,0,3,0
Fès,Centre des classes préparatoires Moulay Dris (99926711),8,1,2,0,1,0,0,0
Fontainebleau,Lycée François 1er (0770927P),35,9,24,8,19,5,3,1
Fort-De-France Cedex (martinique),Lycée de Bellevue (9720003W),25,9,5,1,3,1,0,0
