ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Aix-En-Provence,Lycée Vauvenargues (0130003H),47,8,37,6,34,6,3,0
Ajaccio,Lycée Laetitia Bonaparte (6200002H),17,4,11,2,11,2,0,0
Angers Cedex 01,Lycée Chevrollier (0490003M),29,5,21,2,21,2,0,0
Armentières,Lycée Gustave Eiffel (0590011S),50,5,32,4,30,4,6,0
Aubervilliers,Lycée Le Corbusier (0930117X),11,5,4,2,3,1,1,0
Avignon,Lycée Philippe de Girard (0840005Z),21,0,2,0,0,0,0,0
Baie Mahault/guadeloupe,Lycée Charles Coeffin (9710004C),23,2,0,0,0,0,0,0
Belfort,Lycée Raoul Follereau (0900004R),23,6,12,2,9,2,3,1
Besançon,Lycée Jules Haag (0250011B),32,5,6,1,5,1,1,0
Bordeaux,Lycée Gustave Eiffel (0330028B),80,11,70,8,68,8,6,0
Brest,Lycée La Croix Rouge (0290335G),30,1,14,0,11,0,1,0
Brest Cedex 2,Lycée Vauban (0290012F),32,5,12,3,12,3,3,2
Cachan,Lycée Gustave Eiffel (0940111K),42,6,35,6,35,6,3,0
Caen,Lycée Jules Dumont d'Urville (0142131R),27,4,21,4,18,3,4,1
Chalon-Sur-Saône,Lycée Nicephore Niepce (0710012C),7,2,5,1,4,1,1,0
Champagne-Sur-Seine,Lycée La Fayette (0770920G),18,0,2,0,1,0,0,0
Champigny-Sur-Marne,Lycée Langevin-Wallon (0940113M),22,3,3,0,2,0,0,0
Clichy,Lycée Newton-Enrea (0920136Y),23,2,9,0,9,0,0,0
Cluny,Lycée La Prat's (0710023P),23,2,14,1,12,1,0,0
Dijon,Lycée Gustave Eiffel (0211033J),36,4,19,1,14,1,3,0
Dunkerque,Lycée De L'Europe (0590072H),11,2,1,1,1,1,1,1
Grenoble,Lycée Vaucanson (0380033E),70,9,28,3,26,3,6,0
Le Havre,Lycée Robert Schuman (0760058A),15,1,5,1,3,1,0,0
Le Mans Cedex 1,Lycée Touchard Washington (0720033V),17,1,12,1,12,1,2,0
Lille,Lycée César Baggio (0590121L),55,12,21,2,18,2,2,0
Lille,Lycée privé Frédéric Ozanam (0593007Y),3,0,1,0,0,0,0,0
Limoges,Lycée Turgot (0870056N),34,7,18,3,17,3,3,2
Lyon,Lycée aux Lazaristes (0690522T),9,1,5,0,3,0,2,0
Lyon,Lycée La Martinière Monplaisir (0692866R),89,10,72,9,70,9,17,3
Marseille,Lycée Jean Perrin (0130053M),85,13,61,7,60,7,4,0
Massy Cedex,Lycée Parc de Vilgenis (0910727W),19,2,3,1,2,0,1,0
Meaux,Lycée Pierre de Coubertin (0770931U),10,0,3,0,3,0,1,0
Metz,Lycée Louis De Cormontaigne (0573227Y),14,1,3,0,3,0,1,0
Monastir,I.P.E.I (99949911),2,0,0,0,0,0,0,0
Montauban,Lycée Bourdelle (0820021C),20,3,7,1,6,1,1,0
Montluçon,Lycée Paul Constans (0030026M),23,3,18,0,17,0,2,0
Montpellier,Lycée Jean Mermoz (0340042L),43,11,36,8,35,8,7,3
Nancy,Lycée Henri Loritz (0540042C),36,0,23,0,23,0,3,0
Nantes,Lycée Eugène Livet (0440029T),84,12,75,11,70,11,7,2
Nevers,Lycée Jules Renard (0580031U),15,2,11,1,11,1,3,1
Nice,Lycée Les Eucalyptus (0060075Z),61,3,35,3,32,3,4,0
Nimes,Lycée Dhuoda (0300026R),28,3,10,0,8,0,1,0
Nogent Sur Oise,Lycée Marie Curie (0600020W),43,11,36,9,36,9,4,0
Nouméa,Lycée Jules Garnier (9830003L),22,6,19,5,18,5,2,0
Orléans,Lycée Benjamin Franklin (0450051L),24,2,5,0,3,0,1,0
Paris,Lycée Raspail (0750691U),81,6,52,5,51,5,5,1
Paris,Lycée Voltaire (0750675B),38,7,13,1,10,1,1,0
Paris 11e,Lycée Dorian (0750676C),33,4,25,4,24,4,1,0
Paris 16e,Lycée Jean-Baptiste Say (0750700D),21,2,20,2,19,2,1,0
Paris 8e,Lycée Chaptal (0750663N),42,6,38,4,38,4,2,0
Poitiers,Lycée Louis Armand (0860037Y),19,3,1,0,1,0,0,0
Pringy,Lycée Louis Lachenal (0740006E),35,8,29,7,29,7,6,2
Reims Cedex,Lycée Franklin Roosevelt (0510034K),38,2,22,1,13,1,0,0
Rennes,Lycée Joliot-Curie (0350029S),36,4,30,3,30,3,6,1
Rouen,Lycée Blaise Pascal (0760095R),36,2,10,0,9,0,2,0
Rueil-Malmaison,Lycée Passy Buzenval (0920928J),30,3,21,3,20,3,1,0
Saint-Etienne,Lycée Etienne Mimard (0420046X),38,3,20,2,18,2,6,0
Saint-Sylvain D'Anjou,Lycée Saint Aubin La Salle (0492420P),18,3,13,2,12,2,7,2
Ste Clotilde/la Reunion,Lycée Lislet-Geoffroy (9740054R),23,5,3,0,3,0,0,0
Strasbourg,Lycée Louis Couffignal (0670085D),52,6,27,3,24,3,5,1
Tarbes,Lycée Jean Dupuy (0650027B),24,3,3,1,2,0,0,0
Thiers,Lycée Jean Zay (0630069H),25,5,12,0,10,0,2,0
Toulon,Lycée Rouvière (0830056K),28,4,18,2,18,2,2,0
Toulouse,Lycée Déodat de Séverac (0310044E),39,6,31,5,31,5,2,0
Toulouse,Lycée Saint-Joseph (0311145B),4,2,1,0,1,0,0,0
Tours,Lycée J. de Vaucanson (0371418R),46,6,36,3,34,2,6,0
Tunis,IPEI El Manar (99951211),1,0,0,0,0,0,0,0
Vannes,Lycée Alain René Lesage (0560051B),33,3,20,1,19,1,2,0
Versailles,Lycée Jules Ferry (0782565P),87,5,81,4,81,4,5,0
Versailles Cedex,Lycée privé Sainte Geneviève (0783053V),26,6,25,5,25,5,0,0
Voiron,Lycée Ferdinand Buisson (0380092U),36,3,19,2,15,1,4,0
