ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Aix-En-Provence,Lycée Vauvenargues (0130003H),32,6,14,2,14,2,2,0
Ajaccio,Lycée Laetitia Bonaparte (6200002H),15,3,4,1,4,1,0,0
Angers Cedex 01,Lycée Chevrollier (0490003M),28,3,10,1,10,1,1,0
Armentières,Lycée Gustave Eiffel (0590011S),22,3,11,2,11,2,1,0
Aubervilliers,Lycée Le Corbusier (0930117X),10,5,0,0,0,0,0,0
Avignon,Lycée Philippe de Girard (0840005Z),8,0,0,0,0,0,0,0
Baie Mahault/guadeloupe,Lycée Charles Coeffin (9710004C),10,1,0,0,0,0,0,0
Belfort,Lycée Raoul Follereau (0900004R),14,6,2,1,2,1,0,0
Besançon,Lycée Jules Haag (0250011B),12,1,0,0,0,0,0,0
Bordeaux,Lycée Gustave Eiffel (0330028B),59,6,18,1,18,1,0,0
Brest,Lycée La Croix Rouge (0290335G),18,1,3,0,3,0,0,0
Brest Cedex 2,Lycée Vauban (0290012F),15,3,4,0,4,0,0,0
Cachan,Lycée Gustave Eiffel (0940111K),37,6,17,1,17,1,5,0
Caen,Lycée Jules Dumont d'Urville (0142131R),14,2,5,1,5,1,0,0
Chalon-Sur-Saône,Lycée Nicephore Niepce (0710012C),6,2,1,0,1,0,0,0
Champagne-Sur-Seine,Lycée La Fayette (0770920G),12,3,1,0,1,0,0,0
Champigny-Sur-Marne,Lycée Langevin-Wallon (0940113M),14,2,1,0,1,0,0,0
Clichy,Lycée Newton-Enrea (0920136Y),8,0,0,0,0,0,0,0
Cluny,Lycée La Prat's (0710023P),7,2,1,0,1,0,0,0
Dijon,Lycée Gustave Eiffel (0211033J),12,2,2,0,2,0,0,0
Dunkerque,Lycée De L'Europe (0590072H),2,0,0,0,0,0,0,0
Grenoble,Lycée Vaucanson (0380033E),37,3,9,0,9,0,1,0
Le Havre,Lycée Robert Schuman (0760058A),9,2,2,1,2,1,0,0
Le Mans Cedex 1,Lycée Touchard Washington (0720033V),8,0,6,0,5,0,1,0
Lille,Lycée César Baggio (0590121L),37,8,2,0,2,0,1,0
Lille,Lycée privé Frédéric Ozanam (0593007Y),2,1,0,0,0,0,0,0
Limoges,Lycée Turgot (0870056N),16,3,7,2,7,2,1,0
Lyon,Lycée aux Lazaristes (0690522T),6,1,3,0,2,0,1,0
Lyon,Lycée La Martinière Monplaisir (0692866R),61,8,25,2,25,2,5,2
Marseille,Lycée Jean Perrin (0130053M),50,9,11,0,11,0,2,0
Massy Cedex,Lycée Parc de Vilgenis (0910727W),9,1,1,0,1,0,1,0
Meaux,Lycée Pierre de Coubertin (0770931U),6,0,0,0,0,0,0,0
Metz,Lycée Louis De Cormontaigne (0573227Y),5,0,2,0,2,0,1,0
Montauban,Lycée Bourdelle (0820021C),8,1,2,0,2,0,1,0
Montluçon,Lycée Paul Constans (0030026M),9,0,7,0,7,0,0,0
Montpellier,Lycée Jean Mermoz (0340042L),32,8,8,2,7,2,2,0
Nancy,Lycée Henri Loritz (0540042C),22,0,5,0,4,0,1,0
Nantes,Lycée Eugène Livet (0440029T),61,11,31,7,31,7,4,2
Nevers,Lycée Jules Renard (0580031U),6,0,5,0,5,0,0,0
Nice,Lycée Les Eucalyptus (0060075Z),35,4,5,2,5,2,0,0
Nimes,Lycée Dhuoda (0300026R),17,1,0,0,0,0,0,0
Nogent Sur Oise,Lycée Marie Curie (0600020W),38,11,11,5,11,5,4,2
Nouméa,Lycée Jules Garnier (9830003L),20,7,7,2,7,2,2,2
Orléans,Lycée Benjamin Franklin (0450051L),14,1,1,0,1,0,1,0
Paris,Lycée Raspail (0750691U),56,5,10,1,10,1,0,0
Paris,Lycée Voltaire (0750675B),18,3,2,0,2,0,0,0
Paris 11e,Lycée Dorian (0750676C),23,3,9,0,9,0,2,0
Paris 16e,Lycée Jean-Baptiste Say (0750700D),35,4,30,4,30,4,6,0
Paris 8e,Lycée Chaptal (0750663N),41,6,25,2,25,2,8,0
Poitiers,Lycée Louis Armand (0860037Y),10,0,0,0,0,0,0,0
Pringy,Lycée Louis Lachenal (0740006E),26,3,15,1,15,1,4,0
Reims Cedex,Lycée Franklin Roosevelt (0510034K),14,2,3,0,1,0,0,0
Rennes,Lycée Joliot-Curie (0350029S),27,4,13,3,13,3,1,0
Rouen,Lycée Blaise Pascal (0760095R),20,0,3,0,3,0,0,0
Rueil-Malmaison,Lycée Passy Buzenval (0920928J),26,3,9,1,9,1,2,0
Saint-Etienne,Lycée Etienne Mimard (0420046X),21,2,1,0,1,0,0,0
Saint-Sylvain D'Anjou,Lycée Saint Aubin La Salle (0492420P),14,2,1,0,1,0,0,0
Ste Clotilde/la Reunion,Lycée Lislet-Geoffroy (9740054R),3,0,0,0,0,0,0,0
