ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Amiens Cedex 03,Lycée Louis Thuillier (0800009A),77,47,38,25,34,23,18,11
AMILLY,Lycée Le Chesnoy - Les Barres (0450094H),32,19,24,13,23,13,14,7
Angers,Lycée Angers le Fresne (0490946M),22,13,16,9,12,6,8,6
Arras,Lycée Robespierre (0620006V),30,17,16,10,15,9,5,5
Auzeville Tolosane,Lycée Toulouse Auzeville (0311262D),33,24,31,22,28,19,16,8
Besançon,Lycée Victor Hugo (0250007X),37,28,28,22,26,20,16,14
Bordeaux Cedex,Lycée Michel Montaigne (0330021U),90,67,68,47,61,43,39,26
BOULOGNE-BILLANCOURT,Lycée Jacques Prévert (0920134W),48,32,38,23,36,22,25,17
Caen Cedex 4,Lycée Malherbe (0140013N),80,56,58,37,53,35,39,26
Clermont-Ferrand Cedex,Lycée Blaise Pascal (0630018C),38,22,32,19,30,19,18,11
Dijon,Lycée Carnot (0210015C),47,32,44,29,38,27,23,14
Douai,Lycée Albert Chatelet (0590063Y),30,16,16,9,16,9,9,4
DUCOS,Lycée Polyvalent Centre Sud (9720825P),24,12,12,4,11,3,8,3
Fontainebleau,Lycée François 1er (0770927P),36,22,27,15,26,14,17,7
Grenoble Cedex 1,Lycée Champollion (0380027Y),82,58,81,57,77,56,47,33
La Mulatière,Lycée Assomption Bellevue (0690539L),35,27,27,19,21,14,13,7
Le Raincy,Lycée Albert Schweitzer (0930830X),22,13,6,3,5,2,3,1
Le Tampon,Lycée Roland Garros (9740002J),33,27,22,18,21,17,12,10
Lempdes,Legta Louis Pasteur - Lempdes (0630984C),29,20,27,18,24,15,18,11
Lille Cedex,Lycée Faidherbe (0590119J),75,55,57,42,50,36,18,11
Limoges,Lycée Léonard Limosin (0870016V),36,25,22,13,20,11,8,4
Lyon,Lycée La Martinière Monplaisir (0692866R),47,26,44,23,38,20,23,12
Lyon Cedex 06,Lycée du Parc (0690026D),128,102,122,96,118,92,92,74
Marseille Cedex 1,Lycée Thiers (0130040Y),130,93,104,73,94,64,54,36
Metz Cedex 1,Lycée Georges de La Tour (0572757M),33,25,14,9,14,9,10,8
Montpellier Cedex 2,Lycée Joffre (0340038G),38,26,37,25,37,25,27,17
Nancy Cedex,Lycée Henri Poincaré (0540038Y),83,64,65,49,61,47,46,34
Nantes,Externat des Enfants Nantais (0440160K),35,23,20,13,18,12,14,9
Nantes Cedex 1,Lycée Clémenceau (0440021J),87,63,70,49,68,48,41,27
Nice Cedex 1,Lycée Massena (0060030A),43,28,38,24,36,23,20,14
Nîmes Cedex,Lycée Emmanuel d'Alzon (0300080Z),36,18,23,11,23,11,15,7
Orléans Cedex 1,Lycée Pothier (0450049J),39,23,33,17,30,14,21,10
Paris,Lycée Saint-Louis (0750658H),139,108,130,100,127,97,90,73
Paris,Lycée Janson de Sailly (0750699C),87,57,85,56,84,56,68,45
Paris Cedex 05,Lycée Henri IV (0750654D),42,32,42,32,42,32,26,20
Paris 13e,Lycée Geoffroy Saint-Hilaire (0752456M),22,16,1,1,0,0,0,0
Paris 13e,Lycée Pierre-Gilles de Gennes - ENCPB (0750685M),38,24,17,13,16,12,10,7
Paris 16e,Lycée Jean-Baptiste Say (0750700D),34,24,26,19,25,18,18,13
Paris 6e,Lycée Fénelon (0750660K),47,32,40,26,39,26,24,14
Paris 8e,Lycée Chaptal (0750663N),78,55,65,45,61,41,48,35
Pau Cedex,Lycée Louis Barthou (0640055M),40,33,21,15,19,13,11,9
Pointe-à-Pitre Cedex (guadeloupe),Lycée Baimbridge (9710003B),19,13,5,4,4,3,0,0
Poitiers Cedex,Lycée Camille Guérin (0860035W),74,52,35,24,31,22,19,14
Reims Cedex 2,Lycée Clémenceau (0510031G),33,23,19,12,19,12,12,5
Rennes Cedex 7,Lycée Chateaubriand (0350710G),137,99,116,84,108,79,81,62
Rouen Cedex,Lycée Pierre Corneille (0760090K),45,30,42,27,40,26,26,17
Saint-Amand-Les-Eaux,Institution Notre Dame des Anges (0592913W),14,10,3,2,3,2,0,0
Saint-Etienne Cedex 1,Lycée Claude Fauriel (0420041S),44,31,34,26,32,25,18,14
Saint-Maur-Des-Fosses Cedex,Lycée Marcelin Berthelot (0940120V),127,95,92,71,88,67,54,42
Sceaux Cedex,Lycée Lakanal (0920145H),75,48,69,44,67,43,44,29
Strasbourg,Lycée Jean Rostand (0670084C),49,32,46,31,40,26,37,25
Toulouse Cedex,Lycée Ozenne (0310047H),47,32,29,19,29,19,22,13
Toulouse Cedex 7,Lycée Pierre de Fermat (0310036W),92,70,85,65,84,65,66,52
Tours Cedex 1,Lycée Descartes (0370035M),44,34,39,30,38,29,28,20
Versailles Cedex,Lycée Hoche (0782562L),93,63,87,58,85,56,63,42
Versailles Cedex,Lycée privé Sainte Geneviève (0783053V),41,27,40,26,40,26,31,19
