ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Agadir,Groupe scolaire Al Qalam (99693001),3,0,1,0,1,0,0,0
Agadir,Lycée Reda Slaoui (99926811),66,19,36,10,23,8,4,0
Aix-En-Provence Cedex 1,Lycée Militaire (0131596P),16,4,15,4,10,3,5,3
Aix-En-Provence Cedex 5,Lycée Paul Cézanne (0130002G),15,3,10,3,6,2,2,1
Amiens Cedex 03,Lycée Louis Thuillier (0800009A),36,1,28,1,22,1,4,0
Angers Cedex 01,Lycée Henri Bergson (0491966W),26,5,17,4,15,4,6,2
Annecy Cedex,Lycée Berthollet (0740003B),43,4,36,4,30,4,9,2
Antony,Lycée Sainte Marie (0920904H),36,9,31,7,24,5,6,2
Arras,Lycée Robespierre (0620006V),11,1,4,0,4,0,2,0
Autun Cedex,Lycée Militaire National (0711064W),4,0,3,0,2,0,0,0
Benguérir,LYDEX (L0081),44,11,42,10,42,10,20,3
Beni-Mellal,DAY PREPAS (L0038),3,2,0,0,0,0,0,0
Beni-Mellal,Lycée Technique Mohamed V (99929811),17,2,12,2,10,2,2,0
Besançon,Lycée Victor Hugo (0250007X),53,13,39,10,33,8,14,5
Beyrouth,Ecole Supérieure d'ingénieurs (99926311),8,3,1,0,0,0,0,0
Blois Cedex,Lycée Dessaignes (0410002E),22,4,11,2,6,2,1,0
Bordeaux Cedex,Institution Sainte Marie Grand Lebrun (0331503E),12,5,10,5,6,4,0,0
Bordeaux Cedex,Lycée Camille Jullian (0330023W),36,10,29,9,18,3,6,2
Bordeaux Cedex,Lycée Michel Montaigne (0330021U),110,30,97,27,90,21,23,5
Boulogne-Sur-Mer Cedex,Lycée Mariette (0622949U),12,2,3,2,1,0,0,0
Bourg-En-Bresse,Lycée Lalande (0010013J),19,4,6,2,3,2,1,1
Bourges,Lycée Alain-Fournier (0180005H),9,1,4,0,3,0,1,0
Brest,Lycée Naval (0290063L),18,4,17,4,14,3,2,1
Brest,Lycée Sainte Anne (0290338K),11,4,6,2,4,2,1,0
Brest Cedex 2,Lycée de Kerichen (0290007A),57,11,49,10,42,8,20,4
Caen Cedex 4,Lycée Malherbe (0140013N),99,22,74,19,64,15,18,4
Cannes Cedex,Lycée Stanislas (0060673Z),16,7,12,6,10,5,3,1
Casablanca,ECOLE YASSAMINE CALIFORNIE (L0004),36,12,3,1,3,1,0,0
