ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Aix-En-Provence Cedex 1,Lycée Militaire (0131596P),1,0,1,0,1,0,0,0
Aix-En-Provence Cedex 5,Lycée Paul Cézanne (0130002G),41,18,36,16,34,16,9,4
Albi,Lycée Laperouse (0810006S),21,8,19,8,14,6,3,1
Amiens Cedex 03,Lycée Louis Thuillier (0800009A),35,8,27,6,19,3,6,2
Angers Cedex 01,Lycée Henri Bergson (0491966W),24,4,21,4,18,3,2,0
Annecy Cedex,Lycée Berthollet (0740003B),53,22,46,18,44,18,13,2
Annonay,Lycée Saint Denis (0071126L),8,3,7,2,7,2,5,2
Antony,Lycée Sainte Marie (0920904H),25,7,24,7,23,6,10,3
Arras,Lycée Robespierre (0620006V),17,4,11,4,8,1,1,0
Avignon,Lycée Saint Joseph (0840072X),22,8,21,8,18,8,8,5
Balma,Lycée Saliège (0312408Z),46,16,39,14,38,14,20,9
Bayonne,Lycée René Cassin (0640010N),16,5,15,5,14,5,8,3
Beaucamps-Ligny,Lycée Sainte Marie (0592932S),23,5,19,4,19,4,8,2
Belfort,Lycée Raoul Follereau (0900004R),18,7,18,7,12,6,5,3
Besançon,Lycée Victor Hugo (0250007X),32,9,28,8,26,8,5,1
Bordeaux Cedex,Lycée Camille Jullian (0330023W),25,11,25,11,23,10,7,3
Bordeaux Cedex,Lycée Michel Montaigne (0330021U),4,2,3,1,2,1,2,1
Bourg-En-Bresse,Lycée Lalande (0010013J),27,8,22,6,17,4,7,1
Brest,Lycée Sainte Anne (0290338K),14,4,11,3,11,3,9,3
Brest Cedex 2,Lycée de Kerichen (0290007A),39,15,30,14,27,12,10,5
Caen,Lycée Privé Sainte-Marie (0141164P),17,3,13,3,12,3,6,2
Caen,Lycée Victor Hugo (0142059M),46,20,37,16,31,14,12,6
Chartres,Lycée Marceau (0280007F),35,10,31,9,28,9,11,3
Clermont-Ferrand Cedex,Lycée Blaise Pascal (0630018C),35,11,30,11,28,9,8,2
Compiègne Cedex,Lycée Pierre d'Ailly (0600014P),17,9,14,8,11,7,3,2
Dijon,Lycée Carnot (0210015C),28,12,22,10,19,9,12,8
Douai,Lycée Albert Chatelet (0590063Y),20,3,18,3,13,2,6,1
Dunkerque Cedex,Lycée Jean Bart (0590071G),9,3,8,2,5,1,3,1
Enghien-Les-Bains,Lycée Gustave Monod (0952196W),23,9,23,9,20,7,15,5
Evreux,Lycée Aristide Briand (0270016W),21,4,16,2,12,1,5,0
Fontainebleau,Lycée François 1er (0770927P),12,3,10,3,8,3,6,2
Fort-De-France Cedex (martinique),Lycée de Bellevue (9720003W),25,11,17,6,15,6,8,3
Grenoble Cedex 1,Lycée Champollion (0380027Y),26,12,24,12,24,12,5,1
La Flèche Cedex,Prytanée National Militaire (0720896H),4,0,4,0,3,0,1,0
La Mulatière,Lycée Assomption Bellevue (0690539L),22,15,19,13,13,7,2,2
La Roche-Sur-Yon,Lycée Pierre Mendès-France (0850025R),10,4,10,4,8,4,5,3
Le Havre,Lycée François 1er (0760052U),11,3,10,3,10,3,4,1
Le Mans Cedex 01,Lycée Montesquieu (0720029R),22,8,19,7,19,7,3,0
Le Raincy,Lycée Albert Schweitzer (0930830X),19,9,18,8,16,7,9,4
Lille,Lycée Saint Jean-Baptiste De La Salle (0593005W),1,0,0,0,0,0,0,0
Lille Cedex,Lycée Faidherbe (0590119J),33,8,23,6,22,5,7,2
Limoges Cedex,Lycée Gay-Lussac (0870015U),29,13,28,13,25,12,5,2
Lorient Cedex,Lycée Dupuy De Lôme (0560025Y),14,10,11,7,8,4,3,2
Lyon,Lycée aux Lazaristes (0690522T),4,3,2,2,2,2,0,0
Lyon,Lycée Jean Perrin (0690082P),25,6,24,6,20,5,2,1
