ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Agadir,Groupe scolaire Al Qalam (99693001),9,4,1,0,0,0,0,0
Agadir,Lycée Reda Slaoui (99926811),25,9,3,2,1,0,0,0
Aix-En-Provence Cedex 1,Lycée Militaire (0131596P),42,6,39,6,33,5,21,3
Aix-En-Provence Cedex 5,Lycée Paul Cézanne (0130002G),41,12,35,10,31,9,13,5
Ajaccio,Lycée Laetitia Bonaparte (6200002H),13,1,3,0,2,0,0,0
Albi,Lycée Laperouse (0810006S),22,5,18,4,14,3,5,1
Amiens Cedex 03,Lycée Louis Thuillier (0800009A),23,6,14,3,6,0,4,0
Angers,Lycée Saint-Martin (0490824E),27,8,14,3,10,3,2,0
Angers Cedex 01,Lycée Henri Bergson (0491966W),35,4,28,4,24,4,11,3
Annecy Cedex,Lycée Berthollet (0740003B),31,7,28,5,25,4,9,1
Annonay,Lycée Saint Denis (0071126L),12,3,5,2,4,1,1,1
Antony,Lycée Sainte Marie (0920904H),45,5,36,1,26,1,6,1
Argenteuil,Lycée Jean Jaurès (0950641F),26,6,5,2,3,2,0,0
Arras,Lycée Robespierre (0620006V),36,5,15,2,9,0,6,0
Auxerre,Lycée Jacques Amyot (0890003V),15,5,5,2,2,1,1,0
Avignon Cedex,Lycée Frédéric Mistral (0840003X),46,10,23,5,12,3,3,1
Balma,Lycée Saliège (0312408Z),38,5,33,3,33,3,21,1
Belfort,Lycée Raoul Follereau (0900004R),17,3,12,1,10,1,4,1
Benguérir,LYDEX (L0081),17,10,1,0,1,0,0,0
Besançon,Lycée Victor Hugo (0250007X),43,8,35,8,31,6,9,1
Bordeaux,Lycée Gustave Eiffel (0330028B),81,15,76,14,71,14,18,2
Bordeaux Cedex,Lycée Michel Montaigne (0330021U),65,21,59,21,52,19,17,6
Brest,Lycée Naval (0290063L),32,5,30,4,23,4,7,2
Brest,Lycée Sainte Anne (0290338K),20,6,7,3,6,2,1,1
Brest Cedex 2,Lycée Vauban (0290012F),47,12,37,10,31,9,10,3
Caen,Lycée Victor Hugo (0142059M),44,11,26,8,22,6,6,2
Cannes Cedex,Lycée Stanislas (0060673Z),36,11,29,7,25,5,10,2
Casablanca,ELBILIA SUP (99696011),20,4,0,0,0,0,0,0
Casablanca,ESG Prépas (E0005),1,0,0,0,0,0,0,0
Casablanca,Groupe scolaire La Résidence (3500055H),34,7,8,0,4,0,1,0
Casablanca,Lycée Mohamed V (99926411),39,21,6,5,3,2,0,0
Chambéry,Lycée Vaugelas (0730013T),33,7,25,6,20,3,9,2
Clermont-Ferrand,Lycée La Fayette (0630021F),39,9,32,6,27,5,10,3
Clermont-Ferrand Cedex,Lycée Blaise Pascal (0630018C),43,5,39,5,33,3,13,0
Dijon,Lycée Carnot (0210015C),37,5,34,4,31,3,14,0
Dijon,Lycée Gustave Eiffel (0211033J),40,9,31,5,26,3,12,2
Douai,Lycée Albert Chatelet (0590063Y),51,9,44,9,40,8,12,1
Dunkerque Cedex,Lycée Jean Bart (0590071G),29,4,19,3,14,3,3,0
El Jadida,Lycée Errazi (99927011),11,7,1,0,1,0,0,0
Evreux,Lycée Aristide Briand (0270016W),26,4,15,1,10,1,3,0
Evry,Lycée Parc des Loges (0911251R),27,8,7,1,3,0,1,0
Fès,Centre des classes préparatoires Moulay Dris (99926711),25,4,4,0,2,0,0,0
Fontainebleau,Lycée François 1er (0770927P),39,10,28,7,22,6,8,2
Fort-De-France Cedex (martinique),Lycée de Bellevue (9720003W),36,12,10,2,7,2,3,0
Gabes,ISSATG (99951112),1,1,0,0,0,0,0,0
Grenoble Cedex 1,Lycée Champollion (0380027Y),93,15,88,14,83,14,21,6
