ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Agadir,Lycée Reda Slaoui (99926811),14,3,4,1,2,0,0,0
Albi,Lycée Louis Rascol (0810004P),31,4,22,3,18,3,11,1
Alès,Lycée Jean-Baptiste Dumas - C.T. (0300002P),27,3,20,3,9,1,2,1
Amiens Cedex 03,Lycée Louis Thuillier (0800009A),16,1,9,1,3,0,3,0
Aubervilliers,Lycée Le Corbusier (0930117X),13,3,9,2,3,0,0,0
Benguérir,LYDEX (L0081),12,2,12,2,12,2,8,0
Beni-Mellal,Lycée Technique Mohamed V (99929811),2,0,0,0,0,0,0,0
Brive-La-Gaillarde,Lycée Georges Cabanis (0190010H),25,2,25,2,20,1,9,1
Cachan,Lycée Gustave Eiffel (0940111K),34,4,25,3,20,3,8,2
Cannes Cedex,Lycée Jules Ferry (0060014H),19,2,15,1,5,0,2,0
Chambéry,Lycée Monge (0730016W),23,2,11,1,5,0,3,0
Clermont-Ferrand,Lycée La Fayette (0630021F),14,1,13,1,3,0,2,0
Colmar,Lycée Blaise Pascal (0680010S),18,2,15,1,10,0,5,0
Corbeil-Essonnes,Lycée Robert Doisneau (0910620E),21,0,10,0,6,0,3,0
Dijon,Lycée Gustave Eiffel (0211033J),32,0,20,0,12,0,4,0
Fort-De-France,Lycée Joseph Gaillard (9720004X),11,1,2,0,0,0,0,0
Haguenau,Lycée Alphonse Heinrich (0671509B),21,1,14,1,6,0,4,0
La Rochelle,Lycée Léonce Vieljeux (0170029P),31,1,23,1,13,0,6,0
La Roche-Sur-Yon,Lycée Saint François d'Assise (0851642Y),5,0,1,0,0,0,0,0
Le Mans Cedex 1,Lycée Touchard Washington (0720033V),13,3,10,3,8,3,3,0
Lorient,Lycée Saint Joseph Lorient (0560181T),35,4,25,1,8,1,4,1
Lyon,Lycée aux Lazaristes (0690522T),39,3,33,2,22,1,13,1
Lyon,Lycée Edouard Branly (0690128P),36,1,30,1,10,0,5,0
Marseille,Lycée Antonin Artaud (0132733A),17,0,15,0,8,0,4,0
Meaux,Lycée Pierre de Coubertin (0770931U),23,0,13,0,4,0,3,0
Metz,Lycée Louis Vincent (0570058D),12,1,8,0,6,0,1,0
Mohammedia,Lycée Technique - Mohammadia (99927711),22,4,8,1,6,1,1,0
Montbelliard,Lycée Polyvalent (0251994G),12,0,6,0,1,0,0,0
Montceau-Les-Mines,Lycée Henri Parriat (0710054Y),23,2,20,2,11,2,5,1
Nîmes Cedex,Lycée Emmanuel d'Alzon (0300080Z),8,2,5,1,3,0,2,0
Oujda,Lycée Omar Ibn Abdelaziz (99927611),5,1,2,0,1,0,1,0
Paris,Lycée Raspail (0750691U),39,3,29,1,14,1,5,0
Paris 6e,Lycée Saint-Nicolas (0754025T),20,0,16,0,10,0,4,0
Pau,Lycée Saint-Cricq (0640057P),32,2,21,2,12,1,8,0
Rueil-Malmaison,Lycée Richelieu (0920799U),33,1,29,1,23,0,13,0
Safi,Lycée Moulay Abdellah (99929411),13,0,6,0,4,0,1,0
Saint-Benoit,Lycée Amiral Pierre Bouvet (9740471U),20,2,16,1,4,0,1,0
Saint-Brieuc,Lycée Chaptal (0220058U),22,2,18,2,11,1,6,1
Saint-Etienne,Lycée Etienne Mimard (0420046X),23,2,11,0,7,0,5,0
Saint-Nazaire,Lycée Aristide Briand (0440069L),25,1,10,0,7,0,4,0
Saint-Orens-De-Gameville,Lycée Pierre-Paul Riquet (0312289V),16,0,8,0,5,0,2,0
Saint-Ouen-L'Aumone,Lycée Jean Perrin (0951104J),42,3,30,3,15,1,6,0
Sale,Collège Selmane Al-Farissi (L0002),9,3,5,0,4,0,2,0
Settat,Centre des classes préparatoires Settat (E0003),12,3,5,2,3,0,3,0
Sotteville-Lès-Rouen,Lycée Marcel Sembat (0760110G),24,1,15,1,10,1,6,0
Toulon,Lycée Rouvière (0830056K),26,0,24,0,15,0,10,0
Tourcoing,Lycée Colbert (0590214M),15,1,14,1,7,1,3,0
Troyes,Lycée Les Lombards (0100025Y),21,2,13,1,3,0,2,0
Valenciennes,Lycée Du Hainaut (0590223X),24,2,17,2,5,1,2,0
Versailles,Lycée Jules Ferry (0782565P),17,0,14,0,9,0,4,0
