ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Amiens Cedex 03,Lycée Louis Thuillier (0800009A),57,33,28,17,18,9,7,1
AMILLY,Lycée Le Chesnoy - Les Barres (0450094H),26,17,13,8,8,5,2,0
Angers,Lycée Angers le Fresne (0490946M),9,4,8,4,6,3,3,1
Arras,Lycée Robespierre (0620006V),32,19,14,10,7,4,3,2
Auzeville Tolosane,Lycée Toulouse Auzeville (0311262D),2,1,2,1,1,0,1,0
Besançon,Lycée Victor Hugo (0250007X),32,24,24,19,7,6,0,0
Bordeaux Cedex,Lycée Michel Montaigne (0330021U),59,41,39,24,29,18,9,5
BOULOGNE-BILLANCOURT,Lycée Jacques Prévert (0920134W),19,14,13,9,10,8,3,2
Caen Cedex 4,Lycée Malherbe (0140013N),68,42,45,28,21,13,9,5
Clermont-Ferrand Cedex,Lycée Blaise Pascal (0630018C),26,16,18,10,8,6,2,2
Dijon,Lycée Carnot (0210015C),3,2,2,1,1,0,0,0
Douai,Lycée Albert Chatelet (0590063Y),26,14,13,7,11,6,7,4
DUCOS,Lycée Polyvalent Centre Sud (9720825P),6,4,0,0,0,0,0,0
Fontainebleau,Lycée François 1er (0770927P),7,5,5,3,3,1,1,0
Grenoble Cedex 1,Lycée Champollion (0380027Y),34,32,32,30,12,11,5,5
La Mulatière,Lycée Assomption Bellevue (0690539L),25,17,17,12,7,5,2,1
Le Raincy,Lycée Albert Schweitzer (0930830X),20,16,6,5,4,4,2,2
Le Tampon,Lycée Roland Garros (9740002J),22,14,8,4,6,4,3,2
Lempdes,Legta Louis Pasteur - Lempdes (0630984C),22,14,21,14,9,7,3,1
Lille Cedex,Lycée Faidherbe (0590119J),55,34,34,21,7,3,3,2
Limoges,Lycée Léonard Limosin (0870016V),24,18,12,8,10,7,4,3
Lyon,Lycée La Martinière Monplaisir (0692866R),23,11,11,6,10,5,5,3
Lyon Cedex 06,Lycée du Parc (0690026D),35,31,25,22,6,6,3,3
Marseille Cedex 1,Lycée Thiers (0130040Y),73,59,51,42,25,22,5,3
Metz Cedex 1,Lycée Georges de La Tour (0572757M),22,15,14,8,8,4,5,2
Montpellier Cedex 2,Lycée Joffre (0340038G),13,9,10,6,0,0,0,0
Nancy Cedex,Lycée Henri Poincaré (0540038Y),58,40,49,34,23,15,10,5
Nantes,Externat-Chavagnes (0440160K),24,17,9,7,2,2,1,1
Nantes Cedex 1,Lycée Clémenceau (0440021J),21,16,16,13,9,7,1,0
Nice Cedex 1,Lycée Massena (0060030A),26,21,23,20,8,6,3,3
Nîmes Cedex,Lycée Emmanuel d'Alzon (0300080Z),34,16,24,10,17,7,2,1
Orléans Cedex 1,Lycée Pothier (0450049J),25,17,18,11,13,10,5,3
Paris,Lycée Saint-Louis (0750658H),71,52,60,48,22,15,6,4
Paris,Lycée Janson de Sailly (0750699C),15,13,14,12,9,8,2,1
Paris Cedex 05,Lycée Henri IV (0750654D),21,15,17,13,7,4,0,0
Paris 13e,Lycée Geoffroy Saint-Hilaire (0752456M),10,5,7,5,5,3,3,1
Paris 13e,Lycée Pierre-Gilles de Gennes - ENCPB (0750685M),24,20,11,10,8,7,0,0
Paris 16e,Lycée Jean-Baptiste Say (0750700D),34,23,27,19,18,13,3,2
Paris 6e,Lycée Fénelon (0750660K),44,36,35,30,27,24,7,5
Paris 8e,Lycée Chaptal (0750663N),48,30,36,22,21,12,9,7
Pau Cedex,Lycée Louis Barthou (0640055M),20,12,13,8,9,6,5,3
Pointe-à-Pitre Cedex (guadeloupe),Lycée Baimbridge (9710003B),22,15,5,5,5,5,1,1
Poitiers Cedex,Lycée Camille Guérin (0860035W),60,38,36,21,22,14,12,6
Reims Cedex 2,Lycée Clémenceau (0510031G),25,16,17,10,9,7,5,3
Rennes Cedex 7,Lycée Chateaubriand (0350710G),31,22,25,17,9,4,4,1
Rouen Cedex,Lycée Pierre Corneille (0760090K),39,26,30,22,2,2,1,1
Saint-Amand-Les-Eaux,Institution Notre Dame des Anges (0592913W),6,4,1,1,1,1,0,0
Saint-Etienne Cedex 1,Lycée Claude Fauriel (0420041S),39,28,29,20,13,8,6,4
Saint-Maur-Des-Fosses Cedex,Lycée Marcelin Berthelot (0940120V),85,62,71,51,40,29,9,5
Sceaux Cedex,Lycée Lakanal (0920145H),76,51,55,33,14,8,1,0
Strasbourg,Lycée Jean Rostand (0670084C),6,2,6,2,3,0,2,0
Toulouse Cedex,Lycée Ozenne (0310047H),28,19,19,13,9,6,2,1
Toulouse Cedex 7,Lycée Pierre de Fermat (0310036W),7,6,7,6,4,3,3,2
Tours Cedex 1,Lycée Descartes (0370035M),7,4,6,3,2,0,1,0
Versailles Cedex,Lycée Hoche (0782562L),42,30,36,24,12,7,4,2
Versailles Cedex,Lycée privé Sainte Geneviève (0783053V),38,24,38,24,8,2,0,0
