ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Agadir,Groupe scolaire Al Qalam (99693001),12,1,4,1,1,0,1,0
Agadir,Lycée Reda Slaoui (99926811),70,23,40,16,31,12,9,5
Aix-En-Provence Cedex 1,Lycée Militaire (0131596P),26,3,25,2,23,2,9,0
Aix-En-Provence Cedex 5,Lycée Paul Cézanne (0130002G),29,8,28,8,24,7,8,3
Amiens Cedex 03,Lycée Louis Thuillier (0800009A),50,6,32,3,24,3,9,2
Angers Cedex 01,Lycée Henri Bergson (0491966W),35,7,25,4,19,3,6,1
Annecy Cedex,Lycée Berthollet (0740003B),65,14,58,12,50,11,20,4
Antony,Lycée Sainte Marie (0920904H),36,6,34,4,33,4,11,2
Arras,Lycée Robespierre (0620006V),15,3,5,1,3,1,2,0
Autun Cedex,Lycée Militaire National (0711064W),19,3,14,3,10,1,6,0
Benguérir,LYDEX (L0081),55,20,54,19,51,18,16,8
Beni-Mellal,DAY PREPAS (L0038),4,2,1,0,1,0,1,0
Beni-Mellal,Lycée Technique Mohamed V (99929811),30,8,10,2,4,1,2,0
Besançon,Lycée Victor Hugo (0250007X),58,13,54,12,48,10,15,5
Bizerte,IPEIB (16200011),1,1,0,0,0,0,0,0
Blois Cedex,Lycée Dessaignes (0410002E),23,7,15,5,14,5,5,1
Bordeaux Cedex,Institution Sainte Marie Grand Lebrun (0331503E),36,12,34,11,23,5,9,0
Bordeaux Cedex,Lycée Camille Jullian (0330023W),42,13,35,10,32,9,18,4
Bordeaux Cedex,Lycée Michel Montaigne (0330021U),103,29,99,29,82,25,22,8
Boulogne-Sur-Mer Cedex,Lycée Mariette (0622949U),16,5,4,1,1,0,0,0
Bourg-En-Bresse,Lycée Lalande (0010013J),30,8,17,2,14,2,4,2
Bourges,Lycée Alain-Fournier (0180005H),33,5,12,1,10,1,2,0
Brest,Lycée Naval (0290063L),26,6,22,4,17,4,4,1
Brest,Lycée Sainte Anne (0290338K),18,4,12,2,11,2,2,0
Brest Cedex 2,Lycée de Kerichen (0290007A),66,28,62,25,58,24,28,13
Caen Cedex 4,Lycée Malherbe (0140013N),105,23,88,20,70,17,31,7
Cannes Cedex,Lycée Stanislas (0060673Z),24,5,17,5,11,3,4,1
Casablanca,ECOLE YASSAMINE CALIFORNIE (L0004),47,17,9,1,5,0,2,0
Casablanca,ELBILIA SUP (99696011),18,6,6,3,4,1,1,1
Casablanca,ESTEM (E0004),22,5,9,2,5,1,2,0
Casablanca,Groupe scolaire La Résidence (3500055H),48,14,24,11,14,7,7,4
Casablanca,Lycée Al Khansaa (3500050C),64,28,28,10,13,4,7,2
Casablanca,Lycée Mohamed V (99926411),104,35,74,23,59,17,28,11
Castres,Lycée Borde Basse (0810959C),22,5,22,5,20,5,11,2
Chambéry,Lycée Vaugelas (0730013T),39,13,31,11,26,10,18,8
Chartres,Lycée Marceau (0280007F),43,6,18,0,13,0,2,0
Cherbourg-Octeville,Lycée Victor Grignard (0501828R),44,7,37,5,33,5,13,2
Clermont-Ferrand,Lycée Godefroy De Bouillon (0631068U),25,2,12,2,11,2,5,0
Clermont-Ferrand,Lycée La Fayette (0630021F),26,3,24,3,20,3,3,0
Clermont-Ferrand Cedex,Lycée Blaise Pascal (0630018C),61,16,53,15,42,10,10,4
Compiègne Cedex,Lycée Pierre d'Ailly (0600014P),40,9,25,4,16,2,2,0
Dijon,Lycée Carnot (0210015C),111,20,102,19,88,16,39,10
Douai,Lycée Albert Chatelet (0590063Y),38,12,35,11,22,5,9,2
Douala,Ecole Supérieure d?Ingénieurs d?Afrique Centrale (E0038),9,4,0,0,0,0,0,0
Dunkerque Cedex,Lycée Jean Bart (0590071G),20,6,16,4,11,3,3,0
Enghien-Les-Bains,Lycée Gustave Monod (0952196W),29,7,15,3,8,1,0,0
Epinal,Lycée Claude Gellee (0880020U),26,8,21,8,21,8,8,4
Errachidia,Lycée Ibn Tahir (99929511),19,1,6,1,3,1,2,0
Evry,Lycée Parc des Loges (0911251R),28,7,16,3,11,2,5,0
Fès,CAP-GE ALKHYYAM (99694011),7,1,1,0,0,0,0,0
Fès,Centre des classes préparatoires Moulay Dris (99926711),101,39,61,24,52,19,29,9
Fès,Etablissement Al Cachy (99695011),70,30,18,4,7,1,2,0
Fontainebleau,Lycée François 1er (0770927P),35,10,24,7,23,7,7,1
Forbach,Lycée Jean Moulin (0570029X),24,4,12,0,6,0,3,0
Fort-De-France Cedex (martinique),Lycée de Bellevue (9720003W),20,6,3,1,2,1,1,1
Grenoble Cedex 1,Lycée Champollion (0380027Y),64,15,63,15,56,15,25,7
Kenitra,Lycée Mohamed VI (99948211),65,29,35,13,26,9,10,2
Khouribga,Centre des classes péparatoires Ibn Abdoun (99699011),22,6,10,5,8,3,5,1
La Flèche Cedex,Prytanée National Militaire (0720896H),37,4,31,3,25,3,8,0
La Rochelle,Lycée Jean Dautet (0170028N),25,6,17,4,14,2,5,1
La Roche-Sur-Yon,Lycée Saint François d'Assise (0851642Y),22,4,6,1,3,1,1,1
Laayoune,Lycée Lyssane Eddine Ibn Al-Khattib (99936811),12,2,9,1,4,1,3,0
Le Havre,Lycée François 1er (0760052U),43,6,30,4,27,4,10,3
Le Mans Cedex 01,Lycée Montesquieu (0720029R),25,6,19,4,17,4,5,2
Le Raincy,Lycée Albert Schweitzer (0930830X),43,6,37,6,24,4,11,3
Libreville,Ecole Supérieure de Management de Commerce et d'Informatique SupManagement (E0023),20,6,4,0,3,0,0,0
Libreville,Lycée LEON MBA (99928511),32,5,8,2,7,2,4,2
Lille Cedex,Lycée Faidherbe (0590119J),107,26,100,25,75,20,20,5
Limoges Cedex,Lycée Gay-Lussac (0870015U),33,6,29,5,25,5,12,2
Lorient Cedex,Lycée Dupuy De Lôme (0560025Y),30,10,25,9,17,6,5,1
Lyon,Lycée aux Lazaristes (0690522T),28,10,28,10,17,6,0,0
Lyon,Lycée Jean Perrin (0690082P),25,2,17,0,17,0,8,0
Lyon,Lycée La Martinière Monplaisir (0692866R),54,17,49,14,41,13,15,4
Lyon Cedex 06,Lycée du Parc (0690026D),64,9,57,8,48,8,7,1
Lyon Cedex 1,Institution des Chartreux (0690564N),3,0,1,0,0,0,0,0
Mantes-La-Jolie Cedex,Lycée Saint Exupéry (0782539L),26,7,16,4,11,2,4,0
Marrakech,CPGE privée Koutoubia-Prépas (99697011),5,1,2,0,1,0,0,0
Marrakech,Ibn Ghazi (L0057),33,15,3,1,2,1,1,1
Marrakech,Marrakech Prépas (99926814),8,4,4,3,2,2,1,1
Marrakech,Lycée Ibn Timiya (99926511),91,43,50,17,33,10,15,4
Marseille,Lycée Notre Dame de Sion (0131341M),35,8,13,4,8,1,1,1
Marseille Cedex 1,Lycée Thiers (0130040Y),108,28,100,26,80,19,27,9
Maubeuge,Lycée Notre-Dame De Grâce (0592916Z),18,5,5,0,4,0,1,0
Meknès,CARNOT PREPAS (L0006),31,7,15,3,6,2,1,0
Meknès,First Preparatory Classes of High Schools Private (L0099),38,15,21,7,5,3,0,0
Meknès,Lycée Omar Ibn Al Khattab (99928611),86,25,48,13,36,9,19,5
Melun Cedex,Lycée Jacques Amyot (0770933W),40,7,33,5,22,3,9,1
Metz Cedex 1,Lycée Fabert (0570054Z),71,13,63,11,52,7,20,3
Mohammedia,Lycée Omar Khayyam - Mohammadia (99928911),8,2,1,0,1,0,0,0
Mohammedia,Lycée Technique - Mohammadia (99927711),42,13,23,7,17,5,6,2
Monastir,I.P.E.I (99949911),1,0,0,0,0,0,0,0
Montpellier,Lycée Notre Dame de La Merci (0340881Y),24,4,23,4,12,3,9,3
Montpellier Cedex 2,Lycée Joffre (0340038G),75,12,65,11,49,8,15,4
Mulhouse,Lycée Albert Schweitzer (0680031P),39,9,14,3,12,3,7,3
Nabeul,IPEIN (99950811),1,1,0,0,0,0,0,0
Nancy,Université Nancy II (U073),1,0,0,0,0,0,0,0
