ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Agadir,Groupe scolaire Al Qalam (99693001),3,1,0,0,0,0,0,0
Agadir,Lycée Reda Slaoui (99926811),32,13,10,4,9,3,2,0
Aix-En-Provence Cedex 1,Lycée Militaire (0131596P),19,2,17,1,8,1,3,0
Aix-En-Provence Cedex 5,Lycée Paul Cézanne (0130002G),9,3,6,3,4,3,1,0
Amiens Cedex 03,Lycée Louis Thuillier (0800009A),21,1,10,0,5,0,3,0
Angers Cedex 01,Lycée Henri Bergson (0491966W),10,1,3,1,2,0,0,0
Annecy Cedex,Lycée Berthollet (0740003B),36,6,21,4,13,1,5,1
Antony,Lycée Sainte Marie (0920904H),33,6,16,2,12,2,5,0
Arras,Lycée Robespierre (0620006V),5,2,1,0,0,0,0,0
Autun Cedex,Lycée Militaire National (0711064W),10,2,5,0,2,0,1,0
Benguérir,LYDEX (L0081),55,20,42,14,41,14,4,0
Beni-Mellal,DAY PREPAS (L0038),4,2,0,0,0,0,0,0
Beni-Mellal,Lycée Technique Mohamed V (99929811),11,6,0,0,0,0,0,0
Besançon,Lycée Victor Hugo (0250007X),26,2,14,1,11,1,6,1
Beyrouth,Ecole Supérieure d'ingénieurs (99926311),8,3,6,2,0,0,0,0
Blois Cedex,Lycée Dessaignes (0410002E),3,0,0,0,0,0,0,0
Bordeaux Cedex,Institution Sainte Marie Grand Lebrun (0331503E),19,5,9,1,6,1,0,0
Bordeaux Cedex,Lycée Camille Jullian (0330023W),15,4,4,3,2,1,0,0
Bordeaux Cedex,Lycée Michel Montaigne (0330021U),107,28,73,18,62,16,19,4
Boulogne-Sur-Mer Cedex,Lycée Mariette (0622949U),1,0,0,0,0,0,0,0
Bourg-En-Bresse,Lycée Lalande (0010013J),10,1,2,0,1,0,0,0
Bourges,Lycée Alain-Fournier (0180005H),8,0,2,0,1,0,0,0
Brest,Lycée Naval (0290063L),26,6,17,3,7,2,5,1
Brest,Lycée Sainte Anne (0290338K),6,0,2,0,2,0,1,0
Brest Cedex 2,Lycée de Kerichen (0290007A),48,15,25,5,18,1,6,1
Caen Cedex 4,Lycée Malherbe (0140013N),65,14,19,5,13,5,4,1
Cannes Cedex,Lycée Stanislas (0060673Z),19,4,9,1,5,1,1,0
Casablanca,ECOLE YASSAMINE CALIFORNIE (L0004),16,3,1,0,1,0,0,0
Casablanca,ELBILIA SUP (99696011),6,3,1,1,1,1,0,0
Casablanca,ESTEM (E0004),14,4,0,0,0,0,0,0
Casablanca,Groupe scolaire La Résidence (3500055H),31,8,3,1,3,1,2,1
Casablanca,Lycée Al Khansaa (3500050C),29,15,2,0,0,0,0,0
Casablanca,Lycée Mohamed V (99926411),80,27,16,3,11,2,0,0
Castres,Lycée Borde Basse (0810959C),22,5,11,4,11,4,6,2
Chambéry,Lycée Vaugelas (0730013T),9,3,4,2,2,1,1,0
Chartres,Lycée Marceau (0280007F),8,0,3,0,3,0,2,0
Cherbourg-Octeville,Lycée Victor Grignard (0501828R),34,3,19,1,7,1,4,0
Clermont-Ferrand,Lycée Godefroy De Bouillon (0631068U),7,2,4,0,3,0,0,0
Clermont-Ferrand,Lycée La Fayette (0630021F),8,1,3,1,2,1,1,0
Clermont-Ferrand Cedex,Lycée Blaise Pascal (0630018C),56,14,32,3,21,2,8,1
Compiègne Cedex,Lycée Pierre d'Ailly (0600014P),7,1,3,1,2,0,1,0
Dijon,Lycée Carnot (0210015C),85,16,43,7,27,3,12,2
Douai,Lycée Albert Chatelet (0590063Y),17,3,8,3,1,1,0,0
Dunkerque Cedex,Lycée Jean Bart (0590071G),12,2,1,0,0,0,0,0
Enghien-Les-Bains,Lycée Gustave Monod (0952196W),17,4,6,1,6,1,2,0
Epinal,Lycée Claude Gellee (0880020U),14,2,4,0,2,0,1,0
Errachidia,Lycée Ibn Tahir (99929511),10,0,1,0,0,0,0,0
Evry,Lycée Parc des Loges (0911251R),11,0,6,0,2,0,1,0
Fès,CAP-GE ALKHYYAM (99694011),3,1,0,0,0,0,0,0
Fès,Centre des classes préparatoires Moulay Dris (99926711),74,24,21,3,13,0,0,0
Fès,Etablissement Al Cachy (99695011),14,2,0,0,0,0,0,0
Fontainebleau,Lycée François 1er (0770927P),20,5,3,0,1,0,0,0
Forbach,Lycée Jean Moulin (0570029X),5,0,0,0,0,0,0,0
Fort-De-France Cedex (martinique),Lycée de Bellevue (9720003W),3,3,1,1,1,1,0,0
Grenoble Cedex 1,Lycée Champollion (0380027Y),44,10,29,5,28,5,10,1
