ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Aix-En-Provence Cedex 1,Lycée Militaire (0131596P),22,5,20,5,18,5,8,3
Aix-En-Provence Cedex 5,Lycée Paul Cézanne (0130002G),77,32,73,30,62,26,27,10
Albi,Lycée Laperouse (0810006S),23,13,20,12,16,8,7,5
Amiens Cedex 03,Lycée Louis Thuillier (0800009A),46,11,30,8,27,7,10,1
Angers Cedex 01,Lycée Henri Bergson (0491966W),27,9,17,5,15,5,9,4
Annecy Cedex,Lycée Berthollet (0740003B),57,19,49,13,44,12,22,7
Annonay,Lycée Saint Denis (0071126L),10,7,7,6,4,3,1,1
Antony,Lycée Sainte Marie (0920904H),23,6,16,4,12,3,1,1
Arras,Lycée Robespierre (0620006V),21,7,10,3,5,1,2,0
Avignon,Lycée Saint Joseph (0840072X),33,6,21,3,10,1,2,0
Balma,Lycée Saliège (0312408Z),72,29,60,24,55,23,19,6
Bayonne,Lycée René Cassin (0640010N),36,9,31,7,24,6,9,2
Beaucamps-Ligny,Lycée Sainte Marie (0592932S),28,8,14,4,12,3,7,2
Belfort,Lycée Raoul Follereau (0900004R),10,5,7,4,5,3,2,1
Besançon,Lycée Victor Hugo (0250007X),58,17,48,15,46,14,22,3
Bordeaux Cedex,Lycée Camille Jullian (0330023W),42,14,38,14,32,11,14,3
Bordeaux Cedex,Lycée Michel Montaigne (0330021U),69,26,68,25,63,25,25,14
Bourg-En-Bresse,Lycée Lalande (0010013J),25,13,16,10,12,7,7,5
Brest,Lycée Sainte Anne (0290338K),13,6,6,2,3,0,0,0
Brest Cedex 2,Lycée de Kerichen (0290007A),64,20,49,16,45,13,13,2
Caen,Lycée Privé Sainte-Marie (0141164P),20,1,5,0,5,0,2,0
Caen,Lycée Victor Hugo (0142059M),71,23,53,18,43,16,10,4
Chartres,Lycée Marceau (0280007F),28,8,20,7,16,6,8,4
Clermont-Ferrand Cedex,Lycée Blaise Pascal (0630018C),66,23,65,23,64,23,24,14
Compiègne Cedex,Lycée Pierre d'Ailly (0600014P),24,7,21,7,16,7,4,3
Dijon,Lycée Carnot (0210015C),68,21,59,18,51,17,26,10
Douai,Lycée Albert Chatelet (0590063Y),32,15,23,12,17,8,11,6
Dunkerque Cedex,Lycée Jean Bart (0590071G),20,8,8,3,6,3,2,1
Enghien-Les-Bains,Lycée Gustave Monod (0952196W),24,11,14,6,9,4,0,0
Evreux,Lycée Aristide Briand (0270016W),27,2,24,1,21,1,11,1
Fontainebleau,Lycée François 1er (0770927P),22,12,12,6,9,4,1,1
Fort-De-France Cedex (martinique),Lycée de Bellevue (9720003W),24,13,12,6,10,5,5,3
Grenoble Cedex 1,Lycée Champollion (0380027Y),72,23,68,21,66,20,33,10
La Flèche Cedex,Prytanée National Militaire (0720896H),24,4,24,4,18,4,7,0
La Mulatière,Lycée Assomption Bellevue (0690539L),32,18,21,11,12,5,7,3
Le Havre,Lycée François 1er (0760052U),22,5,21,5,20,5,12,3
Le Mans Cedex 01,Lycée Montesquieu (0720029R),42,13,39,11,33,9,13,4
Le Raincy,Lycée Albert Schweitzer (0930830X),21,10,10,4,8,4,6,2
Lille Cedex,Lycée Faidherbe (0590119J),74,24,66,21,60,20,17,6
Limoges Cedex,Lycée Gay-Lussac (0870015U),42,15,37,12,26,10,8,4
Lorient Cedex,Lycée Dupuy De Lôme (0560025Y),38,18,35,16,30,14,12,6
Lyon,Lycée aux Lazaristes (0690522T),16,12,13,10,11,10,0,0
Lyon,Lycée Jean Perrin (0690082P),23,9,22,9,21,9,13,5
Lyon,Lycée La Martinière Monplaisir (0692866R),82,30,80,29,74,27,42,16
Lyon Cedex 06,Lycée du Parc (0690026D),86,31,75,31,65,28,16,4
Lyon Cedex 1,Institution des Chartreux (0690564N),2,0,2,0,1,0,0,0
Marseille Cedex 1,Lycée Thiers (0130040Y),75,26,71,24,67,23,26,11
Melun Cedex,Lycée Jacques Amyot (0770933W),26,3,20,3,16,2,3,1
Metz Cedex 1,Lycée Fabert (0570054Z),69,18,62,16,57,16,21,5
Monastir,I.P.E.I (99949911),1,1,0,0,0,0,0,0
MONTIGNY-LE-BRETONNEUX,Lycée Descartes (0781512V),22,10,15,6,15,6,8,4
Montpellier Cedex 2,Lycée Joffre (0340038G),60,22,57,21,52,19,28,7
Mulhouse,Lycée Albert Schweitzer (0680031P),30,14,22,11,19,11,11,6
Nancy Cedex,Lycée Henri Poincaré (0540038Y),60,21,53,20,46,19,19,12
Nantes,Lycée Saint Stanislas (0440163N),33,6,27,5,24,5,10,3
Nantes Cedex 1,Lycée Clémenceau (0440021J),75,27,73,27,59,24,26,10
Neuilly-Sur-Seine Cedex,Lycée Louis Pasteur (0920142E),75,32,75,32,70,31,11,7
Nice Cedex 1,Lycée Massena (0060030A),76,30,75,30,59,25,12,5
Nîmes Cedex,Lycée Alphonse Daudet (0300021K),23,12,18,10,14,8,4,2
Orléans Cedex 1,Lycée Pothier (0450049J),49,20,28,12,27,12,11,4
Orsay,Lycée Blaise Pascal (0910626L),33,14,31,13,28,13,9,6
Paris,Lycée Saint-Louis (0750658H),148,64,142,61,123,58,26,16
Paris,Lycée Honoré De Balzac (0750705J),30,4,16,3,11,2,6,2
Paris,Lycée Janson de Sailly (0750699C),116,44,106,44,85,39,19,10
Paris 4e,Lycée Charlemagne (0750652B),63,24,56,22,52,20,21,10
Paris 8e,Lycée Fénelon Sainte-Marie (0753873C),31,10,31,10,30,9,7,3
Paris Cedex 03,Lycée Turgot (0750647W),25,9,18,7,17,7,8,2
Paris Cedex 05,Lycée Henri IV (0750654D),12,8,11,7,10,6,1,0
Paris Cedex 05,Lycée Louis Le Grand (0750655E),61,22,46,17,34,13,4,1
Paris Cedex 06,Lycée Stanislas (0753840S),74,29,62,27,48,23,6,4
Paris Cedex 09,Lycée Jacques Decour (0750668U),38,14,34,12,26,11,9,3
Paris 13e,Lycée Pierre-Gilles de Gennes - ENCPB (0750685M),44,18,34,13,23,12,14,8
Paris 15e,Lycée Buffon (0750693W),30,13,23,11,23,11,10,6
Paris 17e,Lycée Carnot (0750704H),29,10,23,7,18,7,6,3
Paris 5e,Lycée Lavoisier (0750656F),48,16,28,11,24,9,5,3
Paris 6e,Lycée Fénelon (0750660K),45,16,43,16,35,16,6,4
Paris 8e,Lycée Chaptal (0750663N),67,25,61,22,55,21,25,12
Paris 9e,Lycée Condorcet (0750667T),25,8,19,8,17,8,2,1
Pau Cedex,Lycée Louis Barthou (0640055M),67,29,60,27,51,23,24,14
Périgueux Cedex,Lycée Bertran de Born (0240024W),31,10,23,10,18,9,13,8
Perpignan,Lycée François Arago (0660010C),37,17,23,8,20,7,6,1
Pointe-à-Pitre Cedex (guadeloupe),Lycée Baimbridge (9710003B),24,13,12,6,9,4,2,0
Poitiers Cedex,Lycée Camille Guérin (0860035W),32,14,22,8,19,8,6,1
Quimper,Lycée Auguste Brizeux (0290069T),16,5,10,3,8,3,3,1
Reims Cedex,Lycée Franklin Roosevelt (0510034K),59,20,46,15,37,11,10,4
Rennes,Lycée privé Assomption (0350778F),36,10,24,8,22,8,7,2
Rennes Cedex 7,Lycée Chateaubriand (0350710G),76,21,75,20,66,19,23,10
Rouen Cedex,Lycée Pierre Corneille (0760090K),72,21,67,19,65,19,23,8
Saint-Brieuc Cedex,Lycée Francois Rabelais (0220056S),22,8,19,6,16,5,8,3
Sainte-Clotilde Cedex (la Réunion),Lycée Leconte de Lisle (9740001H),22,8,14,5,9,4,2,0
Saint-Etienne Cedex 1,Lycée Claude Fauriel (0420041S),64,14,48,11,43,9,20,7
Saint-Germain-En-Laye Cedex,Lycée Jeanne D'Albret (0782132U),29,16,23,12,22,12,13,8
Saint-Ismier,Ecole des Pupilles de L'Air (0381513N),16,2,15,2,13,2,3,1
Saint-Maur-Des-Fosses Cedex,Lycée Marcelin Berthelot (0940120V),82,21,76,21,69,20,25,9
Saint-Nazaire,Lycée Aristide Briand (0440069L),27,8,21,5,16,3,10,2
Saint-Quentin,Lycée Pierre de La Ramée (0020049T),17,3,12,1,9,1,2,0
Salon-De-Provence,Lycée de l'Emperi (0130160D),28,7,14,2,10,2,4,2
Savigny-Sur-Orge Cedex,Lycée Jean Baptiste Corot (0910627M),26,11,24,10,23,10,10,6
Sceaux Cedex,Lycée Lakanal (0920145H),67,25,66,25,58,23,13,5
Sfax,IPEIS (99951111),1,1,0,0,0,0,0,0
Sophia Antipolis Cedex,Lycée international de Valbonne (0061642C),42,15,22,9,18,8,9,5
Strasbourg Cedex,Lycée Kleber (0670080Y),69,30,60,27,56,26,21,11
Tarbes Cedex,Lycée Théophile Gautier (0650025Z),30,10,17,5,12,4,6,3
Toulon Cedex,Lycée Dumont D'Urville (0830053G),34,12,26,8,20,6,14,6
Toulouse,Lycée Bellevue (0310038Y),37,11,37,11,35,10,16,7
Toulouse,Lycée Déodat de Séverac (0310044E),40,16,34,15,34,15,22,9
Toulouse Cedex 7,Lycée Pierre de Fermat (0310036W),85,24,81,24,71,23,18,6
Tours Cedex 1,Lycée Descartes (0370035M),60,24,51,20,51,20,19,8
Troyes,Lycée Chrestien De Troyes (0100022V),19,5,14,3,6,1,2,0
Tulle,Lycée Edmond Perrier (0190032G),15,3,13,3,11,2,6,2
Tunis,IPEST (99926211),29,16,28,16,28,16,12,6
Valence Cedex,Lycée Camille Vernet (0260035X),11,6,6,3,5,3,4,3
Valenciennes Cedex,Lycée Henri Wallon (0590221V),71,19,57,16,55,15,17,5
Vanves Cedex,Lycée Michelet (0920149M),36,17,36,17,35,16,15,9
Versailles Cedex,Lycée Hoche (0782562L),58,20,53,18,42,15,7,6
Versailles Cedex,Lycée privé Sainte Geneviève (0783053V),135,37,130,37,94,27,11,5
