ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Aix-En-Provence Cedex 1,Lycée Militaire (0131596P),21,5,12,3,4,1,0,0
Aix-En-Provence Cedex 5,Lycée Paul Cézanne (0130002G),59,25,29,16,17,10,5,3
Albi,Lycée Laperouse (0810006S),6,4,2,1,2,1,1,0
Amiens Cedex 03,Lycée Louis Thuillier (0800009A),7,1,2,0,2,0,1,0
Angers Cedex 01,Lycée Henri Bergson (0491966W),5,0,2,0,0,0,0,0
Annecy Cedex,Lycée Berthollet (0740003B),42,12,17,3,8,2,0,0
Antony,Lycée Sainte Marie (0920904H),19,5,7,2,4,2,3,1
Arras,Lycée Robespierre (0620006V),5,1,1,0,0,0,0,0
Avignon,Lycée Saint Joseph (0840072X),7,0,0,0,0,0,0,0
Balma,Lycée Saliège (0312408Z),52,20,26,11,21,11,4,2
Bayonne,Lycée René Cassin (0640010N),26,5,1,0,1,0,0,0
Beaucamps-Ligny,Lycée Sainte Marie (0592932S),10,3,5,1,5,1,0,0
Belfort,Lycée Raoul Follereau (0900004R),1,0,0,0,0,0,0,0
Besançon,Lycée Victor Hugo (0250007X),15,1,6,0,4,0,2,0
Bordeaux Cedex,Lycée Camille Jullian (0330023W),12,2,9,1,6,1,2,1
Bordeaux Cedex,Lycée Michel Montaigne (0330021U),71,28,39,18,33,16,9,2
Bourg-En-Bresse,Lycée Lalande (0010013J),4,1,0,0,0,0,0,0
Brest,Lycée Sainte Anne (0290338K),3,0,1,0,1,0,0,0
Brest Cedex 2,Lycée de Kerichen (0290007A),56,19,10,3,1,0,0,0
Caen,Lycée Privé Sainte-Marie (0141164P),10,0,0,0,0,0,0,0
Caen,Lycée Victor Hugo (0142059M),54,16,12,3,7,2,1,1
Chartres,Lycée Marceau (0280007F),3,0,1,0,1,0,0,0
Clermont-Ferrand Cedex,Lycée Blaise Pascal (0630018C),48,16,24,6,23,6,7,1
Compiègne Cedex,Lycée Pierre d'Ailly (0600014P),6,2,3,1,2,0,1,0
Dijon,Lycée Carnot (0210015C),36,10,16,3,14,3,9,2
Douai,Lycée Albert Chatelet (0590063Y),2,0,0,0,0,0,0,0
Dunkerque Cedex,Lycée Jean Bart (0590071G),4,2,1,0,1,0,0,0
Enghien-Les-Bains,Lycée Gustave Monod (0952196W),14,4,4,0,1,0,0,0
Evreux,Lycée Aristide Briand (0270016W),5,1,0,0,0,0,0,0
Fontainebleau,Lycée François 1er (0770927P),10,4,1,0,0,0,0,0
Fort-De-France Cedex (martinique),Lycée de Bellevue (9720003W),1,0,0,0,0,0,0,0
Grenoble Cedex 1,Lycée Champollion (0380027Y),70,23,39,9,31,8,14,5
La Flèche Cedex,Prytanée National Militaire (0720896H),22,4,10,2,3,0,3,0
La Mulatière,Lycée Assomption Bellevue (0690539L),7,2,1,0,1,0,0,0
Le Havre,Lycée François 1er (0760052U),2,0,1,0,0,0,0,0
Le Mans Cedex 01,Lycée Montesquieu (0720029R),17,2,11,2,9,1,5,0
Le Raincy,Lycée Albert Schweitzer (0930830X),9,5,2,2,0,0,0,0
Lille Cedex,Lycée Faidherbe (0590119J),66,20,24,4,11,4,4,1
Limoges Cedex,Lycée Gay-Lussac (0870015U),17,5,7,2,4,1,3,1
Lorient Cedex,Lycée Dupuy De Lôme (0560025Y),11,5,4,1,3,0,1,0
Lyon,Lycée aux Lazaristes (0690522T),30,14,27,11,26,11,9,6
Lyon,Lycée Jean Perrin (0690082P),8,2,4,1,2,1,0,0
Lyon,Lycée La Martinière Monplaisir (0692866R),75,26,26,9,24,8,8,2
Lyon Cedex 06,Lycée du Parc (0690026D),104,33,90,27,79,25,30,11
Marseille Cedex 1,Lycée Thiers (0130040Y),80,24,45,11,38,9,9,4
Melun Cedex,Lycée Jacques Amyot (0770933W),19,2,1,0,1,0,0,0
Metz Cedex 1,Lycée Fabert (0570054Z),51,14,18,3,13,3,3,2
MONTIGNY-LE-BRETONNEUX,Lycée Descartes (0781512V),13,3,3,0,3,0,1,0
Montpellier Cedex 2,Lycée Joffre (0340038G),54,22,22,8,16,6,4,0
Mulhouse,Lycée Albert Schweitzer (0680031P),4,0,1,0,0,0,0,0
Nancy Cedex,Lycée Henri Poincaré (0540038Y),37,10,15,3,9,2,3,0
Nantes,Lycée Saint Stanislas (0440163N),31,6,5,1,3,1,0,0
Nantes Cedex 1,Lycée Clémenceau (0440021J),53,20,24,10,20,8,7,3
Neuilly-Sur-Seine Cedex,Lycée Louis Pasteur (0920142E),78,33,62,26,54,22,18,7
Nice Cedex 1,Lycée Massena (0060030A),77,28,47,14,40,11,21,5
Nîmes Cedex,Lycée Alphonse Daudet (0300021K),5,4,1,1,0,0,0,0
Orléans Cedex 1,Lycée Pothier (0450049J),22,10,7,3,7,3,4,2
Orsay,Lycée Blaise Pascal (0910626L),32,14,17,5,13,2,3,1
Paris,Lycée Saint-Louis (0750658H),154,62,104,36,87,31,24,8
Paris,Lycée Honoré De Balzac (0750705J),22,3,4,0,3,0,0,0
Paris,Lycée Janson de Sailly (0750699C),114,43,70,27,56,24,24,7
Paris 4e,Lycée Charlemagne (0750652B),63,24,35,13,25,8,4,2
Paris 8e,Lycée Fénelon Sainte-Marie (0753873C),31,10,23,7,17,5,5,3
Paris Cedex 03,Lycée Turgot (0750647W),17,5,7,2,3,1,0,0
Paris Cedex 05,Lycée Henri IV (0750654D),38,17,37,16,35,16,9,4
Paris Cedex 05,Lycée Louis Le Grand (0750655E),116,36,103,30,95,27,26,8
Paris Cedex 06,Lycée Stanislas (0753840S),85,32,78,29,75,28,33,11
Paris Cedex 09,Lycée Jacques Decour (0750668U),31,10,12,4,11,3,2,0
Paris 13e,Lycée Pierre-Gilles de Gennes - ENCPB (0750685M),27,11,4,0,0,0,0,0
Paris 15e,Lycée Buffon (0750693W),25,12,8,4,6,3,0,0
Paris 17e,Lycée Carnot (0750704H),29,10,7,4,4,4,0,0
Paris 5e,Lycée Lavoisier (0750656F),36,14,6,2,3,2,1,0
Paris 6e,Lycée Fénelon (0750660K),43,14,30,8,26,7,8,2
Paris 8e,Lycée Chaptal (0750663N),60,22,39,10,28,7,10,1
Paris 9e,Lycée Condorcet (0750667T),24,9,7,3,4,3,0,0
Pau Cedex,Lycée Louis Barthou (0640055M),33,10,7,1,4,0,0,0
Périgueux Cedex,Lycée Bertran de Born (0240024W),6,2,1,0,1,0,0,0
Perpignan,Lycée François Arago (0660010C),14,7,3,0,3,0,0,0
Pointe-à-Pitre Cedex (guadeloupe),Lycée Baimbridge (9710003B),7,2,2,1,1,1,0,0
Poitiers Cedex,Lycée Camille Guérin (0860035W),28,12,4,3,1,1,0,0
Quimper,Lycée Auguste Brizeux (0290069T),5,1,1,1,1,1,1,1
Reims Cedex,Lycée Franklin Roosevelt (0510034K),18,5,3,0,0,0,0,0
Rennes,Lycée privé Assomption (0350778F),19,3,4,0,2,0,1,0
Rennes Cedex 7,Lycée Chateaubriand (0350710G),68,19,36,7,27,5,14,2
Rouen Cedex,Lycée Pierre Corneille (0760090K),72,21,51,16,41,11,11,3
Saint-Brieuc Cedex,Lycée Francois Rabelais (0220056S),9,2,3,0,3,0,2,0
Sainte-Clotilde Cedex (la Réunion),Lycée Leconte de Lisle (9740001H),10,3,1,0,1,0,0,0
Saint-Etienne Cedex 1,Lycée Claude Fauriel (0420041S),32,8,8,2,4,1,0,0
Saint-Germain-En-Laye Cedex,Lycée Jeanne D'Albret (0782132U),9,4,3,1,2,1,1,1
Saint-Ismier,Ecole des Pupilles de L'Air (0381513N),16,2,8,1,3,0,0,0
Saint-Maur-Des-Fosses Cedex,Lycée Marcelin Berthelot (0940120V),75,19,35,11,27,7,11,4
Saint-Nazaire,Lycée Aristide Briand (0440069L),6,0,3,0,2,0,0,0
Saint-Quentin,Lycée Pierre de La Ramée (0020049T),10,1,3,1,2,1,1,1
Salon-De-Provence,Lycée de l'Emperi (0130160D),1,0,0,0,0,0,0,0
Savigny-Sur-Orge Cedex,Lycée Jean Baptiste Corot (0910627M),22,10,6,1,5,0,2,0
Sceaux Cedex,Lycée Lakanal (0920145H),71,25,55,24,37,19,10,6
Sophia Antipolis Cedex,Lycée international de Valbonne (0061642C),15,5,2,2,1,1,0,0
Strasbourg Cedex,Lycée Kleber (0670080Y),55,22,27,8,23,8,11,4
Tarbes Cedex,Lycée Théophile Gautier (0650025Z),22,7,1,0,1,0,0,0
Toulon Cedex,Lycée Dumont D'Urville (0830053G),11,4,1,0,1,0,0,0
Toulouse,Lycée Bellevue (0310038Y),34,9,18,3,15,2,4,2
Toulouse,Lycée Déodat de Séverac (0310044E),21,5,7,2,6,2,0,0
Toulouse Cedex 7,Lycée Pierre de Fermat (0310036W),83,24,50,11,42,10,12,4
Tours Cedex 1,Lycée Descartes (0370035M),21,7,10,3,6,2,2,1
Troyes,Lycée Chrestien De Troyes (0100022V),1,0,0,0,0,0,0,0
Tulle,Lycée Edmond Perrier (0190032G),4,1,1,0,1,0,0,0
Valence Cedex,Lycée Camille Vernet (0260035X),5,3,1,0,0,0,0,0
Valenciennes Cedex,Lycée Henri Wallon (0590221V),39,11,21,3,13,2,2,0
Vanves Cedex,Lycée Michelet (0920149M),36,17,26,12,17,8,8,2
