ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Aix-En-Provence Cedex 1,Lycée Militaire (0131596P),1,0,0,0,0,0,0,0
Aix-En-Provence Cedex 5,Lycée Paul Cézanne (0130002G),11,5,2,1,2,1,1,0
Albi,Lycée Laperouse (0810006S),1,1,0,0,0,0,0,0
Amiens Cedex 03,Lycée Louis Thuillier (0800009A),4,0,0,0,0,0,0,0
Annecy Cedex,Lycée Berthollet (0740003B),18,4,2,0,2,0,1,0
Antony,Lycée Sainte Marie (0920904H),3,1,0,0,0,0,0,0
Arras,Lycée Robespierre (0620006V),1,1,0,0,0,0,0,0
Balma,Lycée Saliège (0312408Z),13,5,2,0,1,0,0,0
Bayonne,Lycée René Cassin (0640010N),3,1,0,0,0,0,0,0
Besançon,Lycée Victor Hugo (0250007X),7,1,2,0,2,0,0,0
Bordeaux Cedex,Lycée Camille Jullian (0330023W),1,1,0,0,0,0,0,0
Bordeaux Cedex,Lycée Michel Montaigne (0330021U),29,12,9,3,9,3,7,3
Bourg-En-Bresse,Lycée Lalande (0010013J),1,1,0,0,0,0,0,0
Brest Cedex 2,Lycée de Kerichen (0290007A),4,0,1,0,1,0,1,0
Caen,Lycée Privé Sainte-Marie (0141164P),1,0,0,0,0,0,0,0
Caen,Lycée Victor Hugo (0142059M),10,3,4,0,3,0,3,0
Clermont-Ferrand Cedex,Lycée Blaise Pascal (0630018C),22,5,6,2,5,2,4,2
Dijon,Lycée Carnot (0210015C),13,3,5,0,4,0,2,0
Douai,Lycée Albert Chatelet (0590063Y),5,2,0,0,0,0,0,0
Dunkerque Cedex,Lycée Jean Bart (0590071G),1,0,0,0,0,0,0,0
Enghien-Les-Bains,Lycée Gustave Monod (0952196W),2,0,0,0,0,0,0,0
Evreux,Lycée Aristide Briand (0270016W),3,0,0,0,0,0,0,0
Fontainebleau,Lycée François 1er (0770927P),1,1,0,0,0,0,0,0
Grenoble Cedex 1,Lycée Champollion (0380027Y),26,5,7,3,4,2,3,1
