ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Agadir,Groupe scolaire Al Qalam (99693001),3,1,0,0,0,0,0,0
Agadir,Lycée Reda Slaoui (99926811),5,1,0,0,0,0,0,0
Aix-En-Provence Cedex 1,Lycée Militaire (0131596P),33,4,10,1,7,1,3,1
Aix-En-Provence Cedex 5,Lycée Paul Cézanne (0130002G),19,6,12,5,5,1,2,0
Ajaccio,Lycée Laetitia Bonaparte (6200002H),6,0,4,0,1,0,1,0
Albi,Lycée Laperouse (0810006S),8,3,3,1,0,0,0,0
Amiens Cedex 03,Lycée Louis Thuillier (0800009A),3,1,1,1,0,0,0,0
Angers,Lycée Saint-Martin (0490824E),6,3,1,0,1,0,0,0
Angers Cedex 01,Lycée Henri Bergson (0491966W),2,0,2,0,1,0,0,0
Annecy Cedex,Lycée Berthollet (0740003B),23,7,9,2,5,1,2,0
Annonay,Lycée Saint Denis (0071126L),1,0,1,0,1,0,1,0
Antony,Lycée Sainte Marie (0920904H),35,2,26,1,19,1,4,0
Argenteuil,Lycée Jean Jaurès (0950641F),23,5,6,0,5,0,3,0
Arras,Lycée Robespierre (0620006V),11,0,7,0,3,0,1,0
Auxerre,Lycée Jacques Amyot (0890003V),8,2,2,1,1,1,1,1
Avignon Cedex,Lycée Frédéric Mistral (0840003X),16,2,6,1,2,0,0,0
Balma,Lycée Saliège (0312408Z),26,9,15,4,10,3,1,0
Belfort,Lycée Raoul Follereau (0900004R),11,3,4,1,4,1,2,1
Benguérir,LYDEX (L0081),9,6,1,0,1,0,0,0
Besançon,Lycée Victor Hugo (0250007X),15,2,8,1,6,1,2,1
Bordeaux,Lycée Gustave Eiffel (0330028B),59,15,19,3,13,3,3,1
Bordeaux Cedex,Lycée Michel Montaigne (0330021U),77,20,55,17,47,13,16,4
Brest,Lycée Naval (0290063L),31,7,20,1,12,1,7,0
Brest,Lycée Sainte Anne (0290338K),8,2,1,0,1,0,0,0
Brest Cedex 2,Lycée Vauban (0290012F),21,4,10,1,6,1,1,0
Caen,Lycée Victor Hugo (0142059M),23,1,6,0,4,0,0,0
Cannes Cedex,Lycée Stanislas (0060673Z),26,9,6,2,1,0,1,0
Casablanca,ELBILIA SUP (99696011),3,0,0,0,0,0,0,0
Casablanca,Groupe scolaire La Résidence (3500055H),7,1,0,0,0,0,0,0
Casablanca,Lycée Mohamed V (99926411),9,4,0,0,0,0,0,0
Chambéry,Lycée Vaugelas (0730013T),11,1,3,1,1,0,0,0
Clermont-Ferrand,Lycée La Fayette (0630021F),15,1,9,0,5,0,2,0
Clermont-Ferrand Cedex,Lycée Blaise Pascal (0630018C),25,7,10,2,8,1,0,0
Dakhla,Lycée Okba Ibn Nafea (L0055),1,0,0,0,0,0,0,0
