ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Agadir,Groupe scolaire Al Qalam (99693001),6,0,0,0,0,0,0,0
Aix-En-Provence Cedex 1,Lycée Militaire (0131596P),1,0,0,0,0,0,0,0
Aix-En-Provence Cedex 5,Lycée Paul Cézanne (0130002G),6,1,0,0,0,0,0,0
Ajaccio,Lycée Laetitia Bonaparte (6200002H),5,1,0,0,0,0,0,0
Amiens Cedex 03,Lycée Louis Thuillier (0800009A),3,0,0,0,0,0,0,0
Annecy Cedex,Lycée Berthollet (0740003B),1,0,0,0,0,0,0,0
Antony,Lycée Sainte Marie (0920904H),5,0,2,0,1,0,0,0
Argenteuil,Lycée Jean Jaurès (0950641F),4,0,0,0,0,0,0,0
Arras,Lycée Robespierre (0620006V),2,0,1,0,1,0,1,0
Avignon Cedex,Lycée Frédéric Mistral (0840003X),3,1,1,0,0,0,0,0
Balma,Lycée Saliège (0312408Z),2,0,1,0,1,0,0,0
Belfort,Lycée Raoul Follereau (0900004R),2,0,0,0,0,0,0,0
Besançon,Lycée Victor Hugo (0250007X),3,1,1,0,0,0,0,0
Bordeaux,Lycée Gustave Eiffel (0330028B),5,1,0,0,0,0,0,0
Bordeaux Cedex,Lycée Michel Montaigne (0330021U),36,13,21,6,19,5,6,2
Caen,Lycée Victor Hugo (0142059M),6,0,0,0,0,0,0,0
Cannes Cedex,Lycée Stanislas (0060673Z),5,0,1,0,0,0,0,0
Casablanca,Lycée Mohamed V (99926411),1,0,0,0,0,0,0,0
Clermont-Ferrand,Lycée La Fayette (0630021F),5,0,2,0,2,0,0,0
Clermont-Ferrand Cedex,Lycée Blaise Pascal (0630018C),3,1,0,0,0,0,0,0
Dijon,Lycée Carnot (0210015C),16,2,2,0,2,0,1,0
Dijon,Lycée Gustave Eiffel (0211033J),4,0,0,0,0,0,0,0
Douai,Lycée Albert Chatelet (0590063Y),1,0,0,0,0,0,0,0
Evry,Lycée Parc des Loges (0911251R),1,0,0,0,0,0,0,0
Fès,Centre des classes préparatoires Moulay Dris (99926711),1,0,0,0,0,0,0,0
Fontainebleau,Lycée François 1er (0770927P),1,0,0,0,0,0,0,0
Grenoble Cedex 1,Lycée Champollion (0380027Y),15,0,5,0,4,0,0,0
Guelmim,Lycée Bab Essahra (L0041),1,1,0,0,0,0,0,0
Kenitra,Lycée Mohamed VI (99948211),1,0,0,0,0,0,0,0
La Rochelle,Lycée Jean Dautet (0170028N),2,0,1,0,1,0,0,0
Le Mans Cedex 01,Lycée Montesquieu (0720029R),4,0,0,0,0,0,0,0
Le Raincy,Lycée Albert Schweitzer (0930830X),5,1,0,0,0,0,0,0
Les Ulis,Lycée L'Essouriau (0911492C),10,0,0,0,0,0,0,0
Lille,Lycée César Baggio (0590121L),3,0,1,0,1,0,0,0
Lille Cedex,Lycée Faidherbe (0590119J),21,2,14,1,13,1,2,0
Limoges Cedex,Lycée Gay-Lussac (0870015U),18,3,1,0,1,0,0,0
Lyon,Lycée aux Lazaristes (0690522T),28,4,18,2,17,2,8,0
Lyon,Lycée La Martinière Monplaisir (0692866R),10,1,1,0,1,0,1,0
Lyon Cedex 06,Lycée du Parc (0690026D),43,12,26,6,25,5,7,1
Marrakech,Lycée Ibn Timiya (99926511),1,0,0,0,0,0,0,0
Marseille,Lycée Jean Perrin (0130053M),12,0,1,0,0,0,0,0
Marseille Cedex 1,Lycée Thiers (0130040Y),22,3,4,0,4,0,1,0
Meaux,Lycée Henri Moissan (0770930T),3,1,1,0,1,0,1,0
Metz Cedex 1,Lycée Fabert (0570054Z),2,1,1,0,1,0,0,0
Montpellier Cedex 2,Lycée Joffre (0340038G),59,12,6,1,6,1,0,0
Montreuil,Lycée Condorcet (0930122C),1,1,0,0,0,0,0,0
Mulhouse,Lycée Albert Schweitzer (0680031P),2,0,0,0,0,0,0,0
Nancy,Lycée Henri Loritz (0540042C),16,2,4,0,4,0,1,0
Nantes,Lycée Saint Stanislas (0440163N),15,3,3,0,2,0,0,0
Nantes Cedex 1,Lycée Clémenceau (0440021J),60,7,19,2,16,2,2,0
Neuilly-Sur-Seine Cedex,Lycée Louis Pasteur (0920142E),3,0,1,0,1,0,0,0
Nice,Lycée Les Eucalyptus (0060075Z),3,0,0,0,0,0,0,0
Nice Cedex 1,Lycée Massena (0060030A),4,2,0,0,0,0,0,0
Nouméa,Lycée Jules Garnier (9830003L),5,0,3,0,2,0,0,0
Orléans Cedex 1,Lycée Pothier (0450049J),6,0,0,0,0,0,0,0
Orsay,Lycée Blaise Pascal (0910626L),28,8,9,0,7,0,3,0
Paris,Lycée Raspail (0750691U),4,0,0,0,0,0,0,0
Paris,Lycée Saint-Louis (0750658H),134,37,44,12,41,11,8,4
Paris,Lycée Janson de Sailly (0750699C),54,15,9,0,9,0,2,0
Paris 8e,Lycée Fénelon Sainte-Marie (0753873C),17,2,2,0,2,0,1,0
Paris Cedex 05,Lycée Louis Le Grand (0750655E),39,12,23,8,19,8,6,1
Paris Cedex 06,Lycée Stanislas (0753840S),88,11,42,2,38,2,10,0
Paris Cedex 09,Lycée Jacques Decour (0750668U),18,3,1,0,1,0,1,0
Paris Cedex 12,Lycée Paul Valery (0750679F),2,1,0,0,0,0,0,0
Paris 13e,Lycée Pierre-Gilles de Gennes - ENCPB (0750685M),3,0,0,0,0,0,0,0
Paris 15e,Lycée Buffon (0750693W),11,1,0,0,0,0,0,0
Paris 16e,Lycée Claude Bernard (0750698B),27,4,0,0,0,0,0,0
Paris 16e,Lycée Jean-Baptiste Say (0750700D),23,4,2,0,2,0,2,0
Paris 8e,Lycée Chaptal (0750663N),34,5,9,0,9,0,0,0
Paris 9e,Lycée Condorcet (0750667T),37,7,15,1,14,1,2,0
Perpignan,Lycée François Arago (0660010C),8,1,2,1,1,0,0,0
Pointe-à-Pitre Cedex (guadeloupe),Lycée Baimbridge (9710003B),1,0,0,0,0,0,0,0
Poitiers Cedex,Lycée Camille Guérin (0860035W),3,0,0,0,0,0,0,0
Rabat,Lycée Moulay Youssef (99926611),1,1,0,0,0,0,0,0
Reims Cedex,Lycée Franklin Roosevelt (0510034K),9,4,0,0,0,0,0,0
Remire-Montjoly,Lycée Léon-Gontran Damas (9730196A),6,3,0,0,0,0,0,0
Rennes,Lycée Joliot-Curie (0350029S),4,0,0,0,0,0,0,0
Rennes,Lycée privé Assomption (0350778F),1,0,0,0,0,0,0,0
Rennes Cedex 7,Lycée Chateaubriand (0350710G),18,4,4,0,4,0,1,0
Rouen Cedex,Lycée Pierre Corneille (0760090K),23,3,4,1,3,1,1,0
Saint-Denis,Lycée Paul Eluard (0930125F),2,2,0,0,0,0,0,0
Sainte-Clotilde Cedex (la Réunion),Lycée Leconte de Lisle (9740001H),1,0,0,0,0,0,0,0
Saint-Etienne,Lycée Etienne Mimard (0420046X),4,1,0,0,0,0,0,0
