ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Agadir,Lycée Reda Slaoui (99926811),31,6,17,4,7,1,3,0
Albi,Lycée Louis Rascol (0810004P),39,6,36,6,30,5,17,3
Alès,Lycée Jean-Baptiste Dumas - C.T. (0300002P),29,1,28,1,24,1,16,0
Amiens Cedex 03,Lycée Louis Thuillier (0800009A),26,2,20,2,15,0,10,0
Aubervilliers,Lycée Le Corbusier (0930117X),20,4,16,3,7,2,6,1
Benguérir,LYDEX (L0081),27,10,25,9,24,9,6,3
Beni-Mellal,Lycée Technique Mohamed V (99929811),15,5,12,3,6,2,3,2
Brive-La-Gaillarde,Lycée Georges Cabanis (0190010H),19,2,19,2,17,1,10,0
Cachan,Lycée Polyvalent de Cachan (0940580V),31,0,26,0,24,0,9,0
Cannes Cedex,Lycée Jules Ferry (0060014H),29,6,27,6,22,5,15,3
Chambéry,Lycée Monge (0730016W),24,2,23,2,16,1,8,0
Clermont-Ferrand,Lycée La Fayette (0630021F),23,0,19,0,12,0,7,0
Colmar,Lycée Blaise Pascal (0680010S),17,1,16,1,14,1,11,0
Corbeil-Essonnes,Lycée Robert Doisneau (0910620E),23,1,12,0,6,0,2,0
Dijon,Lycée Gustave Eiffel (0211033J),24,2,23,2,19,1,10,1
Fort-De-France,Lycée Joseph Gaillard (9720004X),19,4,3,0,1,0,1,0
Haguenau,Lycée Alphonse Heinrich (0671509B),12,0,10,0,6,0,3,0
La Rochelle,Lycée Léonce Vieljeux (0170029P),40,2,36,1,32,1,20,1
Le Mans Cedex 1,Lycée Touchard Washington (0720033V),16,2,14,2,14,2,5,0
Lorient,Lycée Saint Joseph Lorient (0560181T),36,2,28,2,17,1,9,0
Lyon,Lycée aux Lazaristes (0690522T),30,1,28,1,26,1,12,1
Lyon,Lycée Edouard Branly (0690128P),28,0,26,0,23,0,8,0
Marseille,Lycée Antonin Artaud (0132733A),27,1,27,1,17,1,4,1
Meaux,Lycée Pierre de Coubertin (0770931U),17,0,12,0,6,0,3,0
Metz,Lycée Louis Vincent (0570058D),30,2,22,0,17,0,3,0
Mohammedia,Lycée Technique - Mohammadia (99927711),44,16,28,8,21,5,8,1
Monastir,I.P.E.I (99949911),1,0,0,0,0,0,0,0
Montbéliard Cedex,Lycée Polyvalent Germaine TILLION (0251994G),18,0,16,0,11,0,3,0
Montceau-Les-Mines,Lycée Henri Parriat (0710054Y),23,0,22,0,19,0,12,0
Nîmes Cedex,Lycée Emmanuel d'Alzon (0300080Z),15,1,11,1,8,1,3,0
Oujda,Lycée Omar Ibn Abdelaziz (99927611),15,4,4,1,2,1,1,1
Paris,Lycée Raspail (0750691U),37,2,35,2,26,1,12,1
Paris 6e,Lycée Saint-Nicolas (0754025T),19,0,18,0,15,0,2,0
Pau,Lycée Saint-Cricq (0640057P),34,3,25,3,21,3,9,1
Rueil-Malmaison,Lycée Richelieu (0920799U),31,2,31,2,30,2,11,2
Safi,Lycée Moulay Abdellah (99929411),33,7,21,4,15,2,10,2
Saint-Benoit,Lycée Amiral Pierre Bouvet (9740471U),20,0,11,0,9,0,3,0
Saint-Brieuc,Lycée Chaptal (0220058U),26,0,24,0,22,0,13,0
Saint-Etienne,Lycée Etienne Mimard (0420046X),26,3,23,3,9,2,0,0
Saint-Nazaire,Lycée Aristide Briand (0440069L),22,1,18,1,14,1,10,1
Saint-Orens-De-Gameville,Lycée Pierre-Paul Riquet (0312289V),29,2,23,1,18,1,10,1
Saint-Ouen-L'Aumone,Lycée Jean Perrin (0951104J),33,0,30,0,24,0,11,0
Sale,Collège Selmane Al-Farissi (L0002),16,2,13,2,7,0,2,0
Settat,Centre des classes préparatoires Settat (E0003),23,6,17,4,11,1,7,1
Sotteville-Lès-Rouen,Lycée Marcel Sembat (0760110G),40,3,30,2,25,2,11,0
Toulon,Lycée Rouvière (0830056K),25,2,21,2,14,0,5,0
Tourcoing,Lycée Colbert (0590214M),16,1,13,1,4,1,4,1
Troyes,Lycée Les Lombards (0100025Y),22,5,13,4,9,3,0,0
Valenciennes,Lycée Du Hainaut (0590223X),32,3,25,3,12,2,4,0
Versailles,Lycée Jules Ferry (0782565P),31,2,31,2,31,2,17,2
