ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Amiens Cedex 03,Lycée Louis Thuillier (0800009A),11,7,1,1,0,0,0,0
AMILLY,Lycée Le Chesnoy - Les Barres (0450094H),3,1,0,0,0,0,0,0
Angers,Lycée Angers le Fresne (0490946M),9,4,2,1,0,0,0,0
Arras,Lycée Robespierre (0620006V),11,6,1,0,1,0,1,0
Auzeville Tolosane,Lycée Toulouse Auzeville (0311262D),6,3,2,2,1,1,0,0
Besançon,Lycée Victor Hugo (0250007X),6,6,3,3,0,0,0,0
Bordeaux Cedex,Lycée Michel Montaigne (0330021U),35,20,9,4,7,3,5,2
BOULOGNE-BILLANCOURT,Lycée Jacques Prévert (0920134W),4,1,0,0,0,0,0,0
Caen Cedex 4,Lycée Malherbe (0140013N),19,16,2,2,1,1,0,0
Clermont-Ferrand Cedex,Lycée Blaise Pascal (0630018C),10,6,0,0,0,0,0,0
Dijon,Lycée Carnot (0210015C),8,5,2,1,0,0,0,0
Douai,Lycée Albert Chatelet (0590063Y),7,4,0,0,0,0,0,0
Fontainebleau,Lycée François 1er (0770927P),5,3,1,0,1,0,1,0
Grenoble Cedex 1,Lycée Champollion (0380027Y),14,12,5,3,4,2,3,1
La Mulatière,Lycée Assomption Bellevue (0690539L),9,3,3,0,0,0,0,0
Le Raincy,Lycée Albert Schweitzer (0930830X),5,0,0,0,0,0,0,0
Le Tampon,Lycée Roland Garros (9740002J),20,13,2,0,2,0,1,0
Lempdes,Legta Louis Pasteur - Lempdes (0630984C),2,1,0,0,0,0,0,0
Lille Cedex,Lycée Faidherbe (0590119J),13,9,2,1,1,0,0,0
Limoges,Lycée Léonard Limosin (0870016V),3,3,0,0,0,0,0,0
Lyon,Lycée La Martinière Monplaisir (0692866R),6,2,1,0,1,0,1,0
Lyon Cedex 06,Lycée du Parc (0690026D),64,41,18,11,12,7,8,5
Marseille Cedex 1,Lycée Thiers (0130040Y),37,30,5,5,4,4,1,1
Metz Cedex 1,Lycée Georges de La Tour (0572757M),6,2,0,0,0,0,0,0
Montpellier Cedex 2,Lycée Joffre (0340038G),9,6,5,5,5,5,3,3
Nancy Cedex,Lycée Henri Poincaré (0540038Y),32,10,10,3,3,0,1,0
Nantes,Externat-Chavagnes (0440160K),4,1,0,0,0,0,0,0
Nantes Cedex 1,Lycée Clémenceau (0440021J),21,15,8,5,2,2,0,0
Nice Cedex 1,Lycée Massena (0060030A),14,7,3,1,2,1,0,0
Nîmes Cedex,Lycée Emmanuel d'Alzon (0300080Z),6,4,1,0,0,0,0,0
Orléans Cedex 1,Lycée Pothier (0450049J),6,3,1,0,1,0,1,0
Paris,Lycée Saint-Louis (0750658H),46,25,19,10,14,7,9,6
Paris,Lycée Janson de Sailly (0750699C),14,8,5,1,5,1,3,1
Paris Cedex 05,Lycée Henri IV (0750654D),25,16,17,8,15,7,11,6
Paris 13e,Lycée Pierre-Gilles de Gennes - ENCPB (0750685M),3,3,0,0,0,0,0,0
Paris 16e,Lycée Jean-Baptiste Say (0750700D),22,16,4,3,2,2,2,2
Paris 6e,Lycée Fénelon (0750660K),12,7,2,1,2,1,2,1
Paris 8e,Lycée Chaptal (0750663N),26,15,5,1,2,0,1,0
Pau Cedex,Lycée Louis Barthou (0640055M),19,12,0,0,0,0,0,0
Pointe-à-Pitre Cedex (guadeloupe),Lycée Baimbridge (9710003B),4,4,2,2,0,0,0,0
Poitiers Cedex,Lycée Camille Guérin (0860035W),14,5,1,0,0,0,0,0
Reims Cedex 2,Lycée Clémenceau (0510031G),1,0,0,0,0,0,0,0
Rennes Cedex 7,Lycée Chateaubriand (0350710G),19,8,3,1,2,1,2,1
Rouen Cedex,Lycée Pierre Corneille (0760090K),14,9,2,2,0,0,0,0
Saint-Amand-Les-Eaux,Institution Notre Dame des Anges (0592913W),3,3,0,0,0,0,0,0
Saint-Etienne Cedex 1,Lycée Claude Fauriel (0420041S),21,15,2,1,0,0,0,0
Saint-Maur-Des-Fosses Cedex,Lycée Marcelin Berthelot (0940120V),28,17,7,6,4,4,3,3
Sceaux Cedex,Lycée Lakanal (0920145H),20,6,5,1,4,1,2,1
Strasbourg,Lycée Jean Rostand (0670084C),2,2,2,2,1,1,1,1
Toulouse Cedex,Lycée Ozenne (0310047H),8,5,2,1,0,0,0,0
Toulouse Cedex 7,Lycée Pierre de Fermat (0310036W),27,18,5,4,4,4,2,2
Tours Cedex 1,Lycée Descartes (0370035M),2,2,1,1,0,0,0,0
Versailles Cedex,Lycée Hoche (0782562L),19,13,7,6,4,3,3,2
Versailles Cedex,Lycée privé Sainte Geneviève (0783053V),24,16,12,9,8,7,5,4
