ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Agadir,Groupe scolaire Al Qalam (99693001),9,3,2,0,1,0,1,0
Agadir,Lycée Reda Slaoui (99926811),6,5,3,2,3,2,3,2
Aix-En-Provence Cedex 1,Lycée Militaire (0131596P),4,1,4,1,4,1,0,0
Aix-En-Provence Cedex 5,Lycée Paul Cézanne (0130002G),18,7,16,6,16,6,6,1
Amiens Cedex 03,Lycée Louis Thuillier (0800009A),43,14,39,12,25,7,5,1
Angers Cedex 01,Lycée Henri Bergson (0491966W),15,2,14,2,11,1,1,0
Annecy Cedex,Lycée Berthollet (0740003B),23,3,20,3,17,3,3,1
Antony,Lycée Sainte Marie (0920904H),14,5,12,4,10,3,2,1
Arras,Lycée Robespierre (0620006V),13,3,7,2,6,2,4,2
Autun Cedex,Lycée Militaire National (0711064W),7,2,6,1,6,1,4,0
Beni-Mellal,DAY PREPAS (L0038),4,2,2,1,1,1,0,0
Besançon,Lycée Victor Hugo (0250007X),35,12,34,12,34,12,15,5
Blois Cedex,Lycée Dessaignes (0410002E),27,6,27,6,24,5,12,4
Bordeaux Cedex,Institution Sainte Marie Grand Lebrun (0331503E),29,6,24,6,19,5,9,2
Bordeaux Cedex,Lycée Camille Jullian (0330023W),33,15,32,15,27,13,5,3
Bordeaux Cedex,Lycée Michel Montaigne (0330021U),13,6,12,6,12,6,0,0
Boulogne-Sur-Mer Cedex,Lycée Mariette (0622949U),18,9,18,9,11,5,7,3
Bourg-En-Bresse,Lycée Lalande (0010013J),37,10,34,10,32,10,17,7
Bourges,Lycée Alain-Fournier (0180005H),19,8,15,8,8,4,7,4
Brest,Lycée Naval (0290063L),10,5,10,5,7,4,1,1
Brest,Lycée Sainte Anne (0290338K),18,4,16,4,13,3,5,2
Brest Cedex 2,Lycée de Kerichen (0290007A),17,5,13,3,13,3,10,2
Caen Cedex 4,Lycée Malherbe (0140013N),56,14,52,12,49,11,15,6
