ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Aix-En-Provence Cedex 1,Lycée Militaire (0131596P),5,0,2,0,1,0,1,0
Aix-En-Provence Cedex 5,Lycée Paul Cézanne (0130002G),67,20,41,14,35,11,11,4
Albi,Lycée Laperouse (0810006S),16,9,8,4,3,2,1,1
Amiens Cedex 03,Lycée Louis Thuillier (0800009A),33,8,18,7,13,7,4,1
Angers Cedex 01,Lycée Henri Bergson (0491966W),8,1,2,0,2,0,1,0
Annecy Cedex,Lycée Berthollet (0740003B),41,11,18,4,15,4,7,2
Annonay,Lycée Saint Denis (0071126L),4,0,1,0,0,0,0,0
Antony,Lycée Sainte Marie (0920904H),23,8,16,5,14,4,1,0
Arras,Lycée Robespierre (0620006V),8,0,1,0,1,0,0,0
Avignon,Lycée Saint Joseph (0840072X),14,3,5,1,5,1,2,0
Balma,Lycée Saliège (0312408Z),55,15,42,12,33,8,6,0
Bayonne,Lycée René Cassin (0640010N),35,9,21,6,17,3,2,0
Beaucamps-Ligny,Lycée Sainte Marie (0592932S),10,3,4,0,2,0,0,0
Belfort,Lycée Raoul Follereau (0900004R),10,3,5,3,4,2,2,1
Besançon,Lycée Victor Hugo (0250007X),34,9,25,8,17,5,5,3
Bordeaux Cedex,Lycée Camille Jullian (0330023W),34,13,26,8,19,6,5,1
Bordeaux Cedex,Lycée Michel Montaigne (0330021U),79,29,68,24,58,20,21,9
Bourg-En-Bresse,Lycée Lalande (0010013J),17,9,3,2,2,1,0,0
Brest,Lycée Sainte Anne (0290338K),7,2,2,1,1,0,0,0
Brest Cedex 2,Lycée de Kerichen (0290007A),54,20,32,11,29,9,13,4
Caen,Lycée Privé Sainte-Marie (0141164P),12,1,0,0,0,0,0,0
Caen,Lycée Victor Hugo (0142059M),51,11,28,7,25,5,9,2
Chartres,Lycée Marceau (0280007F),15,3,8,2,7,1,0,0
Clermont-Ferrand Cedex,Lycée Blaise Pascal (0630018C),54,15,46,14,34,8,10,2
