ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Agadir,Groupe scolaire Al Qalam (99693001),5,4,0,0,0,0,0,0
Agadir,Lycée Reda Slaoui (99926811),2,0,2,0,2,0,0,0
Aix-En-Provence Cedex 1,Lycée Militaire (0131596P),4,1,4,1,3,1,1,0
Aix-En-Provence Cedex 5,Lycée Paul Cézanne (0130002G),35,10,33,9,31,8,8,2
Ajaccio,Lycée Laetitia Bonaparte (6200002H),5,1,3,1,3,1,0,0
Albi,Lycée Laperouse (0810006S),19,10,19,10,17,9,5,3
Amiens Cedex 03,Lycée Louis Thuillier (0800009A),27,7,18,6,14,5,5,0
Angers,Lycée Saint-Martin (0490824E),17,3,15,2,14,1,7,0
Angers Cedex 01,Lycée Henri Bergson (0491966W),28,6,27,6,25,6,8,2
Annecy Cedex,Lycée Berthollet (0740003B),8,1,5,0,5,0,1,0
Annonay,Lycée Saint Denis (0071126L),8,2,8,2,7,1,4,0
Antony,Lycée Sainte Marie (0920904H),14,1,13,1,12,1,3,0
Argenteuil,Lycée Jean Jaurès (0950641F),20,3,16,3,15,3,8,1
Arras,Lycée Robespierre (0620006V),29,6,23,4,19,4,13,3
Auxerre,Lycée Jacques Amyot (0890003V),15,8,14,8,9,6,7,5
Avignon Cedex,Lycée Frédéric Mistral (0840003X),42,6,31,5,25,4,16,2
Balma,Lycée Saliège (0312408Z),23,4,21,3,19,2,7,1
Belfort,Lycée Raoul Follereau (0900004R),17,4,16,4,13,3,5,0
Besançon,Lycée Victor Hugo (0250007X),26,6,23,6,23,6,7,1
Bordeaux,Lycée Gustave Eiffel (0330028B),36,14,31,14,29,13,6,2
Bordeaux Cedex,Lycée Michel Montaigne (0330021U),8,4,6,4,6,4,1,0
Brest,Lycée Naval (0290063L),1,0,1,0,1,0,1,0
Brest,Lycée Sainte Anne (0290338K),19,2,17,2,13,2,6,1
Brest Cedex 2,Lycée Vauban (0290012F),18,3,15,3,14,3,10,1
Caen,Lycée Victor Hugo (0142059M),32,12,31,12,27,12,13,5
Cannes Cedex,Lycée Stanislas (0060673Z),12,4,12,4,11,3,0,0
Casablanca,ELBILIA SUP (99696011),15,1,5,0,2,0,2,0
Casablanca,Groupe scolaire La Résidence (3500055H),38,9,30,6,26,5,17,3
Casablanca,Lycée Mohamed V (99926411),9,5,1,1,0,0,0,0
Chambéry,Lycée Vaugelas (0730013T),26,10,24,10,20,8,10,4
Clermont-Ferrand,Lycée La Fayette (0630021F),31,10,30,10,29,10,12,4
Clermont-Ferrand Cedex,Lycée Blaise Pascal (0630018C),16,3,16,3,16,3,1,0
Dijon,Lycée Carnot (0210015C),17,5,14,5,14,5,3,0
Dijon,Lycée Gustave Eiffel (0211033J),38,7,36,7,31,7,9,3
Douai,Lycée Albert Chatelet (0590063Y),35,6,32,5,31,5,9,1
Dunkerque Cedex,Lycée Jean Bart (0590071G),30,8,29,8,27,7,16,3
El Jadida,Lycée Errazi (99927011),5,1,1,0,1,0,1,0
Evreux,Lycée Aristide Briand (0270016W),22,9,21,9,17,8,7,3
Evry,Lycée Parc des Loges (0911251R),15,5,12,4,9,4,7,3
