ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Aix-En-Provence,Lycée Vauvenargues (0130003H),80,12,67,9,66,9,39,6
Ajaccio,Lycée Laetitia Bonaparte (6200002H),22,11,9,5,8,4,3,1
Angers Cedex 01,Lycée Chevrollier (0490003M),40,6,28,5,28,5,20,5
Armentières,Lycée Gustave Eiffel (0590011S),47,5,25,1,25,1,11,0
Aubervilliers,Lycée Le Corbusier (0930117X),14,4,1,0,1,0,0,0
Baie Mahault/guadeloupe,Lycée Charles Coeffin (9710004C),21,5,1,1,1,1,1,1
Belfort,Lycée Raoul Follereau (0900004R),16,2,3,0,3,0,1,0
Besançon,Lycée Jules Haag (0250011B),20,3,11,2,11,2,3,0
Bordeaux,Lycée Gustave Eiffel (0330028B),88,19,69,13,65,12,35,6
Brest,Lycée La Croix Rouge (0290335G),16,1,9,0,9,0,4,0
Brest Cedex 2,Lycée Vauban (0290012F),22,0,8,0,7,0,4,0
Cachan,Lycée Polyvalent de Cachan (0940580V),45,9,35,7,35,7,22,4
Caen,Lycée Jules Dumont d'Urville (0142131R),19,0,13,0,13,0,6,0
Chalon-Sur-Saône,Lycée Nicephore Niepce (0710012C),11,2,6,0,5,0,1,0
Champagne-Sur-Seine,Lycée La Fayette (0770920G),20,3,4,0,4,0,1,0
Champigny-Sur-Marne,Lycée Langevin-Wallon (0940113M),21,2,3,0,3,0,1,0
Clichy,Lycée Newton-Enrea (0920136Y),36,3,19,1,19,1,13,1
Cluny,Lycée La Prat's (0710023P),24,2,13,1,11,1,6,0
Dijon,Lycée Gustave Eiffel (0211033J),40,4,19,0,18,0,13,0
Dunkerque,Lycée De L'Europe (0590072H),7,0,0,0,0,0,0,0
Gabes,ISSATG (99951112),1,0,0,0,0,0,0,0
Grenoble,Lycée Vaucanson (0380033E),55,7,26,1,25,1,9,1
Le Havre,Lycée Robert Schuman (0760058A),19,2,4,0,3,0,2,0
Le Mans Cedex 1,Lycée Touchard Washington (0720033V),25,1,20,1,19,0,9,0
Lille,Lycée César Baggio (0590121L),55,11,10,1,10,1,7,0
Limoges,Lycée Turgot (0870056N),31,3,21,3,21,3,9,1
Lyon,Lycée aux Lazaristes (0690522T),8,2,5,2,4,1,1,0
Lyon,Lycée La Martinière Monplaisir (0692866R),79,15,55,11,55,11,17,2
Marseille,Lycée Jean Perrin (0130053M),77,8,44,3,44,3,17,0
Massy Cedex,Lycée Parc de Vilgenis (0910727W),23,4,8,0,8,0,2,0
Meaux,Lycée Pierre de Coubertin (0770931U),24,4,6,0,6,0,2,0
Metz,Lycée Louis De Cormontaigne (0573227Y),12,2,2,1,2,1,1,1
Montauban,Lycée Bourdelle (0820021C),29,4,9,0,9,0,1,0
Montluçon,Lycée Paul Constans (0030026M),21,3,10,0,10,0,2,0
Montpellier,Lycée Jean Mermoz (0340042L),40,3,26,1,26,1,10,0
Nancy,Lycée Henri Loritz (0540042C),34,2,23,1,23,1,12,1
Nantes,Lycée Eugène Livet (0440029T),85,3,63,3,62,3,26,1
Nevers,Lycée Jules Renard (0580031U),20,7,16,5,16,5,6,2
Nice,Lycée Les Eucalyptus (0060075Z),63,7,29,2,28,2,13,1
Nimes,Lycée Dhuoda (0300026R),30,3,9,1,9,1,2,0
Nogent Sur Oise,Lycée Marie Curie (0600020W),43,4,25,3,25,3,11,1
Nouméa,Lycée Jules Garnier (9830003L),25,9,16,7,16,7,6,1
Orléans,Lycée Benjamin Franklin (0450051L),26,3,4,1,4,1,2,0
Paris,Lycée Raspail (0750691U),83,14,35,6,35,6,16,2
Paris,Lycée Voltaire (0750675B),24,7,9,2,8,2,5,1
Paris 11e,Lycée Dorian (0750676C),32,5,23,2,23,2,8,0
Paris 16e,Lycée Jean-Baptiste Say (0750700D),35,7,35,7,34,7,10,3
Paris 8e,Lycée Chaptal (0750663N),38,7,31,6,31,6,20,4
Pirae,Lycée Polyvalent De Taaone (9840023C),7,1,1,0,0,0,0,0
Poitiers,Lycée Louis Armand (0860037Y),25,1,8,0,7,0,2,0
Pringy,Lycée Louis Lachenal (0740006E),30,2,25,1,24,1,7,1
Reims Cedex,Lycée Franklin Roosevelt (0510034K),23,1,7,0,6,0,3,0
Rennes,Lycée Joliot-Curie (0350029S),32,2,23,2,23,2,11,1
Rouen,Lycée Blaise Pascal (0760095R),31,0,16,0,14,0,7,0
Rueil-Malmaison,Lycée Passy Buzenval (0920928J),30,4,23,3,23,3,12,2
Saint-Etienne,Lycée Etienne Mimard (0420046X),33,5,15,3,13,3,6,2
Saint-Sebastien-Sur-Loire,Lycée Saint Joseph La Joliverie (0441653H),1,0,0,0,0,0,0,0
Saint-Sylvain D'Anjou,Lycée Saint Aubin La Salle (0492420P),23,2,14,2,14,2,4,0
Ste Clotilde/la Reunion,Lycée Lislet-Geoffroy (9740054R),21,1,0,0,0,0,0,0
Strasbourg,Lycée Louis Couffignal (0670085D),50,10,24,2,23,2,14,1
Tarbes,Lycée Jean Dupuy (0650027B),17,6,11,2,10,2,2,0
Thiers,Lycée Jean Zay (0630069H),20,0,8,0,7,0,1,0
Toulon,Lycée Rouvière (0830056K),33,8,14,3,14,3,5,1
Toulouse,Lycée Déodat de Séverac (0310044E),39,3,31,3,31,3,12,1
Toulouse,Lycée Saint-Joseph (0311145B),2,0,0,0,0,0,0,0
Tours,Lycée J. de Vaucanson (0371418R),48,6,25,2,23,2,13,1
Vannes,Lycée Alain René Lesage (0560051B),22,1,10,0,10,0,1,0
Versailles,Lycée Jules Ferry (0782565P),90,10,77,8,77,8,40,3
Versailles Cedex,Lycée privé Sainte Geneviève (0783053V),30,6,26,4,26,4,11,3
Voiron,Lycée Ferdinand Buisson (0380092U),23,5,18,4,16,4,4,2
