year,concours,prepa,ville,etablissement,inscrits,inscrits dont filles,admissibles,admissibles dont filles,classes,classes dont filles,integres,integres dont filles
2002,centrale-supelec,PC,AIX-EN-PROVENCE,PAUL CEZANNE,59,21,29,10,26,9,6,3
2002,centrale-supelec,PC,MARSEILLE,THIERS,68,13,35,5,30,5,11,1
2002,centrale-supelec,PC,SALON DE PROVENCE,L'EMPERI,3,1,0,0,0,0,0,0
2002,centrale-supelec,PC,AMIENS,THUILLIER,22,8,0,0,0,0,0,0
2002,centrale-supelec,PC,COMPIEGNE,PIERRE D'AILLY,2,0,0,0,0,0,0,0
2002,centrale-supelec,PC,BELFORT,CONDORCET,2,1,0,0,0,0,0,0
2002,centrale-supelec,PC,BESANCON,VICTOR HUGO,29,6,4,0,4,0,2,0
2002,centrale-supelec,PC,BAYONNE,RENE CASSIN,17,3,6,0,6,0,3,0
2002,centrale-supelec,PC,BORDEAUX,CAMILLE JULLIAN,17,7,0,0,0,0,0,0
2002,centrale-supelec,PC,BORDEAUX,MICHEL MONTAIGNE,54,15,16,1,10,0,1,0
2002,centrale-supelec,PC,PAU,LOUIS BARTHOU,38,9,14,4,12,2,4,0
2002,centrale-supelec,PC,CAEN,VICTOR HUGO,46,12,2,0,2,0,2,0
2002,centrale-supelec,PC,CLERMONT-FERRAND,BLAISE PASCAL,51,13,5,0,5,0,0,0
2002,centrale-supelec,PC,DIJON,CARNOT,31,4,4,0,3,0,1,0
2002,centrale-supelec,PC,ANNECY,BERTHOLLET,29,6,6,1,5,0,2,0
2002,centrale-supelec,PC,GRENOBLE,CHAMPOLLION,59,17,29,7,26,7,10,3
2002,centrale-supelec,PC,LA TRONCHE,ITEC- BOISFLEURY,4,1,0,0,0,0,0,0
2002,centrale-supelec,PC,VALENCE,CAMILLE VERNET,7,1,0,0,0,0,0,0
2002,centrale-supelec,PC,ARRAS,ROBESPIERRE,7,4,1,0,1,0,1,0
2002,centrale-supelec,PC,DOUAI,A. CHATELET,11,5,3,1,1,0,1,0
2002,centrale-supelec,PC,DUNKERQUE,JEAN BART,13,1,3,0,2,0,0,0
2002,centrale-supelec,PC,LENS,CONDORCET,1,0,0,0,0,0,0,0
2002,centrale-supelec,PC,LILLE,FAIDHERBE,51,12,13,4,12,4,6,1
2002,centrale-supelec,PC,TOURCOING,GAMBETTA,12,2,0,0,0,0,0,0
2002,centrale-supelec,PC,VALENCIENNES,HENRI WALLON,64,16,19,6,18,6,4,3
2002,centrale-supelec,PC,LIMOGES,GAY LUSSAC,25,4,7,1,4,1,0,0
2002,centrale-supelec,PC,BOURG EN BRESSE,LALANDE,6,3,0,0,0,0,0,0
2002,centrale-supelec,PC,LYON,AUX LAZARISTES,28,7,19,4,17,3,5,2
2002,centrale-supelec,PC,LYON,DU PARC,106,22,74,14,62,12,24,2
2002,centrale-supelec,PC,LYON,INSTITUT DES CHARTRX,1,0,0,0,0,0,0,0
2002,centrale-supelec,PC,LYON,LA MARTINIERE,43,18,17,7,17,7,6,3
2002,centrale-supelec,PC,SAINT-ETIENNE,FAURIEL,31,12,8,1,8,1,1,1
2002,centrale-supelec,PC,MONTPELLIER,JOFFRE,61,24,12,4,9,4,2,0
2002,centrale-supelec,PC,NIMES,ALPHONSE DAUDET,2,0,0,0,0,0,0,0
2002,centrale-supelec,PC,PERPIGNAN,F. ARAGO,3,1,0,0,0,0,0,0
2002,centrale-supelec,PC,METZ,FABERT,49,13,24,6,21,5,12,2
2002,centrale-supelec,PC,NANCY,HENRI POINCARE,57,14,17,5,16,5,4,2
2002,centrale-supelec,PC,ANGERS,HENRI BERGSON,2,0,2,0,2,0,1,0
2002,centrale-supelec,PC,LA ROCHE SUR YON,SAINT JOSEPH,4,0,0,0,0,0,0,0
2002,centrale-supelec,PC,LE MANS,MONTESQUIEU,39,6,21,4,21,4,12,2
2002,centrale-supelec,PC,NANTES,GEORGES CLEMENCEAU,63,23,13,3,12,3,4,0
2002,centrale-supelec,PC,NANTES,SAINT STANISLAS,9,0,0,0,0,0,0,0
2002,centrale-supelec,PC,NICE,MASSENA,26,8,18,5,17,5,4,1
