year_of_source,year,prepa,inscrits,admissibles,classes,propositions,entres,places
2002,1999,MP,7 188,5 777,5 190,4 325,3 369,3 882
2002,1999,PC,5 633,4 804,4 343,3 702,3 021,3 306
2002,1999,PSI,4 153,3 425,3 158,2 821,2 355,2 750
2002,1999,PT,2 244,1 715,1 638,1 566,1 306,1 474
2002,1999,TSI,672,415,327,283,218,262
2002,2000,MP,6 742,5 942,5 457,4 934,3 985,4 408
2002,2000,PC,5 319,4 941,4 592,4 201,3 275,3 601
2002,2000,PSI,4 108,3 710,3 508,3 248,2 695,3 089
2002,2000,PT,2 120,1 745,1 676,1 551,1 368,1 635
2002,2000,TSI,674,518,425,362,296,304
2002,2001,MP,6 617,6 006,5 403,4 595,3 803,4 534
2002,2001,PC,4 966,4 667,4 364,3 740,3 064,3 756
2002,2001,PSI,3 986,3 708,3 456,3 055,2 640,3 305
2002,2001,PT,2 031,1 924,1 834,1 651,1 474,1 795
2002,2001,TSI,667,568,472,367,299,335
2002,2002,MP,7021,6164,5606,4984,3904,4555
2002,2002,PC,5106,4762,4446,4089,3140,3752
2002,2002,PSI,4080,3880,3662,3371,2761,3390
2002,2002,PT,2117,1999,1902,1698,1516,1840
2002,2002,TSI,722,578,473,391,319,369
2002,2002,BCPST,1589,1413,1319,1276,1164,1200
2003,2003,MP,6989,6197,5529,5066,3953,4511
2003,2003,PC,5083,4890,4504,4171,3253,3684
2003,2003,PSI,4095,3847,3558,3382,2824,3471
2003,2003,PT,2105,1968,1870,1772,1563,1849
2003,2003,TSI,703,577,464,393,316,380
2003,2003,BCPST,1703,1480,1372,1305,1150,1189
2003,2002,MP,7021,6164,5606,4984,3904,4555
2003,2002,PC,5106,4762,4446,4089,3140,3752
2003,2002,PSI,4080,3880,3662,3371,2761,3390
2003,2002,PT,2117,1999,1902,1698,1516,1840
2003,2002,TSI,722,578,473,391,319,369
2003,2002,BCPST,1589,1413,1319,1276,1164,1200
2003,2001,MP,6 617,6 006,5 403,4 595,3 803,4 534
2003,2001,PC,4 966,4 667,4 364,3 740,3 064,3 756
2003,2001,PSI,3 986,3 708,3 456,3 055,2 640,3 305
2003,2001,PT,2 031,1 924,1 834,1 651,1 474,1 795
2003,2001,TSI,667,568,472,367,299,335
2003,2000,MP,6 742,5 942,5 457,4 934,3 985,4 408
2003,2000,PC,5 319,4 941,4 592,4 201,3 275,3 601
2003,2000,PSI,4 108,3 710,3 508,3 248,2 695,3 089
2003,2000,PT,2 120,1 745,1 676,1 551,1 368,1 635
2003,2000,TSI,674,518,425,362,296,304
2003,1999,MP,7 188,5 777,5 190,4 325,3 369,3 882
2003,1999,PC,5 633,4 804,4 343,3 702,3 021,3 306
2003,1999,PSI,4 153,3 425,3 158,2 821,2 355,2 750
2003,1999,PT,2 244,1 715,1 638,1 566,1 306,1 474
2003,1999,TSI,672,415,327,283,218,262
2004,2004,MP,7073,6105,5437,5045,3962,4576
2004,2004,PC,5090,4773,4454,4173,3237,3719
2004,2004,PSI,4313,3964,3673,3474,2841,3283
2004,2004,PT,2131,1979,1866,1755,1491,1817
2004,2004,TSI,713,567,467,412,339,377
2004,2004,BCPST,1768,1495,1388,1337,1150,1211
2004,2003,MP,6989,6197,5529,5066,3953,4511
2004,2003,PC,5083,4890,4504,4171,3253,3684
2004,2003,PSI,4095,3847,3558,3382,2824,3471
2004,2003,PT,2105,1968,1870,1772,1563,1849
2004,2003,TSI,703,577,464,393,316,380
2004,2003,BCPST,1703,1480,1372,1305,1150,1189
2004,2002,MP,7021,6164,5606,4984,3904,4555
2004,2002,PC,5106,4762,4446,4089,3140,3752
2004,2002,PSI,4080,3880,3662,3371,2761,3390
2004,2002,PT,2117,1999,1902,1698,1516,1840
2004,2002,TSI,722,578,473,391,319,369
2004,2002,BCPST,1589,1413,1319,1276,1164,1200
2004,2001,MP,6 617,6 006,5 403,4 595,3 803,4 534
2004,2001,PC,4 966,4 667,4 364,3 740,3 064,3 756
2004,2001,PSI,3 986,3 708,3 456,3 055,2 640,3 305
2004,2001,PT,2 031,1 924,1 834,1 651,1 474,1 795
2004,2001,TSI,667,568,472,367,299,335
2004,2000,MP,6 742,5 942,5 457,4 934,3 985,4 408
2004,2000,PC,5 319,4 941,4 592,4 201,3 275,3 601
2004,2000,PSI,4 108,3 710,3 508,3 248,2 695,3 089
2004,2000,PT,2 120,1 745,1 676,1 551,1 368,1 635
2004,2000,TSI,674,518,425,362,296,304
2004,1999,MP,7 188,5 777,5 190,4 325,3 369,3 882
2004,1999,PC,5 633,4 804,4 343,3 702,3 021,3 306
2004,1999,PSI,4 153,3 425,3 158,2 821,2 355,2 750
2004,1999,PT,2 244,1 715,1 638,1 566,1 306,1 474
2004,1999,TSI,672,415,327,283,218,262
2005,2005,MP,7257,6271,5555,5198,4114,4537
2005,2005,PC,5153,4663,4325,4064,3110,3620
2005,2005,PSI,4713,4222,3915,3653,2998,3317
2005,2005,PT,2160,1943,1812,1690,1432,1867
2005,2005,TSI,670,558,458,407,342,406
2005,2005,BCPST,2412,1883,1755,1655,1348,1422
2005,2004,MP,7073,6105,5437,5045,3962,4576
2005,2004,PC,5090,4773,4454,4173,3237,3719
2005,2004,PSI,4313,3964,3673,3474,2841,3283
2005,2004,PT,2131,1979,1866,1755,1491,1817
2005,2004,TSI,713,567,467,412,339,377
2005,2004,BCPST,1768,1495,1388,1337,1150,1211
2005,2003,MP,6989,6197,5529,5066,3953,4511
2005,2003,PC,5083,4890,4504,4171,3253,3684
2005,2003,PSI,4095,3847,3558,3382,2824,3471
2005,2003,PT,2105,1968,1870,1772,1563,1849
2005,2003,TSI,703,577,464,393,316,380
2005,2003,BCPST,1703,1480,1372,1305,1150,1189
2005,2002,MP,7021,6164,5606,4984,3904,4555
2005,2002,PC,5106,4762,4446,4089,3140,3752
2005,2002,PSI,4080,3880,3662,3371,2761,3390
2005,2002,PT,2117,1999,1902,1698,1516,1840
2005,2002,TSI,722,578,473,391,319,369
2005,2002,BCPST,1589,1413,1319,1276,1164,1200
2005,2001,MP,6 617,6 006,5 403,4 595,3 803,4 534
2005,2001,PC,4 966,4 667,4 364,3 740,3 064,3 756
2005,2001,PSI,3 986,3 708,3 456,3 055,2 640,3 305
2005,2001,PT,2 031,1 924,1 834,1 651,1 474,1 795
2005,2001,TSI,667,568,472,367,299,335
2005,2000,MP,6 742,5 942,5 457,4 934,3 985,4 408
2005,2000,PC,5 319,4 941,4 592,4 201,3 275,3 601
2005,2000,PSI,4 108,3 710,3 508,3 248,2 695,3 089
2005,2000,PT,2 120,1 745,1 676,1 551,1 368,1 635
2005,2000,TSI,674,518,425,362,296,304
2005,1999,MP,7 188,5 777,5 190,4 325,3 369,3 882
2005,1999,PC,5 633,4 804,4 343,3 702,3 021,3 306
2005,1999,PSI,4 153,3 425,3 158,2 821,2 355,2 750
2005,1999,PT,2 244,1 715,1 638,1 566,1 306,1 474
2005,1999,TSI,672,415,327,283,218,262
2006,2006,MP,7493,6423,5665,5318,4164,4515
2006,2006,PC,5189,4705,4339,4098,3195,3556
2006,2006,PSI,4938,4420,4068,3820,3068,3367
2006,2006,PT,2244,2035,1923,1800,1507,1810
2006,2006,TSI,724,629,521,460,368,422
2006,2006,BCPST,2694,2186,2036,1964,1604,1669
2006,2005,MP,7257,6271,5555,5198,4114,4537
2006,2005,PC,5153,4663,4325,4064,3110,3620
2006,2005,PSI,4713,4222,3915,3653,2998,3317
2006,2005,PT,2160,1943,1812,1690,1432,1867
2006,2005,TSI,670,558,458,407,342,406
2006,2005,BCPST,2412,1883,1755,1655,1348,1422
2006,2004,MP,7073,6105,5437,5045,3962,4576
