year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	appeles	integres_nb	integres_filles	integres_cinq_demi	places
2002	PC	CONCOURS ECOLE POLYTECHNIQUE	Ecole Polytechnique	1289	23 %	39 %	320	19 %	43 %	213	22 %	38 %	193	170	20	38	170
2002	PC	CONCOURS ECOLE POLYTECHNIQUE	Ecole Polytechnique	150	23 %	36 %	26	15 %	35 %	17	18 %	41 %	17	15	20	47	17
2002	PC	CONCOURS ECOLE POLYTECHNIQUE	ESPCI	1251	27 %	39 %	428	22 %	46 %	390	23 %	43 %	388	59	36	53	58
2002	PC	CONCOURS ECOLE POLYTECHNIQUE	ESPCI etranger	128	23 %	41 %	33	18 %	30 %	28	14 %	29 %	28	2	0	0	4
2002	PC	BANQUE ENS	ENS Ulm							44	23 %	34 %	43	22	27	27	22
2002	PC	BANQUE ENS	ENS Cachan							152	26 %	49 %	111	19	32	63	19
2002	PC	BANQUE ENS	ENS Lyon	957	31 %	42 %	206	23 %	50 %	133	23 %	49 %	131	31	10	68	32
2002	PC	BANQUE ENS	ENS Paris etranger							1	0 %	0 %	0	1	0	0	1
2002	PC	BANQUE ENS	ENS Cachan etranger							3	0 %	33 %	145	0	0	0	3
2002	PC	BANQUE ENS	ENS Lyon etranger							3	0 %	33 %	34	1	0	0	1
2002	PC	CONC. COMM. MINES-PONTS	Ponts et Chaussees										288	23	30	35	23
2002	PC	CONC. COMM. MINES-PONTS	SUPAERO Toulouse										312	28	11	32	26
2002	PC	CONC. COMM. MINES-PONTS	Techniques Avancees										440	25	24	48	25
2002	PC	CONC. COMM. MINES-PONTS	ENST cursus Paris										438	20	30	45	18
2002	PC	CONC. COMM. MINES-PONTS	ENST Sophia Antipolis										495	6	17	33	6
2002	PC	CONC. COMM. MINES-PONTS	MINES Paris										137	17	35	6	18
2002	PC	CONC. COMM. MINES-PONTS	MINES Saint-Etienne										848	36	19	42	38
2002	PC	CONC. COMM. MINES-PONTS	MINES Nancy										696	43	28	44	40
2002	PC	CONC. COMM. MINES-PONTS	Telecom Bretagne										939	24	25	54	34
2002	PC	CONC. COMM. MINES-PONTS	Commun Mines Ponts PC	3031	26 %	34 %	976	22 %	41 %	939	22 %	42 %					228
2002	PC	BANQUE CENTRALE-SUPELEC	CENTRALE Paris	2343	25 %	34 %	479	20 %	41 %	341	19 %	42 %	258	84	25	51	85
2002	PC	BANQUE CENTRALE-SUPELEC	Supelec campus Gif										398	55	15	62	60
2002	PC	BANQUE CENTRALE-SUPELEC	Supelec campus Metz										525	18	22	44	19
2002	PC	BANQUE CENTRALE-SUPELEC	Supelec campus Renn.										466	18	17	56	17
