year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	appeles	integres_nb	integres_filles	integres_cinq_demi	places
2002	PSI	BANQUE ENS CACHAN/EC. POLYTECH	ENS CACHAN FIL SCIEN	916	17 %	33 %				176	10 %	36 %	90	14	7	64	14
2002	PSI	BANQUE ENS CACHAN/EC. POLYTECH	ENS CACHAN FIL SCIEN etranger							6	17 %	67 %	174	0	0	0	6
2002	PSI	BANQUE ENS CACHAN/EC. POLYTECH	ENS CACHAN FIL. SI	916	17 %	33 %				176	10 %	36 %	176	25	16	60	28
2002	PSI	BANQUE ENS CACHAN/EC. POLYTECH	ENS CACHAN FIL. SI etranger							6	17 %	67 %	174	0	0	0	6
2002	PSI	BANQUE ENS CACHAN/EC. POLYTECH	Ecole Polytechnique	669	13 %	32 %				61	7 %	31 %	35	33	9	24	33
2002	PSI	BANQUE ENS CACHAN/EC. POLYTECH	Ecole Polytechnique etranger	50	14 %	44 %	1	0 %	100 %	0	0 %	0 %	0	0	0	0	0
2002	PSI	BANQUE ENS CACHAN/EC. POLYTECH	ESPCI	669	13 %	32 %				61	7 %	31 %	61	0	0	0	2
2002	PSI	CONC. COMM. MINES-PONTS	Ponts et Chaussees										174	26	27	15	26
2002	PSI	CONC. COMM. MINES-PONTS	SUPAERO Toulouse										146	37	22	14	37
2002	PSI	CONC. COMM. MINES-PONTS	Techniques Avancees										264	26	12	31	24
2002	PSI	CONC. COMM. MINES-PONTS	ENST cursus Paris										260	18	6	22	18
2002	PSI	CONC. COMM. MINES-PONTS	ENST Sophia Antipolis										280	7	14	14	6
2002	PSI	CONC. COMM. MINES-PONTS	MINES Paris										72	26	8	4	26
2002	PSI	CONC. COMM. MINES-PONTS	MINES Saint-Etienne										656	27	30	33	34
2002	PSI	CONC. COMM. MINES-PONTS	MINES Nancy										532	43	19	28	40
2002	PSI	CONC. COMM. MINES-PONTS	Telecom Bretagne										721	23	22	22	40
2002	PSI	CONC. COMM. MINES-PONTS	Commun Mines Ponts PSI	2561	17 %	25 %	745	14 %	26 %	721	15 %	25 %					251
