year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	appeles	integres_nb	integres_filles	integres_cinq_demi	places
2002	PT	BANQUE CENTRALE-SUPELEC	CENTRALE Paris	688	8 %	23 %	59	2 %	15 %	39	3 %	15 %	20	10	0	0	10
2002	PT	BANQUE CENTRALE-SUPELEC	Supelec campus Gif										60	15	13	7	15
2002	PT	BANQUE CENTRALE-SUPELEC	Supelec campus Metz										73	6	0	17	3
2002	PT	BANQUE CENTRALE-SUPELEC	Supelec campus Renn.										66	3	0	0	3
2002	PT	BANQUE CENTRALE-SUPELEC	Supelec PT	420	8 %	21 %	127	5 %	12 %	91	4 %	10 %					21
2002	PT	BANQUE CENTRALE-SUPELEC	CENTRALE Lyon	977	8 %	26 %	155	3 %	11 %	110	4 %	10 %	80	20	5	15	20
2002	PT	BANQUE CENTRALE-SUPELEC	CENTRALE Lille	806	8 %	28 %	122	5 %	11 %	119	5 %	9 %	105	12	8	0	12
2002	PT	BANQUE CENTRALE-SUPELEC	CENTRALE Nantes	840	8 %	28 %	145	3 %	10 %	130	3 %	9 %	64	10	0	0	10
2002	PT	BANQUE CENTRALE-SUPELEC	SupOptique	363	7 %	27 %	26	0 %	15 %	21	0 %	14 %	21	1	0	0	2
2002	PT	CONC. COMM. MINES-PONTS	Ponts et Chaussees										31	2	0	0	2
2002	PT	CONC. COMM. MINES-PONTS	SUPAERO Toulouse										26	5	0	0	5
2002	PT	CONC. COMM. MINES-PONTS	Techniques Avancees										35	3	0	0	2
2002	PT	CONC. COMM. MINES-PONTS	ENST cursus Paris										74	4	0	0	4
2002	PT	CONC. COMM. MINES-PONTS	ENST Sophia Antipolis										81	1	0	100	1
2002	PT	CONC. COMM. MINES-PONTS	MINES Paris										13	2	0	0	3
2002	PT	CONC. COMM. MINES-PONTS	MINES Saint-Etienne										113	3	0	0	3
2002	PT	CONC. COMM. MINES-PONTS	MINES Nancy										96	2	0	0	2
2002	PT	CONC. COMM. MINES-PONTS	Telecom Bretagne										140	2	0	0	4
2002	PT	CONC. COMM. MINES-PONTS	C.C Mines Ponts PT	761	8 %	24 %	155	4 %	14 %	140	3 %	11 %					26
2002	PT	CONCOURS COMMUN ENSAM	ENSAM										810	597	8	38	600
2002	PT	CONCOURS COMMUN ENSAM	ENSEA Cergy										1108	30	0	27	32
2002	PT	CONCOURS COMMUN ENSAM	ENSAIS G MECA										1087	20	10	70	24
2002	PT	CONCOURS COMMUN ENSAM	ENSAIS PLASTURGI										1160	3	33	0	9
2002	PT	CONCOURS COMMUN ENSAM	ENSAIS MECATRO										1130	13	0	38	12
2002	PT	CONCOURS COMMUN ENSAM	ENSAIS G.ELEC.										1160	5	0	40	9
2002	PT	CONCOURS COMMUN ENSAM	ENSAIS G.CLIM ET ENE										1160	8	12	25	14
2002	PT	CONCOURS COMMUN ENSAM	ESIEE Noisy Le Grand										1157	3	0	33	6
2002	PT	CONCOURS COMMUN ENSAM	ESIEE Amiens										1160	0	0	0	6
2002	PT	CONCOURS COMMUN ENSAM	C.C. ENSAM PT	2049	8 %	24 %	1228	7 %	30 %	1160	7 %	31 %					712
2002	PT	CONCOURS ECOLE POLYTECHNIQUE	Ecole Polytechnique	326	5 %	22 %	22	0 %	27 %	13	0 %	15 %	13	11	0	18	12
2002	PT	CONCOURS ECOLE POLYTECHNIQUE	Ecole Polytechnique	11	18 %	55 %				0	0 %	0 %	0	0	0	0	0
2002	PT	CONCOURS DE L'ENS DE CACHAN	ENS Cachan							0	0 %	0 %	0	0	0	0	1
2002	PT	CONCOURS DE L'ENS DE CACHAN	ENS Cachan	1667	9 %	26 %	263	3 %	29 %	230	3 %	27 %	213	45	0	33	45
2002	PT	CONC. COMM. POLYTECHNIQUE	ENSMM Besancon										1009	32	9	25	42
2002	PT	CONC. COMM. POLYTECHNIQUE	ENSEIRB Electronique										587	1	0	0	4
2002	PT	CONC. COMM. POLYTECHNIQUE	ENSEIRB Informatique										256	1	0	0	1
2002	PT	CONC. COMM. POLYTECHNIQUE	ENSEIRB Telecom										315	1	0	0	1
2002	PT	CONC. COMM. POLYTECHNIQUE	ENSIETA Brest civil										499	9	0	22	9
2002	PT	CONC. COMM. POLYTECHNIQUE	ISMRA Caen										1070	14	14	14	10
2002	PT	CONC. COMM. POLYTECHNIQUE	ENSEE Grenoble										970	3	0	33	2
2002	PT	CONC. COMM. POLYTECHNIQUE	ENSER Grenoble										284	2	0	0	2
2002	PT	CONC. COMM. POLYTECHNIQUE	ENSHMG										648	30	13	23	23
2002	PT	CONC. COMM. POLYTECHNIQUE	ENSIE Grenoble										717	9	11	33	10
2002	PT	CONC. COMM. POLYTECHNIQUE	EFPG Grenoble										1082	9	11	33	6
2002	PT	CONC. COMM. POLYTECHNIQUE	ENSCI Limoges										1082	0	0	0	8
2002	PT	CONC. COMM. POLYTECHNIQUE	ESM2 Marseille										945	12	8	17	7
2002	PT	CONC. COMM. POLYTECHNIQUE	ENSIT Mulhouse										1082	0	0	0	5
2002	PT	CONC. COMM. POLYTECHNIQUE	ENSEM Nancy										813	7	14	29	6
2002	PT	CONC. COMM. POLYTECHNIQUE	CESTI Paris										806	18	6	11	15
2002	PT	CONC. COMM. POLYTECHNIQUE	CESTI Toulon										722	3	0	33	3
2002	PT	CONC. COMM. POLYTECHNIQUE	ENSMA Poitiers										229	4	0	25	4
2002	PT	CONC. COMM. POLYTECHNIQUE	ENAC Toulouse civil										100	1	0	0	2
2002	PT	CONC. COMM. POLYTECHNIQUE	ENSEEIH Genie Elec.										210	2	0	0	2
2002	PT	CONC. COMM. POLYTECHNIQUE	ENSEEIH electronique										302	2	0	0	2
2002	PT	CONC. COMM. POLYTECHNIQUE	ENSEEIH informatique										170	2	0	0	2
2002	PT	CONC. COMM. POLYTECHNIQUE	ENSEEIH hydraulique										162	2	0	100	2
2002	PT	CONC. COMM. POLYTECHNIQUE	ENSEEIH Telecom.rese										222	1	0	0	1
2002	PT	CONC. COMM. POLYTECHNIQUE	ENSICA Toulouse										55	2	0	0	2
2002	PT	CONC. COMM. POLYTECHNIQUE	ENSIAME Meca Energ.										1036	5	0	40	7
