year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	appeles	integres_nb	integres_filles	integres_cinq_demi	places
2003	MP	CONCOURS ECOLE POLYTECHNIQUE	Ecole Polytechnique Info. français	769	11 %	31 %	217	8 %	35 %	150	6 %	32 %	135	100	6	41	100
2003	MP	CONCOURS ECOLE POLYTECHNIQUE	Ecole Polytechnique S.I. etranger	263	14 %	34 %	23	4 %	35 %	14	7 %	43 %	14	14	7	43	14
2003	MP	CONCOURS ECOLE POLYTECHNIQUE	Ecole Polytechnique S.I. français	824	21 %	39 %	135	13 %	41 %	100	16 %	32 %	94	79	15	28	79
2003	MP	CONCOURS ECOLE POLYTECHNIQUE	Ecole Polytechnique Info. etranger	72	18 %	33 %	10	0 %	20 %	6	0 %	33 %	6	4	0	25	6
2003	MP	BANQUE ENS	ENS Ulm MPI							70	7 %	23 %	62	39	3	21	39
2003	MP	BANQUE ENS	ENS Ulm Info							17	0 %	18 %	12	8	0	25	8
2003	MP	BANQUE ENS	ENS Ulm MPI etranger							0	0 %	0 %	0	0	0	0	0
2003	MP	BANQUE ENS	ENS Ulm Info etranger							1	0 %	0 %	11	1	0	0	0
2003	MP	BANQUE ENS	ENS Cachan MP							197	12 %	39 %	119	18	33	56	18
2003	MP	BANQUE ENS	ENS Cachan MP etranger							6	17 %	0 %	0	0	0	0	0
2003	MP	BANQUE ENS	ENS Cachan Info										33	7	14	29	7
2003	MP	BANQUE ENS	ENS Cachan - Ker Lan Info										50	7	0	57	7
2003	MP	BANQUE ENS	ENS Cachan Info	153	5 %	31 %	87	3 %	34 %	68	3 %	35 %					14
2003	MP	BANQUE ENS	ENS Cachan Info etranger										0	0	0	0	0
2003	MP	BANQUE ENS	ENS Cachan - Ker Lan Info etranger										0	0	0	0	0
2003	MP	BANQUE ENS	ENS Cachan info. etr.							1	0 %	0 %					0
2003	MP	BANQUE ENS	ENS Cachan - Ker Lan MP etranger							6	17 %	0 %	0	0	0	0	0
2003	MP	BANQUE ENS	ENS Cachan - Ker Lan MP							197	12 %	39 %	146	9	0	56	9
2003	MP	BANQUE ENS	ENS Lyon Info	223	4 %	37 %	65	0 %	38 %	48	0 %	33 %	47	19	0	47	19
2003	MP	BANQUE ENS	ENS Lyon Maths	1087	22 %	38 %	167	13 %	40 %	131	15 %	31 %	91	24	17	29	24
2003	MP	BANQUE ENS	ENS Lyon etranger							5	0 %	0 %	44	0	0	0	0
2003	MP	BANQUE ENS	ENS Lyon Info etranger							1	0 %	0 %	0	0	0	0	0
2003	MP	CONC. COMM. MINES-PONTS	Ponts et Chaussees										365	46	26	35	47
2003	MP	CONC. COMM. MINES-PONTS	SUPAERO										533	47	15	45	50
2003	MP	CONC. COMM. MINES-PONTS	Techniques Avancees										698	41	27	34	41
2003	MP	CONC. COMM. MINES-PONTS	ENST cursus Paris										663	55	20	31	53
2003	MP	CONC. COMM. MINES-PONTS	ENST Sophia Antipolis										781	16	12	25	19
2003	MP	CONC. COMM. MINES-PONTS	MINES Paris										211	44	18	25	46
2003	MP	CONC. COMM. MINES-PONTS	MINES Saint-Etienne										1296	44	16	36	48
2003	MP	CONC. COMM. MINES-PONTS	MINES Nancy										1092	66	15	33	63
2003	MP	CONC. COMM. MINES-PONTS	Telecom Bretagne										1542	47	13	28	75
2003	MP	CONC. COMM. MINES-PONTS	Commun Mines Ponts MP	4692	21 %	29 %	1587	16 %	33 %	1544	16 %	33 %					442
2003	MP	BANQUE CENTRALE-SUPELEC	CENTRALE Paris cycle international	204	19 %	21 %	22	5 %	32 %	11	9 %	18 %	11	3	0	0	10
2003	MP	BANQUE CENTRALE-SUPELEC	CENTRALE Paris etranger	176	25 %	32 %	32	12 %	22 %	30	13 %	23 %	21	5	40	40	5
2003	MP	BANQUE CENTRALE-SUPELEC	CENTRALE Paris	2987	20 %	31 %	731	14 %	32 %	483	13 %	31 %	369	137	13	34	140
2003	MP	BANQUE CENTRALE-SUPELEC	CENTRALE Paris handicapés							1	100 %	0 %	1	0	0	0	1
2003	MP	BANQUE CENTRALE-SUPELEC	Supelec campus Gif	2401	20 %	33 %	991	15 %	37 %	852	15 %	39 %	534	83	18	47	88
2003	MP	BANQUE CENTRALE-SUPELEC	Supelec campus Gif etranger	156	26 %	31 %	57	14 %	35 %	26	15 %	31 %	0	0	0	0	1
2003	MP	BANQUE CENTRALE-SUPELEC	Supelec campus Gif handicapés							0	0 %	0 %	0	0	0	0	0
2003	MP	BANQUE CENTRALE-SUPELEC	Supelec campus Gif cycle international	206	18 %	21 %	45	4 %	24 %	11	9 %	18 %	0	0	0	0	0
2003	MP	BANQUE CENTRALE-SUPELEC	Supelec campus Metz handicapés							0	0 %	0 %	0	0	0	0	0
2003	MP	BANQUE CENTRALE-SUPELEC	Supelec campus Metz etranger	156	26 %	31 %	57	14 %	35 %	26	15 %	31 %	9	1	100	100	0
2003	MP	BANQUE CENTRALE-SUPELEC	Supelec campus Metz cycle international	206	18 %	21 %	45	4 %	24 %	11	9 %	18 %	0	0	0	0	0
2003	MP	BANQUE CENTRALE-SUPELEC	Supelec campus Metz	2401	20 %	33 %	991	15 %	37 %	852	15 %	39 %	722	19	5	58	22
2003	MP	BANQUE CENTRALE-SUPELEC	Supelec campus Rennes cycle international	206	18 %	21 %	45	4 %	24 %	11	9 %	18 %	11	0	0	0	1
2003	MP	BANQUE CENTRALE-SUPELEC	Supelec campus Renn. etranger	156	26 %	31 %	57	14 %	35 %	26	15 %	31 %	0	0	0	0	0
2003	MP	BANQUE CENTRALE-SUPELEC	Supelec campus Rennes	2401	20 %	33 %	991	15 %	37 %	852	15 %	39 %	619	22	18	64	22
2003	MP	BANQUE CENTRALE-SUPELEC	Supelec campus Rennnes handicapés							0	0 %	0 %	0	0	0	0	0
2003	MP	BANQUE CENTRALE-SUPELEC	CENTRALE Lyon	3346	22 %	30 %	994	16 %	35 %	781	17 %	38 %	735	115	22	31	115
2003	MP	BANQUE CENTRALE-SUPELEC	CENTRALE Lyon cycle international	196	17 %	22 %	27	7 %	30 %	5	20 %	20 %	5	0	0	0	3
2003	MP	BANQUE CENTRALE-SUPELEC	SupOptique etranger	44	23 %	41 %	23	17 %	48 %	17	18 %	41 %	17	3	33	67	5
2003	MP	BANQUE CENTRALE-SUPELEC	SupOptique	1504	27 %	37 %	632	24 %	41 %	580	24 %	42 %	580	35	40	43	32
2003	MP	BANQUE CENTRALE-SUPELEC	CENTRALE Lille handicapés							0	0 %	0 %	0	0	0	0	1
2003	MP	BANQUE CENTRALE-SUPELEC	CENTRALE Lille	2895	23 %	33 %	949	20 %	41 %	901	20 %	42 %	761	83	33	40	85
2003	MP	BANQUE CENTRALE-SUPELEC	CENTRALE Lille cycle international	196	17 %	22 %	13	8 %	15 %	11	9 %	18 %	11	0	0	0	3
2003	MP	BANQUE CENTRALE-SUPELEC	CENTRALE Nantes	3172	23 %	32 %	1252	19 %	36 %	1143	19 %	37 %	1099	129	22	34	130
2003	MP	BANQUE CENTRALE-SUPELEC	CENTRALE Nantes handicapés							1	0 %	100 %	0	0	0	0	0
2003	MP	BANQUE CENTRALE-SUPELEC	ENSEA Cergy	1394	24 %	33 %	824	23 %	36 %	657	24 %	37 %	654	48	27	44	40
2003	MP	BANQUE CENTRALE-SUPELEC	ENSEA Cergy handicapés							2	50 %	50 %	2	0	0	0	1
2003	MP	BANQUE CENTRALE-SUPELEC	IIE-CNAM	1120	19 %	36 %	772	19 %	37 %	559	18 %	37 %	520	83	8	24	75
2003	MP	CONCOURS COMMUN TPE	ENTPE Civil	2620	27 %	39 %	1004	25 %	52 %	576	30 %	57 %	477	14	29	64	13
2003	MP	CONCOURS COMMUN TPE	ENTPE Fonctionnaire							574	30 %	57 %	387	54	31	69	54
2003	MP	CONCOURS COMMUN TPE	ENTPE Etr							23	43 %	78 %	7	0	0	0	1
2003	MP	CONC. COMM. POLYTECHNIQUE	ENSMM Besancon										3259	44	18	23	30
2003	MP	CONC. COMM. POLYTECHNIQUE	ENSEIRB Electronique										2298	25	8	20	34
2003	MP	CONC. COMM. POLYTECHNIQUE	ENSEIRB Informatique										2012	42	7	29	45
2003	MP	CONC. COMM. POLYTECHNIQUE	ENSEIRB Telecom										1906	20	25	15	21
2003	MP	CONC. COMM. POLYTECHNIQUE	ENSIETA Brest civil										2416	34	32	38	37
2003	MP	CONC. COMM. POLYTECHNIQUE	ENSICAEN Electronique										3272	21	24	38	20
2003	MP	CONC. COMM. POLYTECHNIQUE	ENSICAEN : informatique										3151	35	26	37	40
2003	MP	CONC. COMM. POLYTECHNIQUE	ISIMA Clermont-Fd										3100	34	21	24	40
2003	MP	CONC. COMM. POLYTECHNIQUE	ENSEE Grenoble										2516	7	29	57	8
2003	MP	CONC. COMM. POLYTECHNIQUE	ENSER Grenoble										1770	34	21	29	36
2003	MP	CONC. COMM. POLYTECHNIQUE	ENSHMG Grenoble										1806	26	58	31	25
2003	MP	CONC. COMM. POLYTECHNIQUE	ENSIEG										2607	46	28	37	50
2003	MP	CONC. COMM. POLYTECHNIQUE	ENSP Grenoble										1665	36	42	42	32
2003	MP	CONC. COMM. POLYTECHNIQUE	ENSIMA Grenoble										709	87	14	45	84
2003	MP	CONC. COMM. POLYTECHNIQUE	ENSERG-ENSIMAG:Telec										996	30	10	37	32
2003	MP	CONC. COMM. POLYTECHNIQUE	EFPG Grenoble										3254	11	55	55	19
2003	MP	CONC. COMM. POLYTECHNIQUE	CPE Lyon (Elec.)										3148	17	18	53	18
2003	MP	CONC. COMM. POLYTECHNIQUE	ENSP Marseille										2653	18	22	33	20
2003	MP	CONC. COMM. POLYTECHNIQUE	ESM2 Marseille										2652	8	38	38	20
2003	MP	CONC. COMM. POLYTECHNIQUE	ENSEM Nancy										3178	20	25	35	36
2003	MP	CONC. COMM. POLYTECHNIQUE	ENSIC Nancy										2702	8	50	12	10
2003	MP	CONC. COMM. POLYTECHNIQUE	ENSG Nancy										2319	6	17	33	5
2003	MP	CONC. COMM. POLYTECHNIQUE	SUPMECA Paris										2524	32	22	28	35
2003	MP	CONC. COMM. POLYTECHNIQUE	SUPMECA Toulon										2683	11	27	36	10
2003	MP	CONC. COMM. POLYTECHNIQUE	ENSGTI Pau										3272	3	33	67	10
2003	MP	CONC. COMM. POLYTECHNIQUE	ENSMA Poitiers										1863	43	23	53	45
2003	MP	CONC. COMM. POLYTECHNIQUE	ENSP Strasbourg										2856	38	42	45	35
2003	MP	CONC. COMM. POLYTECHNIQUE	ENAC Toulouse civil										1243	33	36	45	32
2003	MP	CONC. COMM. POLYTECHNIQUE	ENAC Fonc Tlse										151	6	17	100	6
2003	MP	CONC. COMM. POLYTECHNIQUE	ENSEEIHT Genie Elec.										1772	19	16	53	15
2003	MP	CONC. COMM. POLYTECHNIQUE	ENSEEIHT electronique										1518	18	11	33	18
2003	MP	CONC. COMM. POLYTECHNIQUE	ENSEEIHT Informatique										1273	52	12	38	52
2003	MP	CONC. COMM. POLYTECHNIQUE	ENSEEIHT hydraulique										1254	16	25	62	19
2003	MP	CONC. COMM. POLYTECHNIQUE	ENSEEIHT Telecom.reseau										1353	18	17	72	20
2003	MP	CONC. COMM. POLYTECHNIQUE	ENSICA Toulouse										715	45	20	51	45
2003	MP	CONC. COMM. POLYTECHNIQUE	ENSIACET Mat Procede										2823	7	57	29	5
2003	MP	CONC. COMM. POLYTECHNIQUE	ENSIACET G. Chimique										3065	7	57	43	5
2003	MP	CONC. COMM. POLYTECHNIQUE	ENSIACET G. Pro. Inf										2945	16	25	50	12
2003	MP	CONC. COMM. POLYTECHNIQUE	ENSIACET G. Industri										2467	13	46	38	14
2003	MP	CONC. COMM. POLYTECHNIQUE	ENSIAME Meca Energ.										3222	13	15	38	15
2003	MP	CONC. COMM. POLYTECHNIQUE	ENSIAME Info Autom.										3265	7	43	14	8
2003	MP	CONC. COMM. POLYTECHNIQUE	ENSIAME Mecatronique										3265	3	0	67	6
2003	MP	CONC. COMM. POLYTECHNIQUE	Commun Polytechnique MP	5897	25 %	27 %	4219	24 %	31 %	3279	24 %	33 %					1069
2003	MP	BANQUE D'EPREUVES C.C.P	Ecole Navale Brest							0	0 %	0 %	0	0	0	0	0
2003	MP	BANQUE D'EPREUVES C.C.P	Ecole Navale Brest	489	17 %	38 %	167	16 %	55 %	93	15 %	63 %	63	28	4	68	28
2003	MP	BANQUE D'EPREUVES C.C.P	ENSIETA Brest Mili.	682	20 %	34 %	306	23 %	42 %	183	26 %	48 %	99	21	24	52	21
2003	MP	BANQUE D'EPREUVES C.C.P	ENSCI Limoges	191	37 %	28 %	180	38 %	28 %	37	49 %	24 %	37	6	50	17	10
2003	MP	BANQUE D'EPREUVES C.C.P	ENSIT Mulhouse	155	37 %	32 %	140	39 %	33 %	30	53 %	20 %	30	6	0	33	10
2003	MP	BANQUE D'EPREUVES C.C.P	ENSAI Rennes civil	756	35 %	33 %	512	35 %	38 %	436	35 %	41 %	392	53	28	43	48
2003	MP	BANQUE D'EPREUVES C.C.P	ENSAI Rennes fonctionnaire	1035	33 %	40 %	705	32 %	46 %	386	32 %	56 %	376	31	32	58	32
2003	MP	BANQUE D'EPREUVES C.C.P	ENSAI Rennes etranger							0	0 %	0 %	0	0	0	0	0
2003	MP	BANQUE D'EPREUVES C.C.P	ENSGSI Nancy	346	37 %	28 %	251	36 %	31 %	74	43 %	41 %	25	3	0	67	4
2003	MP	BANQUE D'EPREUVES C.C.P	ENGEES Fonctionnaires										34	2	50	50	2
2003	MP	BANQUE D'EPREUVES C.C.P	ENGEES Civils										80	10	60	30	10
2003	MP	BANQUE D'EPREUVES C.C.P	ENGEES Strasbourg MP	495	44 %	33 %	257	42 %	46 %	103	53 %	45 %					12
2003	MP	CONCOURS TELECOM INT	Telecom INT	2112	22 %	34 %	879	21 %	43 %	460	25 %	51 %	410	83	25	45	75
2003	MP	CONCOURS TELECOM INT	ESIEE - Paris										1377	12	25	58	15
2003	MP	CONCOURS TELECOM INT	ISMEA Marseille										1306	11	9	45	10
2003	MP	CONCOURS TELECOM INT	ESIEE/ISMEA MP							1377	22 %	39 %					25
2003	MP	CONCOURS EIVP	EIVP Fonc. Paris							603	29 %	56 %	319	6	50	50	6
2003	MP	CONCOURS EIVP	EIVP Civil Paris							626	30 %	57 %	626	13	69	46	14
2003	MP	CONCOURS DES ENSTIM	ENSTIM Albi										71	1	0	100	5
2003	MP	CONCOURS DES ENSTIM	ENSTIM Ales										68	6	33	33	6
2003	MP	CONCOURS DES ENSTIM	ENSTIM Douai										70	3	0	100	4
2003	MP	CONCOURS DES ENSTIM	ENSTIM Nantes										0	0	0	0	0
2003	MP	CONCOURS DES ENSTIM	ENSTIM MP	459	32 %	38 %	264	30 %	46 %	71	37 %	56 %					15
2003	MP	CONCOURS ENSAE STATISTIQUE	ENSAE Statistique	1140	25 %	41 %	280	18 %	64 %	179	20 %	69 %	145	52	21	75	45
2003	MP	CONCOURS ENSAE STATISTIQUE	ENSAE Statistique etranger							0	0 %	0 %	0	0	0	0	0
2003	MP	CONCOURS EEI	ESIM Marseille	354	26 %	29 %	249	29 %	30 %	193	30 %	33 %	144	37	30	16	35
2003	MP	CONCOURS ESTP	ESTP-TP										505	59	19	31	64
2003	MP	CONCOURS ESTP	ESTP-BAT										663	62	34	24	64
2003	MP	CONCOURS ESTP	ESTP MECA-ELEC										705	18	6	33	20
2003	MP	CONCOURS ESTP	ESTP-GEOMETRES										718	11	18	36	10
2003	MP	CONCOURS ESTP	ESTP MP	1080	27 %	29 %	983	27 %	28 %	791	27 %	31 %					158
2003	MP	CONCOURS ENSAM	ENSAM	1152	26 %	29 %	130	26 %	55 %	87	26 %	55 %	74	24	25	50	20
2003	MP	CONCOURS ECRIN	ECOLE LOUIS DE BROG.	414	25 %	27 %	374	27 %	28 %	207	29 %	37 %	207	6	50	33	12
2003	MP	CONCOURS ECRIN	EFREI Paris	570	23 %	24 %	519	24 %	25 %	290	24 %	29 %	290	18	6	11	15
2003	MP	CONCOURS ECRIN	EISTI Cergy	564	23 %	23 %	518	24 %	24 %	334	24 %	27 %	332	25	8	12	30
2003	MP	CONCOURS ECRIN	ESEO Angers	355	24 %	27 %	317	25 %	29 %	205	27 %	34 %	205	4	75	25	10
2003	MP	CONCOURS ECRIN	ESIEA PARIS										232	4	0	0	15
2003	MP	CONCOURS ECRIN	ESIEA Laval										232	2	0	50	5
2003	MP	CONCOURS ECRIN	ESIEA Paris-Laval MP	472	22 %	25 %	432	23 %	27 %	232	23 %	31 %					20
2003	MP	CONCOURS ECRIN	ESME-Sudria Paris	535	23 %	23 %	490	23 %	23 %	391	23 %	26 %	391	9	11	22	25
2003	MP	CONCOURS ECRIN	ESTIT V.D ASCQ	310	30 %	28 %	306	30 %	29 %	170	31 %	35 %	167	4	0	0	5
2003	MP	CONCOURS ECRIN	ISEB Brest	366	25 %	28 %	330	26 %	30 %	204	26 %	37 %	204	1	0	0	12
2003	MP	CONCOURS ECRIN	ISEM Toulon	391	25 %	27 %	348	26 %	29 %	211	26 %	36 %	211	3	33	33	12
2003	MP	CONCOURS ECRIN	ISEN Lille	410	25 %	26 %	363	26 %	28 %	223	24 %	35 %	223	7	14	14	15
2003	MP	CONCOURS ECRIN	ITECH Lyon	342	32 %	28 %	311	34 %	30 %	229	36 %	33 %	229	1	0	100	5
2003	MP	CONCOURS ARCHIMEDE	EIC Cherbourg	137	33 %	23 %	100	38 %	28 %	14	36 %	36 %	14	1	0	100	8
2003	MP	CONCOURS ARCHIMEDE	EIVL Blois							0	0 %	0 %	0	0	0	0	0
2003	MP	CONCOURS ARCHIMEDE	ENSI Bourges MRI	385	40 %	25 %	278	44 %	25 %	89	54 %	22 %	89	21	52	24	27
2003	MP	CONCOURS ARCHIMEDE	ENSI Bourges STI	302	29 %	26 %	219	30 %	28 %	63	41 %	25 %	63	5	0	0	18
2003	MP	CONCOURS ARCHIMEDE	ENSIL Limoges EE	299	53 %	24 %	193	58 %	24 %	66	61 %	21 %	27	7	71	29	6
2003	MP	CONCOURS ARCHIMEDE	ENSIL Limoges E.T.I	195	32 %	24 %	150	36 %	25 %	42	40 %	24 %	42	3	33	0	10
2003	MP	CONCOURS ARCHIMEDE	ENSIM Le Mans	184	36 %	33 %	172	37 %	31 %	44	39 %	32 %	44	7	29	29	15
2003	MP	CONCOURS ARCHIMEDE	ENSSAT Lannion EII	367	19 %	23 %	326	19 %	24 %	80	25 %	28 %	80	8	0	38	10
2003	MP	CONCOURS ARCHIMEDE	ENSSAT Lannion LSI	367	19 %	23 %	326	19 %	24 %	88	18 %	26 %	88	6	0	0	12
2003	MP	CONCOURS ARCHIMEDE	ENSSAT Lannion OPT	367	19 %	23 %	326	19 %	24 %	46	37 %	30 %	46	5	60	20	8
2003	MP	CONCOURS ARCHIMEDE	ENSTIB Epinal	75	27 %	33 %	65	31 %	34 %	18	44 %	33 %	13	1	0	0	4
2003	MP	CONCOURS ARCHIMEDE	ESIA Annecy	320	26 %	27 %	267	29 %	28 %	102	23 %	27 %	102	16	19	25	18
2003	MP	CONCOURS ARCHIMEDE	ESIAL Nancy	430	17 %	25 %	399	17 %	25 %	147	12 %	19 %	105	29	10	24	28
2003	MP	CONCOURS ARCHIMEDE	ESIGEC Chambery GE	308	53 %	26 %	174	59 %	32 %	123	57 %	36 %	75	3	33	0	4
2003	MP	CONCOURS ARCHIMEDE	ESIGEC Chambery IB	232	35 %	27 %	151	39 %	31 %	98	39 %	38 %	27	2	0	50	3
2003	MP	CONCOURS ARCHIMEDE	ESIGEC Chambery MC	153	36 %	27 %	104	39 %	30 %	70	43 %	37 %	48	2	0	50	4
2003	MP	CONCOURS ARCHIMEDE	ESINSA Nice	253	27 %	31 %	225	28 %	31 %	96	33 %	28 %	95	6	33	50	10
2003	MP	CONCOURS ARCHIMEDE	ESIP Poitiers	426	43 %	26 %	329	47 %	26 %	171	47 %	25 %	152	32	56	19	30
2003	MP	CONCOURS ARCHIMEDE	ESIREM Dijon	156	42 %	26 %	142	44 %	25 %	78	45 %	24 %	78	5	20	0	10
2003	MP	CONCOURS ARCHIMEDE	ESSAIM Mulhouse	243	24 %	26 %	214	26 %	25 %	88	20 %	36 %	88	1	0	100	15
2003	MP	CONCOURS ARCHIMEDE	ESSI Nice	517	21 %	25 %	470	21 %	26 %	327	20 %	29 %	314	33	9	24	30
2003	MP	CONCOURS ARCHIMEDE	ESSTIN Nancy	326	35 %	24 %				164	39 %	32 %	164	3	33	33	10
2003	MP	CONCOURS ARCHIMEDE	FIUPSO Paris-Orsay	148	26 %	22 %	74	26 %	28 %	14	29 %	14 %	14	1	100	0	5
2003	MP	CONCOURS ARCHIMEDE	IFSIC Rennes	317	19 %	21 %	223	18 %	22 %	69	13 %	19 %	69	10	10	20	15
2003	MP	CONCOURS ARCHIMEDE	ISITV Toulon IMAR	326	37 %	34 %	278	40 %	33 %	167	41 %	35 %	112	12	67	8	9
2003	MP	CONCOURS ARCHIMEDE	ISITV Toulon IMATER	246	34 %	34 %	206	38 %	34 %	114	38 %	39 %	114	3	67	0	4
