year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	rang_du_dernier_appele	integres_nb	integres_filles	integres_cinq_demi	places
2006	PSI	BANQUE ENS CACHAN/EC. POLYTECH	ECOLE POLYTECHNIQUE	820	17.0%	29.0%	94	10.0%	23.0%	55	16.0%	15.0%	47	47	14.0%	13.0%	47
2006	PSI	BANQUE ENS CACHAN/EC. POLYTECH	ECOLE POLYTECHNIQUE Etranger	61	11.0%		6	0.0%		2	0.0%		2	2	0.0%		2
2006	PSI	BANQUE ENS CACHAN/EC. POLYTECH	ENS Cachan FIL. SCIEN. ou SI										62	10	30.0%	60.0%	10
2006	PSI	BANQUE ENS CACHAN/EC. POLYTECH	ENS Cachan FIL.SI										268	29	3.0%	45.0%	30
2006	PSI	BANQUE ENS CACHAN/EC. POLYTECH	ENS Cachan - Ker Lan										295	5	40.0%	20.0%	6
2006	PSI	BANQUE ENS CACHAN/EC. POLYTECH	ENS Cachan	1177	19.0%	30.0%	339	15.0%	33.0%	302	16.0%	32.0%		44			46
2006	PSI	BANQUE ENS CACHAN/EC. POLYTECH	ENS Cachan - Ker Lan							6	0.0%	34.0%	0	0	0.0%	0.0%	0
2006	PSI	CONCOURS COMMUN MINES-PONTS	MINES Paris										56	27	25.0%	8.0%	26
2006	PSI	CONCOURS COMMUN MINES-PONTS	MINES Nancy										566	37	16.0%	25.0%	37
2006	PSI	CONCOURS COMMUN MINES-PONTS	MINES St Etienne										633	42	33.0%	15.0%	40
2006	PSI	CONCOURS COMMUN MINES-PONTS	Ponts et Chaussées										144	34	17.0%	30.0%	32
2006	PSI	CONCOURS COMMUN MINES-PONTS	SUPAERO Toulouse										258	44	22.0%	23.0%	42
2006	PSI	CONCOURS COMMUN MINES-PONTS	Techniques avancées										313	27	40.0%	30.0%	26
2006	PSI	CONCOURS COMMUN MINES-PONTS	ENST Cursus Paris										222	14	21.0%	29.0%	15
2006	PSI	CONCOURS COMMUN MINES-PONTS	ENST Bretagne										832	25	20.0%	36.0%	25
2006	PSI	CONCOURS COMMUN MINES-PONTS	ENST Sophia Antipolis										361	10	30.0%	0.0%	8
2006	PSI	CONCOURS COMMUN MINES-PONTS	Concours Commun Mines Ponts	2972	19.0%	26.0%	848	18.0%	27.0%	832	18.0%	26.0%		260			251
2006	PSI	BANQUE CENTRALE-SUPELEC	CENTRALE PARIS	1861	18.0%	26.0%	307	17.0%	21.0%	234	17.0%	18.0%	159	85	11.0%	17.0%	85
2006	PSI	BANQUE CENTRALE-SUPELEC	SUPELEC- Campus Gif										317	67	20.0%	29.0%	64
2006	PSI	BANQUE CENTRALE-SUPELEC	SUPELEC- Campus Metz										430	17	11.0%	30.0%	19
2006	PSI	BANQUE CENTRALE-SUPELEC	SUPELEC- Campus Rennes										372	19	21.0%	11.0%	19
2006	PSI	BANQUE CENTRALE-SUPELEC	Supélec	1961	17.0%	27.0%	639	16.0%	25.0%	509	16.0%	25.0%		103			102
2006	PSI	BANQUE CENTRALE-SUPELEC	CENTRALE LYON	2307	19.0%	25.0%	457	17.0%	22.0%	397	17.0%	22.0%	397	75	13.0%	22.0%	80
2006	PSI	BANQUE CENTRALE-SUPELEC	ECOLE SUPERIEURE D'OPTIQUE	1207	21.0%	33.0%	527	20.0%	33.0%	431	19.0%	32.0%	431	19	31.0%	32.0%	26
2006	PSI	BANQUE CENTRALE-SUPELEC	CENTRALE LILLE	2309	19.0%	27.0%	539	18.0%	28.0%	504	18.0%	27.0%	479	64	18.0%	36.0%	60
2006	PSI	BANQUE CENTRALE-SUPELEC	CENTRALE NANTES	2536	19.0%	28.0%	697	19.0%	29.0%	656	19.0%	29.0%	627	73	21.0%	40.0%	70
2006	PSI	BANQUE CENTRALE-SUPELEC	EGIM Marseille	1902	19.0%	32.0%	565	19.0%	33.0%	531	19.0%	33.0%	530	47	23.0%	22.0%	45
2006	PSI	BANQUE CENTRALE-SUPELEC	ENSEA Cergy	1134	17.0%	32.0%	693	16.0%	30.0%	505	17.0%	30.0%	487	37	5.0%	19.0%	35
2006	PSI	BANQUE CENTRALE-SUPELEC	I.I.E. CNAM	763	18.0%	33.0%	387	17.0%	29.0%	102	24.0%	35.0%	102	5	20.0%	20.0%	20
2006	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSMM Besançon										2163	70	12.0%	36.0%	49
2006	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSEIR Bordeaux Electronique										1994	17	17.0%	18.0%	18
2006	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSEIR Bordeaux Informatique										2098	9	0.0%	23.0%	10
2006	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSEIR Bordeaux Télecom.										1925	18	16.0%	28.0%	17
2006	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSIETA Brest Civil										1571	33	18.0%	34.0%	34
2006	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSICAEN Electronique										2425	20	15.0%	30.0%	20
2006	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSICAEN Informatique										2543	15	6.0%	34.0%	12
2006	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ISIMA Clermont-Ferrand										2323	8	0.0%	25.0%	8
2006	PSI	CONCOURS COMMUNS POLYTECHNIQUES	INP Grenoble - EFPG										2185	9	55.0%	34.0%	10
2006	PSI	CONCOURS COMMUNS POLYTECHNIQUES	INP Grenoble - ENSEEG										2018	16	43.0%	38.0%	17
2006	PSI	CONCOURS COMMUNS POLYTECHNIQUES	INP Grenoble - ENSERG										1786	31	3.0%	17.0%	29
2006	PSI	CONCOURS COMMUNS POLYTECHNIQUES	INP Grenoble - ENSHMG										1119	29	17.0%	32.0%	29
2006	PSI	CONCOURS COMMUNS POLYTECHNIQUES	INP Grenoble - ENSIEG										2066	34	14.0%	36.0%	34
2006	PSI	CONCOURS COMMUNS POLYTECHNIQUES	INP Grenoble - ENSIMAG										808	21	9.0%	24.0%	21
2006	PSI	CONCOURS COMMUNS POLYTECHNIQUES	INP Grenoble - ENSPG										916	29	13.0%	25.0%	27
2006	PSI	CONCOURS COMMUNS POLYTECHNIQUES	INP Grenoble - TELECOM										1666	16	25.0%	13.0%	20
2006	PSI	CONCOURS COMMUNS POLYTECHNIQUES	CPE LYON Chimie										1902	1	100.0%	0.0%	5
2006	PSI	CONCOURS COMMUNS POLYTECHNIQUES	CPE LYON Electronique										2575	13	7.0%	39.0%	10
2006	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSC Montpellier										2215	1	0.0%	0.0%	2
2006	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSEM Nancy										1929	34	17.0%	36.0%	37
2006	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSG Nancy										1294	5	60.0%	40.0%	5
2006	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSIC Nancy										1499	5	40.0%	40.0%	5
2006	PSI	CONCOURS COMMUNS POLYTECHNIQUES	SUPMECA Paris										1448	32	15.0%	32.0%	38
2006	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSGTI Pau										2366	9	55.0%	45.0%	5
2006	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSMA Poitiers										1040	51	21.0%	46.0%	45
2006	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSP Strasbourg										2381	30	23.0%	20.0%	30
2006	PSI	CONCOURS COMMUNS POLYTECHNIQUES	SUPMECA Toulon										1529	14	14.0%	50.0%	15
2006	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENAC Toulouse Civil										716	26	11.0%	43.0%	26
2006	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENAC Toulouse Fonctionnaire										66	2	0.0%	0.0%	2
2006	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSEEIHT Toulouse Electronique										1418	15	26.0%	14.0%	16
2006	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSEEIHT Toulouse Génie Electrique										1515	25	20.0%	28.0%	23
2006	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSEEIHT Toulouse Hydraulique										981	18	22.0%	28.0%	18
2006	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSEEIHT Toulouse Informatique										1692	16	12.0%	32.0%	21
2006	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSEEIHT Toulouse Télécom.réseaux										1453	21	9.0%	24.0%	20
2006	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSIACET Toulouse Génie des Procédés										1698	4	100.0%	0.0%	4
2006	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSIACET Toulouse Génie Industriel										1511	15	53.0%	27.0%	10
2006	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSICA Toulouse										330	30	6.0%	34.0%	27
2006	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSIAME Valenciennes Info Autom.										2476	13	7.0%	31.0%	5
2006	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSIAME Valenciennes Méca Energ.										2251	23	30.0%	27.0%	26
2006	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSIAME Valenciennes Mécatronique										2297	7	14.0%	72.0%	8
2006	PSI	CONCOURS COMMUNS POLYTECHNIQUES	Concours Commun Polytechnique PSI	4496	20.0%	26.0%	3079	19.0%	31.0%	2575	19.0%	32.0%		785			758
2006	PSI	BANQUE EPREUVES C.C.P Inter-Filière	ESM Saint-Cyr (*)	489	11.0%	37.0%	213	9.0%	54.0%	102	8.0%	60.0%	218	36	2.0%	64.0%	0
2006	PSI	BANQUE EPREUVES C.C.P Inter-Filière	INP Grenoble - ENSGI	1016	25.0%	30.0%	420	25.0%	38.0%	204	31.0%	40.0%	0	45	24.0%	43.0%	0
2006	PSI	BANQUE EPREUVES C.C.P Inter-Filière	ENSGSI Nancy	546	25.0%	33.0%	342	24.0%	38.0%	146	28.0%	37.0%	0	16	25.0%	32.0%	0
2006	PSI	BANQUE EPREUVES C.C.P	ECOLE NAVALE Brest	615	13.0%	34.0%	176	10.0%	48.0%	94	5.0%	56.0%	64	25	12.0%	56.0%	25
2006	PSI	BANQUE EPREUVES C.C.P	ENSIETA Brest Militaire	768	15.0%	37.0%	413	12.0%	48.0%	128	10.0%	65.0%	121	11	9.0%	46.0%	11
2006	PSI	BANQUE EPREUVES C.C.P	ENSCI Limoges	316	27.0%	36.0%	253	26.0%	37.0%	95	30.0%	40.0%	88	10	20.0%	0.0%	12
2006	PSI	BANQUE EPREUVES C.C.P	ENSIT Mulhouse Mécanique et systèmes										55	9	0.0%	34.0%	5
2006	PSI	BANQUE EPREUVES C.C.P	ENSIT Mulhouse Textile et Habillement										49	4	50.0%	0.0%	5
2006	PSI	BANQUE EPREUVES C.C.P	ENSIT Mulhouse PSI	228	26.0%	34.0%	213	27.0%	33.0%	56	23.0%	33.0%		13			10
2006	PSI	BANQUE EPREUVES C.C.P	ECOLE DE L'AIR Base	720	16.0%	34.0%	158	12.0%	59.0%	37	8.0%	76.0%	22	2	0.0%	100.0%	2
2006	PSI	BANQUE EPREUVES C.C.P	ECOLE DE L'AIR Méca	716	16.0%	35.0%	158	12.0%	58.0%	35	5.0%	78.0%	9	1	0.0%	100.0%	1
2006	PSI	BANQUE EPREUVES C.C.P	ECOLE DE L'AIR Pilote	804	15.0%	28.0%	155	7.0%	44.0%	57	1.0%	60.0%	40	26	0.0%	66.0%	26
2006	PSI	BANQUE EPREUVES C.C.P	ENGEES Strasbourg Civil										71	12	25.0%	42.0%	12
2006	PSI	BANQUE EPREUVES C.C.P	ENGEES Strasbourg Fonctionnaire										5	1	0.0%	0.0%	1
2006	PSI	BANQUE EPREUVES C.C.P	ENGEES Strasbourg PSI	560	32.0%	36.0%	297	31.0%	43.0%	139	37.0%	44.0%		13			13
2006	PSI	BANQUE EPREUVES C.C.P	EOST Strasbourg	354	34.0%	35.0%	66	31.0%	43.0%	11	36.0%	55.0%	11	1	0.0%	0.0%	3
2006	PSI	CONCOURS COMMUN TPE	ENSTIM Fonct. Douai				783	20.0%	39.0%	424	26.0%	41.0%	425	2	0.0%	100.0%	3
2006	PSI	CONCOURS COMMUN TPE	ENTPE Vaulx en Velin Civil				785	21.0%	39.0%	425	26.0%	41.0%	416	10	30.0%	20.0%	9
2006	PSI	CONCOURS COMMUN TPE	ENTPE Vaulx en Velin Fonctionnaire				783	20.0%	39.0%	424	26.0%	41.0%	230	22	40.0%	73.0%	22
2006	PSI	CONCOURS COMMUN TPE	ENTPE Vaulx en Velin Etranger				13	7.0%	39.0%	4	0.0%	75.0%	4	0	0.0%	0.0%	1
2006	PSI	CONCOURS COMMUN TPE	ECOLE METEOROLOGIE				783	20.0%	39.0%	424	26.0%	41.0%	274	1	0.0%	0.0%	1
2006	PSI	CONCOURS COMMUN TPE	EIVP Paris Civil				798	20.0%	39.0%	438	26.0%	42.0%	416	8	62.0%	38.0%	10
2006	PSI	CONCOURS COMMUN TPE	EIVP Paris Fonctionnaire				785	21.0%	39.0%	434	26.0%	41.0%	166	4	0.0%	50.0%	4
2006	PSI	CONCOURS TELECOM INT	ESIEE Paris										207	8	25.0%	0.0%	15
