year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	rang_du_dernier_appele	integres_nb	integres_filles	integres_cinq_demi	places
2006	PT	CENTRALE-SUPELEC	CENTRALE PARIS	656	10.0%	22.0%	57	14.0%	6.0%	41	12.0%	8.0%	31	10	20.0%	10.0%	10
2006	PT	CENTRALE-SUPELEC	SUPELEC- Campus Gif										41	12	8.0%	0.0%	12
2006	PT	CENTRALE-SUPELEC	SUPELEC- Campus Metz										65	6	0.0%	0.0%	6
2006	PT	CENTRALE-SUPELEC	SUPELEC- Campus Rennes										55	6	0.0%	34.0%	6
2006	PT	CENTRALE-SUPELEC	Supélec	680	8.0%	24.0%	122	6.0%	10.0%	75	10.0%	8.0%		24			24
2006	PT	CENTRALE-SUPELEC	CENTRALE LYON	939	9.0%	25.0%	155	12.0%	10.0%	97	16.0%	8.0%	82	21	14.0%	0.0%	20
2006	PT	CENTRALE-SUPELEC	ECOLE SUPERIEURE D'OPTIQUE	366	10.0%	29.0%	60	10.0%	19.0%	50	12.0%	16.0%	49	2	0.0%	50.0%	2
2006	PT	CENTRALE-SUPELEC	CENTRALE LILLE	788	10.0%	27.0%	112	13.0%	9.0%	109	13.0%	7.0%	93	13	15.0%	16.0%	12
2006	PT	CENTRALE-SUPELEC	CENTRALE NANTES	831	10.0%	28.0%	150	12.0%	10.0%	135	12.0%	9.0%	112	15	13.0%	0.0%	12
2006	PT	CENTRALE-SUPELEC	EGIM Marseille	586	12.0%	30.0%	70	15.0%	12.0%	65	15.0%	10.0%	65	2	0.0%	50.0%	7
2006	PT	CONCOURS COMMUN MINES-PONTS	MINES Paris										19	3	0.0%	0.0%	3
2006	PT	CONCOURS COMMUN MINES-PONTS	MINES Nancy										92	4	0.0%	0.0%	3
2006	PT	CONCOURS COMMUN MINES-PONTS	MINES St Etienne										50	3	0.0%	0.0%	3
2006	PT	CONCOURS COMMUN MINES-PONTS	Ponts et Chaussées										14	0	0.0%	0.0%	2
2006	PT	CONCOURS COMMUN MINES-PONTS	SUPAERO Toulouse										36	6	0.0%	0.0%	5
2006	PT	CONCOURS COMMUN MINES-PONTS	Techniques avancées										41	2	50.0%	0.0%	2
2006	PT	CONCOURS COMMUN MINES-PONTS	ENST Cursus Paris										28	1	0.0%	0.0%	1
2006	PT	CONCOURS COMMUN MINES-PONTS	ENST Bretagne										137	0	0.0%	0.0%	2
2006	PT	CONCOURS COMMUN MINES-PONTS	ENST Sophia Antipolis										0	0	0.0%	0.0%	1
2006	PT	CONCOURS COMMUN MINES-PONTS	Concours Commun Mines-Ponts	645	12.0%	22.0%	147	9.0%	11.0%	137	10.0%	9.0%		19			22
2006	PT	CONCOURS COMMUN ENSAM	ENSAM										759	529	8.0%	31.0%	600
2006	PT	CONCOURS COMMUN ENSAM	ENSEA Cergy										1101	18	16.0%	23.0%	32
2006	PT	CONCOURS COMMUN ENSAM	ESIEE Amiens										1101	1	0.0%	100.0%	6
2006	PT	CONCOURS COMMUN ENSAM	ESIEE Paris										1101	2	0.0%	0.0%	10
2006	PT	CONCOURS COMMUN ENSAM	ISMEA Gardanne										1023	7	0.0%	29.0%	5
2006	PT	CONCOURS COMMUN ENSAM	Concours commun ENSAM	2054	9.0%	24.0%	1190	8.0%	28.0%	1100	9.0%	28.0%		557			653
2006	PT	CONCOURS ECOLE POLYTECHNIQUE	ECOLE POLYTECHNIQUE	367	10.0%	19.0%	20	10.0%	10.0%	12	16.0%	9.0%	10	10	10.0%	10.0%	10
2006	PT	CONCOURS ECOLE POLYTECHNIQUE	ECOLE POLYTECHNIQUE Etranger	17	20.0%					0	0.0%		0	0	0.0%		0
2006	PT	CONCOURS ENS DE CACHAN	ENS Cachan										205	42	16.0%	24.0%	40
2006	PT	CONCOURS ENS DE CACHAN	ENS Cachan - Ker Lan										275	5	20.0%	40.0%	6
2006	PT	CONCOURS ENS DE CACHAN	ENS Cachan	1745	10.0%	25.0%	344	8.0%	23.0%	275	8.0%	20.0%		47			46
2006	PT	CONCOURS COMMUNS POLYTECHNIQUES	ENSMM Besançon										1013	55	7.0%	42.0%	44
2006	PT	CONCOURS COMMUNS POLYTECHNIQUES	ENSEIR Bordeaux Electronique										699	2	0.0%	50.0%	2
2006	PT	CONCOURS COMMUNS POLYTECHNIQUES	ENSEIR Bordeaux Informatique										371	2	0.0%	0.0%	1
2006	PT	CONCOURS COMMUNS POLYTECHNIQUES	ENSEIR Bordeaux Télecom.										436	1	0.0%	100.0%	1
2006	PT	CONCOURS COMMUNS POLYTECHNIQUES	ENSIETA Brest Civil										769	14	28.0%	29.0%	13
2006	PT	CONCOURS COMMUNS POLYTECHNIQUES	ENSICAEN Electronique										1044	8	12.0%	25.0%	10
2006	PT	CONCOURS COMMUNS POLYTECHNIQUES	ENSICAEN Informatique										706	4	0.0%	25.0%	2
2006	PT	CONCOURS COMMUNS POLYTECHNIQUES	ENSICAEN Mat. et Chimie										951	4	0.0%	50.0%	3
2006	PT	CONCOURS COMMUNS POLYTECHNIQUES	ISIMA Clermont-Ferrand										812	7	14.0%	0.0%	6
2006	PT	CONCOURS COMMUNS POLYTECHNIQUES	INP Grenoble - EFPG										792	0	0.0%	0.0%	2
2006	PT	CONCOURS COMMUNS POLYTECHNIQUES	INP Grenoble - ENSEEG										537	0	0.0%	0.0%	1
2006	PT	CONCOURS COMMUNS POLYTECHNIQUES	INP Grenoble - ENSERG										408	2	0.0%	0.0%	2
2006	PT	CONCOURS COMMUNS POLYTECHNIQUES	INP Grenoble - ENSHMG										598	27	3.0%	15.0%	23
2006	PT	CONCOURS COMMUNS POLYTECHNIQUES	INP Grenoble - ENSIEG										808	11	18.0%	55.0%	10
2006	PT	CONCOURS COMMUNS POLYTECHNIQUES	INP Grenoble - ENSIMAG										139	3	0.0%	0.0%	2
2006	PT	CONCOURS COMMUNS POLYTECHNIQUES	INP Grenoble - ENSPG										178	2	0.0%	50.0%	2
2006	PT	CONCOURS COMMUNS POLYTECHNIQUES	ENSCI Limoges										1065	1	0.0%	100.0%	2
2006	PT	CONCOURS COMMUNS POLYTECHNIQUES	CPE LYON Electronique										877	2	0.0%	50.0%	2
2006	PT	CONCOURS COMMUNS POLYTECHNIQUES	ENSEM Nancy										612	4	0.0%	0.0%	6
2006	PT	CONCOURS COMMUNS POLYTECHNIQUES	SUPMECA Paris										682	16	0.0%	13.0%	17
2006	PT	CONCOURS COMMUNS POLYTECHNIQUES	ENSMA Poitiers										372	5	0.0%	0.0%	5
2006	PT	CONCOURS COMMUNS POLYTECHNIQUES	SUPMECA Toulon										640	6	16.0%	17.0%	5
2006	PT	CONCOURS COMMUNS POLYTECHNIQUES	ENSEEIHT Toulouse Electronique										354	3	0.0%	34.0%	2
2006	PT	CONCOURS COMMUNS POLYTECHNIQUES	ENSEEIHT Toulouse Génie Electrique										414	3	0.0%	0.0%	2
2006	PT	CONCOURS COMMUNS POLYTECHNIQUES	ENSEEIHT Toulouse Hydraulique										274	2	0.0%	100.0%	2
2006	PT	CONCOURS COMMUNS POLYTECHNIQUES	ENSEEIHT Toulouse Informatique										343	1	0.0%	0.0%	2
2006	PT	CONCOURS COMMUNS POLYTECHNIQUES	ENSEEIHT Toulouse Télécom.réseaux										369	2	0.0%	50.0%	2
2006	PT	CONCOURS COMMUNS POLYTECHNIQUES	ENSICA Toulouse										53	2	50.0%	0.0%	2
2006	PT	CONCOURS COMMUNS POLYTECHNIQUES	ENSIAME Valenciennes Info Autom.										1065	4	25.0%	25.0%	8
2006	PT	CONCOURS COMMUNS POLYTECHNIQUES	ENSIAME Valenciennes Méca Energ.										995	10	0.0%	20.0%	9
2006	PT	CONCOURS COMMUNS POLYTECHNIQUES	ENSIAME Valenciennes Mécatronique										1047	4	25.0%	100.0%	4
2006	PT	CONCOURS COMMUNS POLYTECHNIQUES	Concours Commun Polytechnique PT	1972	10.0%	25.0%	1234	9.0%	30.0%	1064	9.0%	30.0%		207			194
2006	PT	GROUPE ARCHIMEDE	EIC Cherbourg	325	14.0%	36.0%	242	14.0%	38.0%	61	11.0%	30.0%	62	5	0.0%	40.0%	25
2006	PT	GROUPE ARCHIMEDE	EIVL Blois	268	15.0%	31.0%	194	17.0%	32.0%	97	11.0%	30.0%	98	3	33.0%	0.0%	12
2006	PT	GROUPE ARCHIMEDE	ENSI Bourges MRI	303	17.0%	38.0%	231	18.0%	39.0%	47	17.0%	37.0%	31	6	0.0%	34.0%	4
2006	PT	GROUPE ARCHIMEDE	ENSIL Limoges Mécatronique	275	20.0%	33.0%	210	18.0%	33.0%	40	12.0%	28.0%	41	3	33.0%	67.0%	6
2006	PT	GROUPE ARCHIMEDE	ENSIM Le Mans	163	12.0%	33.0%	118	13.0%	33.0%	19	5.0%	27.0%	19	3	0.0%	67.0%	5
2006	PT	GROUPE ARCHIMEDE	ENSTIB Epinal	275	10.0%	35.0%	220	10.0%	34.0%	74	14.0%	18.0%	70	20	10.0%	0.0%	16
2006	PT	GROUPE ARCHIMEDE	EPUPMC Paris 6 Elec. Info	205	17.0%	29.0%	151	16.0%	29.0%	28	21.0%	25.0%	24	6	33.0%	34.0%	4
2006	PT	GROUPE ARCHIMEDE	ENSSAT Lannion	189	14.0%	33.0%	140	14.0%	33.0%	26	23.0%	27.0%	26	0	0.0%	0.0%	8
2006	PT	GROUPE ARCHIMEDE	EPUPMC Paris 6 Sci.Terre	205	17.0%	29.0%	151	16.0%	29.0%	28	21.0%	25.0%	28	4	0.0%	25.0%	3
2006	PT	GROUPE ARCHIMEDE	ESIA Annecy	470	10.0%	33.0%	363	10.0%	34.0%	165	8.0%	33.0%	158	21	9.0%	24.0%	21
2006	PT	GROUPE ARCHIMEDE	ESIAL Nancy	207	15.0%	36.0%	147	15.0%	37.0%	11	9.0%	37.0%	11	7	0.0%	29.0%	10
2006	PT	GROUPE ARCHIMEDE	ESIEC Reims	100	21.0%	40.0%	68	22.0%	39.0%	5	20.0%	40.0%	5	1	0.0%	0.0%	5
2006	PT	GROUPE ARCHIMEDE	ESIGEC Chambéry GE										143	1	0.0%	0.0%	3
2006	PT	GROUPE ARCHIMEDE	ESIGEC Chambéry IB										154	5	0.0%	20.0%	6
2006	PT	GROUPE ARCHIMEDE	ESIGEC Chambéry MC										213	4	0.0%	25.0%	4
2006	PT	GROUPE ARCHIMEDE	ESIGEC Chambéry	494	14.0%	33.0%	383	13.0%	33.0%	225	13.0%	32.0%		10			13
2006	PT	GROUPE ARCHIMEDE	ESIL Marseille Mat.	242	14.0%	31.0%	195	14.0%	31.0%	71	8.0%	30.0%	71	0	0.0%	0.0%	6
2006	PT	GROUPE ARCHIMEDE	ESIP Poitiers Eclairage- Acoustique - Climatisation										91	2	0.0%	0.0%	2
2006	PT	GROUPE ARCHIMEDE	ESIP Poitiers Energétique										89	2	0.0%	0.0%	2
2006	PT	GROUPE ARCHIMEDE	ESIP Poitiers Génie Civil										45	4	50.0%	25.0%	2
2006	PT	GROUPE ARCHIMEDE	ESIP Poitiers Génie Electrique et Automatique										91	1	0.0%	0.0%	2
2006	PT	GROUPE ARCHIMEDE	ESIP Poitiers	436	18.0%	31.0%	321	18.0%	30.0%	110	21.0%	23.0%		9			8
2006	PT	GROUPE ARCHIMEDE	ESIREM Dijon Mat.	197	17.0%	29.0%	148	18.0%	32.0%	76	14.0%	23.0%	71	3	0.0%	0.0%	5
2006	PT	GROUPE ARCHIMEDE	ESSAIM Mulhouse	172	16.0%	37.0%	120	17.0%	37.0%	37	8.0%	38.0%	37	3	0.0%	34.0%	13
2006	PT	GROUPE ARCHIMEDE	ESSTIN Nancy	350	14.0%	35.0%	261	14.0%	37.0%	182	13.0%	36.0%	182	3	0.0%	34.0%	8
2006	PT	GROUPE ARCHIMEDE	ISIFC Besançon	119	22.0%	30.0%	93	23.0%	32.0%	13	38.0%	31.0%	5	3	100.0%	0.0%	2
2006	PT	GROUPE ARCHIMEDE	ISTASE St Etienne	250	12.0%	30.0%	195	14.0%	30.0%	46	10.0%	24.0%	47	8	12.0%	0.0%	10
2006	PT	GROUPE ARCHIMEDE	ISTIL Lyon	466	13.0%	33.0%	359	14.0%	35.0%	111	12.0%	29.0%	100	11	0.0%	64.0%	10
2006	PT	GROUPE ARCHIMEDE	ISPG Paris 13 Villetaneuse										35	4	25.0%	50.0%	2
2006	PT	GROUPE ARCHIMEDE	IFIPS Paris 11 Orsay										35	1	0.0%	0.0%	1
2006	PT	GROUPE ARCHIMEDE	ISTY Versailles										35	3	0.0%	34.0%	2
2006	PT	GROUPE ARCHIMEDE	Concours ArchIDF (IFIPS, ISPG, ISTY)	240	18.0%	31.0%	165	20.0%	30.0%	35	20.0%	23.0%		8			5
2006	PT	RESEAU POLYTECH	CUST Clermont-Ferrand Génie Civil										184	3	0.0%	34.0%	4
2006	PT	RESEAU POLYTECH	CUST Clermont-Ferrand MPE										544	8	37.0%	13.0%	6
2006	PT	RESEAU POLYTECH	POLYTECH Grenoble Géot.										222	3	0.0%	0.0%	2
2006	PT	RESEAU POLYTECH	POLYTECH Grenoble PRIHSE										140	3	33.0%	0.0%	3
2006	PT	RESEAU POLYTECH	POLYTECH Grenoble SciGMa										581	8	0.0%	25.0%	4
2006	PT	RESEAU POLYTECH	POLYTECH Grenoble 3I										616	1	0.0%	0.0%	3
2006	PT	RESEAU POLYTECH	POLYTECH Lille G.GC.										107	3	0.0%	0.0%	3
2006	PT	RESEAU POLYTECH	POLYTECH Lille G.I.S										416	3	33.0%	34.0%	2
2006	PT	RESEAU POLYTECH	POLYTECH Lille I.M.A										420	8	37.0%	25.0%	8
2006	PT	RESEAU POLYTECH	POLYTECH Lille Méca.										339	14	0.0%	43.0%	15
2006	PT	RESEAU POLYTECH	POLYTECH Lille Sc. Mat.										368	4	0.0%	25.0%	3
2006	PT	RESEAU POLYTECH	POLYTECH Marseille GII										616	1	0.0%	0.0%	6
2006	PT	RESEAU POLYTECH	POLYTECH Marseille M. Télec.										561	3	0.0%	0.0%	4
2006	PT	RESEAU POLYTECH	POLYTECH Marseille M.E.										616	8	0.0%	25.0%	8
2006	PT	RESEAU POLYTECH	POLYTECH Montpellier Micro.										616	4	0.0%	0.0%	7
2006	PT	RESEAU POLYTECH	POLYTECH Nantes GE										616	0	0.0%	0.0%	2
2006	PT	RESEAU POLYTECH	POLYTECH Nantes MAT										574	5	0.0%	40.0%	2
2006	PT	RESEAU POLYTECH	POLYTECH Nantes SEII										616	2	0.0%	100.0%	3
2006	PT	RESEAU POLYTECH	POLYTECH Nantes INFO										498	3	0.0%	0.0%	2
2006	PT	RESEAU POLYTECH	POLYTECH Nantes TE										282	4	0.0%	50.0%	4
2006	PT	RESEAU POLYTECH	POLYTECH' Nice-Sophia - Electronique										616	1	0.0%	0.0%	10
2006	PT	RESEAU POLYTECH	POLYTECH' Nice-Sophia - Math. App. et Modélisation										487	1	0.0%	0.0%	2
2006	PT	RESEAU POLYTECH	POLYTECH' Nice-Sophia - Sciences Informatiques										616	0	0.0%	0.0%	2
2006	PT	RESEAU POLYTECH	POLYTECH Orléans										421	15	6.0%	14.0%	15
2006	PT	RESEAU POLYTECH	POLYTECH Tours Info.										616	0	0.0%	0.0%	2
2006	PT	RESEAU POLYTECH	POLYTECH Tours Product.										616	4	75.0%	0.0%	7
2006	PT	RESEAU POLYTECH	POLYTECH Tours Aménag.										461	8	37.0%	0.0%	7
2006	PT	RESEAU POLYTECH	POLYTECH Montpellier STE										179	1	0.0%	0.0%	1
2006	PT	RESEAU POLYTECH	Concours Polytech-Eiffel	1203	12.0%	31.0%	965	12.0%	32.0%	615	13.0%	30.0%		118			137
2006	PT	AUTRES ECOLES	ECE PARIS	239	11.0%	27.0%	225	10.0%	28.0%	107	8.0%	28.0%	90	10	0.0%	20.0%	10
2006	PT	AUTRES ECOLES	EFREI Paris	134	14.0%	32.0%	112	15.0%	34.0%	73	13.0%	44.0%	73	5	20.0%	20.0%	20
2006	PT	AUTRES ECOLES	EIPC Longuenesse	132	19.0%	35.0%	128	19.0%	35.0%	60	10.0%	49.0%	60	6	0.0%	34.0%	20
2006	PT	AUTRES ECOLES	EIPI-ISPA Alençon	49	22.0%	27.0%	47	23.0%	26.0%	24	25.0%	30.0%	24	3	33.0%	34.0%	10
2006	PT	AUTRES ECOLES	ENSAIT Roubaix	319	15.0%	36.0%	286	15.0%	37.0%	150	12.0%	40.0%	150	20	20.0%	60.0%	28
2006	PT	AUTRES ECOLES	ENSIT Mulhouse Mécanique et systèmes										18	4	0.0%	0.0%	10
2006	PT	AUTRES ECOLES	ENSIT Mulhouse Textile et Habillement										18	1	100.0%	0.0%	5
2006	PT	AUTRES ECOLES	ENSIT Mulhouse	108	19.0%	36.0%	95	18.0%	37.0%	18	22.0%	28.0%		5			15
2006	PT	AUTRES ECOLES	ENSTIM Albi										136	3	0.0%	67.0%	3
2006	PT	AUTRES ECOLES	ENSTIM Alès										194	6	0.0%	50.0%	9
2006	PT	AUTRES ECOLES	ENSTIM Douai										194	5	0.0%	60.0%	8
2006	PT	AUTRES ECOLES	ENSTIM Nantes										169	7	28.0%	15.0%	5
2006	PT	AUTRES ECOLES	Ecoles des Mines d'Albi, Alès, Douai, Nantes	878	11.0%	34.0%	341	8.0%	49.0%	194	10.0%	51.0%		21			25
2006	PT	AUTRES ECOLES	ESIGELEC Rouen	260	13.0%	27.0%	252	13.0%	27.0%	131	12.0%	26.0%	131	22	13.0%	23.0%	30
2006	PT	AUTRES ECOLES	ESIGETEL Fontainebleau	153	13.0%	29.0%	142	11.0%	30.0%	111	11.0%	32.0%	111	4	0.0%	25.0%	10
