year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	rang_du_dernier_appele	integres_nb	integres_filles	integres_cinq_demi	places
2013	BCPST	A BIO	AgroParisTech Grignon										822	259	65.0%	24.0%	257
2013	BCPST	A BIO	Montpellier Sup Agro (cursus agronome)										991	99	66.0%	41.0%	97
2013	BCPST	A BIO	Montpellier Sup Agro (cursus SAADS)										872	6	66.0%	34.0%	5
2013	BCPST	A BIO	Agrocampus Ouest (cursus ingénieur agronome)										1248	101	62.0%	40.0%	101
2013	BCPST	A BIO	ENSAT Toulouse										1216	90	68.0%	43.0%	90
2013	BCPST	A BIO	ENSAIA Nancy										1598	93	73.0%	50.0%	93
2013	BCPST	A BIO	Agrocampus Ouest (cursus ingénieur en horticulture et en paysage)										1810	35	74.0%	40.0%	41
2013	BCPST	A BIO	Agrosup Dijon (Cursus Agroalimentaire)										2054	32	78.0%	38.0%	37
2013	BCPST	A BIO	Bordeaux Sciences Agro (ex ENITAB)										1712	80	67.0%	43.0%	80
2013	BCPST	A BIO	VetAgro Sup Clermont-Ferrand										2054	45	82.0%	34.0%	50
2013	BCPST	A BIO	ONIRIS Nantes Atlantique (cursus agroalimentaire)										2037	49	83.0%	35.0%	50
2013	BCPST	A BIO	Agrosup Dijon (Cursus Agronome) civil										1802	38	71.0%	32.0%	28
2013	BCPST	A BIO	Agrosup Dijon (Cursus agronome) fonctionnaire										1920	25	68.0%	48.0%	29
2013	BCPST	A BIO	Concours commun A BIO	3009	68.0%	27.0%	2234	67.0%	32.0%	2054	68.0%	33.0%		952			958
2013	BCPST	A ENV	ENV Alfort										419	109	70.0%	37.0%	109
2013	BCPST	A ENV	VetAgro Sup Lyon										399	109	69.0%	56.0%	109
2013	BCPST	A ENV	ONIRIS Nantes Atlantique (cursus vétérinaire)										515	109	77.0%	52.0%	109
2013	BCPST	A ENV	ENV Toulouse										521	109	71.0%	53.0%	109
2013	BCPST	A ENV	Concours commun A ENV	1984	70.0%	31.0%	890	69.0%	43.0%	569	68.0%	46.0%		436			436
2013	BCPST	PC BIO	ESPCI ParisTech										91	3	33.0%	100.0%	3
2013	BCPST	PC BIO	Chimie ParisTech										139	2	50.0%	0.0%	3
2013	BCPST	PC BIO	ENSC Montpellier										153	2	50.0%	100.0%	2
2013	BCPST	PC BIO	ENSC Lille										394	4	50.0%	25.0%	5
2013	BCPST	PC BIO	ENSCBP Bordeaux - Biologie-Alimentation										562	15	66.0%	27.0%	14
2013	BCPST	PC BIO	Concours commun A PC BIO	1157	64.0%	35.0%	654	61.0%	45.0%	562	60.0%	47.0%		26			27
2013	BCPST	ENS	ENS Ulm	651	54.0%	26.0%	75	48.0%	16.0%	35	40.0%	18.0%	26	22	31.0%	19.0%	22
2013	BCPST	ENS	ENS de Lyon	649	53.0%	26.0%	161	49.0%	22.0%	96	41.0%	21.0%	87	36	44.0%	23.0%	36
2013	BCPST	ENS	ENS Cachan	634	54.0%	26.0%	164	46.0%	23.0%	75	37.0%	19.0%	75	13	38.0%	24.0%	13
2013	BCPST	ENS	PONTS ParisTech	195	49.0%	29.0%	46	39.0%	22.0%	16	43.0%	13.0%	15	2	50.0%	50.0%	2
2013	BCPST	G2E	Polytech Montpellier - Sciences et technologies de l'eau										559	8	62.0%	75.0%	6
2013	BCPST	G2E	Polytech Nice-Sophia - Génie de l'eau										657	4	50.0%	100.0%	3
2013	BCPST	G2E	concours Polytech G2E-BCPST	1572	66.0%	30.0%	1112	65.0%	37.0%	657	64.0%	43.0%		12			9
2013	BCPST	G2E	ENGEES Strasbourg Civil (apprenti)										549	3	0.0%	67.0%	5
2013	BCPST	G2E	ENGEES Strasbourg Civil (étudiant)										456	21	80.0%	48.0%	20
2013	BCPST	G2E	ENGEES Strasbourg Fonctionnaire										341	4	75.0%	50.0%	4
2013	BCPST	G2E	concours ENGEES G2E-BCPST	1572	66.0%	30.0%	1112	65.0%	37.0%	602	65.0%	44.0%		28			29
2013	BCPST	G2E	ENSEGID	1572	66.0%	30.0%	1112	65.0%	37.0%	616	64.0%	44.0%	416	12	33.0%	50.0%	12
2013	BCPST	G2E	ENSG Nancy	1572	66.0%	30.0%	1112	65.0%	37.0%	616	64.0%	44.0%	306	67	47.0%	48.0%	68
