year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	rang_du_dernier_appele	integres_nb	integres_filles	integres_cinq_demi	places
2017	TSI	Concours Polytechnique	ECOLE POLYTECHNIQUE				80	1,2%	20,0%	2	0,0%	0,0%	2	2	0,0%	0,0%	2
2017	TSI	CONCOURS CENTRALE-SUPELEC	CENTRALE PARIS	494	7,9%	17,4%	43	2,3%	9,3%	43	2,3%	9,3%	18	10	0,0%	0,0%	10
2017	TSI	CONCOURS CENTRALE-SUPELEC	SUPELEC - Campus Gif (apprentissage) TSI										34	7	0,0%	14,3%	4
2017	TSI	CONCOURS CENTRALE-SUPELEC	SUPELEC - Campus Metz TSI										30	3	0,0%	0,0%	4
2017	TSI	CONCOURS CENTRALE-SUPELEC	SUPELEC - Campus Rennes TSI										22	3	0,0%	0,0%	4
2017	TSI	CONCOURS CENTRALE-SUPELEC	Supélec	534	6,7%	16,9%	74	2,7%	14,9%	72	2,8%	15,3%		13			12
2017	TSI	CONCOURS CENTRALE-SUPELEC	CENTRALE LYON	552	7,4%	17,4%	56	3,6%	16,1%	56	3,6%	16,1%	30	5	0,0%	40,0%	5
2017	TSI	CONCOURS CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique)	321	6,9%	18,4%	17	0,0%	17,6%	17	0,0%	17,6%	9	0	0,0%	0,0%	2
2017	TSI	CONCOURS CENTRALE-SUPELEC	CENTRALE LILLE	540	7,4%	18,1%	55	3,6%	12,7%	55	3,6%	12,7%	43	4	0,0%	25,0%	5
2017	TSI	CONCOURS CENTRALE-SUPELEC	CENTRALE NANTES	610	7,9%	17,5%	57	3,5%	12,3%	57	3,5%	12,3%	43	9	0,0%	44,4%	10
2017	TSI	CONCOURS CENTRALE-SUPELEC	CENTRALE MARSEILLE	556	7,6%	19,2%	99	5,1%	19,2%	89	3,4%	19,1%	43	5	0,0%	40,0%	5
2017	TSI	CONCOURS CENTRALE-SUPELEC	CENTRALE CASABLANCA	279	7,2%	19,7%	31	0,0%	19,4%	30	0,0%	20,0%	30	0	0,0%	0,0%	2
2017	TSI	CONCOURS CENTRALE-SUPELEC	Université de Technologie de Troyes (UTT)	385	8,3%	18,7%	62	4,8%	17,7%	47	4,3%	23,4%	47	4	25,0%	50,0%	5
2017	TSI	BANQUE DE NOTES CENTRALE	SIGMA Clermont-Ferrand (ex IFMA)	344	6,7%	20,1%	74	4,1%	29,7%	14	0,0%	21,4%	14	6	0,0%	33,3%	8
2017	TSI	BANQUE DE NOTES CENTRALE	ISMANS-Groupe CESI Le Mans	359	7,0%	21,4%	334	6,9%	23,1%	89	10,1%	32,6%	88	28	10,7%	53,6%	20
2017	TSI	BANQUE DE NOTES CENTRALE	ESIX Normandie	579	8,3%	20,2%	411	8,3%	23,8%	67	13,4%	29,9%	66	29	10,3%	34,5%	40
2017	TSI	CONCOURS COMMUN MINES-PONTS	MINES ParisTech										4	1	0,0%	0,0%	2
2017	TSI	CONCOURS COMMUN MINES-PONTS	MINES de NANCY										35	1	0,0%	0,0%	2
2017	TSI	CONCOURS COMMUN MINES-PONTS	MINES de SAINT-ETIENNE										43	1	0,0%	0,0%	2
2017	TSI	CONCOURS COMMUN MINES-PONTS	PONTS ParisTech										0	0	0,0%	0,0%	1
2017	TSI	CONCOURS COMMUN MINES-PONTS	ISAE - SUPAERO Toulouse										24	2	0,0%	0,0%	3
2017	TSI	CONCOURS COMMUN MINES-PONTS	ENSTA ParisTech										26	2	0,0%	0,0%	2
