year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	places
2019	BCPST	A BIO	AgroParisTech Grignon										258	61,2%	15,5%	426	438	258
2019	BCPST	A BIO	Montpellier Sup Agro (cursus agronome)										99	74,7%	29,3%	962	906	99
2019	BCPST	A BIO	Montpellier Sup Agro (cursus SAADS)										6	100,0%	16,7%	907	810	6
2019	BCPST	A BIO	Agrocampus Ouest (cursus ingénieur agronome)										102	74,5%	37,3%	1076	1035	103
2019	BCPST	A BIO	ENSAT Toulouse										86	76,7%	36,0%	1326	1281	92
2019	BCPST	A BIO	ENSAIA Nancy										74	67,6%	32,4%	1656	1571	93
2019	BCPST	A BIO	Agrocampus Ouest (cursus ingénieur en horticulture et en paysage)										45	68,9%	33,3%	1888	1783	37
2019	BCPST	A BIO	Agrosup Dijon (Cursus Agroalimentaire)										33	78,8%	30,3%	1860	1774	35
2019	BCPST	A BIO	Bordeaux Sciences Agro										87	70,1%	40,2%	1403	1353	87
2019	BCPST	A BIO	VetAgro Sup Clermont-Ferrand										53	77,4%	35,8%	1908	1868	54
2019	BCPST	A BIO	ONIRIS Nantes Atlantique (cursus agroalimentaire)										36	80,6%	33,3%	1979	1899	50
2019	BCPST	A BIO	Agrosup Dijon (Cursus Agronome) civil										33	84,8%	30,3%	1659	1601	33
2019	BCPST	A BIO	Agrosup Dijon (Cursus agronome) fonctionnaire										27	66,7%	29,6%	1616	1529	27
2019	BCPST	A BIO	Concours A BIO	2908	72,9%	21,9%	2335	71,3%	25,5%	2159	71,4%	26,7%	939					974
2019	BCPST	X BIO	ECOLE POLYTECHNIQUE	333	64,9%	13,8%	35	62,9%	5,7%	19	57,9%	10,5%	10	50,0%	10,0%	10	9	10
2019	BCPST	A ENV	ENV Alfort										109	79,8%	41,3%	244	247	109
2019	BCPST	A ENV	VetAgro Sup Lyon										120	76,7%	45,8%	185	189	120
2019	BCPST	A ENV	ONIRIS Nantes Atlantique (cursus vétérinaire)										116	68,1%	44,8%	383	339	116
2019	BCPST	A ENV	ENV Toulouse										114	73,7%	47,4%	391	355	114
2019	BCPST	A ENV	Concours A ENV	1951	76,2%	26,8%	961	74,0%	37,7%	626	73,2%	40,6%	459					459
2019	BCPST	PC BIO	Bordeaux INP - ENSCBP Agroalimentaire-Génie biologique										6	66,7%	50,0%	446	466	10
2019	BCPST	PC BIO	Chimie ParisTech										3	0,0%	33,3%	175	175	3
2019	BCPST	PC BIO	ENSC Lille										4	50,0%	25,0%	473	471	5
2019	BCPST	PC BIO	ENSC Montpellier										2	50,0%	50,0%	342	342	2
2019	BCPST	PC BIO	Lorraine INP - ENSIC										6	33,3%	50,0%	525	533	9
2019	BCPST	PC BIO	ESPCI Paris										2	50,0%	50,0%	24	24	2
2019	BCPST	PC BIO	Grenoble INP - Phelma (Physique Matériaux Procédés)										4	25,0%	0,0%	432	423	2
2019	BCPST	PC BIO	Concours A PC BIO	1093	72,1%	25,4%	661	66,9%	32,8%	611	65,8%	33,6%	27					33
2019	BCPST	ENS	ENS Ulm	745	59,5%	20,9%	72	51,4%	16,7%	31	58,1%	12,9%	22	63,6%	9,1%	15	14	22
2019	BCPST	ENS	ENS de Lyon	759	60,2%	20,9%	176	56,8%	19,9%	98	60,2%	17,3%	34	61,8%	17,6%	54	53	34
2019	BCPST	ENS	ENS Paris-Saclay	742	59,7%	21,2%	175	57,1%	20,0%	91	53,8%	17,6%	14	42,9%	28,6%	47	43	14
2019	BCPST	ENS	PONTS ParisTech	216	56,5%	18,1%	40	57,5%	17,5%	8	37,5%	25,0%	2	50,0%	50,0%	6	6	4
2019	BCPST	G2E	ENGEES Strasbourg Civil (apprenti)										6	50,0%	33,3%	463	468	5
2019	BCPST	G2E	ENGEES Strasbourg Civil (étudiant)										19	89,5%	21,1%	343	329	18
2019	BCPST	G2E	ENGEES Strasbourg Fonctionnaire										6	83,3%	16,7%	143	127	6
2019	BCPST	G2E	Concours ENGEES G2E-BCPST	1616	72,2%	21,3%	609	70,1%	31,7%	567	69,8%	33,2%	31					29
2019	BCPST	G2E	ENSEGID	1616	72,2%	21,3%	609	70,1%	31,7%	514	68,9%	34,6%	18	94,4%	38,9%	377	369	17
2019	BCPST	G2E	ENSG Nancy	1616	72,2%	21,3%	609	70,1%	31,7%	418	69,4%	35,4%	50	30,0%	24,0%	198	198	64
2019	BCPST	G2E	ENSI Poitiers - Génie de l'Eau et Génie Civil	1616	72,2%	21,3%	609	70,1%	31,7%	587	69,8%	32,9%	5	40,0%	20,0%	563	542	15
2019	BCPST	G2E	ENSIL - ENSCI Limoges EE	1616	72,2%	21,3%	609	70,1%	31,7%	576	69,8%	33,0%	5	80,0%	40,0%	537	541	6
2019	BCPST	G2E	Polytech Annecy-Chambéry - Environnement, Bâtiment, Énergie										2	100,0%	50,0%	556	556	3
2019	BCPST	G2E	Polytech Nice-Sophia - Génie de l'eau										1	100,0%	0,0%	521	521	1
2019	BCPST	G2E	Polytech Orléans - Génie civil et géo-environnement										0	0,0%	0,0%	0	0	2
2019	BCPST	G2E	Polytech Sorbonne - Sciences de la Terre										0	0,0%	0,0%	0	0	4
2019	BCPST	G2E	Polytech Tours - Génie de l'aménagement et de l'environnement										6	66,7%	50,0%	452	418	6
2019	BCPST	G2E	Concours Polytech G2E-BCPST	1616	72,2%	21,3%	609	70,1%	31,7%	585	69,7%	32,8%	9					16
2019	BCPST	G2E	EOST Strasbourg	1616	72,2%	21,3%	609	70,1%	31,7%	497	69,4%	34,8%	8	75,0%	0,0%	204	215	9
2019	BCPST	G2E	ENSG-Géomatique Marne la Vallée Civil										6	100,0%	33,3%	459	385	3
2019	BCPST	G2E	ENSG-Géomatique Marne la Vallée Fonctionnaire										3	33,3%	33,3%	327	314	3
2019	BCPST	G2E	Concours concours ENSG Marne La vallée G2E-BCPST	1616	72,2%	21,3%	609	70,1%	31,7%	580	69,8%	32,9%	9					6
2019	BCPST	G2E	ESGT le Mans	1616	72,2%	21,3%	609	70,1%	31,7%	605	70,1%	31,9%	4	50,0%	0,0%	545	535	5
2019	BCPST	G2E	IMT Lille Douai										4	75,0%	25,0%	285	271	3
2019	BCPST	G2E	IMT Mines Albi										7	100,0%	57,1%	315	304	5
2019	BCPST	G2E	IMT Mines Alès										3	33,3%	33,3%	276	290	3
2019	BCPST	G2E	Concours concours des écoles des Mines G2E-BCPST	1616	72,2%	21,3%	609	70,1%	31,7%	450	69,6%	35,3%	14					11
2019	BCPST	G2E	ENTPE Lyon Civil	1616	72,2%	21,3%	609	70,1%	31,7%	500	69,2%	35,0%	26	69,2%	19,2%	343	315	25
2019	BCPST	G2E	ENTPE Lyon Fonctionnaire	792	69,3%	25,1%	582	68,9%	31,4%	291	66,7%	38,8%	20	80,0%	45,0%	118	117	20
2019	BCPST	ARCH BIO	Lorraine INP - ENSTIB	623	70,6%	22,2%	461	69,4%	23,4%	84	72,6%	22,6%	8	62,5%	12,5%	30	38	13
2019	BCPST	CONCOURS POLYTECH	ECPM - ESBS Strasbourg - CHEMBIOTECH										5	80,0%	20,0%	515	592	5
2019	BCPST	CONCOURS POLYTECH	ENSTBB Bordeaux										22	72,7%	18,2%	607	589	22
2019	BCPST	CONCOURS POLYTECH	ESBS Strasbourg										8	75,0%	0,0%	192	187	8
2019	BCPST	CONCOURS POLYTECH	ESIAB Brest										4	50,0%	0,0%	1235	1224	6
2019	BCPST	CONCOURS POLYTECH	ESIPE Créteil - Génie Biomédical et santé (ISBS)										3	66,7%	0,0%	384	396	2
2019	BCPST	CONCOURS POLYTECH	ESIR Rennes										4	75,0%	50,0%	1135	1093	3
2019	BCPST	CONCOURS POLYTECH	ESIROI Saint Denis de La Réunion										0	0,0%	0,0%	0	0	2
2019	BCPST	CONCOURS POLYTECH	ESIX Normandie - Caen - Cherbourg										1	100,0%	100,0%	1204	1204	3
