year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	places
2020	MP	CONCOURS ECOLE POLYTECHNIQUE	ECOLE POLYTECHNIQUE Info.	887	10,5%	23,8%				162	8,6%	18,5%	102	7,8%	20,6%	82	80	102
2020	MP	CONCOURS ECOLE POLYTECHNIQUE	ECOLE POLYTECHNIQUE P&SI	820	19,1%	26,2%				119	10,1%	14,3%	80	12,5%	17,5%	48	48	80
2020	MP	BANQUE ENS	ENS Ulm MPI	1840	15,7%	26,2%				88	9,1%	18,2%	40	10,0%	12,5%	35	35	40
2020	MP	BANQUE ENS	ENS Ulm Info.	374	12,0%	27,5%				34	14,7%	29,4%	16	12,5%	18,8%	9	9	16
2020	MP	BANQUE ENS	ENS Paris-Saclay MP	1957	16,7%	25,2%				239	8,4%	22,6%	18	5,6%	27,8%	170	168	18
2020	MP	BANQUE ENS	ENS Paris-Saclay Info.	361	10,5%	27,7%				89	7,9%	30,3%	14	14,3%	35,7%	37	37	14
2020	MP	BANQUE ENS	ENS de Lyon MPI	1973	16,5%	26,1%				180	7,8%	22,8%	21	0,0%	33,3%	116	103	21
2020	MP	BANQUE ENS	ENS de Lyon Info.	388	12,1%	27,1%				86	5,8%	26,7%	22	0,0%	27,3%	46	42	22
2020	MP	BANQUE ENS	ENS Rennes MP	1888	17,0%	25,7%				308	8,4%	26,0%	11	9,1%	45,5%	208	214	11
2020	MP	BANQUE ENS	ENS Rennes Info.	377	10,1%	26,8%				86	8,1%	25,6%	8	12,5%	50,0%	47	48	8
2020	MP	BANQUE CENTRALE-SUPELEC	CentraleSupÃ©lec - statut Ã©tudiant	3735	20,5%	22,7%				2735	18,5%	22,0%	290	15,5%	17,9%	412	399	290
2020	MP	BANQUE CENTRALE-SUPELEC	CentraleSupÃ©lec - statut Ã©tudiant - Ã©tr.	219	21,5%	28,8%				114	14,9%	30,7%	22	22,7%	45,5%	33	32	23
2020	MP	BANQUE CENTRALE-SUPELEC	CENTRALE LYON	4009	22,1%	22,5%				2854	19,9%	22,2%	127	15,0%	28,3%	819	811	127
2020	MP	BANQUE CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique)	1645	23,3%	26,0%				1128	21,3%	25,5%	22	31,8%	45,5%	549	558	38
2020	MP	BANQUE CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique) - Ã©tr.	81	34,6%	32,1%				36	30,6%	41,7%	6	0,0%	66,7%	28	29	2
2020	MP	BANQUE CENTRALE-SUPELEC	CENTRALE LILLE	3773	23,6%	23,3%				2516	21,5%	23,6%	93	21,5%	21,5%	926	920	90
2020	MP	BANQUE CENTRALE-SUPELEC	CENTRALE NANTES	3894	23,1%	22,4%				2696	20,9%	22,5%	108	29,6%	19,4%	848	779	120
2020	MP	BANQUE CENTRALE-SUPELEC	CENTRALE MARSEILLE	3642	24,0%	22,4%				2292	21,2%	22,3%	80	28,8%	31,2%	1119	1110	80
2020	MP	BANQUE CENTRALE-SUPELEC	CENTRALE CASABLANCA	616	20,6%	27,6%				261	14,2%	29,5%	2	0,0%	50,0%	137	137	8
2020	MP	BANQUE CENTRALE-SUPELEC	CENTRALE CASABLANCA	1191	38,4%	7,8%				635	34,6%	5,7%	36	41,7%	2,8%	533	502	80
2020	MP	BANQUE CENTRALE-SUPELEC	CentraleSupÃ©lec - statut Ã©tudiant - CI										12	8,3%	41,7%	20	20	12
2020	MP	BANQUE CENTRALE-SUPELEC	CENTRALE LYON - CI										8	12,5%	75,0%	41	42	8
2020	MP	BANQUE CENTRALE-SUPELEC	CENTRALE LILLE - CI										5	0,0%	20,0%	79	75	6
2020	MP	BANQUE CENTRALE-SUPELEC	CENTRALE NANTES - CI										2	50,0%	0,0%	51	51	5
2020	MP	BANQUE CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique) - CI										4	25,0%	0,0%	128	114	3
2020	MP	BANQUE CENTRALE-SUPELEC	CENTRALE MARSEILLE - CI										2	0,0%	0,0%	92	92	2
2020	MP	BANQUE CENTRALE-SUPELEC	Concours Cycle International Centrale-Supelec MP	708	31,6%	11,9%				371	24,8%	14,3%	33					36
2020	MP	BANQUE CENTRALE-SUPELEC	CENTRALE CASABLANCA - CI	708	31,6%	11,9%				371	24,8%	14,3%	7	14,3%	0,0%	310	290	30
2020	MP	BANQUE CENTRALE-SUPELEC	Arts et MÃ©tiers										38	26,3%	39,5%	695	658	40
2020	MP	BANQUE CENTRALE-SUPELEC	Arts et MÃ©tiers - ingÃ©nieurs militaires										0	0,0%	0,0%	0	0	0
2020	MP	BANQUE CENTRALE-SUPELEC	Arts et MÃ©tiers - voie de l'apprentissage										0	0,0%	0,0%	0	0	2
2020	MP	BANQUE CENTRALE-SUPELEC	Concours ARTS ET MÃTIERS ParisTech MP	2458	24,5%	23,4%				1257	22,5%	25,9%	38					42
2020	MP	BANQUE CENTRALE-SUPELEC	ENSEA Cergy	2458	24,5%	23,4%				1964	23,6%	23,4%	64	21,9%	21,9%	1354	1312	60
2020	MP	BANQUE CENTRALE-SUPELEC	UniversitÃ© de Technologie de Troyes (UTT)	752	27,0%	20,6%				380	25,8%	18,4%	16	31,2%	0,0%	276	281	20
2020	MP	BANQUE CENTRALE-SUPELEC	EPF campus TROYES										9	22,2%	11,1%	448	436	5
2020	MP	BANQUE CENTRALE-SUPELEC	EPF campus MONTPELLIER										9	55,6%	11,1%	348	320	5
2020	MP	BANQUE CENTRALE-SUPELEC	EPF campus SCEAUX										6	66,7%	0,0%	430	388	5
2020	MP	BANQUE CENTRALE-SUPELEC	Concours EPF Sceaux-Troyes-Montpellier MP	694	33,7%	17,6%				504	33,9%	16,9%	24					15
2020	MP	BANQUE CENTRALE-SUPELEC	ESTP Paris - Travaux Publics (TP) - campus de Cachan										48	27,1%	14,6%	775	752	64
2020	MP	BANQUE CENTRALE-SUPELEC	ESTP Paris - BÃ¢timent (B) - campus de Cachan										50	46,0%	14,0%	748	698	62
2020	MP	BANQUE CENTRALE-SUPELEC	ESTP Paris - GÃ©nie MÃ©canique et Electrique(GME)										17	35,3%	23,5%	741	703	24
2020	MP	BANQUE CENTRALE-SUPELEC	ESTP Paris - Topographie (T)										4	50,0%	25,0%	899	806	8
2020	MP	BANQUE CENTRALE-SUPELEC	ESTP Paris - BÃ¢timent (B) - campus de Troyes										3	33,3%	0,0%	809	792	12
2020	MP	BANQUE CENTRALE-SUPELEC	ESTP Paris - Travaux Publics (TP) - campus de Dijon										2	0,0%	0,0%	573	573	8
2020	MP	BANQUE CENTRALE-SUPELEC	Concours ESTP MP	1211	29,6%	22,8%				955	29,0%	22,3%	124					178
2020	MP	BANQUE CENTRALE-SUPELEC	ECOLE NAVALE Brest	601	17,6%	30,3%				128	14,1%	42,2%	31	19,4%	41,9%	44	42	31
2020	MP	CONCOURS COMMUN MINES-PONTS	Chimie ParisTech										1	0,0%	0,0%	842	842	2
2020	MP	CONCOURS COMMUN MINES-PONTS	ENSAE Paris										57	14,0%	33,3%	1043	992	55
2020	MP	CONCOURS COMMUN MINES-PONTS	ENSTA Paris										61	24,6%	23,0%	964	924	60
2020	MP	CONCOURS COMMUN MINES-PONTS	ENSTA Paris - apprentissage										2	0,0%	0,0%	1166	1166	2
2020	MP	CONCOURS COMMUN MINES-PONTS	IMT Atlantique cursus Brest-Nantes-Rennes-Toulouse										80	21,2%	16,2%	1403	1351	86
2020	MP	CONCOURS COMMUN MINES-PONTS	IMT Atlantique cursus Sophia Antipolis										4	50,0%	25,0%	1325	1331	3
2020	MP	CONCOURS COMMUN MINES-PONTS	ISAE - SUPAERO Toulouse										68	13,2%	14,7%	766	702	75
2020	MP	CONCOURS COMMUN MINES-PONTS	MINES de NANCY										49	22,4%	22,4%	1362	1356	52
2020	MP	CONCOURS COMMUN MINES-PONTS	MINES SAINT-ETIENNE										43	20,9%	34,9%	1486	1440	48
2020	MP	CONCOURS COMMUN MINES-PONTS	MINES ParisTech										54	14,8%	3,7%	194	181	55
2020	MP	CONCOURS COMMUN MINES-PONTS	PONTS ParisTech										86	24,4%	14,0%	574	558	84
2020	MP	CONCOURS COMMUN MINES-PONTS	TELECOM Paris cursus Paris										64	17,2%	18,8%	725	660	64
2020	MP	CONCOURS COMMUN MINES-PONTS	TELECOM Paris cursus Sophia										13	38,5%	23,1%	905	896	14
2020	MP	CONCOURS COMMUN MINES-PONTS	Concours CCMP MP	5804	22,5%	20,0%				2003	17,3%	20,4%	582					600
2020	MP	Concours Mines - TÃ©lÃ©com	IMT Mines Albi										49	34,7%	38,8%	2026	1972	53
2020	MP	Concours Mines - TÃ©lÃ©com	IMT Mines AlÃ¨s										58	25,9%	24,1%	1802	1731	64
2020	MP	Concours Mines - TÃ©lÃ©com	ENSIIE Evry										78	17,9%	15,4%	2031	1981	72
2020	MP	Concours Mines - TÃ©lÃ©com	ENSTA Bretagne (filiÃ¨re sous statut Ã©tudiant)										46	23,9%	17,4%	1257	1197	50
2020	MP	Concours Mines - TÃ©lÃ©com	IMT Lille Douai										60	20,0%	31,7%	2171	2050	72
2020	MP	Concours Mines - TÃ©lÃ©com	Mines Saint Etienne-ISMIN										32	21,9%	12,5%	1671	1624	38
2020	MP	Concours Mines - TÃ©lÃ©com	TÃ©lÃ©com Physique Strasbourg Informatique et RÃ©seaux										20	35,0%	20,0%	2509	2351	20
2020	MP	Concours Mines - TÃ©lÃ©com	TÃ©lÃ©com Physique Strasbourg TI-SantÃ©										7	71,4%	14,3%	2302	2050	8
2020	MP	Concours Mines - TÃ©lÃ©com	TELECOM SudParis										85	20,0%	29,4%	1226	1171	86
2020	MP	Concours Mines - TÃ©lÃ©com	TELECOM SudParis - cursus Sophia-Antipolis										9	22,2%	44,4%	1264	1207	4
2020	MP	Concours Mines - TÃ©lÃ©com	Concours Mines-TÃ©lÃ©com MP	5424	24,4%	21,1%				2986	22,2%	22,5%	444					467
2020	MP	Concours Mines - TÃ©lÃ©com	ENSTA Bretagne (filiÃ¨re sous statut IETA - Direction GÃ©nÃ©rale de l'Armement)	5424	24,4%	21,1%				2500	21,7%	25,3%	14	14,3%	57,1%	1120	1048	14
2020	MP	Concours Mines - TÃ©lÃ©com	ENSG-GÃ©omatique Marne la VallÃ©e Civil										6	16,7%	16,7%	3096	3142	10
2020	MP	Concours Mines - TÃ©lÃ©com	ENSG Nancy										7	57,1%	28,6%	2884	2886	5
2020	MP	Concours Mines - TÃ©lÃ©com	ENSSAT Lannion										23	21,7%	30,4%	2902	2740	25
2020	MP	Concours Mines - TÃ©lÃ©com	TELECOM Nancy										55	20,0%	21,8%	2605	2523	55
2020	MP	Concours Mines - TÃ©lÃ©com	TELECOM St Etienne - Statut Ã©tudiant										27	22,2%	33,3%	2788	2661	30
2020	MP	Concours Mines - TÃ©lÃ©com	TELECOM St Etienne - Statut apprenti										2	0,0%	50,0%	2768	2768	2
2020	MP	Concours Mines - TÃ©lÃ©com	Concours Mines-TÃ©lÃ©com SpÃ©cifique MP	5424	24,4%	21,1%				4067	23,7%	21,5%	120					127
2020	MP	CONCOURS COMMUN TPE	ENTPE Lyon Civil										19	52,6%	26,3%	1253	1177	21
2020	MP	CONCOURS COMMUN TPE	ENTPE Lyon Fonctionnaire										28	39,3%	42,9%	1083	1002	29
2020	MP	CONCOURS COMMUN TPE	Concours TPE - Candidats franÃ§ais et de l'Union europÃ©enne - filiÃ¨re MP	2430	28,0%	22,7%				1481	26,6%	24,0%	47					50
2020	MP	CONCOURS COMMUN TPE	ENTPE Lyon Etranger	2430	28,0%	22,7%				82	41,5%	24,4%	1	0,0%	0,0%	44	44	1
2020	MP	CONCOURS COMMUN TPE	EIVP Paris Civil	2430	28,0%	22,7%				1673	27,7%	23,7%	22	45,5%	18,2%	1323	1293	23
2020	MP	CONCOURS COMMUN TPE	EIVP Paris Fonctionnaire	2430	28,0%	22,7%				1581	26,7%	23,6%	4	0,0%	25,0%	604	641	4
2020	MP	CONCOURS COMMUN TPE	IMT Lille Douai Fonct.	2430	28,0%	22,7%				1481	26,6%	24,0%	3	33,3%	0,0%	825	859	3
2020	MP	CONCOURS COMMUN INP	Bordeaux INP - ENSC Cognitique										9	0,0%	55,6%	2576	2549	8
2020	MP	CONCOURS COMMUN INP	Bordeaux INP - ENSEIRB-MATMECA Electronique										18	22,2%	0,0%	2190	2187	36
2020	MP	CONCOURS COMMUN INP	Bordeaux INP - ENSEIRB-MATMECA Informatique										36	16,7%	22,2%	1836	1818	54
2020	MP	CONCOURS COMMUN INP	Bordeaux INP - ENSEIRB-MATMECA MathÃ©matiques et MÃ©canique										33	27,3%	21,2%	2080	1922	41
2020	MP	CONCOURS COMMUN INP	Bordeaux INP - ENSEIRB-MATMECA TÃ©lecom.										14	28,6%	0,0%	2061	2046	25
2020	MP	CONCOURS COMMUN INP	Bordeaux INP - ENSPIMA										6	0,0%	0,0%	2580	2636	5
2020	MP	CONCOURS COMMUN INP	CPE LYON Sciences du numÃ©rique										6	16,7%	33,3%	3733	3545	12
2020	MP	CONCOURS COMMUN INP	EISTI Cergy - Pau										67	22,4%	14,9%	4313	4012	60
2020	MP	CONCOURS COMMUN INP	ENAC Toulouse Civil										30	10,0%	30,0%	1689	1547	39
2020	MP	CONCOURS COMMUN INP	ENAC Toulouse Fonctionnaire										5	20,0%	20,0%	242	389	5
2020	MP	CONCOURS COMMUN INP	ENGEES Strasbourg Civil (apprenti)										1	0,0%	0,0%	2663	2663	1
2020	MP	CONCOURS COMMUN INP	ENGEES Strasbourg Civil (Ã©tudiant)										10	30,0%	20,0%	3386	3350	9
2020	MP	CONCOURS COMMUN INP	ENGEES Strasbourg Fonctionnaire										3	0,0%	66,7%	3494	2987	3
2020	MP	CONCOURS COMMUN INP	ENSC Lille										0	0,0%	0,0%	0	0	2
2020	MP	CONCOURS COMMUN INP	ENSGTI Pau - EnergÃ©tique										8	25,0%	25,0%	4081	4074	12
2020	MP	CONCOURS COMMUN INP	ENSI Poitiers - GÃ©nie de l'Eau et GÃ©nie Civil										6	33,3%	16,7%	3203	3185	6
2020	MP	CONCOURS COMMUN INP	ENSI Poitiers Energie										16	31,2%	25,0%	4254	4014	17
2020	MP	CONCOURS COMMUN INP	ENSICAEN Electronique et Physique AppliquÃ©e										16	31,2%	50,0%	3519	3485	20
2020	MP	CONCOURS COMMUN INP	ENSICAEN Informatique										24	8,3%	20,8%	2787	2737	30
2020	MP	CONCOURS COMMUN INP	ENSMM BesanÃ§on										40	30,0%	35,0%	3524	3489	40
2020	MP	CONCOURS COMMUN INP	Grenoble INP - ENSE3										48	20,8%	25,0%	2145	1951	70
2020	MP	CONCOURS COMMUN INP	Grenoble INP - Pagora										7	57,1%	14,3%	3232	3107	10
2020	MP	CONCOURS COMMUN INP	Grenoble INP - Phelma (Physique Electronique TÃ©lÃ©coms)										54	22,2%	29,6%	1798	1712	56
2020	MP	CONCOURS COMMUN INP	Grenoble INP - Phelma (Physique MatÃ©riaux ProcÃ©dÃ©s)										32	25,0%	31,2%	1110	1079	35
2020	MP	CONCOURS COMMUN INP	Grenoble INP - ENSIMAG										134	11,9%	22,4%	867	809	125
2020	MP	CONCOURS COMMUN INP	Grenoble INP - Esisar										4	0,0%	25,0%	2234	2175	11
2020	MP	CONCOURS COMMUN INP	ISAE-ENSMA Poitiers										55	20,0%	29,1%	1966	1851	55
2020	MP	CONCOURS COMMUN INP	ISIMA Clermont-Ferrand										43	16,3%	27,9%	3161	3077	44
2020	MP	CONCOURS COMMUN INP	Lorraine INP - ENSEM - Energie										31	35,5%	32,3%	3712	3537	35
2020	MP	CONCOURS COMMUN INP	Lorraine INP - ENSEM - SpÃ©cialitÃ© des systÃ¨mes numÃ©riques										17	11,8%	35,3%	3155	3068	16
2020	MP	CONCOURS COMMUN INP	Lorraine INP - ENSIC										3	66,7%	33,3%	3072	3082	9
2020	MP	CONCOURS COMMUN INP	SeaTech Toulon										18	11,1%	27,8%	3481	3337	22
2020	MP	CONCOURS COMMUN INP	SIGMA Clermont-Ferrand - spÃ©cialitÃ© mÃ©canique avancÃ©e										7	14,3%	28,6%	3915	3550	16
2020	MP	CONCOURS COMMUN INP	SUPMECA Paris										42	19,0%	28,6%	2875	2787	45
2020	MP	CONCOURS COMMUN INP	TELECOM PHYSIQUE Strasbourg										24	12,5%	33,3%	2705	2661	31
2020	MP	CONCOURS COMMUN INP	Toulouse INP - ENSEEIHT - Electronique-Energie-Automatique (EEA)										27	22,2%	3,7%	1384	1242	31
2020	MP	CONCOURS COMMUN INP	Toulouse INP - ENSEEIHT - MÃ©canique des Fluides-Energetique-Environnement (MFEE)										18	50,0%	33,3%	1218	1144	18
2020	MP	CONCOURS COMMUN INP	Toulouse INP - ENSEEIHT - Sciences du NumÃ©rique										89	20,2%	24,7%	1338	1301	91
2020	MP	CONCOURS COMMUN INP	Toulouse INP - ENSIACET - GÃ©nie des ProcÃ©dÃ©s										9	44,4%	11,1%	2951	2880	11
2020	MP	CONCOURS COMMUN INP	Toulouse INP - ENSIACET - GÃ©nie Industriel										14	50,0%	42,9%	2680	2611	17
2020	MP	CONCOURS COMMUN INP	Concours CCINP MP	7721	26,6%	19,1%				5146	24,5%	19,6%	1024					1173
2020	MP	BANQUE EPREUVES CCINP Inter-FiliÃ¨re	ENSIL - ENSCI Limoges CÃ©ramique Industrielle										6	33,3%	0,0%	1994*	1905*	45*
2020	MP	BANQUE EPREUVES CCINP Inter-FiliÃ¨re	ENSIL - ENSCI Limoges EE										4	0,0%	25,0%	1707*	1644*	28*
2020	MP	BANQUE EPREUVES CCINP Inter-FiliÃ¨re	ENSIL - ENSCI Limoges ELT										5	60,0%	0,0%	1726*	1611*	28*
2020	MP	BANQUE EPREUVES CCINP Inter-FiliÃ¨re	ENSIL - ENSCI Limoges MatÃ©riaux										2	50,0%	0,0%	1658*	1499*	22*
2020	MP	BANQUE EPREUVES CCINP Inter-FiliÃ¨re	ENSIL - ENSCI Limoges MÃ©catronique										5	20,0%	20,0%	1180	1134	22*
2020	MP	BANQUE EPREUVES CCINP Inter-FiliÃ¨re	Concours ENSIL-ENSCI Inter Fil.	1056	33,4%	15,4%				664	34,5%	13,3%	22					145
2020	MP	BANQUE EPREUVES CCINP Inter-FiliÃ¨re	Grenoble INP - GÃ©nie Industriel	1508	32,1%	18,6%				747	30,9%	21,4%	34	23,5%	29,4%	1520	1440	76*
2020	MP	BANQUE EPREUVES CCINP Inter-FiliÃ¨re	Lorraine INP - EEIGM	504	37,5%	18,5%				183	41,5%	19,1%	2	50,0%	50,0%	456	438	10*
2020	MP	BANQUE EPREUVES CCINP Inter-FiliÃ¨re	Lorraine INP - ENSGSI	868	34,3%	17,5%				454	35,7%	19,8%	9	44,4%	66,7%	1210	1101	38*
2020	MP	BANQUE EPREUVES CCINP	ECOLE DE L'AIR Base	667	21,7%	26,1%				124	16,1%	48,4%	2	50,0%	50,0%	29	29	2
2020	MP	BANQUE EPREUVES CCINP	ECOLE DE L'AIR MÃ©ca	644	21,6%	25,0%				117	17,9%	47,9%	4	25,0%	100,0%	75	71	4
2020	MP	BANQUE EPREUVES CCINP	ECOLE DE L'AIR Pilote	707	21,5%	23,6%				130	13,1%	40,0%	16	6,2%	50,0%	38	31	16
2020	MP	BANQUE EPREUVES CCINP	ENAC Toulouse - ContrÃ´leurs aÃ©riens	1022	25,9%	24,5%				193	36,3%	26,4%	51	41,2%	25,5%	47	43	52
2020	MP	BANQUE EPREUVES CCINP	ENSAI Rennes Civil	1929	29,0%	22,5%				1244	26,6%	25,1%	47	23,4%	44,7%	357	345	51
2020	MP	BANQUE EPREUVES CCINP	ENSAI Rennes Fonctionnaire (AttachÃ© INSEE)	1324	27,7%	22,8%				961	27,0%	25,5%	25	36,0%	40,0%	422	424	27
2020	MP	BANQUE EPREUVES CCINP	ENSISA Mulhouse Automatique et SystÃ¨mes EmbarquÃ©s										5	0,0%	40,0%	454	442	3
2020	MP	BANQUE EPREUVES CCINP	ENSISA Mulhouse Informatique et rÃ©seaux										5	20,0%	40,0%	364	339	5
2020	MP	BANQUE EPREUVES CCINP	ENSISA Mulhouse MÃ©canique										4	50,0%	0,0%	422	435	5
2020	MP	BANQUE EPREUVES CCINP	ENSISA Mulhouse Textile et Fibres										3	100,0%	0,0%	491	486	2
2020	MP	BANQUE EPREUVES CCINP	Concours ENSISA MP	1350	32,6%	17,1%				858	33,4%	15,9%	17					15
2020	MP	BANQUE EPREUVES CCINP	EOST Strasbourg	638	35,3%	19,1%				482	36,9%	18,5%	12	25,0%	41,7%	259	249	11
2020	MP	BANQUE EPREUVES CCINP	ESM Saint-Cyr	633	16,3%	25,9%				89	10,1%	46,1%	28	3,6%	39,3%	39	40	28
2020	MP	BANQUE EPREUVES CCINP	Lorraine INP - ENSTIB	599	36,2%	18,7%				371	38,8%	16,7%	2	0,0%	0,0%	284	242	6
2020	MP	CONCOURS POLYTECH Inter-FiliÃ¨re	ENSIBS Lorient										11	18,2%	0,0%	3683*	3829*	16*
2020	MP	CONCOURS POLYTECH Inter-FiliÃ¨re	ENSIM Le Mans										2	0,0%	0,0%	3935*	3901*	10*
2020	MP	CONCOURS POLYTECH Inter-FiliÃ¨re	ESBS Strasbourg										1	0,0%	0,0%	1347*	1236*	3*
2020	MP	CONCOURS POLYTECH Inter-FiliÃ¨re	ESGT le Mans										7	28,6%	28,6%	3604*	3539*	15*
2020	MP	CONCOURS POLYTECH Inter-FiliÃ¨re	ESI Reims - Energetique										1	0,0%	0,0%	4594*	4463*	5*
2020	MP	CONCOURS POLYTECH Inter-FiliÃ¨re	ESI Reims - GÃ©nie Urbain et Environnement										2	50,0%	0,0%	3093*	3036*	4*
2020	MP	CONCOURS POLYTECH Inter-FiliÃ¨re	ESI Reims - Packaging										1	100,0%	0,0%	4816*	4667*	6*
2020	MP	CONCOURS POLYTECH Inter-FiliÃ¨re	ESIAB Brest										0	0,0%	0,0%	4439*	4436*	4*
