year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	places
2020	TPC	CONCOURS COMMUN INP	ENSICAEN Mat. et Chimie										3	0,0%	33,3%	22	22	2
2020	TPC	CONCOURS COMMUN INP	SIGMA Clermont-Ferrand - spÃ©cialitÃ© chimie										2	0,0%	50,0%	12	12	2
2020	TPC	CONCOURS COMMUN INP	ESCOM Chimie CompiÃ¨gne										3	66,7%	0,0%	32	37	3
2020	TPC	CONCOURS COMMUN INP	Grenoble INP - Pagora										6	33,3%	33,3%	44	41	5
2020	TPC	CONCOURS COMMUN INP	Lorraine INP - ENSEM - Energie										2	50,0%	0,0%	56	56	2
2020	TPC	CONCOURS COMMUN INP	ENSC Lille										1	0,0%	0,0%	17	17	1
2020	TPC	CONCOURS COMMUN INP	CPE LYON Chimie â gÃ©nie des procÃ©dÃ©s										1	0,0%	0,0%	27	27	2
2020	TPC	CONCOURS COMMUN INP	ITECH Lyon										4	75,0%	25,0%	39	42	4
2020	TPC	CONCOURS COMMUN INP	ENSC Montpellier										2	50,0%	0,0%	2	2	2
2020	TPC	CONCOURS COMMUN INP	ENSC Mulhouse										3	33,3%	33,3%	19	17	3
2020	TPC	CONCOURS COMMUN INP	Chimie ParisTech										1	0,0%	0,0%	3	3	2
2020	TPC	CONCOURS COMMUN INP	ENSGTI Pau - GÃ©nie des ProcÃ©dÃ©s										4	50,0%	0,0%	46	44	3
2020	TPC	CONCOURS COMMUN INP	ECPM Strasbourg										3	100,0%	33,3%	15	13	3
2020	TPC	CONCOURS COMMUN INP	SeaTech Toulon										1	0,0%	0,0%	26	26	2
2020	TPC	CONCOURS COMMUN INP	Toulouse INP - ENSIACET - Chimie										1	0,0%	0,0%	4	4	1
2020	TPC	CONCOURS COMMUN INP	EIL CÃ´te d'Opale - Dunkerque (GÃ©nie EnergÃ©tique et Environnement)										2	50,0%	0,0%	44	44	5
2020	TPC	CONCOURS COMMUN INP	Concours CCINP TPC	83	44,6%	18,1%				61	41,0%	19,7%	39					42
