year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	places
2021	TB	Concours A TB BIO	Agrocampus Ouest (cursus ingÃ©nieur agronome)										4	75,0%	25,0%	35	31	4
2021	TB	Concours A TB BIO	Agrocampus Ouest (cursus ingÃ©nieur en horticulture et en paysage)										3	0,0%	33,3%	80	75	4
2021	TB	Concours A TB BIO	AgroParisTech Grignon										10	20,0%	10,0%	17	16	10
2021	TB	Concours A TB BIO	Agrosup Dijon (Cursus Agroalimentaire)										2	100,0%	0,0%	79	79	5
2021	TB	Concours A TB BIO	Agrosup Dijon (Cursus Agronome) civil										3	100,0%	66,7%	63	55	3
2021	TB	Concours A TB BIO	Bordeaux Sciences Agro										2	50,0%	50,0%	44	44	2
2021	TB	Concours A TB BIO	ENGEES Strasbourg Civil (Ã©tudiant)										2	50,0%	0,0%	81	81	3
2021	TB	Concours A TB BIO	ENSAIA Nancy										5	100,0%	60,0%	59	55	5
2021	TB	Concours A TB BIO	ENSAT Toulouse										7	42,9%	57,1%	48	37	7
2021	TB	Concours A TB BIO	Montpellier Sup Agro (cursus agronome)										5	80,0%	40,0%	53	54	5
2021	TB	Concours A TB BIO	ONIRIS Nantes Atlantique (cursus agroalimentaire)										6	33,3%	50,0%	80	78	6
2021	TB	Concours A TB BIO	VetAgro Sup Clermont-Ferrand										3	100,0%	33,3%	79	76	4
2021	TB	Concours A TB BIO	Concours A TB BIO	148	61,5%	26,4%	106	56,6%	34,0%	88	54,5%	39,8%	52					58
2021	TB	Lorraine INP - ENSTIB	Lorraine INP - ENSTIB	55	47,3%	18,2%	2	50,0%	0,0%	2	50,0%	0,0%	1	0,0%	0,0%	2	2	2
2021	TB	Concours A TB ENV	ENV Alfort										2	50,0%	100,0%	10	10	2
2021	TB	Concours A TB ENV	ENV Toulouse										3	66,7%	66,7%	16	14	3
2021	TB	Concours A TB ENV	ONIRIS Nantes Atlantique (cursus vÃ©tÃ©rinaire)										4	75,0%	75,0%	18	17	3
2021	TB	Concours A TB ENV	VetAgro Sup Lyon										3	66,7%	33,3%	5	9	3
2021	TB	Concours A TB ENV	Concours TB ENV	83	63,9%	27,7%	40	52,5%	42,5%	22	45,5%	36,4%	12					11
2021	TB	Concours POLYTECH A TB	ENSTBB Bordeaux										2	50,0%	0,0%	11	11	2
2021	TB	Concours POLYTECH A TB	ESBS Strasbourg										2	50,0%	50,0%	36	36	2
2021	TB	Concours POLYTECH A TB	ESIAB Brest										2	50,0%	50,0%	35	35	3
2021	TB	Concours POLYTECH A TB	EPISEN - GÃ©nie BiomÃ©dical et santÃ© (ISBS)										0	0,0%	0,0%	0	0	2
2021	TB	Concours POLYTECH A TB	ESIX Caen Agroalimentaire										0	0,0%	0,0%	0	0	1
2021	TB	Concours POLYTECH A TB	ISIFC BesanÃ§on - GÃ©nie BiomÃ©dical										0	0,0%	0,0%	0	0	2
2021	TB	Concours POLYTECH A TB	Polytech Angers GÃ©nie Biologique et SantÃ©										1	100,0%	100,0%	24	24	1
2021	TB	Concours POLYTECH A TB	Polytech Clermont-Ferrand - GÃ©nie Biologique										1	0,0%	0,0%	18	18	1
2021	TB	Concours POLYTECH A TB	Polytech Grenoble - Technologies de l'information pour la santÃ©										0	0,0%	0,0%	0	0	1
2021	TB	Concours POLYTECH A TB	Polytech Lille - GÃ©nie biologique et alimentaire										1	100,0%	100,0%	55	55	1
2021	TB	Concours POLYTECH A TB	Polytech Nantes - GÃ©nie des ProcÃ©dÃ©s et BioprocÃ©dÃ©s										1	0,0%	100,0%	44	44	1
2021	TB	Concours POLYTECH A TB	Polytech Nice-Sophia - GÃ©nie biologique										1	0,0%	0,0%	22	22	2
2021	TB	Concours POLYTECH A TB	Concours POLYTECH A TB	127	60,6%	24,4%	83	53,0%	36,1%	66	56,1%	42,4%	11					19
2021	TB	Concours A TB ENS	ENS Paris-Saclay	30	53,3%	16,7%	6	50,0%	0,0%	3	66,7%	0,0%	2	50,0%	0,0%	2	2	2
2021	TB	Groupe INSA	ESITech Rouen Technologies du Vivant										1	100,0%	100,0%	11	11	1
2021	TB	Groupe INSA	INSA Lyon Biosciences										1	0,0%	0,0%	2	2	1
2021	TB	Groupe INSA	INSA Toulouse GÃ©nie Biologique										1	0,0%	0,0%	14	14	1
2021	TB	Groupe INSA	ISIS Castres Informatique pour la SantÃ©										1	100,0%	0,0%	32	32	1
2021	TB	Groupe INSA	Concours INSA DomaineÂ Biotechnologies-santÃ© TB	69	55,1%	29,0%	33	45,5%	36,4%	33	45,5%	36,4%	4					4
