year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	nb_integres_interfilieres	places
2022	PC	Banque ECOLE POLYTECHNIQUE - ESPCI - interENS	ECOLE POLYTECHNIQUE	1253	27,4%	24,2%	265	26,0%	12,8%	162	27,8%	10,5%	133	29,3%	12,0%	77	76		133
2022	PC	Banque ECOLE POLYTECHNIQUE - ESPCI - interENS	ESPCI Paris	1333	30,4%	23,1%	408	27,0%	15,2%	375	27,5%	14,4%	42	33,3%	21,4%	307	285		55
2022	PC	Banque ECOLE POLYTECHNIQUE - ESPCI - interENS	ESPCI Paris Etranger	70	41,4%	14,3%	14	21,4%	0,0%	12	25,0%	0,0%	1	0,0%	0,0%	9	9		2
2022	PC	Banque ECOLE POLYTECHNIQUE - ESPCI - interENS	ENS Ulm	1234	28,8%	24,3%	107	20,6%	15,0%	74	16,2%	14,9%	18	16,7%	5,6%	29	27		18
2022	PC	Banque ECOLE POLYTECHNIQUE - ESPCI - interENS	ENS Paris-Saclay PC	1391	29,3%	23,1%	288	24,0%	20,5%	170	24,1%	22,9%	16	25,0%	37,5%	111	110		18
2022	PC	Banque ECOLE POLYTECHNIQUE - ESPCI - interENS	ENS de Lyon	1227	29,3%	24,4%	268	25,0%	22,4%	187	26,2%	24,6%	25	12,0%	24,0%	146	128		25
2022	PC	Banque CENTRALE-SUPELEC	CentraleSupÃ©lec - statut Ã©tudiant	2623	31,5%	22,1%	747	25,6%	19,7%	736	25,7%	19,7%	192	20,8%	21,4%	284	272		190
2022	PC	Banque CENTRALE-SUPELEC	CentraleSupÃ©lec - statut Ã©tudiant - Ã©tr.	95	36,8%	21,1%	25	24,0%	12,0%	25	24,0%	12,0%	8	25,0%	12,5%	15	15		7
2022	PC	Banque CENTRALE-SUPELEC	CENTRALE LYON	2897	32,4%	21,4%	625	25,1%	19,7%	617	25,1%	19,8%	65	29,2%	40,0%	497	488		62
2022	PC	Banque CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique)	1559	33,5%	23,9%	790	31,3%	23,7%	745	31,0%	23,8%	51	31,4%	41,2%	585	551		50
2022	PC	Banque CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique) - Ã©tr.	46	47,8%	21,7%	15	46,7%	13,3%	15	46,7%	13,3%	0	0,0%	0,0%	0	0		2
2022	PC	Banque CENTRALE-SUPELEC	CENTRALE LILLE	2778	33,2%	22,0%	742	26,4%	24,0%	730	26,4%	23,8%	50	14,0%	36,0%	613	588		50
2022	PC	Banque CENTRALE-SUPELEC	CENTRALE NANTES	2732	32,0%	21,6%	978	27,0%	22,5%	963	27,0%	22,4%	63	25,4%	23,8%	562	537		60
2022	PC	Banque CENTRALE-SUPELEC	CENTRALE MARSEILLE	2827	34,4%	21,3%	1248	30,8%	20,0%	1183	30,3%	20,0%	83	39,8%	26,5%	817	816		80
2022	PC	Banque CENTRALE-SUPELEC	CENTRALE CASABLANCA	450	28,2%	29,8%	65	15,4%	35,4%	62	16,1%	33,9%	0	0,0%	0,0%	0	0		2
2022	PC	Banque CENTRALE-SUPELEC	CentraleSupÃ©lec - statut Ã©tudiant - CI										5	20,0%	0,0%	3	3		5
2022	PC	Banque CENTRALE-SUPELEC	CENTRALE LYON - CI										1	100,0%	0,0%	6	6		1
2022	PC	Banque CENTRALE-SUPELEC	CENTRALE LILLE - CI										1	100,0%	0,0%	10	10		1
2022	PC	Banque CENTRALE-SUPELEC	CENTRALE NANTES - CI										1	0,0%	0,0%	7	7		2
2022	PC	Banque CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique) - CI										1	100,0%	0,0%	18	18		2
2022	PC	Banque CENTRALE-SUPELEC	CENTRALE MARSEILLE - CI										2	50,0%	0,0%	14	14		2
2022	PC	Banque CENTRALE-SUPELEC	Concours Cycle International Centrale-Supelec PC	31	61,3%	0,0%	19	52,6%	0,0%	19	52,6%	0,0%	11						13
2022	PC	Banque CENTRALE-SUPELEC	Arts et MÃ©tiers										25	44,0%	40,0%	440	428		20
2022	PC	Banque CENTRALE-SUPELEC	Arts et MÃ©tiers - voie de l'apprentissage										0	0,0%	0,0%	0	0		2
2022	PC	Banque CENTRALE-SUPELEC	Concours ARTS ET MÃTIERS PC	1820	30,5%	24,6%	706	25,6%	28,5%	564	25,0%	30,0%	25						22
2022	PC	Banque CENTRALE-SUPELEC	ENSEA Cergy	1186	30,7%	21,7%	853	29,0%	22,6%	507	28,2%	22,9%	11	45,5%	9,1%	465	462		30
2022	PC	Banque CENTRALE-SUPELEC	EPF campus TROYES										0	0,0%	0,0%	0	0		2
2022	PC	Banque CENTRALE-SUPELEC	EPF campus MONTPELLIER										5	40,0%	40,0%	343	352		8
2022	PC	Banque CENTRALE-SUPELEC	EPF campus Paris - Cachan										6	33,3%	16,7%	321	323		8
2022	PC	Banque CENTRALE-SUPELEC	Concours EPF Paris - Cachan - Troyes - Montpellier PC	756	40,6%	18,1%	539	42,1%	18,7%	384	44,0%	18,8%	11						18
2022	PC	Banque CENTRALE-SUPELEC	ESTP Paris - Travaux Publics (TP) - campus de Cachan										62	32,3%	27,4%	594	543		60
2022	PC	Banque CENTRALE-SUPELEC	ESTP Paris - BÃ¢timent (B) - campus de Cachan										57	36,8%	10,5%	458	444		57
2022	PC	Banque CENTRALE-SUPELEC	ESTP Paris - GÃ©nie MÃ©canique et Electrique(GME)										11	27,3%	27,3%	542	531		20
2022	PC	Banque CENTRALE-SUPELEC	ESTP Paris - Topographie (T)										0	0,0%	0,0%	0	0		8
2022	PC	Banque CENTRALE-SUPELEC	ESTP Paris - BÃ¢timent (B) - campus de Troyes										6	66,7%	33,3%	604	613		12
2022	PC	Banque CENTRALE-SUPELEC	ESTP Paris - Travaux Publics (TP) - campus de Dijon										4	100,0%	0,0%	579	548		9
2022	PC	Banque CENTRALE-SUPELEC	Concours ESTP PC	1073	34,5%	21,5%	940	34,7%	21,0%	658	35,4%	19,5%	140						166
2022	PC	Banque CENTRALE-SUPELEC	ECOLE NAVALE Brest	621	23,3%	21,6%	192	22,9%	22,9%	67	20,9%	32,8%	17	17,6%	41,2%	29	29		17
2022	PC	CONCOURS COMMUN MINES-PONTS	ENSAE Paris /td>										9	22,2%	33,3%	607	581		8
2022	PC	CONCOURS COMMUN MINES-PONTS	ENSTA Paris										39	28,2%	12,8%	506	495		38
2022	PC	CONCOURS COMMUN MINES-PONTS	ENSTA Paris - apprentissage										2	0,0%	100,0%	624	624		2
2022	PC	CONCOURS COMMUN MINES-PONTS	IMT Atlantique										90	32,2%	23,3%	1017	980		90
2022	PC	CONCOURS COMMUN MINES-PONTS	ISAE - SUPAERO Toulouse										36	38,9%	25,0%	444	440		35
2022	PC	CONCOURS COMMUN MINES-PONTS	MINES de NANCY										41	29,3%	12,2%	666	641		41
2022	PC	CONCOURS COMMUN MINES-PONTS	MINES SAINT-ETIENNE										42	21,4%	19,0%	994	948		45
2022	PC	CONCOURS COMMUN MINES-PONTS	MINES Paris										27	40,7%	3,7%	85	90		24
2022	PC	CONCOURS COMMUN MINES-PONTS	PONTS ParisTech										40	35,0%	12,5%	287	264		40
2022	PC	CONCOURS COMMUN MINES-PONTS	TELECOM Paris										27	29,6%	25,9%	471	442		29
2022	PC	CONCOURS COMMUN MINES-PONTS	Chimie ParisTech										66	66,7%	16,7%	851	798		65
2022	PC	CONCOURS COMMUN MINES-PONTS	Concours CCMP PC	3660	34,2%	20,0%	1293	28,2%	20,3%	1266	28,1%	20,5%	419						417
2022	PC	Concours Mines - TÃ©lÃ©com	EURECOM (Oral SÃ©rie 1)	3832	35,3%	20,6%	2135	32,5%	21,6%	2033	32,7%	21,6%	7	28,6%	42,9%	1637	1639		6
2022	PC	Concours Mines - TÃ©lÃ©com	ECOLE METEOROLOGIE (fonctionnaire) (Oral SÃ©rie 1)	3832	35,3%	20,6%	2079	32,3%	21,7%	1980	32,5%	21,7%	5	40,0%	0,0%	1391	1380		5
2022	PC	Concours Mines - TÃ©lÃ©com	ECOLE METEOROLOGIE (non fonctionnaire) (Oral SÃ©rie 1)	3832	35,3%	20,6%	2135	32,5%	21,6%	2033	32,7%	21,6%	8	25,0%	50,0%	1790	1789		6
2022	PC	Concours Mines - TÃ©lÃ©com	EIVP Paris Civil (Oral SÃ©rie 2)	3832	35,3%	20,6%	2703	33,3%	21,2%	2357	33,3%	21,2%	23	39,1%	21,7%	2116	2016		21
2022	PC	Concours Mines - TÃ©lÃ©com	EIVP Paris Fonctionnaire (Oral SÃ©rie 2)	3832	35,3%	20,6%	2637	33,1%	21,2%	2296	33,1%	21,2%	4	50,0%	50,0%	1616	1565		4
2022	PC	Concours Mines - TÃ©lÃ©com	ENSG Nancy (Oral SÃ©rie 2)	3832	35,3%	20,6%	2703	33,3%	21,2%	2357	33,3%	21,2%	11	63,6%	36,4%	1992	1865		10
2022	PC	Concours Mines - TÃ©lÃ©com	ENSG-GÃ©omatique Marne la VallÃ©e (Oral SÃ©rie 2)	3832	35,3%	20,6%	2703	33,3%	21,2%	2357	33,3%	21,2%	6	33,3%	16,7%	2279	2294		3
2022	PC	Concours Mines - TÃ©lÃ©com	ENSG-GÃ©omatique Marne la VallÃ©e Fonctionnaire (Oral SÃ©rie 2)	3832	35,3%	20,6%	2637	33,1%	21,2%	2296	33,1%	21,2%	0	0,0%	0,0%	0	0		1
2022	PC	Concours Mines - TÃ©lÃ©com	ENSIIE Evry (Oral SÃ©rie 1)	3832	35,3%	20,6%	2135	32,5%	21,6%	2033	32,7%	21,6%	11	27,3%	36,4%	1230	1227		10
2022	PC	Concours Mines - TÃ©lÃ©com	ENSSAT Lannion (Oral SÃ©rie 2)	3832	35,3%	20,6%	2703	33,3%	21,2%	2357	33,3%	21,2%	16	25,0%	25,0%	2035	2001		14
2022	PC	Concours Mines - TÃ©lÃ©com	ENSTA Bretagne (filiÃ¨re sous statut Ã©tudiant) (Oral SÃ©rie 1)	3832	35,3%	20,6%	2135	32,5%	21,6%	2033	32,7%	21,6%	15	60,0%	6,7%	770	695		18
2022	PC	Concours Mines - TÃ©lÃ©com	ENSTA Bretagne (filiÃ¨re sous statut IETA - Direction GÃ©nÃ©rale de l'Armement) (Oral SÃ©rie 1)	3832	35,3%	20,6%	1893	31,4%	23,5%	1818	31,6%	23,3%	9	22,2%	55,6%	628	645		9
2022	PC	Concours Mines - TÃ©lÃ©com	ENTPE Lyon Civil (Oral SÃ©rie 1)	3832	35,3%	20,6%	2135	32,5%	21,6%	2033	32,7%	21,6%	19	47,4%	15,8%	1809	1606		18
2022	PC	Concours Mines - TÃ©lÃ©com	ENTPE Lyon Fonctionnaire (Oral SÃ©rie 1)	3832	35,3%	20,6%	2079	32,3%	21,7%	1980	32,5%	21,7%	20	40,0%	25,0%	1554	1461		21
2022	PC	Concours Mines - TÃ©lÃ©com	IMT Nord Europe (Oral SÃ©rie 1)	3832	35,3%	20,6%	2135	32,5%	21,6%	2033	32,7%	21,6%	49	12,2%	32,7%	1611	1523		45
2022	PC	Concours Mines - TÃ©lÃ©com	IMT Nord Europe Fonct. (Oral SÃ©rie 1)	3832	35,3%	20,6%	2079	32,3%	21,7%	1980	32,5%	21,7%	3	0,0%	33,3%	1380	1190		3
2022	PC	Concours Mines - TÃ©lÃ©com	IMT Mines Albi (Oral SÃ©rie 1)	3832	35,3%	20,6%	2135	32,5%	21,6%	2033	32,7%	21,6%	56	44,6%	21,4%	1562	1543		50
2022	PC	Concours Mines - TÃ©lÃ©com	IMT Mines AlÃ¨s (Oral SÃ©rie 1)	3832	35,3%	20,6%	2135	32,5%	21,6%	2033	32,7%	21,6%	55	38,2%	20,0%	1213	1160		49
2022	PC	Concours Mines - TÃ©lÃ©com	Institut Mines-TÃ©lÃ©com Business School (IMT-BS) (Oral SÃ©rie 1)	3832	35,3%	20,6%	2135	32,5%	21,6%	2033	32,7%	21,6%	4	25,0%	75,0%	1938	1897		9
