year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	nb_integres_interfilieres	places
2022	PT	CENTRALE-SUPELEC	CentraleSupélec - cursus apprenti - Campus Metz										10	10,0%	10,0%	163	161		10
2022	PT	CENTRALE-SUPELEC	CENTRALE CASABLANCA										0	0,0%	0,0%	0	0		5
2022	PT	CENTRALE-SUPELEC	CentraleSupélec - cursus apprenti - Campus Rennes										12	8,3%	0,0%	91	85		10
2022	PT	CENTRALE-SUPELEC	CentraleSupélec - statut étudiant										30	0,0%	0,0%	40	37		30
2022	PT	CENTRALE-SUPELEC	CENTRALE LYON										24	8,3%	8,3%	106	107		24
2022	PT	CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique)										8	0,0%	37,5%	325	352		13
2022	PT	CENTRALE-SUPELEC	CENTRALE LILLE										12	16,7%	16,7%	169	170		12
2022	PT	CENTRALE-SUPELEC	CENTRALE NANTES										10	10,0%	0,0%	125	117		10
2022	PT	CENTRALE-SUPELEC	CENTRALE MARSEILLE										5	20,0%	0,0%	212	218		5
2022	PT	CENTRALE-SUPELEC	Concours Centrale-Supélec PT	1503	13,2%	15,4%	542	10,1%	7,2%	537	9,9%	7,1%	111						119
2022	PT	CONCOURS COMMUN MINES-PONTS	ENSTA Paris										13	0,0%	0,0%	79	78		12
2022	PT	CONCOURS COMMUN MINES-PONTS	ENSTA Paris - apprentissage										5	20,0%	0,0%	163	149		4
2022	PT	CONCOURS COMMUN MINES-PONTS	IMT Atlantique										12	8,3%	0,0%	148	156		8
2022	PT	CONCOURS COMMUN MINES-PONTS	ISAE - SUPAERO Toulouse										7	0,0%	0,0%	55	46		6
2022	PT	CONCOURS COMMUN MINES-PONTS	MINES de NANCY										5	40,0%	0,0%	120	106		4
2022	PT	CONCOURS COMMUN MINES-PONTS	MINES SAINT-ETIENNE										6	0,0%	0,0%	183	184		6
2022	PT	CONCOURS COMMUN MINES-PONTS	MINES Paris										5	20,0%	0,0%	19	18		5
2022	PT	CONCOURS COMMUN MINES-PONTS	PONTS ParisTech										7	14,3%	0,0%	35	34		5
2022	PT	CONCOURS COMMUN MINES-PONTS	TELECOM Paris										3	0,0%	0,0%	48	45		3
2022	PT	CONCOURS COMMUN MINES-PONTS	Concours commun Mines-Ponts PT	1320	12,3%	14,2%	220	7,3%	2,7%	220	7,3%	2,7%	63						53
2022	PT	Concours Mines - Télécom	ENTPE Lyon Fonctionnaire	1842	14,4%	15,5%	720	12,6%	16,1%	563	14,6%	16,9%	4	25,0%	0,0%	444	386		4
