year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	nb_integres_interfilieres	places
2023	PSI	Banque ENS CACHAN - ECOLE POLYTECHNIQUE	ENS Ulm PSI	989	21,7%	25,3%	53	11,3%	22,6%	32	15,6%	18,8%	6	16,7%	16,7%	12	11		6
2023	PSI	Banque ENS CACHAN - ECOLE POLYTECHNIQUE	ECOLE POLYTECHNIQUE	945	18,7%	22,4%	111	10,8%	11,7%	66	13,6%	7,6%	57	12,3%	8,8%	33	33		57
2023	PSI	Banque ENS CACHAN - ECOLE POLYTECHNIQUE	ENS Paris-Saclay	1301	20,9%	24,5%	411	15,6%	20,0%	303	15,8%	20,1%	37	18,9%	40,5%	162	153		37
2023	PSI	Banque ENS CACHAN - ECOLE POLYTECHNIQUE	ENS Rennes	1230	21,2%	24,6%	364	14,8%	20,3%	324	14,8%	21,3%	2	0,0%	50,0%	251	251		5
2023	PSI	Banque CENTRALE-SUPELEC	CentraleSupÃ©lec - cursus apprenti - Campus Metz										4	0,0%	25,0%	527	491		4
2023	PSI	Banque CENTRALE-SUPELEC	CentraleSupÃ©lec - cursus apprenti - Campus Rennes										8	12,5%	37,5%	512	475		6
2023	PSI	Banque CENTRALE-SUPELEC	CentraleSupÃ©lec - statut Ã©tudiant										166	15,7%	14,5%	182	174		165
2023	PSI	Banque CENTRALE-SUPELEC	Concours CentraleSupÃ©lec PSI	2773	24,1%	18,2%	601	18,0%	16,1%	592	18,1%	16,2%	178						175
2023	PSI	Banque CENTRALE-SUPELEC	CentraleSupÃ©lec - statut Ã©tudiant - Ã©tr.	131	33,6%	19,1%	29	24,1%	24,1%	28	25,0%	25,0%	8	0,0%	37,5%	8	8		8
2023	PSI	Banque CENTRALE-SUPELEC	Centrale Lyon	3112	24,8%	17,8%	643	19,3%	16,5%	635	19,4%	16,5%	82	28,0%	18,3%	406	398		82
2023	PSI	Banque CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique)	1546	26,9%	20,0%	717	24,5%	18,7%	688	24,7%	18,8%	33	27,3%	18,2%	594	549		28
2023	PSI	Banque CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique) - Ã©tr.	71	40,8%	21,1%	21	28,6%	33,3%	21	28,6%	33,3%	1	0,0%	100,0%	19	19		1
2023	PSI	Banque CENTRALE-SUPELEC	Centrale Lille	3149	24,9%	18,8%	965	23,2%	18,5%	946	23,3%	18,4%	60	15,0%	25,0%	623	586		60
2023	PSI	Banque CENTRALE-SUPELEC	Centrale Nantes	3294	25,0%	18,4%	1031	22,7%	17,7%	1008	22,7%	17,4%	74	21,6%	16,2%	564	533		80
2023	PSI	Banque CENTRALE-SUPELEC	Centrale MÃ©diterranÃ©e	2789	26,1%	18,8%	1116	23,9%	18,2%	1061	24,0%	18,0%	78	32,1%	21,8%	795	756		70
2023	PSI	Banque CENTRALE-SUPELEC	Centrale Casablanca	678	22,1%	25,5%	139	10,1%	29,5%	128	10,9%	28,9%	0	0,0%	0,0%	0	0		2
2023	PSI	Banque CENTRALE-SUPELEC	CentraleSupÃ©lec - statut Ã©tudiant - CI										5	0,0%	0,0%	3	3		5
2023	PSI	Banque CENTRALE-SUPELEC	Centrale Lyon - CI										1	0,0%	0,0%	7	7		1
2023	PSI	Banque CENTRALE-SUPELEC	Centrale Lille - CI										1	0,0%	0,0%	13	13		1
2023	PSI	Banque CENTRALE-SUPELEC	Centrale Nantes - CI										1	0,0%	0,0%	10	10		1
2023	PSI	Banque CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique) - CI										1	100,0%	0,0%	17	17		2
2023	PSI	Banque CENTRALE-SUPELEC	Centrale MÃ©diterranÃ©e - CI										1	100,0%	0,0%	19	19		1
2023	PSI	Banque CENTRALE-SUPELEC	Concours Cycle International Centrale-Supelec PSI	63	39,7%	3,2%	26	30,8%	0,0%	25	28,0%	0,0%	10						11
2023	PSI	Banque CENTRALE-SUPELEC	Centrale Casablanca - CI	63	39,7%	3,2%	26	30,8%	0,0%	11	36,4%	0,0%	0	0,0%	0,0%	0	0		5
2023	PSI	Banque CENTRALE-SUPELEC	Arts et MÃ©tiers										252	23,4%	32,1%	1022	973		260
2023	PSI	Banque CENTRALE-SUPELEC	Arts et MÃ©tiers - ingÃ©nieurs militaires										3	33,3%	33,3%	1069	1059		4
2023	PSI	Banque CENTRALE-SUPELEC	Arts et MÃ©tiers - voie de l'apprentissage										2	0,0%	0,0%	996	996		8
2023	PSI	Banque CENTRALE-SUPELEC	Concours ARTS ET MÃTIERS PSI	3601	24,4%	19,0%	1600	23,1%	22,6%	1426	23,5%	22,2%	257						272
2023	PSI	Banque CENTRALE-SUPELEC	ENSEA Cergy	3601	24,4%	19,0%	2760	23,6%	19,3%	2106	23,5%	18,4%	70	8,6%	18,6%	1941	1890		70
2023	PSI	Banque CENTRALE-SUPELEC	EPF campus Troyes										2	100,0%	0,0%	321	321		4
2023	PSI	Banque CENTRALE-SUPELEC	EPF campus Montpellier										2	0,0%	50,0%	412	412		10
2023	PSI	Banque CENTRALE-SUPELEC	EPF campus Cachan										17	41,2%	23,5%	414	399		12
2023	PSI	Banque CENTRALE-SUPELEC	Concours EPF Paris - Cachan - Troyes - Montpellier - PSI	924	34,0%	16,7%	730	35,8%	16,4%	466	39,9%	16,5%	21						26
2023	PSI	Banque CENTRALE-SUPELEC	ESTP - campus de Dijon										14	50,0%	42,9%	877	838		22
2023	PSI	Banque CENTRALE-SUPELEC	ESTP - campus de Cachan										119	34,5%	10,1%	695	670		170
2023	PSI	Banque CENTRALE-SUPELEC	ESTP - campus de d'OrlÃ©ans										9	33,3%	33,3%	870	823		6
