year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	nb_integres_interfilieres	places
2023	TPC	Concours Commun INP	ENSICAEN Mat. et Chimie										2	50,0%	50,0%	26	26		2
2023	TPC	Concours Commun INP	Clermont Auvergne INP - SIGMA - chimie										3	66,7%	33,3%	18	20		2
2023	TPC	Concours Commun INP	ESCOM Chimie Compiègne										2	100,0%	0,0%	33	33		3
2023	TPC	Concours Commun INP	Grenoble INP - Pagora										4	75,0%	0,0%	40	39		5
2023	TPC	Concours Commun INP	Lorraine INP - ENSEM - Energie										2	0,0%	0,0%	31	31		2
2023	TPC	Concours Commun INP	ENSC Lille										1	100,0%	0,0%	11	11		1
2023	TPC	Concours Commun INP	CPE LYON Chimie – génie des procédés										2	100,0%	0,0%	35	35		2
2023	TPC	Concours Commun INP	ITECH Lyon										1	0,0%	0,0%	45	45		4
2023	TPC	Concours Commun INP	ENSC Montpellier										2	50,0%	0,0%	4	4		2
2023	TPC	Concours Commun INP	ENSC Mulhouse										1	100,0%	100,0%	12	12		2
2023	TPC	Concours Commun INP	Chimie ParisTech										2	0,0%	0,0%	2	2		2
2023	TPC	Concours Commun INP	ENSGTI Pau - Génie des Procédés										2	50,0%	50,0%	40	40		3
2023	TPC	Concours Commun INP	ECPM Strasbourg										3	66,7%	0,0%	8	9		3
2023	TPC	Concours Commun INP	SeaTech Toulon										1	100,0%	0,0%	29	29		2
2023	TPC	Concours Commun INP	Toulouse INP - ENSIACET - Chimie										1	0,0%	0,0%	5	5		1
2023	TPC	Concours Commun INP	Lorraine INP - ENSIC - Alternance										2	0,0%	0,0%	29	29		2
2023	TPC	Concours Commun INP	EIL Côte d'Opale - Boulogne (Agroalimentaire)										1	100,0%	0,0%	28	28		5
2023	TPC	Concours Commun INP	EIL Côte d'Opale - Dunkerque (Génie Energétique et Environnement)										0	0,0%	0,0%	0	0		5
2023	TPC	Concours Commun INP	Concours CCINP TPC	77	55,8%	10,4%	57	52,6%	12,3%	47	53,2%	12,8%	32						48
2023	TPC	Groupe INSA	INSA Toulouse Génie Biologique										0	0,0%	0,0%	0	0		1
2023	TPC	Groupe INSA	ISIS Castres Informatique pour la Santé										0	0,0%	0,0%	0	0		1
2023	TPC	Groupe INSA	Concours INSA Domaine Biotechnologies-santé TPC	24	83,3%	8,3%	3	100,0%	0,0%	3	100,0%	0,0%	0						2
